報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年31週(07月31日～08月06日),2023年08月09日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週,24週,24週,25週,25週,26週,26週,27週,27週,28週,28週,29週,29週,30週,30週,31週,31週
埼玉県,4787,29.73,26,0.17,36,0.23,67,0.42,44,0.27,55,0.34,65,0.4,59,0.37,41,0.25,54,0.34,45,0.28,51,0.32,46,0.29,62,0.39,71,0.44,58,0.36,97,0.6,118,0.73,93,0.57,150,0.92,210,1.29,273,1.67,293,1.79,349,2.13,315,1.92,347,2.12,323,1.97,342,2.09,307,1.93,246,1.5,267,1.63,277,1.69
千葉県,3275,25.39,22,0.17,30,0.23,25,0.19,36,0.27,48,0.36,43,0.33,66,0.5,47,0.36,75,0.57,51,0.39,63,0.5,33,0.25,63,0.49,46,0.36,38,0.29,85,0.65,78,0.6,51,0.4,125,0.96,150,1.17,191,1.48,164,1.27,232,1.81,177,1.37,211,1.65,195,1.54,194,1.52,191,1.53,165,1.3,193,1.52,187,1.46
東京都,6905,26.66,28,0.11,39,0.15,64,0.25,59,0.23,62,0.24,81,0.31,92,0.35,105,0.41,93,0.36,103,0.4,100,0.39,93,0.36,88,0.34,99,0.38,139,0.53,190,0.73,198,0.76,171,0.66,293,1.12,420,1.6,441,1.68,474,1.81,487,1.87,450,1.73,449,1.73,458,1.76,346,1.33,347,1.33,286,1.09,349,1.34,301,1.17
神奈川県,4815,21.12,27,0.12,45,0.2,62,0.27,63,0.28,56,0.25,60,0.27,74,0.33,64,0.28,72,0.31,60,0.27,58,0.26,71,0.31,93,0.41,73,0.32,94,0.42,131,0.58,106,0.47,80,0.36,210,0.91,246,1.07,264,1.15,307,1.33,269,1.2,332,1.44,282,1.21,289,1.22,301,1.29,278,1.18,233,1,241,1.05,274,1.21
新潟県,1758,32.56,19,0.34,27,0.48,41,0.73,47,0.84,62,1.11,66,1.18,75,1.34,58,1.04,49,0.88,64,1.14,56,1,58,1.04,55,1.02,38,0.7,65,1.2,84,1.56,77,1.43,34,0.63,54,1,69,1.28,79,1.46,56,1.04,50,0.93,71,1.31,109,2.02,72,1.33,56,1.04,43,0.8,37,0.69,54,1,33,0.6
富山県,1353,46.66,9,0.31,12,0.41,25,0.86,20,0.69,18,0.62,18,0.62,19,0.66,20,0.69,32,1.1,30,1.03,31,1.07,26,0.9,33,1.14,18,0.62,40,1.38,41,1.41,39,1.34,43,1.48,68,2.34,102,3.52,74,2.55,94,3.24,95,3.28,89,3.07,73,2.52,51,1.76,53,1.83,55,1.9,30,1.03,55,1.9,40,1.38
石川県,438,15.1,3,0.1,6,0.21,6,0.21,8,0.28,5,0.17,6,0.21,8,0.28,6,0.21,9,0.31,13,0.45,17,0.59,14,0.48,10,0.34,8,0.28,10,0.34,23,0.79,17,0.59,11,0.38,22,0.76,26,0.9,12,0.41,27,0.93,34,1.17,29,1,25,0.86,15,0.52,17,0.59,18,0.62,9,0.31,12,0.41,12,0.41
福井県,802,34.87,3,0.13,7,0.3,16,0.7,16,0.7,24,1.04,9,0.39,14,0.61,16,0.7,11,0.48,12,0.52,18,0.78,26,1.13,18,0.78,18,0.78,26,1.13,35,1.52,32,1.39,21,0.84,26,1.04,43,1.72,43,1.72,38,1.52,47,1.88,38,1.52,34,1.36,41,1.64,28,1.12,27,1.08,27,1.08,43,1.72,45,1.8
山梨県,67,2.79,2,0.08,3,0.13,0,0,3,0.13,1,0.04,1,0.04,0,0,1,0.04,2,0.08,0,0,1,0.04,0,0,1,0.04,0,0,3,0.13,2,0.08,1,0.04,2,0.08,5,0.21,4,0.17,3,0.13,3,0.13,9,0.38,1,0.04,0,0,4,0.17,1,0.04,2,0.08,3,0.13,2,0.08,7,0.29
長野県,634,11.96,13,0.24,13,0.24,12,0.22,9,0.17,31,0.57,4,0.08,10,0.19,4,0.08,8,0.15,7,0.13,6,0.11,4,0.08,11,0.21,7,0.13,4,0.08,10,0.19,18,0.34,7,0.13,13,0.24,22,0.41,33,0.61,39,0.72,50,0.93,39,0.72,34,0.63,57,1.06,43,0.81,45,0.85,26,0.48,18,0.33,37,0.69
岐阜県,985,18.94,5,0.09,3,0.06,8,0.15,2,0.04,8,0.15,2,0.04,6,0.11,12,0.23,6,0.11,7,0.13,10,0.19,9,0.17,17,0.33,18,0.34,27,0.51,25,0.47,19,0.36,24,0.45,35,0.66,49,0.92,50,0.94,49,0.92,70,1.32,68,1.28,67,1.26,102,1.92,82,1.55,44,0.83,49,0.92,56,1.06,56,1.06
静岡県,1195,13.58,7,0.08,10,0.11,20,0.22,17,0.19,10,0.11,12,0.13,18,0.2,22,0.25,14,0.16,37,0.42,8,0.09,34,0.38,17,0.18,27,0.31,28,0.32,27,0.31,37,0.42,36,0.41,41,0.46,55,0.62,66,0.74,65,0.73,82,0.92,75,0.84,68,0.76,57,0.65,71,0.8,62,0.7,52,0.58,65,0.73,55,0.62
愛知県,4281,23.52,24,0.13,42,0.23,63,0.35,96,0.53,102,0.56,82,0.45,92,0.51,80,0.44,64,0.35,51,0.28,80,0.44,73,0.4,59,0.32,76,0.42,90,0.49,109,0.6,101,0.55,73,0.4,139,0.76,188,1.03,213,1.17,236,1.3,280,1.54,270,1.48,254,1.4,280,1.54,248,1.36,238,1.31,184,1.01,190,1.04,204,1.12
三重県,566,12.86,9,0.2,11,0.24,7,0.16,13,0.3,9,0.2,9,0.2,3,0.07,4,0.09,7,0.16,3,0.07,5,0.11,16,0.36,20,0.44,15,0.33,5,0.11,19,0.42,15,0.33,18,0.4,21,0.47,24,0.53,38,0.84,41,0.91,35,0.78,33,0.73,28,0.62,34,0.76,32,0.71,27,0.6,14,0.31,26,0.58,25,0.56
滋賀県,847,24.2,7,0.19,3,0.08,19,0.53,6,0.17,11,0.31,0,0,10,0.28,17,0.47,16,0.44,13,0.36,14,0.39,13,0.36,11,0.31,12,0.34,18,0.5,48,1.33,19,0.53,11,0.32,23,0.64,24,0.67,59,1.64,58,1.61,57,1.58,43,1.19,52,1.44,53,1.47,38,1.06,50,1.39,42,1.17,64,1.78,36,1
京都府,3080,40.53,25,0.33,54,0.71,66,0.87,54,0.71,50,0.66,31,0.41,64,0.84,65,0.86,49,0.64,63,0.83,53,0.7,48,0.64,66,0.87,50,0.66,35,0.46,84,1.11,93,1.26,67,0.88,104,1.37,151,1.96,179,2.32,208,2.74,186,2.42,167,2.17,179,2.32,175,2.3,162,2.1,149,1.94,108,1.4,138,1.79,157,2.04
大阪府,7723,40.02,33,0.17,51,0.26,75,0.39,111,0.57,71,0.37,88,0.45,83,0.43,67,0.35,92,0.47,71,0.36,126,0.65,99,0.51,111,0.57,123,0.63,156,0.8,213,1.11,242,1.24,153,0.79,293,1.54,413,2.17,482,2.52,526,2.74,535,2.8,516,2.7,469,2.44,462,2.38,424,2.19,438,2.26,369,1.9,423,2.17,408,2.09
兵庫県,2662,20.8,16,0.12,27,0.21,41,0.32,25,0.19,34,0.26,37,0.29,39,0.3,41,0.32,38,0.29,39,0.3,33,0.26,23,0.18,47,0.36,36,0.28,54,0.42,72,0.56,64,0.5,54,0.43,124,0.96,152,1.18,151,1.17,144,1.12,160,1.24,205,1.59,175,1.36,143,1.11,160,1.24,152,1.18,110,0.85,136,1.05,130,1.01
奈良県,1122,33,7,0.21,10,0.29,7,0.21,12,0.35,16,0.47,5,0.15,6,0.18,6,0.18,10,0.29,9,0.26,8,0.24,13,0.38,6,0.18,15,0.44,19,0.56,18,0.53,12,0.35,4,0.12,33,0.97,32,0.94,45,1.32,51,1.5,72,2.12,54,1.59,78,2.29,83,2.44,102,3,110,3.24,73,2.15,106,3.12,100,2.94
和歌山県,771,25.7,3,0.1,9,0.3,5,0.17,4,0.13,5,0.17,9,0.3,11,0.37,9,0.3,15,0.5,11,0.37,16,0.53,26,0.87,9,0.3,8,0.27,9,0.3,20,0.67,19,0.63,20,0.67,34,1.13,49,1.63,72,2.4,70,2.33,76,2.53,54,1.8,35,1.17,30,1,31,1.03,28,0.93,29,0.97,32,1.07,23,0.77
鳥取県,1140,60,13,0.68,18,0.95,22,1.16,18,0.95,20,1.05,25,1.32,36,1.89,23,1.21,27,1.42,35,1.84,28,1.47,24,1.26,14,0.74,40,2.11,39,2.05,31,1.63,31,1.63,33,1.74,44,2.32,20,1.05,62,3.26,49,2.58,58,3.05,43,2.26,63,3.32,59,3.11,62,3.26,55,2.89,46,2.42,46,2.42,56,2.95
島根県,203,8.83,3,0.13,3,0.13,3,0.13,4,0.17,2,0.09,7,0.3,8,0.35,3,0.13,3,0.13,6,0.26,4,0.17,6,0.26,4,0.17,4,0.17,1,0.04,4,0.17,8,0.35,5,0.22,7,0.3,8,0.35,8,0.35,8,0.35,11,0.48,7,0.3,18,0.78,11,0.48,9,0.39,11,0.48,2,0.09,12,0.52,13,0.57
岡山県,540,10,10,0.19,7,0.13,3,0.06,8,0.15,18,0.33,10,0.19,9,0.17,3,0.06,7,0.13,11,0.2,9,0.17,8,0.15,6,0.11,5,0.09,6,0.11,19,0.35,33,0.61,14,0.26,16,0.3,20,0.37,31,0.57,31,0.57,24,0.44,23,0.43,49,0.91,36,0.67,30,0.56,38,0.7,18,0.33,17,0.31,21,0.39
広島県,2331,32.83,9,0.13,14,0.19,23,0.32,20,0.28,22,0.31,40,0.56,22,0.31,24,0.33,30,0.42,38,0.53,17,0.24,41,0.57,36,0.5,24,0.33,35,0.49,50,0.69,67,0.93,45,0.63,71,1,107,1.51,118,1.66,159,2.24,169,2.38,185,2.61,190,2.68,158,2.26,147,2.1,148,2.11,92,1.31,117,1.67,113,1.64
山口県,1718,39.95,19,0.42,23,0.51,10,0.22,11,0.24,12,0.27,22,0.49,20,0.44,7,0.16,13,0.29,24,0.53,27,0.6,29,0.64,24,0.53,20,0.44,28,0.65,61,1.42,55,1.28,66,1.53,65,1.51,78,1.81,84,1.95,65,1.51,120,2.79,114,2.65,110,2.56,93,2.16,130,3.02,132,3.07,99,2.3,94,2.19,63,1.47
徳島県,122,5.3,0,0,1,0.04,1,0.04,0,0,2,0.09,1,0.04,1,0.04,0,0,1,0.04,1,0.04,3,0.13,1,0.04,4,0.17,2,0.09,4,0.17,3,0.13,5,0.22,3,0.13,6,0.26,4,0.17,7,0.3,7,0.3,12,0.52,11,0.48,9,0.39,7,0.3,6,0.26,2,0.09,5,0.22,7,0.3,6,0.26
香川県,141,5.04,0,0,3,0.11,2,0.07,4,0.14,2,0.07,1,0.04,1,0.04,2,0.07,1,0.04,1,0.04,2,0.07,2,0.07,0,0,2,0.07,3,0.11,4,0.14,2,0.07,3,0.11,5,0.18,9,0.32,5,0.18,4,0.14,8,0.29,10,0.36,6,0.21,5,0.18,8,0.29,11,0.39,3,0.11,21,0.75,11,0.39
愛媛県,851,23.64,24,0.65,13,0.35,19,0.51,13,0.35,12,0.32,22,0.59,27,0.73,17,0.46,6,0.16,28,0.76,16,0.43,14,0.38,14,0.39,9,0.24,13,0.35,53,1.43,73,1.97,15,0.41,40,1.08,24,0.65,32,0.86,35,0.95,29,0.78,48,1.3,33,0.89,53,1.43,38,1.03,39,1.05,33,0.89,32,0.86,27,0.73
高知県,400,15.38,0,0,5,0.19,4,0.15,6,0.22,14,0.52,7,0.26,11,0.41,5,0.19,9,0.33,15,0.56,11,0.41,5,0.19,8,0.3,3,0.11,5,0.19,8,0.3,4,0.15,5,0.19,4,0.15,17,0.65,27,1.04,28,1.08,19,0.73,24,0.92,37,1.42,17,0.65,33,1.27,34,1.31,12,0.46,7,0.27,16,0.62
福岡県,9352,77.93,55,0.46,121,1.01,152,1.27,115,0.96,158,1.32,103,0.86,194,1.62,192,1.6,181,1.51,217,1.81,198,1.65,179,1.49,280,2.33,244,2.03,289,2.41,306,2.55,334,2.78,204,1.7,323,2.69,411,3.43,529,4.41,513,4.28,540,4.5,528,4.4,486,4.05,512,4.27,486,4.05,448,3.73,364,3.03,392,3.27,298,2.48
佐賀県,343,14.91,4,0.17,4,0.17,4,0.17,5,0.22,10,0.43,5,0.22,7,0.3,13,0.57,8,0.35,8,0.35,9,0.39,8,0.35,7,0.3,2,0.09,9,0.39,8,0.35,7,0.3,5,0.22,11,0.48,18,0.78,14,0.61,21,0.91,14,0.61,22,0.96,19,0.83,31,1.35,10,0.43,17,0.74,13,0.57,18,0.78,12,0.52
長崎県,2282,51.86,61,1.39,81,1.84,102,2.32,92,2.09,114,2.59,75,1.7,73,1.66,89,2.02,92,2.09,79,1.8,81,1.84,81,1.84,69,1.57,46,1.05,27,0.61,27,0.61,42,0.95,62,1.41,92,2.09,103,2.34,101,2.3,78,1.77,63,1.43,54,1.23,46,1.05,79,1.8,94,2.14,94,2.14,65,1.48,72,1.64,48,1.09
熊本県,845,17.24,6,0.12,5,0.1,8,0.16,4,0.08,8,0.16,10,0.2,11,0.22,16,0.32,20,0.4,25,0.5,2,0.04,8,0.16,8,0.16,7,0.15,11,0.23,22,0.46,34,0.69,12,0.24,26,0.52,33,0.66,52,1.04,55,1.12,53,1.06,50,1,63,1.26,79,1.58,39,0.8,65,1.3,37,0.74,38,0.76,38,0.76
大分県,788,21.89,8,0.22,6,0.17,11,0.31,10,0.28,9,0.25,8,0.22,18,0.5,8,0.22,12,0.33,9,0.25,16,0.44,15,0.42,12,0.33,17,0.47,15,0.42,29,0.81,47,1.31,32,0.89,39,1.08,43,1.19,33,0.92,51,1.42,43,1.19,36,1,38,1.06,37,1.03,47,1.31,35,0.97,17,0.47,51,1.42,36,1
宮崎県,807,23.06,16,0.44,5,0.14,8,0.23,10,0.28,10,0.28,10,0.28,20,0.56,21,0.58,11,0.31,27,0.75,15,0.42,22,0.61,23,0.64,25,0.69,47,1.31,38,1.06,30,0.86,21,0.58,25,0.69,52,1.44,38,1.06,24,0.67,38,1.06,28,0.78,43,1.19,31,0.86,37,1.03,40,1.11,26,0.72,40,1.11,26,0.72
鹿児島県,840,15.85,11,0.2,8,0.15,14,0.26,7,0.13,13,0.24,22,0.41,14,0.26,14,0.26,19,0.35,36,0.67,24,0.44,22,0.41,18,0.35,12,0.23,26,0.49,33,0.62,29,0.55,29,0.55,42,0.79,64,1.21,49,0.92,55,1.04,40,0.75,34,0.64,33,0.62,47,0.89,28,0.53,25,0.47,17,0.32,28,0.53,27,0.51
沖縄県,1433,46.23,22,0.67,7,0.21,18,0.55,23,0.7,28,0.85,26,0.81,34,1.06,24,0.75,43,1.34,49,1.53,50,1.56,38,1.19,37,1.12,40,1.21,44,1.38,61,1.91,54,1.69,38,1.23,55,1.77,72,2.32,52,1.68,81,2.61,64,2.06,67,2.16,44,1.42,63,2.03,66,2.13,69,2.23,54,1.74,63,2.03,47,1.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週,24週,24週,25週,25週,26週,26週,27週,27週,28週,28週,29週,29週,30週,30週,31週,31週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,514911,163.88,10989,3.5,18261,5.79,24310,7.71,23297,7.39,24968,7.91,22902,7.27,23109,7.33,19605,6.23,18776,5.95,18593,5.91,16869,5.38,13275,4.22,11753,3.73,11682,3.72,13166,4.2,15589,4.97,15561,4.96,10898,3.48,16540,5.27,20505,6.54,20341,6.48,20802,6.63,19722,6.29,18173,5.79,15676,4.99,14602,4.64,12997,4.14,12271,3.91,9716,3.09,10241,3.26,9722,3.1
北海道,10707,77.59,157,1.15,296,2.13,358,2.59,424,3.09,365,2.63,383,2.76,442,3.18,420,3.02,468,3.37,401,2.88,356,2.56,310,2.23,224,1.61,279,2.01,319,2.29,416,2.97,394,2.81,231,1.66,364,2.66,419,3.06,468,3.42,452,3.3,507,3.7,410,2.99,327,2.39,246,1.8,359,2.62,227,1.67,216,1.58,227,1.63,242,1.73
青森県,5156,128.9,76,1.81,143,3.4,251,5.98,296,7.05,394,9.38,374,8.9,396,9.43,311,7.4,311,7.4,213,5.07,210,5,148,3.52,122,2.9,101,2.53,81,2.03,113,2.83,106,2.65,57,1.43,111,2.92,107,2.82,121,3.18,96,2.53,149,3.92,146,3.84,127,3.34,104,2.74,116,3.05,112,2.95,83,2.18,91,2.39,90,2.37
岩手県,6272,160.82,112,2.8,176,4.4,262,6.55,326,8.15,397,9.93,278,6.95,298,7.45,225,5.63,240,6,246,6.15,237,5.93,154,3.85,137,3.43,124,3.18,121,3.1,164,4.21,178,4.56,93,2.33,147,3.68,203,5.08,203,5.08,226,5.65,243,6.08,262,6.55,216,5.4,214,5.35,213,5.33,161,4.03,138,3.54,132,3.38,146,3.74
宮城県,9311,166.27,128,2.21,280,4.83,364,6.28,473,8.16,584,10.07,629,10.84,491,8.47,412,7.1,519,8.95,597,10.29,497,8.57,308,5.31,287,4.95,209,3.73,191,3.47,196,3.56,245,4.45,187,3.4,249,4.61,269,4.98,326,6.04,307,5.69,302,5.49,252,4.58,194,3.53,196,3.56,141,2.56,141,2.56,134,2.44,111,2.02,92,1.67
秋田県,2983,90.39,38,1.15,55,1.67,99,3,156,4.73,214,6.48,164,4.97,202,6.12,157,4.76,139,4.21,112,3.39,95,2.88,95,2.88,69,2.09,78,2.29,66,1.94,93,2.74,68,2,62,1.82,86,2.53,92,2.71,68,2,90,2.65,93,2.74,96,2.82,81,2.38,95,2.79,75,2.21,98,2.88,47,1.38,59,1.74,41,1.21
山形県,4573,163.32,96,3.31,171,5.9,308,10.62,234,8.07,341,11.76,320,11.03,335,11.55,261,9,199,6.86,174,6,133,4.59,85,2.93,101,3.48,62,2.21,70,2.5,84,3,80,2.86,51,1.82,101,3.61,168,6,146,5.21,148,5.29,200,7.14,140,5,111,3.96,92,3.29,111,3.96,97,3.46,71,2.54,37,1.32,46,1.64
福島県,6149,125.49,105,2.1,188,3.76,297,5.94,360,7.2,381,7.62,413,8.26,392,7.84,345,6.9,296,5.92,286,5.72,247,4.94,153,3.06,122,2.44,124,2.48,164,3.28,152,3.04,158,3.16,103,2.06,113,2.31,152,3.1,145,2.96,159,3.24,169,3.45,196,4,180,3.67,212,4.33,142,2.9,115,2.35,67,1.37,80,1.63,133,2.71
茨城県,9622,128.29,284,3.79,427,5.77,421,5.61,400,5.33,458,6.11,395,5.27,403,5.37,329,4.39,295,3.93,276,3.68,311,4.15,219,2.92,165,2.17,151,2.01,154,2.05,206,2.75,235,3.05,237,3.16,266,3.55,366,4.88,402,5.36,417,5.56,390,5.2,395,5.27,376,5.01,341,4.55,266,3.55,321,4.28,262,3.49,240,3.2,214,2.85
栃木県,4862,101.29,115,2.4,166,3.46,317,6.6,392,8.17,398,8.29,333,6.94,343,7.15,291,6.06,210,4.38,153,3.19,232,4.83,142,2.96,119,2.48,94,1.96,125,2.6,112,2.33,123,2.56,68,1.42,70,1.46,114,2.38,122,2.54,96,2,104,2.17,115,2.4,106,2.21,85,1.77,69,1.44,57,1.19,39,0.81,85,1.77,67,1.4
群馬県,8699,164.13,216,4.08,309,5.83,473,8.92,473,8.92,472,8.91,438,8.26,432,8.15,347,6.55,297,5.6,241,4.55,219,4.13,176,3.32,167,3.15,174,3.22,152,2.81,194,3.59,240,4.44,133,2.51,196,3.63,249,4.61,260,4.81,356,6.59,356,6.59,349,6.46,307,5.69,331,6.13,243,4.5,278,5.15,201,3.72,211,3.91,209,3.87
埼玉県,33044,205.24,859,5.61,1471,9.19,1614,10.02,1526,9.48,1386,8.61,1181,7.34,1160,7.25,977,6.07,893,5.55,885,5.5,733,4.64,602,3.74,565,3.58,580,3.56,655,4.04,922,5.69,849,5.27,663,4.07,1129,6.93,1540,9.45,1634,10.02,1670,10.18,1519,9.26,1388,8.46,1327,8.09,1142,6.96,990,6.04,933,5.87,748,4.56,765,4.66,738,4.5
千葉県,22823,176.92,631,4.89,1152,8.86,1332,10.17,1183,8.89,1154,8.74,970,7.46,906,6.86,729,5.52,601,4.59,591,4.51,537,4.23,395,3.04,401,3.11,396,3.07,443,3.41,461,3.55,469,3.64,392,3.11,732,5.63,938,7.33,1009,7.82,1059,8.21,1022,7.98,999,7.74,778,6.08,771,6.07,633,4.95,661,5.29,484,3.81,494,3.89,500,3.91
東京都,46429,179.26,1212,4.72,2167,8.3,2796,10.71,2337,8.95,2269,8.73,1749,6.73,1835,7.06,1464,5.7,1391,5.37,1372,5.32,1278,4.99,1049,4.05,898,3.47,954,3.67,1130,4.35,1354,5.23,1348,5.16,1027,3.98,1532,5.87,1937,7.39,1955,7.46,2013,7.68,1799,6.89,1743,6.7,1510,5.81,1262,4.85,1164,4.46,1172,4.49,872,3.33,966,3.7,874,3.4
神奈川県,34513,151.37,863,3.82,1597,6.94,2151,9.39,1946,8.57,1966,8.62,1574,6.96,1435,6.32,1151,5.07,934,4.04,972,4.34,907,4.1,675,2.96,634,2.78,591,2.6,633,2.8,821,3.62,794,3.53,609,2.71,1002,4.36,1437,6.25,1452,6.34,1609,7,1461,6.52,1376,5.96,1132,4.86,1136,4.79,867,3.71,828,3.52,649,2.79,711,3.09,600,2.65
新潟県,8672,160.59,143,2.55,208,3.71,353,6.3,346,6.18,357,6.38,359,6.41,379,6.77,347,6.2,301,5.38,312,5.57,258,4.61,217,3.88,178,3.3,216,4,238,4.41,280,5.19,276,5.11,125,2.31,278,5.15,269,4.98,247,4.57,361,6.69,300,5.56,354,6.56,277,5.13,363,6.72,341,6.31,357,6.61,225,4.17,208,3.85,199,3.62
富山県,7453,257,79,2.72,167,5.76,277,9.55,318,10.97,356,12.28,407,14.03,356,12.28,365,12.59,326,11.24,420,14.48,310,10.69,210,7.24,246,8.48,235,8.1,259,8.93,273,9.41,352,12.14,214,7.38,245,8.45,249,8.59,269,9.28,307,10.59,202,6.97,176,6.07,158,5.45,168,5.79,138,4.76,97,3.34,97,3.34,100,3.45,77,2.66
石川県,7484,258.07,159,5.48,242,8.34,379,13.07,347,11.97,340,11.72,292,10.07,327,11.28,269,9.28,223,7.69,237,8.17,223,7.69,228,7.86,287,9.9,309,10.66,360,12.41,363,12.52,300,10.34,216,7.45,237,8.17,265,9.14,234,8.07,240,8.28,201,6.93,170,5.86,152,5.24,153,5.28,165,5.69,172,5.93,115,3.97,128,4.41,151,5.21
福井県,3722,161.83,122,5.3,169,7.35,160,6.96,152,6.61,145,6.3,138,6,119,5.17,98,4.26,88,3.83,95,4.13,110,4.78,98,4.26,88,3.83,93,4.04,90,3.91,118,5.13,146,6.35,85,3.4,123,4.92,156,6.24,169,6.76,143,5.72,144,5.76,152,6.08,146,5.84,119,4.76,110,4.4,91,3.64,82,3.28,77,3.08,96,3.84
山梨県,3738,155.75,63,2.63,84,3.5,186,7.75,257,10.71,250,10.42,207,8.63,273,11.38,233,9.71,158,6.58,139,5.79,105,4.38,83,3.46,56,2.33,65,2.71,49,2.04,62,2.58,85,3.54,54,2.25,93,3.88,113,4.71,127,5.29,126,5.25,140,5.83,127,5.29,103,4.29,112,4.67,86,3.58,80,3.33,70,2.92,73,3.04,79,3.29
長野県,10845,204.62,165,3.06,353,6.54,531,9.83,582,10.78,530,9.81,510,9.62,478,9.02,454,8.57,435,8.21,377,7.11,305,5.75,211,3.98,232,4.38,197,3.72,278,5.25,279,5.26,297,5.6,199,3.75,358,6.63,411,7.61,461,8.54,453,8.39,549,10.17,516,9.56,340,6.3,322,5.96,268,5.06,244,4.6,174,3.22,182,3.37,154,2.85
岐阜県,6900,132.69,56,1.06,137,2.58,160,3.02,218,4.11,199,3.75,235,4.43,224,4.23,218,4.11,242,4.57,226,4.26,272,5.13,208,3.92,142,2.78,172,3.25,174,3.28,267,5.04,252,4.75,239,4.51,311,5.87,380,7.17,389,7.34,370,6.98,371,7,301,5.68,191,3.6,219,4.13,226,4.26,139,2.62,133,2.51,134,2.53,95,1.79
静岡県,13750,156.25,209,2.35,374,4.2,571,6.42,655,7.36,814,9.15,739,8.3,802,9.01,650,7.3,541,6.08,503,5.65,453,5.09,324,3.64,306,3.29,262,2.98,281,3.19,408,4.64,397,4.51,246,2.8,408,4.58,565,6.35,485,5.45,520,5.84,558,6.27,510,5.73,406,4.56,359,4.08,342,3.84,316,3.55,248,2.79,253,2.84,245,2.75
愛知県,28983,159.25,517,2.84,834,4.58,1036,5.69,1054,5.79,1187,6.52,1082,5.95,1277,7.02,1098,6.03,1154,6.34,1073,5.9,1116,6.13,856,4.7,873,4.77,769,4.23,787,4.32,1025,5.63,986,5.42,669,3.68,1084,5.96,1352,7.43,1304,7.16,1456,8,1233,6.77,1020,5.6,838,4.6,717,3.94,626,3.44,571,3.14,413,2.27,512,2.81,464,2.55
三重県,7937,180.39,159,3.53,233,5.18,279,6.2,229,5.2,273,6.07,241,5.36,249,5.53,228,5.07,193,4.29,262,5.82,269,5.98,211,4.69,173,3.84,178,3.96,170,3.78,226,5.02,246,5.47,185,4.11,318,7.07,464,10.31,434,9.64,443,9.84,405,9,352,7.82,310,6.89,279,6.2,228,5.07,170,3.78,171,3.8,178,3.96,181,4.02
滋賀県,4764,136.11,112,3.11,175,4.86,265,7.36,200,5.56,216,6,238,6.61,227,6.31,195,5.42,156,4.33,165,4.58,154,4.28,133,3.69,114,3.17,82,2.34,160,4.44,105,2.92,175,4.86,91,2.68,153,4.25,189,5.25,182,5.06,186,5.17,159,4.42,137,3.81,149,4.14,135,3.75,113,3.14,111,3.08,86,2.39,86,2.39,115,3.19
京都府,10063,132.41,161,2.12,371,4.88,532,7,441,5.8,420,5.53,436,5.74,351,4.62,331,4.36,332,4.37,416,5.47,367,4.83,308,4.11,280,3.68,195,2.57,308,4.05,356,4.68,363,4.91,197,2.59,345,4.54,464,6.03,412,5.35,437,5.75,438,5.69,358,4.65,273,3.55,299,3.93,244,3.17,176,2.29,163,2.12,158,2.05,131,1.7
大阪府,30032,155.61,567,2.92,943,4.86,1261,6.5,1293,6.66,1345,6.93,1294,6.67,1322,6.81,1115,5.75,1108,5.71,1221,6.26,1127,5.78,925,4.74,785,4.03,873,4.5,966,4.98,1168,6.08,1108,5.68,748,3.86,1085,5.71,1360,7.16,1180,6.18,1071,5.58,922,4.83,840,4.4,713,3.71,718,3.7,635,3.27,644,3.32,533,2.75,577,2.96,585,3
