報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,
2025年06週(02月03日～02月09日),2025年02月12日作成,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
滋賀県,6104,109,2191,53.44,1934,32.23,1070,17.83,532,8.87,241,4.02,136,2.27
京都府,11643,95.43,3538,30.24,3950,31.85,2062,16.63,1236,10.05,558,4.5,299,2.41
大阪府,22732,75.52,7735,25.61,7701,25.5,3564,11.84,2014,6.69,1012,3.36,706,2.35
兵庫県,17367,89.98,3771,22.18,6995,35.33,3415,17.25,1783,9.01,903,4.56,500,2.53
奈良県,4842,98.82,496,24.8,1998,36.33,986,17.93,726,13.2,389,7.07,247,4.49
和歌山県,5469,116.36,1179,26.2,2098,43.71,1155,24.06,602,12.54,236,4.92,199,4.15
鳥取県,3278,113.03,1413,48.72,887,30.59,529,18.24,262,9.03,120,4.14,67,2.31
島根県,3913,102.97,1744,45.89,1053,27.71,579,15.24,305,8.03,144,3.79,88,2.32
岡山県,8744,104.1,2883,34.32,3016,35.9,1569,18.68,791,9.42,297,3.54,188,2.24
広島県,10825,96.65,3596,40.4,3766,32.19,1884,16.1,934,7.98,420,3.59,225,1.92
山口県,7631,113.9,1957,29.21,2907,43.39,1427,21.3,870,12.99,296,4.42,174,2.6
徳島県,5723,154.68,1566,42.32,2123,57.38,1129,30.51,590,15.95,216,5.84,99,2.68
香川県,5975,127.13,1749,37.21,1913,40.7,1178,25.06,629,13.38,324,6.89,182,3.87
愛媛県,7605,133.42,1509,34.3,3014,50.23,1681,28.02,856,14.27,350,5.83,195,3.25
高知県,7284,165.55,2045,46.48,2480,56.36,1414,32.14,774,17.59,341,7.75,230,5.23
福岡県,22498,114.2,8268,41.97,7052,35.8,3573,18.14,2121,10.77,918,4.66,566,2.87
佐賀県,5639,148.39,1635,45.42,1976,50.67,995,25.51,579,14.85,294,7.54,160,4.1
長崎県,10219,145.99,3192,45.6,3294,47.06,1769,25.27,1130,16.14,526,7.51,308,4.4
熊本県,11338,143.52,3782,47.87,3920,49.62,1955,24.75,970,12.28,428,5.35,283,3.54
大分県,7433,128.16,3147,54.26,2140,36.9,1153,19.88,645,11.12,240,4.14,108,1.86
宮崎県,8753,153.56,2164,41.62,3320,57.24,1835,31.64,872,15.03,352,6.07,210,3.62
鹿児島県,10761,120.91,3236,36.36,3560,40,2183,24.53,1177,13.22,396,4.45,209,2.35
沖縄県,8302,148.25,2074,37.04,1924,34.36,1865,33.3,1051,18.77,746,13.32,642,11.46
,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,10763,3.53,447,0.17,1070,0.34,1277,0.41,2286,0.73,2694,0.86,2989,0.96
北海道,1093,8.41,62,0.59,158,1.16,153,1.13,234,1.72,263,1.93,223,1.66
青森県,68,1.89,7,0.22,13,0.35,12,0.32,8,0.22,15,0.41,13,0.35
岩手県,106,2.72,8,0.21,7,0.18,6,0.15,11,0.28,42,1.08,32,0.82
宮城県,105,1.91,5,0.09,8,0.15,12,0.22,25,0.45,14,0.25,41,0.75
秋田県,46,1.53,5,0.33,5,0.15,7,0.21,14,0.41,9,0.26,6,0.18
山形県,61,2.44,4,0.22,5,0.19,15,0.56,12,0.44,14,0.52,11,0.42
福島県,155,3.23,8,0.16,14,0.29,16,0.33,52,1.06,38,0.79,27,0.56
茨城県,175,2.43,15,0.25,15,0.2,23,0.31,43,0.57,35,0.47,44,0.59
栃木県,199,4.42,11,0.33,19,0.4,35,0.73,40,0.83,47,0.98,47,0.98
群馬県,241,4.82,5,0.14,5,0.09,25,0.47,61,1.15,66,1.25,79,1.49
埼玉県,578,3.83,32,0.36,67,0.41,61,0.37,129,0.79,134,0.82,155,0.95
千葉県,196,1.58,9,0.09,14,0.11,13,0.1,37,0.29,59,0.46,64,0.5
東京都,713,2.82,17,0.08,86,0.33,93,0.35,161,0.61,174,0.66,182,0.69
神奈川県,536,2.49,22,0.15,56,0.24,51,0.22,109,0.48,130,0.57,168,0.73
新潟県,116,2.11,7,0.13,13,0.24,17,0.31,19,0.35,35,0.64,25,0.45
富山県,43,1.54,4,0.14,5,0.17,5,0.17,11,0.38,7,0.24,11,0.38
石川県,104,3.59,3,0.1,10,0.34,10,0.34,26,0.9,34,1.17,21,0.72
福井県,142,5.68,9,0.36,15,0.6,20,0.8,24,0.96,36,1.44,38,1.52
山梨県,44,1.83,0,0,3,0.13,4,0.17,9,0.38,11,0.46,17,0.71
長野県,131,2.57,5,0.13,14,0.26,19,0.35,28,0.52,30,0.56,35,0.66
岐阜県,202,3.81,5,0.09,18,0.34,16,0.3,32,0.6,60,1.13,71,1.34
静岡県,218,2.45,10,0.11,19,0.21,26,0.29,35,0.39,57,0.64,71,0.8
愛知県,386,2.13,18,0.1,50,0.27,34,0.19,67,0.37,90,0.5,127,0.7
三重県,276,6.42,8,0.23,32,0.71,22,0.49,81,1.8,74,1.64,59,1.31
滋賀県,114,3.35,4,0.17,10,0.28,15,0.42,17,0.47,21,0.58,47,1.31
京都府,206,2.82,11,0.16,14,0.19,27,0.36,36,0.49,50,0.67,68,0.91
大阪府,1395,7.23,59,0.31,165,0.85,189,0.98,310,1.61,333,1.73,339,1.76
兵庫県,736,5.94,11,0.1,67,0.52,110,0.86,161,1.26,177,1.38,210,1.64
奈良県,227,7.57,3,0.3,22,0.65,27,0.79,50,1.47,54,1.59,71,2.09
和歌山県,153,5.46,7,0.25,19,0.66,28,0.97,35,1.21,33,1.14,31,1.07
鳥取県,20,1.05,0,0,3,0.16,2,0.11,2,0.11,3,0.16,10,0.53
島根県,61,2.65,0,0,4,0.17,3,0.13,16,0.7,21,0.91,17,0.74
岡山県,69,1.28,2,0.04,4,0.07,6,0.11,22,0.41,16,0.3,19,0.35
広島県,235,3.36,5,0.09,8,0.11,19,0.26,61,0.82,67,0.91,75,1.01
山口県,260,6.05,9,0.21,10,0.23,21,0.49,41,0.95,63,1.47,116,2.7
徳島県,98,4.26,11,0.48,2,0.09,7,0.3,20,0.87,25,1.09,33,1.43
香川県,97,3.46,0,0,7,0.25,7,0.25,27,0.96,33,1.18,23,0.82
愛媛県,132,4,4,0.17,14,0.39,9,0.25,25,0.69,43,1.19,37,1.03
高知県,25,1,0,0,0,0,2,0.08,7,0.28,6,0.24,10,0.4
福岡県,477,4.01,19,0.16,30,0.25,48,0.4,106,0.89,138,1.16,136,1.14
佐賀県,76,3.45,1,0.05,1,0.04,5,0.22,14,0.61,29,1.26,26,1.13
長崎県,57,1.3,2,0.05,10,0.23,5,0.11,8,0.18,16,0.36,16,0.36
熊本県,114,2.33,3,0.06,5,0.1,21,0.43,15,0.31,31,0.62,39,0.78
大分県,71,1.97,4,0.11,4,0.11,8,0.22,5,0.14,20,0.56,30,0.83
宮崎県,80,2.29,0,0,8,0.22,8,0.22,17,0.47,17,0.47,30,0.83
鹿児島県,108,2.12,13,0.25,11,0.22,14,0.27,18,0.35,19,0.37,33,0.65
沖縄県,18,0.56,0,0,1,0.03,1,0.03,5,0.16,5,0.16,6,0.19
,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4942,1.62,311,0.12,987,0.32,710,0.23,1038,0.33,901,0.29,995,0.32
北海道,288,2.22,15,0.14,50,0.37,53,0.39,47,0.35,61,0.45,62,0.46
青森県,84,2.33,11,0.34,22,0.59,13,0.35,13,0.35,8,0.22,17,0.46
岩手県,74,1.9,7,0.18,12,0.31,14,0.36,20,0.51,14,0.36,7,0.18
宮城県,191,3.47,24,0.44,43,0.78,29,0.53,34,0.62,35,0.64,26,0.47
秋田県,38,1.27,0,0,5,0.15,5,0.15,15,0.44,10,0.29,3,0.09
山形県,82,3.28,7,0.39,29,1.07,14,0.52,17,0.63,7,0.26,8,0.31
福島県,125,2.6,18,0.37,24,0.49,12,0.24,24,0.49,22,0.46,25,0.52
茨城県,130,1.81,10,0.16,24,0.32,21,0.28,43,0.57,14,0.19,18,0.24
栃木県,105,2.33,3,0.09,9,0.19,12,0.25,30,0.63,25,0.52,26,0.54
群馬県,78,1.56,7,0.2,21,0.4,10,0.19,10,0.19,11,0.21,19,0.36
埼玉県,232,1.54,17,0.19,38,0.23,46,0.28,42,0.26,41,0.25,48,0.29
千葉県,130,1.05,2,0.02,38,0.3,14,0.11,17,0.13,19,0.15,40,0.31
東京都,211,0.83,12,0.06,34,0.13,27,0.1,47,0.18,54,0.21,37,0.14
神奈川県,145,0.67,7,0.05,25,0.11,23,0.1,33,0.14,26,0.11,31,0.14
新潟県,137,2.49,13,0.24,25,0.45,16,0.29,26,0.47,29,0.53,28,0.51
富山県,102,3.64,1,0.04,13,0.45,9,0.31,29,1,30,1.03,20,0.69
石川県,50,1.72,2,0.07,13,0.45,3,0.1,13,0.45,9,0.31,10,0.34
福井県,51,2.04,5,0.2,5,0.2,7,0.28,11,0.44,14,0.56,9,0.36
山梨県,27,1.13,1,0.04,8,0.33,1,0.04,6,0.25,6,0.25,5,0.21
長野県,59,1.16,4,0.1,9,0.17,5,0.09,12,0.22,11,0.2,18,0.34
岐阜県,51,0.96,4,0.08,21,0.4,8,0.15,8,0.15,6,0.11,4,0.08
静岡県,107,1.2,5,0.06,22,0.25,16,0.18,24,0.27,19,0.21,21,0.24
愛知県,200,1.1,4,0.02,46,0.25,29,0.16,38,0.21,34,0.19,49,0.27
三重県,59,1.37,7,0.2,21,0.47,8,0.18,4,0.09,8,0.18,11,0.24
滋賀県,27,0.79,5,0.21,6,0.17,2,0.06,4,0.11,3,0.08,7,0.19
京都府,260,3.56,5,0.07,41,0.55,33,0.44,58,0.78,60,0.8,63,0.84
大阪府,254,1.32,8,0.04,49,0.25,33,0.17,64,0.33,39,0.2,61,0.32
兵庫県,234,1.89,4,0.04,56,0.44,36,0.28,60,0.47,41,0.32,37,0.29
奈良県,30,1,0,0,8,0.24,4,0.12,7,0.21,3,0.09,8,0.24
和歌山県,26,0.93,2,0.07,2,0.07,5,0.17,5,0.17,4,0.14,8,0.28
鳥取県,28,1.47,1,0.05,6,0.32,3,0.16,8,0.42,5,0.26,5,0.26
島根県,39,1.7,1,0.04,9,0.39,7,0.3,4,0.17,7,0.3,11,0.48
岡山県,44,0.81,2,0.04,10,0.19,7,0.13,6,0.11,8,0.15,11,0.2
広島県,157,2.24,4,0.08,25,0.34,23,0.31,43,0.58,28,0.38,34,0.46
山口県,39,0.91,6,0.14,6,0.14,5,0.12,11,0.26,5,0.12,6,0.14
徳島県,31,1.35,3,0.13,9,0.39,7,0.3,6,0.26,4,0.17,2,0.09
香川県,38,1.36,1,0.04,1,0.04,7,0.25,10,0.36,7,0.25,12,0.43
愛媛県,61,1.85,3,0.13,12,0.33,7,0.19,16,0.44,11,0.31,12,0.33
高知県,13,0.52,0,0,3,0.12,2,0.08,4,0.16,1,0.04,3,0.12
福岡県,254,2.13,32,0.27,46,0.39,38,0.32,49,0.41,50,0.42,39,0.33
佐賀県,52,2.36,1,0.05,10,0.43,9,0.39,11,0.48,13,0.57,8,0.35
長崎県,66,1.5,3,0.07,15,0.34,9,0.2,11,0.25,14,0.32,14,0.32
熊本県,65,1.33,6,0.12,13,0.27,10,0.2,13,0.27,14,0.28,9,0.18
大分県,114,3.17,16,0.44,21,0.58,21,0.58,22,0.61,21,0.58,13,0.36
宮崎県,110,3.14,9,0.27,33,0.92,16,0.44,12,0.33,16,0.44,24,0.67
鹿児島県,216,4.24,13,0.25,40,0.78,29,0.57,45,0.88,27,0.53,62,1.22
沖縄県,28,0.88,0,0,9,0.28,2,0.06,6,0.19,7,0.22,4,0.13
,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,35775,11.73,1609,0.61,5428,1.73,5750,1.84,7415,2.37,7825,2.5,7748,2.48
北海道,2393,18.41,116,1.1,324,2.38,354,2.6,541,3.98,519,3.82,539,4.02
青森県,210,5.83,12,0.38,39,1.05,44,1.19,50,1.35,31,0.84,34,0.92
岩手県,751,19.26,24,0.62,99,2.54,108,2.77,156,4,186,4.77,178,4.56
宮城県,580,10.55,31,0.56,100,1.82,94,1.71,100,1.82,133,2.42,122,2.22
秋田県,173,5.77,1,0.07,21,0.62,35,1.03,30,0.88,45,1.32,41,1.21
山形県,325,13,17,0.94,53,1.96,49,1.81,60,2.22,77,2.85,69,2.65
福島県,469,9.77,39,0.8,57,1.16,70,1.43,93,1.9,111,2.31,99,2.06
茨城県,2069,28.74,179,2.93,429,5.72,323,4.31,398,5.31,338,4.57,402,5.36
栃木県,497,11.04,27,0.82,84,1.75,82,1.71,98,2.04,100,2.08,106,2.21
群馬県,302,6.04,16,0.46,51,0.96,58,1.09,62,1.17,52,0.98,63,1.19
埼玉県,2093,13.86,72,0.8,324,1.98,331,2.02,398,2.43,483,2.95,485,2.98
千葉県,2247,18.12,69,0.66,334,2.61,343,2.68,470,3.67,526,4.11,505,3.95
東京都,2941,11.62,89,0.44,409,1.56,464,1.76,610,2.32,671,2.55,698,2.65
神奈川県,1701,7.91,22,0.15,268,1.17,266,1.17,374,1.63,380,1.67,391,1.71
新潟県,1165,21.18,78,1.42,161,2.93,185,3.36,244,4.44,268,4.87,229,4.16
富山県,682,24.36,18,0.64,104,3.59,120,4.14,155,5.34,147,5.07,138,4.76
石川県,397,13.69,20,0.69,51,1.76,73,2.52,77,2.66,91,3.14,85,2.93
福井県,199,7.96,8,0.32,27,1.08,30,1.2,49,1.96,36,1.44,49,1.96
山梨県,62,2.58,2,0.08,9,0.38,10,0.42,9,0.38,18,0.75,14,0.58
長野県,475,9.31,26,0.65,53,0.98,82,1.52,92,1.7,104,1.93,118,2.23
岐阜県,329,6.21,15,0.28,52,0.98,58,1.09,57,1.08,75,1.42,72,1.36
静岡県,501,5.63,19,0.21,85,0.96,68,0.76,93,1.04,124,1.39,112,1.26
愛知県,1093,6.04,23,0.13,184,1.01,198,1.09,235,1.3,223,1.23,230,1.26
三重県,492,11.44,21,0.6,67,1.49,83,1.84,124,2.76,95,2.11,102,2.27
滋賀県,262,7.71,11,0.46,39,1.08,45,1.25,51,1.42,55,1.53,61,1.69
京都府,619,8.48,40,0.59,109,1.45,103,1.37,132,1.78,136,1.81,99,1.32
大阪府,1314,6.81,46,0.24,190,0.98,202,1.05,292,1.51,292,1.51,292,1.51
兵庫県,895,7.22,15,0.14,157,1.23,128,1,188,1.47,182,1.42,225,1.76
奈良県,190,6.33,2,0.2,31,0.91,34,1,39,1.15,48,1.41,36,1.06
和歌山県,151,5.39,11,0.39,22,0.76,26,0.9,24,0.83,32,1.1,36,1.24
鳥取県,354,18.63,11,0.58,54,2.84,52,2.74,83,4.37,92,4.84,62,3.26
島根県,218,9.48,9,0.39,33,1.43,50,2.17,44,1.91,41,1.78,41,1.78
岡山県,355,6.57,31,0.57,49,0.91,52,0.96,70,1.3,88,1.63,65,1.2
広島県,810,11.57,17,0.32,95,1.28,106,1.43,186,2.51,209,2.82,197,2.66
山口県,749,17.42,56,1.3,120,2.79,117,2.72,155,3.6,143,3.33,158,3.67
徳島県,97,4.22,9,0.39,14,0.61,13,0.57,28,1.22,19,0.83,14,0.61
香川県,286,10.21,16,0.57,43,1.54,68,2.43,54,1.93,59,2.11,46,1.64
愛媛県,615,18.64,26,1.13,81,2.25,94,2.61,117,3.25,144,4,153,4.25
高知県,277,11.08,21,0.84,38,1.52,49,1.96,51,2.04,47,1.88,71,2.84
福岡県,2284,19.19,114,0.96,354,2.97,377,3.17,492,4.13,486,4.08,461,3.87
佐賀県,381,17.32,7,0.33,64,2.78,81,3.52,75,3.26,97,4.22,57,2.48
長崎県,721,16.39,56,1.27,109,2.48,113,2.57,113,2.57,161,3.66,169,3.84
熊本県,703,14.35,39,0.8,95,1.94,90,1.84,142,2.9,171,3.42,166,3.32
大分県,713,19.81,52,1.44,107,2.97,133,3.69,133,3.69,161,4.47,127,3.53
宮崎県,532,15.2,19,0.58,81,2.25,115,3.19,124,3.44,102,2.83,91,2.53
鹿児島県,704,13.8,26,0.51,90,1.76,118,2.31,171,3.35,150,2.94,149,2.92
沖縄県,399,12.47,31,0.97,68,2.13,56,1.75,76,2.38,77,2.41,91,2.84
,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,93593,30.69,2904,1.09,12974,4.14,14167,4.53,18971,6.06,21476,6.86,23101,7.39
北海道,1381,10.62,51,0.49,202,1.49,215,1.58,307,2.26,322,2.37,284,2.12
青森県,655,18.19,19,0.59,100,2.7,95,2.57,143,3.86,162,4.38,136,3.68
岩手県,1216,31.18,62,1.59,173,4.44,165,4.23,284,7.28,250,6.41,282,7.23
宮城県,1086,19.75,48,0.87,167,3.04,147,2.67,213,3.87,222,4.04,289,5.25
秋田県,576,19.2,11,0.73,105,3.09,93,2.74,106,3.12,148,4.35,113,3.32
山形県,432,17.28,15,0.83,65,2.41,88,3.26,73,2.7,92,3.41,99,3.81
福島県,759,15.81,50,1.02,119,2.43,121,2.47,131,2.67,149,3.1,189,3.94
茨城県,2100,29.17,79,1.3,263,3.51,337,4.49,476,6.35,461,6.23,484,6.45
栃木県,1144,25.42,17,0.52,120,2.5,143,2.98,223,4.65,306,6.38,335,6.98
群馬県,1925,38.5,47,1.34,269,5.08,313,5.91,368,6.94,436,8.23,492,9.28
埼玉県,5444,36.05,100,1.11,749,4.57,797,4.86,1124,6.85,1218,7.43,1456,8.93
千葉県,4767,38.44,107,1.03,685,5.35,748,5.84,938,7.33,1140,8.91,1149,8.98
東京都,10264,40.57,174,0.86,1515,5.76,1572,5.98,2097,7.97,2276,8.65,2630,10
神奈川県,6672,31.03,119,0.8,955,4.15,993,4.37,1363,5.95,1569,6.88,1673,7.31
新潟県,930,16.91,9,0.16,90,1.64,139,2.53,211,3.84,254,4.62,227,4.13
富山県,1178,42.07,55,1.96,162,5.59,174,6,232,8,264,9.1,291,10.03
石川県,1325,45.69,55,1.9,202,6.97,236,8.14,263,9.07,319,11,250,8.62
福井県,886,35.44,64,2.56,140,5.6,162,6.48,174,6.96,162,6.48,184,7.36
山梨県,654,27.25,6,0.25,77,3.21,84,3.5,126,5.25,162,6.75,199,8.29
長野県,998,19.57,38,0.95,147,2.72,139,2.57,191,3.54,237,4.39,246,4.64
岐阜県,961,18.13,56,1.06,148,2.79,149,2.81,189,3.57,185,3.49,234,4.42
静岡県,2337,26.26,114,1.28,412,4.63,354,3.98,414,4.65,499,5.61,544,6.11
愛知県,4069,22.48,123,0.68,675,3.71,635,3.51,770,4.25,912,5.04,954,5.24
三重県,1372,31.91,64,1.83,228,5.07,216,4.8,264,5.87,314,6.98,286,6.36
滋賀県,793,23.32,29,1.21,109,3.03,106,2.94,199,5.53,179,4.97,171,4.75
京都府,1660,22.74,46,0.68,226,3.01,233,3.11,346,4.68,369,4.92,440,5.87
大阪府,5780,29.95,142,0.74,780,4.04,885,4.59,1167,6.05,1400,7.25,1406,7.28
兵庫県,4031,32.51,96,0.9,638,4.98,657,5.13,870,6.8,858,6.7,912,7.13
奈良県,1006,33.53,9,0.9,144,4.24,171,5.03,250,7.35,206,6.06,226,6.65
和歌山県,892,31.86,31,1.11,103,3.55,131,4.52,161,5.55,245,8.45,221,7.62
鳥取県,417,21.95,31,1.63,67,3.53,81,4.26,72,3.79,92,4.84,74,3.89
島根県,610,26.52,20,0.87,75,3.26,74,3.22,127,5.52,189,8.22,125,5.43
岡山県,1620,30,119,2.2,215,3.98,265,4.91,296,5.48,332,6.15,393,7.28
広島県,2610,37.29,47,0.89,311,4.2,339,4.58,497,6.72,659,8.91,757,10.23
山口県,1562,36.33,47,1.09,158,3.67,247,5.74,324,7.53,352,8.19,434,10.09
徳島県,558,24.26,34,1.48,87,3.78,89,3.87,98,4.26,119,5.17,131,5.7
香川県,1042,37.21,26,0.93,137,4.89,119,4.25,203,7.25,238,8.5,319,11.39
愛媛県,1451,43.97,71,3.09,219,6.08,192,5.33,253,7.03,315,8.75,401,11.14
高知県,368,14.72,12,0.48,16,0.64,59,2.36,94,3.76,102,4.08,85,3.4
福岡県,4916,41.31,176,1.48,572,4.81,817,6.87,1047,8.8,1162,9.76,1142,9.6
佐賀県,956,43.45,28,1.33,93,4.04,123,5.35,217,9.43,240,10.43,255,11.09
長崎県,1209,27.48,28,0.64,126,2.86,193,4.39,247,5.61,290,6.59,325,7.39
熊本県,2345,47.86,95,1.94,266,5.43,331,6.76,424,8.65,578,11.56,651,13.02
大分県,2769,76.92,131,3.64,349,9.69,354,9.83,611,16.97,667,18.53,657,18.25
宮崎県,1439,41.11,41,1.24,216,6,250,6.94,287,7.97,350,9.72,295,8.19
鹿児島県,1938,38,90,1.76,237,4.65,261,5.12,389,7.63,403,7.9,558,10.94
沖縄県,490,15.31,72,2.25,62,1.94,75,2.34,112,3.5,72,2.25,97,3.03
,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4351,1.43,367,0.14,1101,0.35,570,0.18,812,0.26,594,0.19,907,0.29
北海道,390,3,33,0.31,140,1.03,53,0.39,50,0.37,43,0.32,71,0.53
青森県,54,1.5,1,0.03,13,0.35,10,0.27,14,0.38,5,0.14,11,0.3
岩手県,68,1.74,8,0.21,14,0.36,5,0.13,9,0.23,21,0.54,11,0.28
宮城県,80,1.45,11,0.2,25,0.45,10,0.18,6,0.11,13,0.24,15,0.27
秋田県,37,1.23,3,0.2,9,0.26,6,0.18,8,0.24,3,0.09,8,0.24
山形県,35,1.4,4,0.22,8,0.3,3,0.11,10,0.37,3,0.11,7,0.27
福島県,62,1.29,8,0.16,17,0.35,8,0.16,9,0.18,13,0.27,7,0.15
茨城県,74,1.03,1,0.02,14,0.19,7,0.09,15,0.2,10,0.14,27,0.36
栃木県,42,0.93,3,0.09,10,0.21,7,0.15,7,0.15,8,0.17,7,0.15
群馬県,90,1.8,11,0.31,22,0.42,16,0.3,25,0.47,10,0.19,6,0.11
埼玉県,304,2.01,18,0.2,72,0.44,43,0.26,63,0.38,34,0.21,74,0.45
千葉県,127,1.02,8,0.08,32,0.25,14,0.11,36,0.28,13,0.1,24,0.19
東京都,494,1.95,32,0.16,157,0.6,57,0.22,92,0.35,61,0.23,95,0.36
神奈川県,413,1.92,16,0.11,98,0.43,39,0.17,86,0.38,58,0.25,116,0.51
新潟県,179,3.25,19,0.35,36,0.65,21,0.38,31,0.56,34,0.62,38,0.69
富山県,29,1.04,2,0.07,6,0.21,6,0.21,7,0.24,5,0.17,3,0.1
石川県,107,3.69,5,0.17,35,1.21,15,0.52,20,0.69,15,0.52,17,0.59
福井県,70,2.8,3,0.12,12,0.48,8,0.32,11,0.44,9,0.36,27,1.08
山梨県,13,0.54,1,0.04,4,0.17,2,0.08,2,0.08,2,0.08,2,0.08
長野県,56,1.1,3,0.08,17,0.31,7,0.13,9,0.17,5,0.09,15,0.28
岐阜県,25,0.47,0,0,4,0.08,6,0.11,5,0.09,8,0.15,2,0.04
静岡県,58,0.65,7,0.08,19,0.21,13,0.15,3,0.03,6,0.07,10,0.11
愛知県,87,0.48,11,0.06,21,0.12,18,0.1,14,0.08,12,0.07,11,0.06
三重県,43,1,6,0.17,7,0.16,5,0.11,8,0.18,7,0.16,10,0.22
滋賀県,60,1.76,9,0.38,17,0.47,10,0.28,12,0.33,5,0.14,7,0.19
京都府,58,0.79,1,0.01,18,0.24,8,0.11,15,0.2,4,0.05,12,0.16
大阪府,150,0.78,8,0.04,30,0.16,25,0.13,27,0.14,26,0.13,34,0.18
兵庫県,121,0.98,9,0.08,24,0.19,24,0.19,28,0.22,19,0.15,17,0.13
奈良県,33,1.1,0,0,4,0.12,2,0.06,5,0.15,14,0.41,8,0.24
和歌山県,41,1.46,0,0,9,0.31,4,0.14,12,0.41,3,0.1,13,0.45
