報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,
2025年03週(01月13日～01月19日),2025年01月22日作成,,,,,,,
インフルエンザ,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
福島県,38,0.78,8,0.16,14,0.29,16,0.33
茨城県,53,0.76,15,0.25,15,0.2,23,0.31
栃木県,65,1.51,11,0.33,19,0.4,35,0.73
群馬県,35,0.74,5,0.14,5,0.09,25,0.47
埼玉県,160,1.15,32,0.36,67,0.41,61,0.37
千葉県,36,0.3,9,0.09,14,0.11,13,0.1
東京都,196,0.81,17,0.08,86,0.33,93,0.35
神奈川県,128,0.63,22,0.15,56,0.24,50,0.22
新潟県,37,0.67,7,0.13,13,0.24,17,0.31
富山県,14,0.5,4,0.14,5,0.17,5,0.17
石川県,23,0.79,3,0.1,10,0.34,10,0.34
福井県,44,1.76,9,0.36,15,0.6,20,0.8
山梨県,7,0.29,0,0,3,0.13,4,0.17
長野県,38,0.78,5,0.13,14,0.26,19,0.35
岐阜県,39,0.74,5,0.09,18,0.34,16,0.3
静岡県,55,0.62,10,0.11,19,0.21,26,0.29
愛知県,102,0.56,18,0.1,50,0.27,34,0.19
三重県,62,1.51,8,0.23,32,0.71,22,0.49
滋賀県,29,0.91,4,0.17,10,0.28,15,0.42
京都府,52,0.72,11,0.16,14,0.19,27,0.36
大阪府,413,2.14,59,0.31,165,0.85,189,0.98
兵庫県,188,1.55,11,0.1,67,0.52,110,0.86
奈良県,52,2,3,0.3,22,0.65,27,0.79
和歌山県,54,1.93,7,0.25,19,0.66,28,0.97
鳥取県,5,0.26,0,0,3,0.16,2,0.11
島根県,7,0.3,0,0,4,0.17,3,0.13
岡山県,12,0.22,2,0.04,4,0.07,6,0.11
広島県,32,0.48,5,0.09,8,0.11,19,0.26
山口県,40,0.93,9,0.21,10,0.23,21,0.49
徳島県,20,0.87,11,0.48,2,0.09,7,0.3
香川県,14,0.5,0,0,7,0.25,7,0.25
愛媛県,27,0.87,4,0.17,14,0.39,9,0.25
高知県,2,0.08,0,0,0,0,2,0.08
福岡県,94,0.79,19,0.16,30,0.25,45,0.38
佐賀県,7,0.32,1,0.05,1,0.04,5,0.22
長崎県,17,0.39,2,0.05,10,0.23,5,0.11
熊本県,29,0.59,3,0.06,5,0.1,21,0.43
大分県,16,0.44,4,0.11,4,0.11,8,0.22
宮崎県,16,0.46,0,0,8,0.22,8,0.22
鹿児島県,38,0.75,13,0.25,11,0.22,14,0.27
沖縄県,2,0.06,0,0,1,0.03,1,0.03
,,,,,,,,
咽頭結膜熱,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,2008,0.68,311,0.12,987,0.32,710,0.23
北海道,118,0.94,15,0.14,50,0.37,53,0.39
青森県,46,1.31,11,0.34,22,0.59,13,0.35
岩手県,33,0.85,7,0.18,12,0.31,14,0.36
宮城県,96,1.75,24,0.44,43,0.78,29,0.53
秋田県,10,0.37,0,0,5,0.15,5,0.15
山形県,50,2.08,7,0.39,29,1.07,14,0.52
福島県,54,1.1,18,0.37,24,0.49,12,0.24
茨城県,55,0.79,10,0.16,24,0.32,21,0.28
栃木県,24,0.56,3,0.09,9,0.19,12,0.25
群馬県,38,0.81,7,0.2,21,0.4,10,0.19
埼玉県,101,0.73,17,0.19,38,0.23,46,0.28
千葉県,54,0.45,2,0.02,38,0.3,14,0.11
東京都,73,0.3,12,0.06,34,0.13,27,0.1
神奈川県,55,0.27,7,0.05,25,0.11,23,0.1
新潟県,54,0.98,13,0.24,25,0.45,16,0.29
富山県,23,0.82,1,0.04,13,0.45,9,0.31
石川県,18,0.62,2,0.07,13,0.45,3,0.1
福井県,17,0.68,5,0.2,5,0.2,7,0.28
山梨県,10,0.42,1,0.04,8,0.33,1,0.04
長野県,18,0.37,4,0.1,9,0.17,5,0.09
岐阜県,33,0.62,4,0.08,21,0.4,8,0.15
静岡県,43,0.48,5,0.06,22,0.25,16,0.18
愛知県,79,0.43,4,0.02,46,0.25,29,0.16
三重県,36,0.88,7,0.2,21,0.47,8,0.18
滋賀県,13,0.41,5,0.21,6,0.17,2,0.06
京都府,79,1.1,5,0.07,41,0.55,33,0.44
大阪府,90,0.47,8,0.04,49,0.25,33,0.17
兵庫県,96,0.79,4,0.04,56,0.44,36,0.28
奈良県,12,0.46,0,0,8,0.24,4,0.12
和歌山県,9,0.32,2,0.07,2,0.07,5,0.17
鳥取県,10,0.53,1,0.05,6,0.32,3,0.16
島根県,17,0.74,1,0.04,9,0.39,7,0.3
岡山県,19,0.35,2,0.04,10,0.19,7,0.13
広島県,52,0.78,4,0.08,25,0.34,23,0.31
山口県,17,0.4,6,0.14,6,0.14,5,0.12
徳島県,19,0.83,3,0.13,9,0.39,7,0.3
香川県,9,0.32,1,0.04,1,0.04,7,0.25
愛媛県,22,0.71,3,0.13,12,0.33,7,0.19
高知県,5,0.2,0,0,3,0.12,2,0.08
福岡県,116,0.97,32,0.27,46,0.39,38,0.32
佐賀県,20,0.91,1,0.05,10,0.43,9,0.39
長崎県,27,0.61,3,0.07,15,0.34,9,0.2
熊本県,29,0.59,6,0.12,13,0.27,10,0.2
大分県,58,1.61,16,0.44,21,0.58,21,0.58
宮崎県,58,1.66,9,0.27,33,0.92,16,0.44
鹿児島県,82,1.61,13,0.25,40,0.78,29,0.57
沖縄県,11,0.34,0,0,9,0.28,2,0.06
,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,12787,4.3,1609,0.61,5428,1.73,5750,1.84
北海道,794,6.35,116,1.1,324,2.38,354,2.6
青森県,95,2.71,12,0.38,39,1.05,44,1.19
岩手県,231,5.92,24,0.62,99,2.54,108,2.77
宮城県,225,4.09,31,0.56,100,1.82,94,1.71
秋田県,57,2.11,1,0.07,21,0.62,35,1.03
山形県,119,4.96,17,0.94,53,1.96,49,1.81
福島県,166,3.39,39,0.8,57,1.16,70,1.43
茨城県,931,13.3,179,2.93,429,5.72,323,4.31
栃木県,193,4.49,27,0.82,84,1.75,82,1.71
群馬県,125,2.66,16,0.46,51,0.96,58,1.09
埼玉県,727,5.23,72,0.8,324,1.98,331,2.02
千葉県,746,6.22,69,0.66,334,2.61,343,2.68
東京都,962,3.96,89,0.44,409,1.56,464,1.76
神奈川県,556,2.75,22,0.15,268,1.17,266,1.17
新潟県,424,7.71,78,1.42,161,2.93,185,3.36
富山県,242,8.64,18,0.64,104,3.59,120,4.14
石川県,144,4.97,20,0.69,51,1.76,73,2.52
福井県,65,2.6,8,0.32,27,1.08,30,1.2
山梨県,21,0.88,2,0.08,9,0.38,10,0.42
長野県,161,3.29,26,0.65,53,0.98,82,1.52
岐阜県,125,2.36,15,0.28,52,0.98,58,1.09
静岡県,172,1.93,19,0.21,85,0.96,68,0.76
愛知県,405,2.23,23,0.13,184,1.01,198,1.09
三重県,171,4.17,21,0.6,67,1.49,83,1.84
滋賀県,95,2.97,11,0.46,39,1.08,45,1.25
京都府,252,3.5,40,0.59,109,1.45,103,1.37
大阪府,438,2.27,46,0.24,190,0.98,202,1.05
兵庫県,300,2.48,15,0.14,157,1.23,128,1
奈良県,67,2.58,2,0.2,31,0.91,34,1
和歌山県,59,2.11,11,0.39,22,0.76,26,0.9
鳥取県,117,6.16,11,0.58,54,2.84,52,2.74
島根県,92,4,9,0.39,33,1.43,50,2.17
岡山県,132,2.44,31,0.57,49,0.91,52,0.96
広島県,218,3.25,17,0.32,95,1.28,106,1.43
山口県,293,6.81,56,1.3,120,2.79,117,2.72
徳島県,36,1.57,9,0.39,14,0.61,13,0.57
香川県,127,4.54,16,0.57,43,1.54,68,2.43
愛媛県,201,6.48,26,1.13,81,2.25,94,2.61
高知県,108,4.32,21,0.84,38,1.52,49,1.96
福岡県,845,7.1,114,0.96,354,2.97,377,3.17
佐賀県,152,6.91,7,0.33,64,2.78,81,3.52
長崎県,278,6.32,56,1.27,109,2.48,113,2.57
熊本県,224,4.57,39,0.8,95,1.94,90,1.84
大分県,292,8.11,52,1.44,107,2.97,133,3.69
宮崎県,215,6.14,19,0.58,81,2.25,115,3.19
鹿児島県,234,4.59,26,0.51,90,1.76,118,2.31
沖縄県,155,4.84,31,0.97,68,2.13,56,1.75
,,,,,,,,
感染性胃腸炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,30012,10.1,2904,1.09,12974,4.14,14134,4.52
北海道,468,3.74,51,0.49,202,1.49,215,1.58
青森県,214,6.11,19,0.59,100,2.7,95,2.57
岩手県,400,10.26,62,1.59,173,4.44,165,4.23
宮城県,362,6.58,48,0.87,167,3.04,147,2.67
秋田県,209,7.74,11,0.73,105,3.09,93,2.74
山形県,168,7,15,0.83,65,2.41,88,3.26
福島県,290,5.92,50,1.02,119,2.43,121,2.47
茨城県,679,9.7,79,1.3,263,3.51,337,4.49
栃木県,280,6.51,17,0.52,120,2.5,143,2.98
群馬県,629,13.38,47,1.34,269,5.08,313,5.91
埼玉県,1646,11.84,100,1.11,749,4.57,797,4.86
千葉県,1540,12.83,107,1.03,685,5.35,748,5.84
東京都,3261,13.42,174,0.86,1515,5.76,1572,5.98
神奈川県,2064,10.22,119,0.8,955,4.15,990,4.36
新潟県,238,4.33,9,0.16,90,1.64,139,2.53
富山県,391,13.96,55,1.96,162,5.59,174,6
石川県,493,17,55,1.9,202,6.97,236,8.14
福井県,366,14.64,64,2.56,140,5.6,162,6.48
山梨県,167,6.96,6,0.25,77,3.21,84,3.5
長野県,324,6.61,38,0.95,147,2.72,139,2.57
岐阜県,347,6.55,56,1.06,148,2.79,143,2.7
静岡県,880,9.89,114,1.28,412,4.63,354,3.98
愛知県,1433,7.87,123,0.68,675,3.71,635,3.49
三重県,508,12.39,64,1.83,228,5.07,216,4.8
滋賀県,244,7.63,29,1.21,109,3.03,106,2.94
京都府,505,7.01,46,0.68,226,3.01,233,3.11
大阪府,1807,9.36,142,0.74,780,4.04,885,4.59
兵庫県,1391,11.5,96,0.9,638,4.98,657,5.13
奈良県,324,12.46,9,0.9,144,4.24,171,5.03
和歌山県,265,9.46,31,1.11,103,3.55,131,4.52
鳥取県,179,9.42,31,1.63,67,3.53,81,4.26
島根県,169,7.35,20,0.87,75,3.26,74,3.22
岡山県,599,11.09,119,2.2,215,3.98,265,4.91
広島県,697,10.4,47,0.89,311,4.2,339,4.58
山口県,452,10.51,47,1.09,158,3.67,247,5.74
徳島県,210,9.13,34,1.48,87,3.78,89,3.87
香川県,282,10.07,26,0.93,137,4.89,119,4.25
愛媛県,482,15.55,71,3.09,219,6.08,192,5.33
高知県,87,3.48,12,0.48,16,0.64,59,2.36
福岡県,1541,12.95,176,1.48,572,4.81,793,6.66
佐賀県,244,11.09,28,1.33,93,4.04,123,5.35
長崎県,347,7.89,28,0.64,126,2.86,193,4.39
熊本県,692,14.12,95,1.94,266,5.43,331,6.76
大分県,834,23.17,131,3.64,349,9.69,354,9.83
宮崎県,507,14.49,41,1.24,216,6,250,6.94
鹿児島県,588,11.53,90,1.76,237,4.65,261,5.12
沖縄県,209,6.53,72,2.25,62,1.94,75,2.34
,,,,,,,,
水痘,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,2044,0.69,367,0.14,1101,0.35,576,0.18
北海道,226,1.81,33,0.31,140,1.03,53,0.39
青森県,24,0.69,1,0.03,13,0.35,10,0.27
岩手県,27,0.69,8,0.21,14,0.36,5,0.13
宮城県,46,0.84,11,0.2,25,0.45,10,0.18
秋田県,18,0.67,3,0.2,9,0.26,6,0.18
山形県,15,0.63,4,0.22,8,0.3,3,0.11
福島県,33,0.67,8,0.16,17,0.35,8,0.16
茨城県,22,0.31,1,0.02,14,0.19,7,0.09
栃木県,20,0.47,3,0.09,10,0.21,7,0.15
群馬県,49,1.04,11,0.31,22,0.42,16,0.3
埼玉県,133,0.96,18,0.2,72,0.44,43,0.26
千葉県,54,0.45,8,0.08,32,0.25,14,0.11
東京都,246,1.01,32,0.16,157,0.6,57,0.22
神奈川県,153,0.76,16,0.11,98,0.43,39,0.17
新潟県,76,1.38,19,0.35,36,0.65,21,0.38
富山県,14,0.5,2,0.07,6,0.21,6,0.21
石川県,55,1.9,5,0.17,35,1.21,15,0.52
福井県,23,0.92,3,0.12,12,0.48,8,0.32
山梨県,7,0.29,1,0.04,4,0.17,2,0.08
長野県,27,0.55,3,0.08,17,0.31,7,0.13
岐阜県,16,0.3,0,0,4,0.08,12,0.23
静岡県,39,0.44,7,0.08,19,0.21,13,0.15
愛知県,50,0.27,11,0.06,21,0.12,18,0.1
三重県,18,0.44,6,0.17,7,0.16,5,0.11
滋賀県,36,1.13,9,0.38,17,0.47,10,0.28
京都府,27,0.38,1,0.01,18,0.24,8,0.11
大阪府,63,0.33,8,0.04,30,0.16,25,0.13
兵庫県,57,0.47,9,0.08,24,0.19,24,0.19
奈良県,6,0.23,0,0,4,0.12,2,0.06
和歌山県,13,0.46,0,0,9,0.31,4,0.14
鳥取県,11,0.58,3,0.16,5,0.26,3,0.16
島根県,7,0.3,0,0,4,0.17,3,0.13
岡山県,20,0.37,4,0.07,8,0.15,8,0.15
広島県,26,0.39,7,0.13,17,0.23,2,0.03
山口県,10,0.23,2,0.05,5,0.12,3,0.07
徳島県,2,0.09,1,0.04,1,0.04,0,0
香川県,14,0.5,2,0.07,8,0.29,4,0.14
愛媛県,8,0.26,3,0.13,4,0.11,1,0.03
高知県,9,0.36,2,0.08,5,0.2,2,0.08
福岡県,134,1.13,43,0.36,55,0.46,36,0.3
佐賀県,12,0.55,1,0.05,4,0.17,7,0.3
長崎県,36,0.82,12,0.27,18,0.41,6,0.14
熊本県,38,0.78,14,0.29,18,0.37,6,0.12
大分県,13,0.36,1,0.03,8,0.22,4,0.11
宮崎県,22,0.63,6,0.18,6,0.17,10,0.28
鹿児島県,40,0.78,14,0.27,15,0.29,11,0.22
沖縄県,49,1.53,11,0.34,26,0.81,12,0.38
,,,,,,,,
手足口病,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,1106,0.37,233,0.09,517,0.17,356,0.11
北海道,106,0.85,25,0.24,46,0.34,35,0.26
青森県,13,0.37,1,0.03,9,0.24,3,0.08
岩手県,35,0.9,11,0.28,16,0.41,8,0.21
宮城県,28,0.51,2,0.04,18,0.33,8,0.15
秋田県,21,0.78,5,0.33,9,0.26,7,0.21
山形県,45,1.88,7,0.39,17,0.63,21,0.78
福島県,23,0.47,6,0.12,11,0.22,6,0.12
茨城県,23,0.33,13,0.21,8,0.11,2,0.03
栃木県,24,0.56,10,0.3,8,0.17,6,0.13
群馬県,15,0.32,2,0.06,8,0.15,5,0.09
埼玉県,71,0.51,11,0.12,44,0.27,16,0.1
千葉県,36,0.3,8,0.08,17,0.13,11,0.09
東京都,65,0.27,11,0.05,35,0.13,19,0.07
神奈川県,61,0.3,11,0.07,26,0.11,24,0.11
新潟県,35,0.64,4,0.07,19,0.35,12,0.22
富山県,4,0.14,0,0,2,0.07,2,0.07
石川県,1,0.03,0,0,0,0,1,0.03
福井県,9,0.36,0,0,6,0.24,3,0.12
山梨県,10,0.42,2,0.08,6,0.25,2,0.08
長野県,46,0.94,8,0.2,22,0.41,16,0.3
岐阜県,5,0.09,0,0,1,0.02,4,0.08
静岡県,4,0.04,0,0,3,0.03,1,0.01
愛知県,12,0.07,0,0,9,0.05,3,0.02
三重県,3,0.07,1,0.03,2,0.04,0,0
滋賀県,5,0.16,1,0.04,3,0.08,1,0.03
京都府,7,0.1,0,0,5,0.07,2,0.03
大阪府,47,0.24,6,0.03,26,0.13,15,0.08
兵庫県,29,0.24,3,0.03,12,0.09,14,0.11
奈良県,7,0.27,0,0,5,0.15,2,0.06
和歌山県,11,0.39,2,0.07,5,0.17,4,0.14
鳥取県,5,0.26,1,0.05,1,0.05,3,0.16
島根県,3,0.13,0,0,2,0.09,1,0.04
岡山県,10,0.19,4,0.07,5,0.09,1,0.02
広島県,22,0.33,4,0.08,3,0.04,15,0.2
山口県,10,0.23,4,0.09,4,0.09,2,0.05
徳島県,18,0.78,0,0,8,0.35,10,0.43
香川県,8,0.29,5,0.18,3,0.11,0,0
愛媛県,11,0.35,0,0,9,0.25,2,0.06
高知県,19,0.76,2,0.08,8,0.32,9,0.36
福岡県,34,0.29,6,0.05,12,0.1,16,0.13
佐賀県,6,0.27,1,0.05,3,0.13,2,0.09
長崎県,26,0.59,6,0.14,10,0.23,10,0.23
熊本県,31,0.63,9,0.18,16,0.33,6,0.12
大分県,20,0.56,11,0.31,6,0.17,3,0.08
宮崎県,13,0.37,1,0.03,4,0.11,8,0.22
鹿児島県,59,1.16,26,0.51,23,0.45,10,0.2
沖縄県,10,0.31,3,0.09,2,0.06,5,0.16
,,,,,,,,
伝染性紅斑,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,6342,2.13,429,0.16,2934,0.94,2979,0.95
北海道,151,1.21,6,0.06,65,0.48,80,0.59
青森県,253,7.23,12,0.38,131,3.54,110,2.97
岩手県,90,2.31,10,0.26,41,1.05,39,1
宮城県,221,4.02,19,0.35,104,1.89,98,1.78
秋田県,5,0.19,0,0,1,0.03,4,0.12
山形県,48,2,7,0.39,16,0.59,25,0.93
福島県,241,4.92,11,0.22,111,2.27,119,2.43
茨城県,123,1.76,6,0.1,61,0.81,56,0.75
栃木県,210,4.88,14,0.42,98,2.04,98,2.04
群馬県,79,1.68,8,0.23,36,0.68,35,0.66
埼玉県,1037,7.46,71,0.79,464,2.83,502,3.06
千葉県,723,6.03,44,0.42,346,2.7,333,2.6
東京都,1327,5.46,77,0.38,640,2.43,610,2.32
神奈川県,771,3.82,52,0.35,364,1.58,355,1.56
新潟県,93,1.69,4,0.07,46,0.84,43,0.78
富山県,21,0.75,1,0.04,3,0.1,17,0.59
石川県,25,0.86,2,0.07,14,0.48,9,0.31
福井県,6,0.24,1,0.04,0,0,5,0.2
山梨県,24,1,5,0.21,7,0.29,12,0.5
長野県,127,2.59,15,0.38,49,0.91,63,1.17
岐阜県,12,0.23,1,0.02,4,0.08,7,0.13
静岡県,84,0.94,5,0.06,34,0.38,45,0.51
愛知県,42,0.23,2,0.01,20,0.11,20,0.11
三重県,13,0.32,2,0.06,7,0.16,4,0.09
滋賀県,24,0.75,0,0,11,0.31,13,0.36
京都府,100,1.39,6,0.09,39,0.52,55,0.73
大阪府,61,0.32,2,0.01,26,0.13,33,0.17
兵庫県,69,0.57,3,0.03,32,0.25,34,0.27
奈良県,19,0.73,0,0,7,0.21,12,0.35
和歌山県,4,0.14,2,0.07,1,0.03,1,0.03
鳥取県,29,1.53,4,0.21,10,0.53,15,0.79
島根県,6,0.26,0,0,2,0.09,4,0.17
岡山県,10,0.19,2,0.04,4,0.07,4,0.07
広島県,13,0.19,1,0.02,9,0.12,3,0.04
山口県,24,0.56,4,0.09,11,0.26,9,0.21
徳島県,10,0.43,1,0.04,6,0.26,3,0.13
香川県,9,0.32,2,0.07,3,0.11,4,0.14
愛媛県,6,0.19,0,0,2,0.06,4,0.11
高知県,46,1.84,5,0.2,23,0.92,18,0.72
福岡県,49,0.41,8,0.07,24,0.2,17,0.14
佐賀県,3,0.14,0,0,3,0.13,0,0
長崎県,37,0.84,4,0.09,12,0.27,21,0.48
熊本県,18,0.37,3,0.06,8,0.16,7,0.14
大分県,8,0.22,0,0,7,0.19,1,0.03
宮崎県,37,1.06,5,0.15,17,0.47,15,0.42
鹿児島県,10,0.2,1,0.02,4,0.08,5,0.1
沖縄県,24,0.75,1,0.03,11,0.34,12,0.38
,,,,,,,,
突発性発しん,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,1352,0.45,139,0.05,635,0.2,578,0.18
北海道,45,0.36,2,0.02,19,0.14,24,0.18
青森県,19,0.54,1,0.03,6,0.16,12,0.32
岩手県,15,0.38,2,0.05,6,0.15,7,0.18
宮城県,29,0.53,5,0.09,12,0.22,12,0.22
秋田県,5,0.19,0,0,3,0.09,2,0.06
山形県,20,0.83,3,0.17,9,0.33,8,0.3
福島県,25,0.51,3,0.06,16,0.33,6,0.12
茨城県,20,0.29,4,0.07,8,0.11,8,0.11
栃木県,33,0.77,6,0.18,13,0.27,14,0.29
群馬県,21,0.45,3,0.09,9,0.17,9,0.17
埼玉県,63,0.45,6,0.07,25,0.15,32,0.2
千葉県,50,0.42,4,0.04,27,0.21,19,0.15
東京都,120,0.49,9,0.04,58,0.22,53,0.2
神奈川県,74,0.37,4,0.03,32,0.14,38,0.17
新潟県,26,0.47,3,0.05,11,0.2,12,0.22
富山県,16,0.57,2,0.07,8,0.28,6,0.21
石川県,10,0.34,1,0.03,4,0.14,5,0.17
福井県,9,0.36,1,0.04,4,0.16,4,0.16
山梨県,3,0.13,0,0,1,0.04,2,0.08
長野県,20,0.41,2,0.05,9,0.17,9,0.17
岐阜県,28,0.53,4,0.08,17,0.32,7,0.13
静岡県,37,0.42,3,0.03,16,0.18,18,0.2
愛知県,39,0.21,3,0.02,16,0.09,20,0.11
三重県,29,0.71,2,0.06,15,0.33,12,0.27
滋賀県,8,0.25,0,0,7,0.19,1,0.03
京都府,24,0.33,0,0,11,0.15,13,0.17
大阪府,73,0.38,6,0.03,36,0.19,31,0.16
兵庫県,43,0.36,5,0.05,23,0.18,15,0.12
奈良県,13,0.5,0,0,8,0.24,5,0.15
和歌山県,12,0.43,1,0.04,8,0.28,3,0.1
鳥取県,5,0.26,0,0,3,0.16,2,0.11
島根県,14,0.61,2,0.09,6,0.26,6,0.26
岡山県,33,0.61,7,0.13,14,0.26,12,0.22
広島県,27,0.4,1,0.02,14,0.19,12,0.16
山口県,33,0.77,4,0.09,16,0.37,13,0.3
徳島県,9,0.39,2,0.09,5,0.22,2,0.09
香川県,14,0.5,3,0.11,7,0.25,4,0.14
愛媛県,25,0.81,2,0.09,12,0.33,11,0.31
高知県,11,0.44,1,0.04,6,0.24,4,0.16
福岡県,74,0.62,8,0.07,32,0.27,34,0.29
佐賀県,18,0.82,5,0.24,10,0.43,3,0.13
長崎県,19,0.43,3,0.07,6,0.14,10,0.23
熊本県,36,0.73,4,0.08,19,0.39,13,0.27
大分県,37,1.03,4,0.11,13,0.36,20,0.56
宮崎県,32,0.91,4,0.12,15,0.42,13,0.36
鹿児島県,20,0.39,1,0.02,11,0.22,8,0.16
沖縄県,16,0.5,3,0.09,9,0.28,4,0.13
,,,,,,,,
ヘルパンギーナ,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,69,0.02,10,0,30,0.01,29,0.01
北海道,9,0.07,0,0,6,0.04,3,0.02
青森県,1,0.03,0,0,1,0.03,0,0
岩手県,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0
山形県,1,0.04,0,0,1,0.04,0,0
福島県,0,0,0,0,0,0,0,0
茨城県,2,0.03,2,0.03,0,0,0,0
栃木県,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0
埼玉県,4,0.03,1,0.01,0,0,3,0.02
千葉県,3,0.03,0,0,1,0.01,2,0.02
東京都,6,0.02,0,0,3,0.01,3,0.01
神奈川県,3,0.01,0,0,3,0.01,0,0
新潟県,2,0.04,1,0.02,1,0.02,0,0
富山県,2,0.07,1,0.04,0,0,1,0.03
石川県,1,0.03,0,0,1,0.03,0,0
