報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,
2024年07週(02月12日～02月18日),2024年02月21日作成,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
兵庫県,26911,135.91,1962,9.91,2263,11.43,3858,19.48,4407,22.26,5160,26.06,5280,26.67,3981,20.11
奈良県,8586,159,454,8.25,750,13.64,1202,21.85,1428,25.96,1729,31.44,1792,32.58,1231,22.8
和歌山県,5451,111.24,521,10.63,596,12.16,759,15.49,796,16.24,975,19.9,923,18.84,881,17.98
鳥取県,2170,74.83,408,14.07,335,11.55,254,8.76,288,9.93,267,9.21,343,11.83,275,9.48
島根県,2220,58.42,443,11.66,277,7.29,324,8.53,246,6.47,380,10,304,8,246,6.47
岡山県,8558,101.88,922,10.98,882,10.5,1057,12.58,1144,13.62,1526,18.17,1565,18.63,1462,17.4
広島県,11101,99.12,1226,10.85,1030,9.2,1260,11.15,1384,12.25,1837,16.4,2251,20.28,2113,18.87
山口県,8104,120.96,752,11.22,995,14.85,1164,17.37,1031,15.39,1322,19.73,1557,23.24,1283,19.15
徳島県,3804,102.81,503,13.59,492,13.3,576,15.57,617,16.68,610,16.49,496,13.41,510,13.78
香川県,3828,81.45,651,13.85,446,9.49,624,13.28,448,9.53,624,13.28,498,10.6,537,11.43
愛媛県,6701,111.68,588,9.97,876,14.36,1228,20.13,1106,18.13,1144,18.75,901,14.77,858,14.07
高知県,4740,107.73,721,16.39,640,14.55,553,12.57,534,12.14,806,18.32,816,18.55,670,15.23
福岡県,48649,245.7,3504,17.7,3189,16.11,5159,26.06,6914,34.92,11359,57.37,11184,56.48,7340,37.07
佐賀県,6830,175.13,487,12.49,513,13.15,857,21.97,873,22.38,1572,40.31,1488,38.15,1040,26.67
長崎県,10276,146.8,1186,16.94,1107,15.81,1372,19.6,1190,17,1868,26.69,1961,28.01,1592,22.74
熊本県,13861,173.26,1275,15.94,1370,17.13,1669,20.86,1862,23.28,2506,31.33,2786,34.83,2393,29.91
大分県,10242,176.59,1114,19.21,1075,18.53,1203,20.74,1215,20.95,1876,32.34,1992,34.34,1767,30.47
宮崎県,11950,206.03,1511,26.05,1328,22.9,1613,27.81,1732,29.86,2270,39.14,1961,33.81,1535,26.47
鹿児島県,11810,132.7,1325,14.89,1523,17.11,1818,20.43,1378,15.48,1960,22.02,2023,22.73,1783,20.03
沖縄県,11026,204.19,1018,18.85,1195,22.13,1746,32.33,1719,31.83,2214,41,1604,29.7,1530,28.33
,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2204,0.7,131,0.04,198,0.06,235,0.08,358,0.11,380,0.12,438,0.14,464,0.15
北海道,517,3.75,47,0.35,59,0.42,60,0.43,80,0.58,102,0.73,80,0.58,89,0.64
青森県,6,0.16,1,0.03,1,0.03,2,0.05,0,0,2,0.05,0,0,0,0
岩手県,27,0.71,1,0.03,6,0.15,4,0.1,8,0.21,6,0.15,0,0,2,0.05
宮城県,36,0.65,2,0.04,2,0.04,4,0.07,4,0.07,9,0.16,6,0.11,9,0.16
秋田県,5,0.16,0,0,1,0.03,0,0,0,0,1,0.03,1,0.03,2,0.06
山形県,10,0.36,2,0.07,0,0,1,0.04,2,0.07,1,0.04,2,0.07,2,0.07
福島県,108,2.2,6,0.12,5,0.1,14,0.29,32,0.65,9,0.18,21,0.43,21,0.43
茨城県,30,0.4,6,0.08,1,0.01,0,0,7,0.09,5,0.07,7,0.09,4,0.05
栃木県,59,1.23,1,0.02,3,0.06,3,0.06,12,0.25,13,0.27,14,0.29,13,0.27
群馬県,21,0.4,0,0,2,0.04,1,0.02,3,0.06,5,0.09,3,0.06,7,0.13
埼玉県,91,0.56,2,0.01,7,0.04,8,0.05,13,0.08,13,0.08,22,0.13,26,0.16
千葉県,115,0.92,8,0.06,4,0.03,1,0.01,32,0.26,21,0.17,30,0.24,19,0.15
東京都,88,0.34,3,0.01,5,0.02,6,0.02,11,0.04,16,0.06,20,0.08,27,0.1
神奈川県,46,0.2,1,0,15,0.07,5,0.02,6,0.03,5,0.02,4,0.02,10,0.04
新潟県,16,0.29,2,0.04,2,0.04,1,0.02,4,0.07,1,0.02,3,0.05,3,0.05
富山県,22,0.76,1,0.03,8,0.28,1,0.03,3,0.1,1,0.03,5,0.17,3,0.1
石川県,10,0.37,2,0.07,3,0.11,0,0,0,0,1,0.04,3,0.11,1,0.03
福井県,33,1.32,1,0.04,3,0.12,7,0.28,10,0.4,5,0.2,1,0.04,6,0.24
山梨県,4,0.17,0,0,1,0.04,2,0.08,1,0.04,0,0,0,0,0,0
長野県,37,0.69,0,0,6,0.11,5,0.09,7,0.13,6,0.11,7,0.13,6,0.11
岐阜県,40,0.75,3,0.06,2,0.04,2,0.04,3,0.06,6,0.11,15,0.28,9,0.17
静岡県,18,0.2,2,0.02,0,0,4,0.04,3,0.03,3,0.03,2,0.02,4,0.04
愛知県,31,0.17,1,0.01,1,0.01,5,0.03,2,0.01,3,0.02,9,0.05,10,0.05
三重県,10,0.22,1,0.02,0,0,2,0.04,1,0.02,0,0,4,0.09,2,0.04
滋賀県,9,0.26,1,0.03,1,0.03,1,0.03,1,0.03,2,0.06,2,0.06,1,0.03
京都府,41,0.55,3,0.04,0,0,5,0.07,4,0.05,4,0.05,18,0.24,7,0.09
大阪府,317,1.61,19,0.1,21,0.11,29,0.15,53,0.27,52,0.26,68,0.34,75,0.38
兵庫県,74,0.58,2,0.02,3,0.02,10,0.08,10,0.08,19,0.15,11,0.09,19,0.15
奈良県,18,0.55,0,0,2,0.06,1,0.03,2,0.06,3,0.09,8,0.24,2,0.06
和歌山県,54,1.8,0,0,2,0.07,8,0.27,9,0.3,11,0.37,12,0.4,12,0.4
鳥取県,10,0.53,0,0,1,0.05,1,0.05,1,0.05,2,0.11,2,0.11,3,0.16
島根県,11,0.48,0,0,1,0.04,1,0.04,2,0.09,0,0,4,0.17,3,0.13
岡山県,11,0.2,2,0.04,1,0.02,1,0.02,3,0.06,1,0.02,1,0.02,2,0.04
広島県,46,0.67,1,0.01,4,0.06,7,0.1,5,0.07,9,0.13,10,0.15,10,0.14
山口県,10,0.23,0,0,0,0,0,0,2,0.05,1,0.02,3,0.07,4,0.09
徳島県,4,0.17,0,0,1,0.04,0,0,0,0,0,0,1,0.04,2,0.09
香川県,10,0.36,0,0,1,0.04,0,0,2,0.07,4,0.14,1,0.04,2,0.07
愛媛県,11,0.31,0,0,0,0,2,0.05,2,0.05,3,0.08,1,0.03,3,0.08
高知県,2,0.08,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04
福岡県,59,0.49,0,0,6,0.05,8,0.07,3,0.03,11,0.09,12,0.1,19,0.16
佐賀県,13,0.57,0,0,5,0.22,0,0,2,0.09,1,0.04,2,0.09,3,0.13
長崎県,7,0.16,0,0,3,0.07,0,0,0,0,3,0.07,1,0.02,0,0
熊本県,13,0.26,0,0,0,0,0,0,1,0.02,2,0.04,5,0.1,5,0.1
大分県,9,0.25,3,0.08,0,0,0,0,0,0,1,0.03,3,0.08,2,0.06
宮崎県,13,0.36,2,0.06,4,0.11,1,0.03,3,0.08,1,0.03,1,0.03,1,0.03
鹿児島県,45,0.88,0,0,3,0.06,9,0.18,6,0.12,9,0.18,8,0.16,10,0.2
沖縄県,37,1.19,5,0.16,2,0.06,13,0.42,3,0.1,7,0.23,4,0.13,3,0.1
,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,26730,8.55,4524,1.46,4526,1.44,4001,1.28,3881,1.24,3602,1.15,3345,1.07,2851,0.91
北海道,2940,21.3,511,3.81,469,3.37,464,3.34,413,2.97,394,2.83,364,2.62,325,2.34
青森県,308,8.32,54,1.46,32,0.86,39,1.05,48,1.3,35,0.95,58,1.57,42,1.14
岩手県,420,11.05,53,1.36,56,1.44,66,1.69,66,1.69,59,1.51,56,1.47,64,1.68
宮城県,677,12.31,100,1.82,136,2.47,110,2,93,1.69,100,1.82,74,1.35,64,1.16
秋田県,124,3.88,16,0.52,20,0.61,16,0.48,13,0.39,22,0.67,26,0.79,11,0.33
山形県,533,19.04,78,2.79,58,2.07,75,2.68,85,3.04,93,3.32,71,2.54,73,2.61
福島県,657,13.41,105,2.14,104,2.12,84,1.71,75,1.53,107,2.18,102,2.08,80,1.63
茨城県,416,5.55,68,0.91,81,1.08,70,0.93,59,0.79,44,0.59,56,0.75,38,0.51
栃木県,261,5.44,57,1.19,49,1.02,37,0.77,38,0.79,28,0.58,27,0.56,25,0.52
群馬県,332,6.26,44,0.83,64,1.21,59,1.11,58,1.09,37,0.7,26,0.49,44,0.83
埼玉県,1401,8.6,350,2.2,242,1.48,186,1.13,189,1.15,167,1.02,146,0.9,121,0.74
千葉県,870,6.96,187,1.48,177,1.4,154,1.23,103,0.83,110,0.87,78,0.62,61,0.49
東京都,1088,4.18,178,0.7,243,0.93,186,0.71,166,0.64,129,0.49,93,0.35,93,0.36
神奈川県,1094,4.82,222,1,228,1,187,0.82,149,0.65,134,0.59,87,0.38,87,0.38
新潟県,962,17.49,65,1.18,104,1.89,105,1.91,156,2.84,175,3.18,203,3.69,154,2.8
富山県,555,19.14,60,2.07,70,2.41,62,2.14,107,3.69,100,3.45,87,3,69,2.38
石川県,444,16.44,80,2.96,58,2.15,61,2.26,83,2.96,58,2.07,55,1.96,49,1.69
福井県,503,20.12,68,2.72,106,4.24,71,2.84,90,3.6,76,3.04,45,1.8,47,1.88
山梨県,147,6.13,24,1,25,1.04,16,0.67,28,1.17,10,0.42,16,0.67,28,1.17
長野県,233,4.31,34,0.63,47,0.87,43,0.8,21,0.39,28,0.52,32,0.59,28,0.52
岐阜県,291,5.49,55,1.04,55,1.04,54,1.02,38,0.72,41,0.77,29,0.55,19,0.36
静岡県,619,6.96,65,0.73,99,1.11,109,1.22,109,1.22,85,0.96,76,0.85,76,0.85
愛知県,864,4.75,148,0.81,170,0.93,131,0.72,130,0.71,112,0.62,89,0.49,84,0.46
三重県,449,9.98,74,1.64,81,1.8,72,1.6,55,1.22,53,1.18,59,1.31,55,1.22
滋賀県,221,6.31,54,1.5,26,0.72,28,0.8,25,0.71,29,0.81,32,0.89,27,0.75
京都府,482,6.43,82,1.11,65,0.86,59,0.79,73,0.97,71,0.95,83,1.11,49,0.64
大阪府,784,3.98,129,0.65,175,0.89,118,0.6,100,0.51,76,0.39,102,0.52,84,0.42
兵庫県,866,6.77,133,1.04,154,1.2,123,0.96,136,1.06,112,0.88,117,0.91,91,0.71
奈良県,260,7.88,36,1.06,44,1.29,44,1.29,41,1.21,38,1.12,35,1.03,22,0.67
和歌山県,235,7.83,55,1.83,40,1.33,43,1.43,28,0.93,20,0.67,21,0.7,28,0.93
鳥取県,107,5.63,6,0.32,10,0.53,12,0.63,15,0.79,13,0.68,27,1.42,24,1.26
島根県,162,7.04,27,1.17,24,1.04,28,1.22,29,1.26,26,1.13,20,0.87,8,0.35
岡山県,368,6.81,58,1.07,69,1.28,56,1.04,45,0.83,36,0.67,55,1.02,49,0.91
広島県,873,12.65,143,2.04,140,2,136,1.94,144,2.06,128,1.86,102,1.5,80,1.16
山口県,316,7.35,51,1.19,62,1.44,46,1.07,42,0.98,52,1.21,30,0.7,33,0.77
徳島県,145,6.3,37,1.61,17,0.74,29,1.26,20,0.87,15,0.65,18,0.78,9,0.39
香川県,206,7.36,42,1.5,27,0.96,26,0.93,32,1.14,34,1.21,25,0.89,20,0.71
愛媛県,306,8.5,72,2,50,1.35,56,1.51,45,1.22,29,0.78,26,0.7,28,0.76
高知県,157,6.04,40,1.54,33,1.27,30,1.15,20,0.77,9,0.35,14,0.54,11,0.42
福岡県,1027,8.56,217,1.81,208,1.73,167,1.39,138,1.15,127,1.06,99,0.83,71,0.59
佐賀県,297,12.91,43,1.87,46,2,42,1.83,46,2,49,2.13,43,1.87,28,1.22
長崎県,593,13.48,111,2.52,114,2.59,81,1.84,76,1.73,80,1.82,87,1.98,44,1
熊本県,552,11.04,110,2.2,79,1.58,79,1.58,74,1.48,93,1.86,65,1.3,52,1.04
大分県,438,12.17,64,1.78,71,1.97,59,1.64,69,1.92,63,1.75,56,1.56,56,1.56
宮崎県,560,15.56,76,2.11,77,2.14,63,1.75,101,2.81,75,2.08,95,2.64,73,2.03
鹿児島県,1331,26.1,194,3.8,176,3.45,166,3.25,174,3.41,202,3.96,216,4.24,203,3.98
沖縄県,256,8.26,48,1.55,45,1.45,53,1.71,36,1.16,28,0.9,22,0.71,24,0.77
,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,81805,26.15,5404,1.74,8867,2.83,13388,4.28,13621,4.35,14491,4.63,14500,4.63,11534,3.68
北海道,6533,47.34,447,3.34,584,4.2,872,6.27,1101,7.92,1233,8.87,1248,8.98,1048,7.54
青森県,763,20.62,50,1.35,54,1.46,102,2.76,104,2.81,171,4.62,172,4.65,110,2.97
岩手県,638,16.79,41,1.05,67,1.72,91,2.33,122,3.13,129,3.31,117,3.08,71,1.87
宮城県,1380,25.09,81,1.47,137,2.49,262,4.76,261,4.75,239,4.35,203,3.69,197,3.58
秋田県,336,10.5,24,0.77,26,0.79,51,1.55,56,1.7,56,1.7,72,2.18,51,1.55
山形県,1511,53.96,73,2.61,159,5.68,253,9.04,244,8.71,302,10.79,267,9.54,213,7.61
福島県,1371,27.98,108,2.2,143,2.92,253,5.16,213,4.35,245,5,227,4.63,182,3.71
茨城県,2630,35.07,225,3,235,3.13,392,5.23,371,4.95,527,7.03,476,6.35,404,5.39
栃木県,941,19.6,76,1.58,97,2.02,164,3.42,158,3.29,163,3.4,146,3.04,137,2.85
群馬県,1515,28.58,78,1.47,167,3.15,291,5.49,261,4.92,291,5.49,224,4.23,203,3.83
埼玉県,5052,30.99,366,2.3,491,2.99,849,5.18,940,5.73,877,5.35,850,5.21,679,4.17
千葉県,4092,32.74,300,2.38,471,3.74,646,5.17,726,5.85,708,5.57,687,5.5,554,4.43
東京都,6285,24.17,379,1.49,745,2.85,1054,4.04,1073,4.11,1090,4.18,1074,4.1,870,3.33
神奈川県,4241,18.68,291,1.3,507,2.21,797,3.51,685,2.98,711,3.15,662,2.88,588,2.56
新潟県,2073,37.69,119,2.16,202,3.67,356,6.47,348,6.33,341,6.2,418,7.6,289,5.25
富山県,1263,43.55,53,1.83,131,4.52,278,9.59,235,8.1,210,7.24,208,7.17,148,5.1
石川県,595,22.04,57,2.11,47,1.74,78,2.89,100,3.57,104,3.71,111,3.96,98,3.38
福井県,782,31.28,62,2.48,83,3.32,121,4.84,128,5.12,129,5.16,134,5.36,125,5
山梨県,301,12.54,17,0.71,22,0.92,52,2.17,45,1.88,65,2.71,55,2.29,45,1.88
長野県,1399,25.91,93,1.72,172,3.19,268,4.96,220,4.07,227,4.2,236,4.37,183,3.39
岐阜県,682,12.87,27,0.51,55,1.04,99,1.87,135,2.55,122,2.3,129,2.43,115,2.17
静岡県,2056,23.1,131,1.47,222,2.49,318,3.57,370,4.16,391,4.39,364,4.09,260,2.92
愛知県,2821,15.5,211,1.16,314,1.73,422,2.32,503,2.76,447,2.46,535,2.94,389,2.14
三重県,1286,28.58,67,1.49,144,3.2,219,4.87,216,4.8,219,4.87,237,5.27,184,4.09
滋賀県,345,9.86,28,0.78,41,1.14,60,1.71,53,1.51,40,1.11,65,1.81,58,1.61
京都府,1239,16.52,78,1.05,148,1.95,188,2.51,203,2.71,222,2.96,221,2.95,179,2.36
大阪府,4522,22.95,303,1.54,512,2.6,715,3.63,758,3.85,814,4.13,851,4.3,569,2.87
兵庫県,2490,19.45,189,1.48,286,2.23,405,3.16,394,3.08,416,3.25,468,3.66,332,2.59
奈良県,625,18.94,46,1.35,71,2.09,115,3.38,98,2.88,120,3.53,102,3,73,2.21
和歌山県,450,15,37,1.23,46,1.53,89,2.97,55,1.83,92,3.07,81,2.7,50,1.67
鳥取県,1068,56.21,44,2.32,92,4.84,178,9.37,189,9.95,203,10.68,199,10.47,163,8.58
島根県,294,12.78,25,1.09,39,1.7,51,2.22,43,1.87,47,2.04,45,1.96,44,1.91
岡山県,813,15.06,65,1.2,88,1.63,131,2.43,121,2.24,131,2.43,156,2.89,121,2.24
広島県,1445,20.94,96,1.37,187,2.67,267,3.81,258,3.69,234,3.39,219,3.22,184,2.67
山口県,1484,34.51,128,2.98,146,3.4,214,4.98,238,5.53,252,5.86,274,6.37,232,5.4
徳島県,284,12.35,19,0.83,27,1.17,44,1.91,26,1.13,57,2.48,60,2.61,51,2.22
香川県,554,19.79,35,1.25,49,1.75,101,3.61,93,3.32,91,3.25,102,3.64,83,2.96
愛媛県,1324,36.78,79,2.19,141,3.81,195,5.27,232,6.27,222,6,230,6.22,225,6.08
高知県,743,28.58,36,1.38,93,3.58,97,3.73,107,4.12,97,3.73,145,5.58,168,6.46
福岡県,5915,49.29,292,2.43,685,5.71,970,8.08,970,8.08,1088,9.07,1051,8.76,859,7.16
佐賀県,779,33.87,35,1.52,88,3.83,146,6.35,144,6.26,136,5.91,157,6.83,73,3.17
長崎県,1088,24.73,64,1.45,132,3,163,3.7,138,3.14,216,4.91,215,4.89,160,3.64
熊本県,1092,21.84,80,1.6,145,2.9,186,3.72,154,3.08,198,3.96,211,4.22,118,2.36
大分県,837,23.25,69,1.92,115,3.19,145,4.03,138,3.83,150,4.17,119,3.31,101,2.81
宮崎県,1249,34.69,91,2.53,136,3.78,242,6.72,205,5.69,216,6,201,5.58,158,4.39
鹿児島県,1520,29.8,106,2.08,200,3.92,250,4.9,236,4.63,249,4.88,242,4.75,237,4.65
沖縄県,1099,35.45,83,2.68,125,4.03,148,4.77,153,4.94,203,6.55,234,7.55,153,4.94
,,,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,136066,43.5,8781,2.83,16795,5.36,23875,7.63,23806,7.6,23290,7.44,21569,6.89,17950,5.73
北海道,2767,20.05,159,1.19,243,1.75,450,3.24,436,3.14,494,3.55,528,3.8,457,3.29
青森県,1349,36.46,95,2.57,193,5.22,285,7.7,277,7.49,214,5.78,182,4.92,103,2.78
岩手県,1901,50.03,81,2.08,208,5.33,260,6.67,346,8.87,361,9.26,347,9.13,298,7.84
宮城県,1910,34.73,116,2.11,228,4.15,363,6.6,302,5.49,342,6.22,298,5.42,261,4.75
秋田県,574,17.94,35,1.13,60,1.82,106,3.21,93,2.82,91,2.76,93,2.82,96,2.91
山形県,957,34.18,36,1.29,110,3.93,183,6.54,173,6.18,144,5.14,170,6.07,141,5.04
福島県,1477,30.14,73,1.49,134,2.73,217,4.43,235,4.8,249,5.08,288,5.88,281,5.73
茨城県,3087,41.16,218,2.91,355,4.73,518,6.91,550,7.33,505,6.73,477,6.36,464,6.19
栃木県,1294,26.96,103,2.15,179,3.73,253,5.27,192,4,233,4.85,183,3.81,151,3.15
群馬県,2373,44.77,119,2.25,254,4.79,425,8.02,383,7.23,422,7.96,446,8.42,324,6.11
埼玉県,8929,54.78,526,3.31,1181,7.2,1655,10.09,1692,10.32,1473,8.98,1221,7.49,1181,7.25
千葉県,6166,49.33,461,3.66,865,6.87,1172,9.38,1102,8.89,1018,8.02,817,6.54,731,5.85
東京都,14769,56.8,911,3.57,2056,7.88,2785,10.67,2805,10.75,2488,9.53,2113,8.06,1611,6.17
神奈川県,10204,44.95,705,3.16,1487,6.49,1980,8.72,1909,8.3,1671,7.39,1422,6.18,1030,4.48
新潟県,1430,26,68,1.24,131,2.38,194,3.53,235,4.27,316,5.75,261,4.75,225,4.09
富山県,1321,45.55,99,3.41,114,3.93,170,5.86,221,7.62,226,7.79,254,8.76,237,8.17
石川県,2021,74.85,108,4,204,7.56,315,11.67,379,13.54,330,11.79,371,13.25,314,10.83
福井県,1276,51.04,81,3.24,145,5.8,198,7.92,191,7.64,255,10.2,260,10.4,146,5.84
山梨県,677,28.21,49,2.04,80,3.33,134,5.58,118,4.92,91,3.79,102,4.25,103,4.29
長野県,1822,33.74,110,2.04,217,4.02,276,5.11,312,5.78,347,6.43,301,5.57,259,4.8
岐阜県,1498,28.26,73,1.38,189,3.57,270,5.09,227,4.28,263,4.96,235,4.43,241,4.55
静岡県,3315,37.25,252,2.83,395,4.44,492,5.53,654,7.35,555,6.24,514,5.78,453,5.09
愛知県,6127,33.66,349,1.92,738,4.05,1020,5.6,1087,5.97,1034,5.68,1010,5.55,889,4.88
三重県,2071,46.02,118,2.62,240,5.33,333,7.4,323,7.18,378,8.4,345,7.67,334,7.42
滋賀県,1043,29.8,58,1.61,156,4.33,162,4.63,169,4.83,183,5.08,166,4.61,149,4.14
京都府,2393,31.91,112,1.51,241,3.17,389,5.19,426,5.68,411,5.48,440,5.87,374,4.92
大阪府,8626,43.79,488,2.48,917,4.65,1432,7.27,1542,7.83,1638,8.31,1446,7.3,1163,5.87
兵庫県,6445,50.35,342,2.67,728,5.69,1066,8.33,1211,9.46,1081,8.45,1174,9.17,843,6.59
奈良県,1622,49.15,73,2.15,189,5.56,305,8.97,281,8.26,285,8.38,287,8.44,202,6.12
和歌山県,1044,34.8,58,1.93,118,3.93,120,4,147,4.9,206,6.87,196,6.53,199,6.63
鳥取県,792,41.68,33,1.74,92,4.84,131,6.89,108,5.68,141,7.42,136,7.16,151,7.95
島根県,1441,62.65,72,3.13,176,7.65,288,12.52,278,12.09,271,11.78,214,9.3,142,6.17
岡山県,2289,42.39,177,3.28,242,4.48,285,5.28,327,6.06,421,7.8,406,7.52,431,7.98
広島県,4093,59.32,237,3.39,441,6.3,682,9.74,704,10.06,740,10.72,720,10.59,569,8.25
山口県,1764,41.02,142,3.3,265,6.16,345,8.02,271,6.3,275,6.4,273,6.35,193,4.49
徳島県,868,37.74,86,3.74,85,3.7,178,7.74,141,6.13,128,5.57,137,5.96,113,4.91
香川県,2183,77.96,154,5.5,275,9.82,376,13.43,385,13.75,379,13.54,375,13.39,239,8.54
愛媛県,2439,67.75,178,4.94,270,7.3,433,11.7,409,11.05,373,10.08,419,11.32,357,9.65
高知県,709,27.27,18,0.69,77,2.96,111,4.27,109,4.19,137,5.27,169,6.5,88,3.38
福岡県,4722,39.35,484,4.03,681,5.68,875,7.29,751,6.26,728,6.07,589,4.91,614,5.12
佐賀県,691,30.04,68,2.96,89,3.87,132,5.74,135,5.87,92,4,90,3.91,85,3.7
長崎県,1283,29.16,125,2.84,161,3.66,298,6.77,218,4.95,192,4.36,173,3.93,116,2.64
熊本県,2895,57.9,197,3.94,371,7.42,575,11.5,517,10.34,469,9.38,421,8.42,345,6.9
大分県,2699,74.97,212,5.89,290,8.06,455,12.64,373,10.36,474,13.17,531,14.75,364,10.11
宮崎県,2728,75.78,205,5.69,379,10.53,507,14.08,448,12.44,464,12.89,411,11.42,314,8.72
鹿児島県,3517,68.96,255,5,480,9.41,623,12.22,547,10.73,623,12.22,495,9.71,494,9.69
沖縄県,465,15,62,2,66,2.13,53,1.71,67,2.16,79,2.55,63,2.03,75,2.42
,,,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
