報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,
2025年02週(01月06日～01月12日),2025年01月15日作成,,,,,
奈良県,4,0.18,0,0,4,0.12
和歌山県,9,0.32,0,0,9,0.31
鳥取県,8,0.42,3,0.16,5,0.26
島根県,4,0.17,0,0,4,0.17
岡山県,12,0.22,4,0.07,8,0.15
広島県,24,0.38,7,0.13,17,0.23
山口県,7,0.16,2,0.05,5,0.12
徳島県,2,0.09,1,0.04,1,0.04
香川県,10,0.36,2,0.07,8,0.29
愛媛県,7,0.24,3,0.13,4,0.11
高知県,7,0.28,2,0.08,5,0.2
福岡県,96,0.81,43,0.36,53,0.45
佐賀県,5,0.23,1,0.05,4,0.17
長崎県,30,0.68,12,0.27,18,0.41
熊本県,32,0.65,14,0.29,18,0.37
大分県,9,0.25,1,0.03,8,0.22
宮崎県,12,0.35,6,0.18,6,0.17
鹿児島県,29,0.57,14,0.27,15,0.29
沖縄県,37,1.16,11,0.34,26,0.81
,,,,,,
手足口病,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,748,0.26,233,0.09,515,0.16
北海道,71,0.59,25,0.24,46,0.34
青森県,10,0.29,1,0.03,9,0.24
岩手県,27,0.69,11,0.28,16,0.41
宮城県,20,0.36,2,0.04,18,0.33
秋田県,14,0.58,5,0.33,9,0.26
山形県,24,1.09,7,0.39,17,0.63
福島県,17,0.35,6,0.12,11,0.22
茨城県,20,0.29,13,0.21,7,0.09
栃木県,18,0.45,10,0.3,8,0.17
群馬県,10,0.23,2,0.06,8,0.15
埼玉県,55,0.43,11,0.12,44,0.27
千葉県,25,0.22,8,0.08,17,0.13
東京都,46,0.2,11,0.05,35,0.13
神奈川県,37,0.2,11,0.07,26,0.11
新潟県,23,0.42,4,0.07,19,0.35
富山県,2,0.07,0,0,2,0.07
石川県,0,0,0,0,0,0
福井県,6,0.24,0,0,6,0.24
山梨県,8,0.33,2,0.08,6,0.25
長野県,30,0.64,8,0.2,22,0.41
岐阜県,1,0.02,0,0,1,0.02
静岡県,3,0.03,0,0,3,0.03
愛知県,9,0.05,0,0,9,0.05
三重県,3,0.08,1,0.03,2,0.04
滋賀県,4,0.13,1,0.04,3,0.08
京都府,5,0.07,0,0,5,0.07
大阪府,31,0.16,6,0.03,25,0.13
兵庫県,15,0.13,3,0.03,12,0.09
奈良県,5,0.23,0,0,5,0.15
和歌山県,7,0.25,2,0.07,5,0.17
鳥取県,2,0.11,1,0.05,1,0.05
島根県,2,0.09,0,0,2,0.09
岡山県,9,0.17,4,0.07,5,0.09
広島県,7,0.11,4,0.08,3,0.04
山口県,8,0.19,4,0.09,4,0.09
徳島県,8,0.35,0,0,8,0.35
香川県,8,0.29,5,0.18,3,0.11
愛媛県,9,0.31,0,0,9,0.25
高知県,10,0.4,2,0.08,8,0.32
福岡県,18,0.15,6,0.05,12,0.1
佐賀県,4,0.18,1,0.05,3,0.13
長崎県,16,0.36,6,0.14,10,0.23
熊本県,25,0.51,9,0.18,16,0.33
大分県,17,0.47,11,0.31,6,0.17
宮崎県,5,0.15,1,0.03,4,0.11
鹿児島県,49,0.96,26,0.51,23,0.45
沖縄県,5,0.16,3,0.09,2,0.06
,,,,,,
伝染性紅斑,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,3358,1.16,429,0.16,2929,0.94
北海道,71,0.59,6,0.06,65,0.48
青森県,143,4.21,12,0.38,131,3.54
岩手県,51,1.31,10,0.26,41,1.05
宮城県,123,2.24,19,0.35,104,1.89
秋田県,1,0.04,0,0,1,0.03
山形県,23,1.05,7,0.39,16,0.59
福島県,122,2.49,11,0.22,111,2.27
茨城県,67,0.99,6,0.1,61,0.81
栃木県,112,2.8,14,0.42,98,2.04
群馬県,44,1,8,0.23,36,0.68
埼玉県,535,4.21,71,0.79,464,2.83
千葉県,386,3.36,44,0.42,342,2.69
東京都,717,3.08,77,0.38,640,2.43
神奈川県,416,2.2,52,0.35,364,1.59
新潟県,50,0.91,4,0.07,46,0.84
富山県,4,0.14,1,0.04,3,0.1
石川県,16,0.55,2,0.07,14,0.48
福井県,1,0.04,1,0.04,0,0
山梨県,12,0.5,5,0.21,7,0.29
長野県,64,1.36,15,0.38,49,0.91
岐阜県,5,0.09,1,0.02,4,0.08
静岡県,39,0.44,5,0.06,34,0.38
愛知県,22,0.12,2,0.01,20,0.11
三重県,9,0.23,2,0.06,7,0.16
滋賀県,11,0.37,0,0,11,0.31
京都府,45,0.63,6,0.09,39,0.52
大阪府,27,0.14,2,0.01,25,0.13
兵庫県,35,0.3,3,0.03,32,0.25
奈良県,7,0.32,0,0,7,0.21
和歌山県,3,0.11,2,0.07,1,0.03
鳥取県,14,0.74,4,0.21,10,0.53
島根県,2,0.09,0,0,2,0.09
岡山県,6,0.11,2,0.04,4,0.07
広島県,10,0.16,1,0.02,9,0.12
山口県,15,0.35,4,0.09,11,0.26
徳島県,7,0.3,1,0.04,6,0.26
香川県,5,0.18,2,0.07,3,0.11
愛媛県,2,0.07,0,0,2,0.06
高知県,28,1.12,5,0.2,23,0.92
福岡県,32,0.27,8,0.07,24,0.2
佐賀県,3,0.14,0,0,3,0.13
長崎県,16,0.36,4,0.09,12,0.27
熊本県,11,0.22,3,0.06,8,0.16
大分県,7,0.19,0,0,7,0.19
宮崎県,22,0.65,5,0.15,17,0.47
鹿児島県,5,0.1,1,0.02,4,0.08
沖縄県,12,0.38,1,0.03,11,0.34
,,,,,,
突発性発しん,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,773,0.27,139,0.05,634,0.2
北海道,21,0.18,2,0.02,19,0.14
青森県,7,0.21,1,0.03,6,0.16
岩手県,8,0.21,2,0.05,6,0.15
宮城県,17,0.31,5,0.09,12,0.22
秋田県,3,0.13,0,0,3,0.09
山形県,12,0.55,3,0.17,9,0.33
福島県,19,0.39,3,0.06,16,0.33
茨城県,12,0.18,4,0.07,8,0.11
栃木県,19,0.48,6,0.18,13,0.27
群馬県,12,0.27,3,0.09,9,0.17
埼玉県,31,0.24,6,0.07,25,0.15
千葉県,31,0.27,4,0.04,27,0.21
東京都,67,0.29,9,0.04,58,0.22
神奈川県,36,0.19,4,0.03,32,0.14
新潟県,14,0.25,3,0.05,11,0.2
富山県,10,0.36,2,0.07,8,0.28
石川県,5,0.17,1,0.03,4,0.14
福井県,5,0.2,1,0.04,4,0.16
山梨県,1,0.04,0,0,1,0.04
長野県,11,0.23,2,0.05,9,0.17
岐阜県,21,0.4,4,0.08,17,0.32
静岡県,19,0.21,3,0.03,16,0.18
愛知県,19,0.1,3,0.02,16,0.09
三重県,17,0.43,2,0.06,15,0.33
滋賀県,7,0.23,0,0,7,0.19
京都府,11,0.15,0,0,11,0.15
大阪府,42,0.22,6,0.03,36,0.19
兵庫県,28,0.24,5,0.05,23,0.18
奈良県,8,0.36,0,0,8,0.24
和歌山県,9,0.32,1,0.04,8,0.28
鳥取県,3,0.16,0,0,3,0.16
島根県,8,0.35,2,0.09,6,0.26
岡山県,21,0.39,7,0.13,14,0.26
広島県,15,0.24,1,0.02,14,0.19
山口県,20,0.47,4,0.09,16,0.37
徳島県,7,0.3,2,0.09,5,0.22
香川県,10,0.36,3,0.11,7,0.25
愛媛県,14,0.48,2,0.09,12,0.33
高知県,7,0.28,1,0.04,6,0.24
福岡県,39,0.33,8,0.07,31,0.26
佐賀県,15,0.68,5,0.24,10,0.43
長崎県,9,0.2,3,0.07,6,0.14
熊本県,23,0.47,4,0.08,19,0.39
大分県,17,0.47,4,0.11,13,0.36
宮崎県,19,0.56,4,0.12,15,0.42
鹿児島県,12,0.24,1,0.02,11,0.22
沖縄県,12,0.38,3,0.09,9,0.28
,,,,,,
ヘルパンギーナ,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,40,0.01,10,0,30,0.01
北海道,6,0.05,0,0,6,0.04
青森県,1,0.03,0,0,1,0.03
岩手県,0,0,0,0,0,0
宮城県,0,0,0,0,0,0
秋田県,0,0,0,0,0,0
山形県,1,0.05,0,0,1,0.04
福島県,0,0,0,0,0,0
茨城県,2,0.03,2,0.03,0,0
栃木県,0,0,0,0,0,0
群馬県,0,0,0,0,0,0
埼玉県,1,0.01,1,0.01,0,0
千葉県,1,0.01,0,0,1,0.01
東京都,3,0.01,0,0,3,0.01
神奈川県,3,0.02,0,0,3,0.01
新潟県,2,0.04,1,0.02,1,0.02
富山県,1,0.04,1,0.04,0,0
石川県,1,0.03,0,0,1,0.03
福井県,2,0.08,1,0.04,1,0.04
山梨県,0,0,0,0,0,0
長野県,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0
静岡県,0,0,0,0,0,0
愛知県,2,0.01,0,0,2,0.01
三重県,2,0.05,0,0,2,0.04
滋賀県,1,0.03,0,0,1,0.03
京都府,0,0,0,0,0,0
大阪府,1,0.01,0,0,1,0.01
兵庫県,0,0,0,0,0,0
奈良県,1,0.05,0,0,1,0.03
和歌山県,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0
島根県,0,0,0,0,0,0
岡山県,2,0.04,1,0.02,1,0.02
広島県,0,0,0,0,0,0
山口県,0,0,0,0,0,0
徳島県,0,0,0,0,0,0
香川県,2,0.07,0,0,2,0.07
愛媛県,0,0,0,0,0,0
高知県,0,0,0,0,0,0
福岡県,1,0.01,1,0.01,0,0
佐賀県,0,0,0,0,0,0
長崎県,0,0,0,0,0,0
熊本県,2,0.04,0,0,2,0.04
大分県,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0
鹿児島県,1,0.02,1,0.02,0,0
沖縄県,1,0.03,1,0.03,0,0
,,,,,,
流行性耳下腺炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,122,0.04,38,0.01,84,0.03
北海道,6,0.05,3,0.03,3,0.02
青森県,0,0,0,0,0,0
岩手県,3,0.08,2,0.05,1,0.03
宮城県,2,0.04,1,0.02,1,0.02
秋田県,0,0,0,0,0,0
山形県,0,0,0,0,0,0
福島県,0,0,0,0,0,0
茨城県,5,0.07,3,0.05,2,0.03
栃木県,1,0.03,1,0.03,0,0
群馬県,1,0.02,0,0,1,0.02
埼玉県,11,0.09,2,0.02,9,0.05
千葉県,7,0.06,1,0.01,6,0.05
東京都,12,0.05,2,0.01,10,0.04
神奈川県,8,0.04,0,0,8,0.03
新潟県,6,0.11,2,0.04,4,0.07
富山県,4,0.14,2,0.07,2,0.07
石川県,0,0,0,0,0,0
福井県,0,0,0,0,0,0
山梨県,2,0.08,0,0,2,0.08
長野県,0,0,0,0,0,0
岐阜県,2,0.04,1,0.02,1,0.02
静岡県,4,0.04,0,0,4,0.04
愛知県,3,0.02,0,0,3,0.02
三重県,1,0.03,0,0,1,0.02
滋賀県,3,0.1,2,0.08,1,0.03
京都府,1,0.01,0,0,1,0.01
大阪府,10,0.05,5,0.03,5,0.03
兵庫県,6,0.05,0,0,6,0.05
奈良県,1,0.05,1,0.1,0,0
和歌山県,1,0.04,1,0.04,0,0
鳥取県,0,0,0,0,0,0
島根県,0,0,0,0,0,0
岡山県,6,0.11,1,0.02,5,0.09
広島県,0,0,0,0,0,0
山口県,0,0,0,0,0,0
徳島県,0,0,0,0,0,0
香川県,0,0,0,0,0,0
愛媛県,1,0.03,0,0,1,0.03
高知県,2,0.08,0,0,2,0.08
福岡県,4,0.03,4,0.03,0,0
佐賀県,0,0,0,0,0,0
長崎県,3,0.07,2,0.05,1,0.02
熊本県,0,0,0,0,0,0
大分県,4,0.11,2,0.06,2,0.06
宮崎県,1,0.03,0,0,1,0.03
鹿児島県,1,0.02,0,0,1,0.02
沖縄県,0,0,0,0,0,0
,,,,,,
急性出血性結膜炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,56,0.09,9,0.02,47,0.07
北海道,1,0.04,1,0.04,0,0
青森県,0,0,0,0,0,0
岩手県,0,0,0,0,0,0
宮城県,0,0,0,0,0,0
秋田県,1,0.2,1,0.33,0,0
山形県,0,0,0,0,0,0
福島県,0,0,0,0,0,0
茨城県,0,0,0,0,0,0
栃木県,2,0.2,0,0,2,0.17
群馬県,0,0,0,0,0,0
埼玉県,19,0.63,2,0.11,17,0.4
千葉県,4,0.13,0,0,4,0.12
東京都,2,0.06,0,0,2,0.05
神奈川県,1,0.03,0,0,1,0.02
新潟県,4,0.4,2,0.2,2,0.2
富山県,2,0.33,0,0,2,0.29
石川県,0,0,0,0,0,0
福井県,0,0,0,0,0,0
山梨県,0,0,0,0,0,0
長野県,0,0,0,0,0,0
岐阜県,1,0.09,0,0,1,0.09
静岡県,0,0,0,0,0,0
愛知県,1,0.03,0,0,1,0.03
三重県,1,0.11,0,0,1,0.08
滋賀県,0,0,0,0,0,0
京都府,0,0,0,0,0,0
大阪府,6,0.12,0,0,6,0.12
兵庫県,2,0.06,0,0,2,0.06
奈良県,0,0,0,0,0,0
和歌山県,2,0.67,0,0,2,0.5
鳥取県,0,0,0,0,0,0
島根県,0,0,0,0,0,0
岡山県,1,0.08,1,0.08,0,0
広島県,1,0.07,0,0,1,0.05
山口県,0,0,0,0,0,0
徳島県,1,0.33,0,0,1,0.25
香川県,0,0,0,0,0,0
愛媛県,1,0.14,1,0.17,0,0
高知県,0,0,0,0,0,0
福岡県,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0
長崎県,2,0.25,1,0.13,1,0.13
熊本県,0,0,0,0,0,0
大分県,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0
沖縄県,1,0.11,0,0,1,0.11
,,,,,,
流行性角結膜炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,897,1.43,124,0.22,773,1.12
北海道,16,0.62,3,0.13,13,0.45
青森県,2,0.22,0,0,2,0.2
岩手県,12,0.86,0,0,12,0.86
宮城県,18,1.5,0,0,18,1.5
秋田県,7,1.4,3,1,4,0.57
山形県,1,0.14,0,0,1,0.13
福島県,43,3.31,13,1,30,2.31
茨城県,78,5.57,12,1,66,3.88
栃木県,24,2.4,1,0.11,23,1.92
群馬県,15,1.5,1,0.17,14,1
埼玉県,42,1.4,5,0.28,37,0.88
千葉県,48,1.6,4,0.14,44,1.33
東京都,49,1.44,12,0.4,37,0.95
