報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,
2024年06週(02月05日～02月11日),2024年02月14日作成,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
神奈川県,1006,4.43,222,1,228,1,187,0.82,149,0.65,134,0.59,86,0.38
新潟県,808,14.69,65,1.18,104,1.89,105,1.91,156,2.84,175,3.18,203,3.69
富山県,486,16.76,60,2.07,70,2.41,62,2.14,107,3.69,100,3.45,87,3
石川県,395,14.63,80,2.96,58,2.15,61,2.26,83,2.96,58,2.07,55,1.96
福井県,456,18.24,68,2.72,106,4.24,71,2.84,90,3.6,76,3.04,45,1.8
山梨県,119,4.96,24,1,25,1.04,16,0.67,28,1.17,10,0.42,16,0.67
長野県,205,3.8,34,0.63,47,0.87,43,0.8,21,0.39,28,0.52,32,0.59
岐阜県,272,5.13,55,1.04,55,1.04,54,1.02,38,0.72,41,0.77,29,0.55
静岡県,543,6.1,65,0.73,99,1.11,109,1.22,109,1.22,85,0.96,76,0.85
愛知県,780,4.29,148,0.81,170,0.93,131,0.72,130,0.71,112,0.62,89,0.49
三重県,394,8.76,74,1.64,81,1.8,72,1.6,55,1.22,53,1.18,59,1.31
滋賀県,194,5.54,54,1.5,26,0.72,28,0.8,25,0.71,29,0.81,32,0.89
京都府,433,5.77,82,1.11,65,0.86,59,0.79,73,0.97,71,0.95,83,1.11
大阪府,700,3.55,129,0.65,175,0.89,118,0.6,100,0.51,76,0.39,102,0.52
兵庫県,775,6.05,133,1.04,154,1.2,123,0.96,136,1.06,112,0.88,117,0.91
奈良県,238,7,36,1.06,44,1.29,44,1.29,41,1.21,38,1.12,35,1.03
和歌山県,207,6.9,55,1.83,40,1.33,43,1.43,28,0.93,20,0.67,21,0.7
鳥取県,83,4.37,6,0.32,10,0.53,12,0.63,15,0.79,13,0.68,27,1.42
島根県,154,6.7,27,1.17,24,1.04,28,1.22,29,1.26,26,1.13,20,0.87
岡山県,319,5.91,58,1.07,69,1.28,56,1.04,45,0.83,36,0.67,55,1.02
広島県,793,11.49,143,2.04,140,2,136,1.94,144,2.06,128,1.86,102,1.5
山口県,283,6.58,51,1.19,62,1.44,46,1.07,42,0.98,52,1.21,30,0.7
徳島県,136,5.91,37,1.61,17,0.74,29,1.26,20,0.87,15,0.65,18,0.78
香川県,186,6.64,42,1.5,27,0.96,26,0.93,32,1.14,34,1.21,25,0.89
愛媛県,278,7.72,72,2,50,1.35,56,1.51,45,1.22,29,0.78,26,0.7
高知県,146,5.62,40,1.54,33,1.27,30,1.15,20,0.77,9,0.35,14,0.54
福岡県,955,7.96,217,1.81,208,1.73,167,1.39,138,1.15,127,1.06,98,0.82
佐賀県,269,11.7,43,1.87,46,2,42,1.83,46,2,49,2.13,43,1.87
長崎県,549,12.48,111,2.52,114,2.59,81,1.84,76,1.73,80,1.82,87,1.98
熊本県,500,10,110,2.2,79,1.58,79,1.58,74,1.48,93,1.86,65,1.3
大分県,382,10.61,64,1.78,71,1.97,59,1.64,69,1.92,63,1.75,56,1.56
宮崎県,487,13.53,76,2.11,77,2.14,63,1.75,101,2.81,75,2.08,95,2.64
鹿児島県,1128,22.12,194,3.8,176,3.45,166,3.25,174,3.41,202,3.96,216,4.24
沖縄県,232,7.48,48,1.55,45,1.45,53,1.71,36,1.16,28,0.9,22,0.71
,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,70190,22.45,5404,1.74,8867,2.83,13388,4.28,13621,4.35,14491,4.63,14419,4.61
北海道,5485,39.75,447,3.34,584,4.2,872,6.27,1101,7.92,1233,8.87,1248,8.98
青森県,653,17.65,50,1.35,54,1.46,102,2.76,104,2.81,171,4.62,172,4.65
岩手県,567,14.92,41,1.05,67,1.72,91,2.33,122,3.13,129,3.31,117,3.08
宮城県,1183,21.51,81,1.47,137,2.49,262,4.76,261,4.75,239,4.35,203,3.69
秋田県,285,8.91,24,0.77,26,0.79,51,1.55,56,1.7,56,1.7,72,2.25
山形県,1298,46.36,73,2.61,159,5.68,253,9.04,244,8.71,302,10.79,267,9.54
福島県,1189,24.27,108,2.2,143,2.92,253,5.16,213,4.35,245,5,227,4.63
茨城県,2226,29.68,225,3,235,3.13,392,5.23,371,4.95,527,7.03,476,6.35
栃木県,804,16.75,76,1.58,97,2.02,164,3.42,158,3.29,163,3.4,146,3.04
群馬県,1312,25.23,78,1.47,167,3.15,291,5.49,261,4.92,291,5.49,224,4.31
埼玉県,4372,26.99,366,2.3,491,2.99,849,5.18,940,5.73,877,5.35,849,5.24
千葉県,3534,28.27,300,2.38,471,3.74,646,5.17,726,5.85,708,5.57,683,5.51
東京都,5415,20.83,379,1.49,745,2.85,1054,4.04,1073,4.11,1090,4.18,1074,4.1
神奈川県,3643,16.05,291,1.3,507,2.21,797,3.51,685,2.98,711,3.15,652,2.87
新潟県,1784,32.44,119,2.16,202,3.67,356,6.47,348,6.33,341,6.2,418,7.6
富山県,1115,38.45,53,1.83,131,4.52,278,9.59,235,8.1,210,7.24,208,7.17
石川県,497,18.41,57,2.11,47,1.74,78,2.89,100,3.57,104,3.71,111,3.96
福井県,657,26.28,62,2.48,83,3.32,121,4.84,128,5.12,129,5.16,134,5.36
山梨県,256,10.67,17,0.71,22,0.92,52,2.17,45,1.88,65,2.71,55,2.29
長野県,1216,22.52,93,1.72,172,3.19,268,4.96,220,4.07,227,4.2,236,4.37
岐阜県,567,10.7,27,0.51,55,1.04,99,1.87,135,2.55,122,2.3,129,2.43
静岡県,1796,20.18,131,1.47,222,2.49,318,3.57,370,4.16,391,4.39,364,4.09
愛知県,2432,13.36,211,1.16,314,1.73,422,2.32,503,2.76,447,2.46,535,2.94
三重県,1102,24.49,67,1.49,144,3.2,219,4.87,216,4.8,219,4.87,237,5.27
滋賀県,287,8.2,28,0.78,41,1.14,60,1.71,53,1.51,40,1.11,65,1.81
京都府,1060,14.13,78,1.05,148,1.95,188,2.51,203,2.71,222,2.96,221,2.95
大阪府,3950,20.05,303,1.54,512,2.6,715,3.63,758,3.85,814,4.13,848,4.28
兵庫県,2158,16.86,189,1.48,286,2.23,405,3.16,394,3.08,416,3.25,468,3.66
奈良県,552,16.24,46,1.35,71,2.09,115,3.38,98,2.88,120,3.53,102,3
和歌山県,400,13.33,37,1.23,46,1.53,89,2.97,55,1.83,92,3.07,81,2.7
鳥取県,905,47.63,44,2.32,92,4.84,178,9.37,189,9.95,203,10.68,199,10.47
島根県,250,10.87,25,1.09,39,1.7,51,2.22,43,1.87,47,2.04,45,1.96
岡山県,692,12.81,65,1.2,88,1.63,131,2.43,121,2.24,131,2.43,156,2.89
広島県,1261,18.28,96,1.37,187,2.67,267,3.81,258,3.69,234,3.39,219,3.22
山口県,1252,29.12,128,2.98,146,3.4,214,4.98,238,5.53,252,5.86,274,6.37
徳島県,233,10.13,19,0.83,27,1.17,44,1.91,26,1.13,57,2.48,60,2.61
香川県,471,16.82,35,1.25,49,1.75,101,3.61,93,3.32,91,3.25,102,3.64
愛媛県,1099,30.53,79,2.19,141,3.81,195,5.27,232,6.27,222,6,230,6.22
高知県,575,22.12,36,1.38,93,3.58,97,3.73,107,4.12,97,3.73,145,5.58
福岡県,4993,41.61,292,2.43,685,5.71,970,8.08,970,8.08,1088,9.07,988,8.23
佐賀県,706,30.7,35,1.52,88,3.83,146,6.35,144,6.26,136,5.91,157,6.83
長崎県,928,21.09,64,1.45,132,3,163,3.7,138,3.14,216,4.91,215,4.89
熊本県,974,19.48,80,1.6,145,2.9,186,3.72,154,3.08,198,3.96,211,4.22
大分県,736,20.44,69,1.92,115,3.19,145,4.03,138,3.83,150,4.17,119,3.31
宮崎県,1091,30.31,91,2.53,136,3.78,242,6.72,205,5.69,216,6,201,5.58
鹿児島県,1283,25.16,106,2.08,200,3.92,250,4.9,236,4.63,249,4.88,242,4.75
沖縄県,946,30.52,83,2.68,125,4.03,148,4.77,153,4.94,203,6.55,234,7.55
,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,118042,37.76,8781,2.83,16795,5.36,23875,7.63,23806,7.6,23290,7.44,21495,6.88
北海道,2310,16.74,159,1.19,243,1.75,450,3.24,436,3.14,494,3.55,528,3.8
青森県,1246,33.68,95,2.57,193,5.22,285,7.7,277,7.49,214,5.78,182,4.92
岩手県,1603,42.18,81,2.08,208,5.33,260,6.67,346,8.87,361,9.26,347,9.13
宮城県,1649,29.98,116,2.11,228,4.15,363,6.6,302,5.49,342,6.22,298,5.42
秋田県,472,14.75,35,1.13,60,1.82,106,3.21,93,2.82,91,2.76,87,2.72
山形県,816,29.14,36,1.29,110,3.93,183,6.54,173,6.18,144,5.14,170,6.07
福島県,1196,24.41,73,1.49,134,2.73,217,4.43,235,4.8,249,5.08,288,5.88
茨城県,2623,34.97,218,2.91,355,4.73,518,6.91,550,7.33,505,6.73,477,6.36
栃木県,1143,23.81,103,2.15,179,3.73,253,5.27,192,4,233,4.85,183,3.81
群馬県,2026,38.96,119,2.25,254,4.79,425,8.02,383,7.23,422,7.96,423,8.13
埼玉県,7743,47.8,526,3.31,1181,7.2,1655,10.09,1692,10.32,1473,8.98,1216,7.51
千葉県,5435,43.48,461,3.66,865,6.87,1172,9.38,1102,8.89,1018,8.02,817,6.59
東京都,13158,50.61,911,3.57,2056,7.88,2785,10.67,2805,10.75,2488,9.53,2113,8.06
神奈川県,9138,40.26,705,3.16,1487,6.49,1980,8.72,1909,8.3,1671,7.39,1386,6.11
新潟県,1205,21.91,68,1.24,131,2.38,194,3.53,235,4.27,316,5.75,261,4.75
富山県,1084,37.38,99,3.41,114,3.93,170,5.86,221,7.62,226,7.79,254,8.76
石川県,1707,63.22,108,4,204,7.56,315,11.67,379,13.54,330,11.79,371,13.25
福井県,1130,45.2,81,3.24,145,5.8,198,7.92,191,7.64,255,10.2,260,10.4
山梨県,574,23.92,49,2.04,80,3.33,134,5.58,118,4.92,91,3.79,102,4.25
長野県,1563,28.94,110,2.04,217,4.02,276,5.11,312,5.78,347,6.43,301,5.57
岐阜県,1257,23.72,73,1.38,189,3.57,270,5.09,227,4.28,263,4.96,235,4.43
静岡県,2862,32.16,252,2.83,395,4.44,492,5.53,654,7.35,555,6.24,514,5.78
愛知県,5238,28.78,349,1.92,738,4.05,1020,5.6,1087,5.97,1034,5.68,1010,5.55
三重県,1737,38.6,118,2.62,240,5.33,333,7.4,323,7.18,378,8.4,345,7.67
滋賀県,894,25.54,58,1.61,156,4.33,162,4.63,169,4.83,183,5.08,166,4.61
京都府,2019,26.92,112,1.51,241,3.17,389,5.19,426,5.68,411,5.48,440,5.87
大阪府,7459,37.86,488,2.48,917,4.65,1432,7.27,1542,7.83,1638,8.31,1442,7.28
兵庫県,5602,43.77,342,2.67,728,5.69,1066,8.33,1211,9.46,1081,8.45,1174,9.17
奈良県,1420,41.76,73,2.15,189,5.56,305,8.97,281,8.26,285,8.38,287,8.44
和歌山県,845,28.17,58,1.93,118,3.93,120,4,147,4.9,206,6.87,196,6.53
鳥取県,641,33.74,33,1.74,92,4.84,131,6.89,108,5.68,141,7.42,136,7.16
島根県,1299,56.48,72,3.13,176,7.65,288,12.52,278,12.09,271,11.78,214,9.3
岡山県,1858,34.41,177,3.28,242,4.48,285,5.28,327,6.06,421,7.8,406,7.52
広島県,3524,51.07,237,3.39,441,6.3,682,9.74,704,10.06,740,10.72,720,10.59
山口県,1571,36.53,142,3.3,265,6.16,345,8.02,271,6.3,275,6.4,273,6.35
徳島県,755,32.83,86,3.74,85,3.7,178,7.74,141,6.13,128,5.57,137,5.96
香川県,1944,69.43,154,5.5,275,9.82,376,13.43,385,13.75,379,13.54,375,13.39
愛媛県,2082,57.83,178,4.94,270,7.3,433,11.7,409,11.05,373,10.08,419,11.32
高知県,621,23.88,18,0.69,77,2.96,111,4.27,109,4.19,137,5.27,169,6.5
福岡県,4108,34.23,484,4.03,681,5.68,875,7.29,751,6.26,728,6.07,589,4.91
佐賀県,606,26.35,68,2.96,89,3.87,132,5.74,135,5.87,92,4,90,3.91
長崎県,1167,26.52,125,2.84,161,3.66,298,6.77,218,4.95,192,4.36,173,3.93
熊本県,2550,51,197,3.94,371,7.42,575,11.5,517,10.34,469,9.38,421,8.42
大分県,2335,64.86,212,5.89,290,8.06,455,12.64,373,10.36,474,13.17,531,14.75
宮崎県,2414,67.06,205,5.69,379,10.53,507,14.08,448,12.44,464,12.89,411,11.42
鹿児島県,3023,59.27,255,5,480,9.41,623,12.22,547,10.73,623,12.22,495,9.71
沖縄県,390,12.58,62,2,66,2.13,53,1.71,67,2.16,79,2.55,63,2.03
,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2651,0.85,452,0.15,450,0.14,480,0.15,406,0.13,434,0.14,429,0.14
北海道,134,0.97,17,0.13,30,0.22,20,0.14,29,0.21,21,0.15,17,0.12
青森県,25,0.68,5,0.14,8,0.22,6,0.16,2,0.05,2,0.05,2,0.05
岩手県,36,0.95,7,0.18,10,0.26,9,0.23,4,0.1,1,0.03,5,0.13
宮城県,43,0.78,10,0.18,12,0.22,4,0.07,4,0.07,8,0.15,5,0.09
秋田県,32,1,11,0.35,7,0.21,5,0.15,4,0.12,1,0.03,4,0.13
山形県,26,0.93,5,0.18,4,0.14,1,0.04,5,0.18,3,0.11,8,0.29
福島県,52,1.06,5,0.1,14,0.29,4,0.08,9,0.18,7,0.14,13,0.27
茨城県,33,0.44,8,0.11,6,0.08,5,0.07,3,0.04,5,0.07,6,0.08
栃木県,15,0.31,0,0,1,0.02,3,0.06,1,0.02,2,0.04,8,0.17
群馬県,33,0.63,3,0.06,9,0.17,3,0.06,6,0.11,5,0.09,7,0.13
埼玉県,197,1.22,29,0.18,41,0.25,43,0.26,25,0.15,36,0.22,23,0.14
千葉県,96,0.77,15,0.12,15,0.12,24,0.19,13,0.1,17,0.13,12,0.1
東京都,244,0.94,31,0.12,50,0.19,43,0.16,42,0.16,25,0.1,53,0.2
神奈川県,271,1.19,69,0.31,40,0.17,42,0.19,34,0.15,42,0.19,44,0.19
新潟県,43,0.78,10,0.18,9,0.16,4,0.07,8,0.15,5,0.09,7,0.13
富山県,43,1.48,3,0.1,12,0.41,14,0.48,4,0.14,4,0.14,6,0.21
石川県,65,2.41,7,0.26,11,0.41,3,0.11,16,0.57,13,0.46,15,0.54
福井県,23,0.92,1,0.04,2,0.08,5,0.2,4,0.16,8,0.32,3,0.12
山梨県,19,0.79,0,0,1,0.04,0,0,0,0,15,0.63,3,0.13
長野県,31,0.57,2,0.04,2,0.04,7,0.13,8,0.15,6,0.11,6,0.11
岐阜県,14,0.26,0,0,4,0.08,2,0.04,2,0.04,2,0.04,4,0.08
静岡県,68,0.76,11,0.12,7,0.08,17,0.19,10,0.11,4,0.04,19,0.21
愛知県,80,0.44,19,0.1,9,0.05,13,0.07,16,0.09,13,0.07,10,0.05
三重県,28,0.62,5,0.11,0,0,5,0.11,5,0.11,5,0.11,8,0.18
滋賀県,25,0.71,4,0.11,6,0.17,6,0.17,4,0.11,0,0,5,0.14
京都府,64,0.85,7,0.09,11,0.14,17,0.23,9,0.12,11,0.15,9,0.12
大阪府,173,0.88,30,0.15,30,0.15,31,0.16,27,0.14,27,0.14,28,0.14
兵庫県,110,0.86,24,0.19,7,0.05,19,0.15,26,0.2,15,0.12,19,0.15
奈良県,26,0.76,2,0.06,2,0.06,7,0.21,1,0.03,10,0.29,4,0.12
和歌山県,10,0.33,2,0.07,2,0.07,2,0.07,4,0.13,0,0,0,0
鳥取県,6,0.32,0,0,2,0.11,0,0,1,0.05,1,0.05,2,0.11
島根県,15,0.65,5,0.22,3,0.13,2,0.09,3,0.13,1,0.04,1,0.04
