報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年16週(04月17日～04月23日),2023年04月26日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週
岐阜県,137,2.63,4,0.08,8,0.15,7,0.13,8,0.15,8,0.15,7,0.13,7,0.13,15,0.28,6,0.11,11,0.21,13,0.25,7,0.13,7,0.14,7,0.13,12,0.23,10,0.19
静岡県,271,3.04,11,0.12,12,0.13,10,0.11,14,0.16,11,0.12,14,0.16,28,0.31,26,0.29,11,0.12,16,0.18,15,0.17,20,0.22,17,0.18,27,0.31,22,0.25,17,0.19
愛知県,321,1.76,16,0.09,11,0.06,10,0.05,8,0.04,16,0.09,17,0.09,16,0.09,22,0.12,25,0.14,36,0.2,27,0.15,20,0.11,22,0.12,25,0.14,25,0.14,25,0.14
三重県,164,3.73,7,0.16,7,0.16,13,0.29,6,0.14,6,0.13,5,0.11,9,0.2,16,0.36,19,0.42,16,0.36,10,0.22,8,0.18,11,0.24,10,0.22,8,0.18,13,0.29
滋賀県,82,2.34,8,0.22,5,0.14,6,0.17,3,0.08,8,0.22,3,0.08,11,0.31,4,0.11,10,0.28,3,0.08,1,0.03,3,0.08,3,0.08,6,0.17,5,0.14,3,0.08
京都府,171,2.28,13,0.17,16,0.21,10,0.13,13,0.17,13,0.17,4,0.05,11,0.14,15,0.2,15,0.2,5,0.07,11,0.14,2,0.03,6,0.08,9,0.12,16,0.21,12,0.16
大阪府,488,2.52,20,0.1,20,0.1,32,0.16,28,0.14,26,0.13,23,0.12,23,0.12,18,0.09,25,0.13,15,0.08,31,0.16,42,0.22,35,0.18,56,0.29,47,0.24,47,0.25
兵庫県,330,2.56,24,0.18,18,0.14,17,0.13,12,0.09,20,0.16,9,0.07,33,0.26,18,0.14,16,0.12,16,0.12,26,0.2,26,0.2,21,0.16,14,0.11,30,0.23,30,0.23
奈良県,83,2.44,5,0.15,7,0.21,8,0.24,8,0.24,7,0.21,4,0.12,0,0,6,0.18,5,0.15,5,0.15,3,0.09,6,0.18,4,0.12,4,0.12,4,0.12,7,0.21
和歌山県,38,1.27,0,0,0,0,3,0.1,4,0.13,4,0.13,2,0.07,5,0.17,1,0.03,0,0,3,0.1,3,0.1,4,0.13,1,0.03,2,0.07,2,0.07,4,0.13
鳥取県,45,2.37,6,0.32,1,0.05,3,0.16,1,0.05,3,0.16,0,0,1,0.05,2,0.11,3,0.16,1,0.05,6,0.32,1,0.05,7,0.37,1,0.05,2,0.11,7,0.37
島根県,69,3,2,0.09,1,0.04,2,0.09,0,0,4,0.17,3,0.13,12,0.52,4,0.17,3,0.13,2,0.09,4,0.17,1,0.04,16,0.7,3,0.13,1,0.04,11,0.48
岡山県,146,2.7,5,0.09,26,0.48,2,0.04,10,0.19,4,0.07,12,0.22,13,0.24,9,0.17,8,0.15,13,0.24,6,0.11,4,0.07,6,0.11,7,0.13,9,0.17,12,0.22
広島県,276,3.89,8,0.11,5,0.07,8,0.11,11,0.15,16,0.22,12,0.17,12,0.17,16,0.22,23,0.32,17,0.24,27,0.38,12,0.17,24,0.33,9,0.13,38,0.53,38,0.53
山口県,81,1.84,2,0.04,2,0.04,5,0.11,3,0.07,4,0.09,7,0.16,4,0.09,6,0.13,7,0.16,6,0.13,6,0.13,4,0.09,8,0.18,7,0.16,2,0.05,8,0.19
徳島県,42,1.83,0,0,2,0.09,1,0.04,0,0,2,0.09,4,0.17,1,0.04,2,0.09,6,0.26,1,0.04,2,0.09,0,0,5,0.22,5,0.22,7,0.3,4,0.17
香川県,83,2.96,4,0.14,3,0.11,5,0.18,3,0.11,4,0.14,4,0.14,5,0.18,7,0.25,7,0.25,11,0.39,5,0.18,6,0.21,6,0.21,4,0.14,6,0.21,3,0.11
愛媛県,79,2.19,1,0.03,7,0.19,2,0.05,2,0.05,1,0.03,3,0.08,2,0.05,4,0.11,7,0.19,5,0.14,4,0.11,7,0.19,13,0.36,4,0.11,4,0.11,13,0.35
高知県,30,1.11,2,0.07,2,0.07,1,0.04,0,0,1,0.04,0,0,2,0.07,0,0,1,0.04,0,0,3,0.11,4,0.15,8,0.3,1,0.04,3,0.11,2,0.07
福岡県,478,3.98,19,0.16,25,0.21,24,0.2,19,0.16,22,0.18,25,0.21,23,0.19,23,0.19,28,0.23,34,0.28,32,0.27,40,0.33,36,0.3,36,0.3,38,0.32,54,0.45
佐賀県,129,5.61,3,0.13,4,0.17,8,0.35,5,0.22,3,0.13,8,0.35,4,0.17,10,0.43,9,0.39,10,0.43,3,0.13,11,0.48,13,0.57,10,0.43,15,0.65,13,0.57
長崎県,125,2.84,7,0.16,3,0.07,5,0.11,1,0.02,6,0.14,3,0.07,9,0.2,9,0.2,14,0.32,8,0.18,13,0.3,15,0.34,15,0.34,5,0.11,4,0.09,8,0.18
熊本県,159,3.24,5,0.1,5,0.1,11,0.22,3,0.06,6,0.12,11,0.22,8,0.16,12,0.24,12,0.24,31,0.62,10,0.2,6,0.12,9,0.18,12,0.25,7,0.15,11,0.23
大分県,105,2.92,3,0.08,8,0.22,3,0.08,7,0.19,3,0.08,7,0.19,9,0.25,5,0.14,3,0.08,8,0.22,14,0.39,6,0.17,10,0.28,10,0.28,6,0.17,3,0.08
宮崎県,225,6.43,9,0.25,6,0.17,11,0.31,19,0.53,10,0.28,14,0.39,18,0.5,9,0.25,17,0.47,15,0.42,17,0.47,22,0.61,9,0.25,9,0.25,19,0.53,21,0.58
鹿児島県,343,6.47,16,0.3,11,0.2,17,0.31,22,0.41,18,0.33,26,0.48,31,0.57,31,0.57,12,0.22,17,0.31,21,0.39,32,0.59,12,0.23,23,0.43,23,0.43,31,0.58
沖縄県,104,3.25,5,0.15,7,0.21,6,0.18,4,0.12,4,0.12,7,0.22,5,0.16,6,0.19,4,0.13,8,0.25,5,0.16,8,0.25,13,0.39,4,0.12,6,0.19,12,0.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,23683,7.53,673,0.21,867,0.27,1264,0.4,1271,0.4,1387,0.44,1312,0.42,1648,0.52,1472,0.47,1510,0.48,1605,0.51,1619,0.52,1503,0.48,1625,0.52,1541,0.49,1846,0.59,2540,0.81
北海道,1763,12.78,53,0.39,49,0.35,76,0.55,81,0.59,76,0.55,110,0.79,154,1.11,125,0.9,119,0.86,110,0.79,154,1.11,129,0.93,105,0.76,118,0.85,133,0.96,171,1.22
青森県,105,2.56,2,0.05,4,0.1,7,0.17,9,0.21,3,0.07,10,0.24,5,0.12,13,0.31,4,0.1,4,0.1,11,0.26,6,0.14,3,0.07,4,0.1,6,0.15,14,0.35
岩手県,611,15.67,13,0.33,10,0.25,35,0.88,27,0.68,58,1.45,60,1.5,55,1.38,46,1.15,62,1.55,42,1.05,35,0.88,25,0.63,24,0.6,33,0.85,24,0.62,62,1.59
宮城県,300,5.26,10,0.17,4,0.07,6,0.1,33,0.57,19,0.33,25,0.43,26,0.45,12,0.21,20,0.34,20,0.34,22,0.38,6,0.1,11,0.19,18,0.32,40,0.73,28,0.51
秋田県,213,6.45,6,0.18,6,0.18,15,0.45,14,0.42,13,0.39,11,0.33,15,0.45,14,0.42,12,0.36,12,0.36,29,0.88,12,0.36,18,0.55,11,0.32,10,0.29,15,0.44
山形県,187,6.68,5,0.17,4,0.14,20,0.69,12,0.41,16,0.55,11,0.38,13,0.45,19,0.66,12,0.41,11,0.38,19,0.66,8,0.28,8,0.28,10,0.36,9,0.32,10,0.36
福島県,357,7.14,4,0.08,6,0.12,23,0.46,15,0.3,25,0.5,25,0.5,26,0.52,23,0.46,28,0.56,29,0.58,29,0.58,23,0.46,16,0.32,20,0.4,28,0.56,37,0.74
茨城県,511,6.81,19,0.25,14,0.19,19,0.25,59,0.79,22,0.29,15,0.2,39,0.52,42,0.56,17,0.23,50,0.67,29,0.39,36,0.48,33,0.43,35,0.47,30,0.4,52,0.69
栃木県,294,6.13,7,0.15,3,0.06,17,0.35,19,0.4,16,0.33,16,0.33,36,0.75,24,0.5,13,0.27,15,0.31,19,0.4,16,0.33,24,0.5,20,0.42,26,0.54,23,0.48
群馬県,208,3.92,5,0.09,5,0.09,13,0.25,7,0.13,7,0.13,7,0.13,24,0.45,8,0.15,24,0.45,15,0.28,7,0.13,14,0.26,22,0.42,12,0.22,20,0.37,18,0.33
埼玉県,877,5.48,26,0.17,36,0.23,67,0.42,44,0.27,55,0.34,65,0.4,59,0.37,41,0.25,54,0.34,45,0.28,51,0.32,46,0.29,62,0.39,71,0.44,58,0.36,97,0.6
千葉県,771,5.93,22,0.17,30,0.23,25,0.19,36,0.27,48,0.36,43,0.33,66,0.5,47,0.36,75,0.57,51,0.39,63,0.5,33,0.25,63,0.49,46,0.36,38,0.29,85,0.66
東京都,1435,5.54,28,0.11,39,0.15,64,0.25,59,0.23,62,0.24,81,0.31,92,0.35,105,0.41,93,0.36,103,0.4,100,0.39,93,0.36,88,0.34,99,0.38,139,0.53,190,0.73
神奈川県,1101,4.87,27,0.12,45,0.2,62,0.27,63,0.28,56,0.25,60,0.27,74,0.33,64,0.28,72,0.31,60,0.27,58,0.26,71,0.31,93,0.41,73,0.32,94,0.42,129,0.57
新潟県,864,15.71,19,0.34,27,0.48,41,0.73,47,0.84,62,1.11,66,1.18,75,1.34,58,1.04,49,0.88,64,1.14,56,1,58,1.04,55,1.02,38,0.7,65,1.2,84,1.56
富山県,392,13.52,9,0.31,12,0.41,25,0.86,20,0.69,18,0.62,18,0.62,19,0.66,20,0.69,32,1.1,30,1.03,31,1.07,26,0.9,33,1.14,18,0.62,40,1.38,41,1.41
石川県,152,5.24,3,0.1,6,0.21,6,0.21,8,0.28,5,0.17,6,0.21,8,0.28,6,0.21,9,0.31,13,0.45,17,0.59,14,0.48,10,0.34,8,0.28,10,0.34,23,0.79
福井県,269,11.7,3,0.13,7,0.3,16,0.7,16,0.7,24,1.04,9,0.39,14,0.61,16,0.7,11,0.48,12,0.52,18,0.78,26,1.13,18,0.78,18,0.78,26,1.13,35,1.52
山梨県,20,0.83,2,0.08,3,0.13,0,0,3,0.13,1,0.04,1,0.04,0,0,1,0.04,2,0.08,0,0,1,0.04,0,0,1,0.04,0,0,3,0.13,2,0.08
長野県,153,2.89,13,0.24,13,0.24,12,0.22,9,0.17,31,0.57,4,0.08,10,0.19,4,0.08,8,0.15,7,0.13,6,0.11,4,0.08,11,0.21,7,0.13,4,0.08,10,0.19
岐阜県,165,3.17,5,0.09,3,0.06,8,0.15,2,0.04,8,0.15,2,0.04,6,0.11,12,0.23,6,0.11,7,0.13,10,0.19,9,0.17,17,0.33,18,0.34,27,0.51,25,0.47
静岡県,308,3.46,7,0.08,10,0.11,20,0.22,17,0.19,10,0.11,12,0.13,18,0.2,22,0.25,14,0.16,37,0.42,8,0.09,34,0.38,17,0.18,27,0.31,28,0.32,27,0.31
愛知県,1181,6.49,24,0.13,42,0.23,63,0.35,96,0.53,102,0.56,82,0.45,92,0.51,80,0.44,64,0.35,50,0.27,79,0.43,73,0.4,59,0.32,76,0.42,90,0.49,109,0.6
三重県,155,3.52,9,0.2,11,0.24,7,0.16,13,0.3,9,0.2,9,0.2,3,0.07,4,0.09,7,0.16,3,0.07,5,0.11,16,0.36,20,0.44,15,0.33,5,0.11,19,0.42
滋賀県,218,6.23,7,0.19,3,0.08,19,0.53,6,0.17,11,0.31,0,0,10,0.28,17,0.47,16,0.44,13,0.36,14,0.39,13,0.36,11,0.31,12,0.34,18,0.5,48,1.33
京都府,857,11.43,25,0.33,54,0.71,66,0.87,54,0.71,50,0.66,31,0.41,64,0.84,65,0.86,49,0.64,63,0.83,53,0.7,48,0.64,66,0.87,50,0.66,35,0.46,84,1.12
大阪府,1569,8.09,33,0.17,51,0.26,75,0.39,111,0.57,71,0.37,88,0.45,83,0.43,67,0.35,92,0.47,71,0.36,126,0.65,99,0.51,111,0.57,123,0.63,156,0.8,212,1.12
兵庫県,602,4.67,16,0.12,27,0.21,41,0.32,25,0.19,34,0.26,37,0.29,39,0.3,41,0.32,38,0.29,39,0.3,33,0.26,23,0.18,47,0.36,36,0.28,54,0.42,72,0.56
奈良県,167,4.91,7,0.21,10,0.29,7,0.21,12,0.35,16,0.47,5,0.15,6,0.18,6,0.18,10,0.29,9,0.26,8,0.24,13,0.38,6,0.18,15,0.44,19,0.56,18,0.53
和歌山県,169,5.63,3,0.1,9,0.3,5,0.17,4,0.13,5,0.17,9,0.3,11,0.37,9,0.3,15,0.5,11,0.37,16,0.53,26,0.87,9,0.3,8,0.27,9,0.3,20,0.67
鳥取県,413,21.74,13,0.68,18,0.95,22,1.16,18,0.95,20,1.05,25,1.32,36,1.89,23,1.21,27,1.42,35,1.84,28,1.47,24,1.26,14,0.74,40,2.11,39,2.05,31,1.63
島根県,65,2.83,3,0.13,3,0.13,3,0.13,4,0.17,2,0.09,7,0.3,8,0.35,3,0.13,3,0.13,6,0.26,4,0.17,6,0.26,4,0.17,4,0.17,1,0.04,4,0.17
岡山県,139,2.57,10,0.19,7,0.13,3,0.06,8,0.15,18,0.33,10,0.19,9,0.17,3,0.06,7,0.13,11,0.2,9,0.17,8,0.15,6,0.11,5,0.09,6,0.11,19,0.35
広島県,453,6.38,9,0.13,14,0.19,23,0.32,20,0.28,22,0.31,40,0.56,22,0.31,24,0.33,30,0.42,38,0.53,17,0.24,41,0.57,36,0.5,24,0.33,35,0.49,58,0.81
山口県,350,7.95,19,0.42,23,0.51,10,0.22,11,0.24,12,0.27,22,0.49,20,0.44,7,0.16,13,0.29,24,0.53,27,0.6,29,0.64,24,0.53,20,0.44,28,0.65,61,1.42
徳島県,25,1.09,0,0,1,0.04,1,0.04,0,0,2,0.09,1,0.04,1,0.04,0,0,1,0.04,1,0.04,3,0.13,1,0.04,4,0.17,2,0.09,4,0.17,3,0.13
香川県,30,1.07,0,0,3,0.11,2,0.07,4,0.14,2,0.07,1,0.04,1,0.04,2,0.07,1,0.04,1,0.04,2,0.07,2,0.07,0,0,2,0.07,3,0.11,4,0.14
愛媛県,300,8.33,24,0.65,13,0.35,19,0.51,13,0.35,12,0.32,22,0.59,27,0.73,17,0.46,6,0.16,28,0.76,16,0.43,14,0.38,14,0.39,9,0.24,13,0.35,53,1.43
高知県,116,4.3,0,0,5,0.19,4,0.15,6,0.22,14,0.52,7,0.26,11,0.41,5,0.19,9,0.33,15,0.56,11,0.41,5,0.19,8,0.3,3,0.11,5,0.19,8,0.3
福岡県,2984,24.87,55,0.46,121,1.01,152,1.27,115,0.96,158,1.32,103,0.86,194,1.62,192,1.6,181,1.51,217,1.81,198,1.65,179,1.49,280,2.33,244,2.03,289,2.41,306,2.55
佐賀県,111,4.83,4,0.17,4,0.17,4,0.17,5,0.22,10,0.43,5,0.22,7,0.3,13,0.57,8,0.35,8,0.35,9,0.39,8,0.35,7,0.3,2,0.09,9,0.39,8,0.35
長崎県,1189,27.02,61,1.39,81,1.84,102,2.32,92,2.09,114,2.59,75,1.7,73,1.66,89,2.02,92,2.09,79,1.8,81,1.84,81,1.84,69,1.57,46,1.05,27,0.61,27,0.61
熊本県,171,3.49,6,0.12,5,0.1,8,0.16,4,0.08,8,0.16,10,0.2,11,0.22,16,0.32,20,0.4,25,0.5,2,0.04,8,0.16,8,0.16,7,0.15,11,0.23,22,0.46
大分県,203,5.64,8,0.22,6,0.17,11,0.31,10,0.28,9,0.25,8,0.22,18,0.5,8,0.22,12,0.33,9,0.25,16,0.44,15,0.42,12,0.33,17,0.47,15,0.42,29,0.81
宮崎県,308,8.8,16,0.44,5,0.14,8,0.23,10,0.28,10,0.28,10,0.28,20,0.56,21,0.58,11,0.31,27,0.75,15,0.42,22,0.61,23,0.64,25,0.69,47,1.31,38,1.06
鹿児島県,293,5.53,11,0.2,8,0.15,14,0.26,7,0.13,13,0.24,22,0.41,14,0.26,14,0.26,19,0.35,36,0.67,24,0.44,22,0.41,18,0.35,12,0.23,26,0.49,33,0.62
沖縄県,559,17.47,22,0.67,7,0.21,18,0.55,23,0.7,28,0.85,26,0.81,34,1.06,24,0.75,43,1.34,49,1.53,50,1.56,38,1.19,37,1.12,40,1.21,44,1.38,76,2.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,287046,91.24,10989,3.5,18261,5.79,24310,7.71,23297,7.39,24968,7.91,22902,7.27,23109,7.33,19605,6.23,18776,5.95,18592,5.91,16869,5.38,13272,4.21,11753,3.73,11681,3.72,13166,4.2,15496,4.95
北海道,5618,40.71,157,1.15,296,2.13,358,2.59,424,3.09,365,2.63,383,2.76,442,3.18,420,3.02,468,3.37,401,2.88,356,2.56,310,2.23,224,1.61,279,2.01,319,2.29,416,2.97
青森県,3540,86.34,76,1.81,143,3.4,251,5.98,296,7.05,394,9.38,374,8.9,396,9.43,311,7.4,311,7.4,213,5.07,210,5,148,3.52,122,2.9,101,2.53,81,2.03,113,2.83
岩手県,3497,89.67,112,2.8,176,4.4,262,6.55,326,8.15,397,9.93,278,6.95,298,7.45,225,5.63,240,6,246,6.15,237,5.93,154,3.85,137,3.43,124,3.18,121,3.1,164,4.21
宮城県,6165,108.16,128,2.21,280,4.83,364,6.28,473,8.16,584,10.07,629,10.84,491,8.47,412,7.1,519,8.95,597,10.29,497,8.57,308,5.31,287,4.95,209,3.73,191,3.47,196,3.56
秋田県,1832,55.52,38,1.15,55,1.67,99,3,156,4.73,214,6.48,164,4.97,202,6.12,157,4.76,139,4.21,112,3.39,95,2.88,95,2.88,69,2.09,78,2.29,66,1.94,93,2.74
山形県,2974,106.21,96,3.31,171,5.9,308,10.62,234,8.07,341,11.76,320,11.03,335,11.55,261,9,199,6.86,174,6,133,4.59,85,2.93,101,3.48,62,2.21,70,2.5,84,3
福島県,4025,80.5,105,2.1,188,3.76,297,5.94,360,7.2,381,7.62,413,8.26,392,7.84,345,6.9,296,5.92,286,5.72,247,4.94,153,3.06,122,2.44,124,2.48,164,3.28,152,3.04
茨城県,4894,65.25,284,3.79,427,5.77,421,5.61,400,5.33,458,6.11,395,5.27,403,5.37,329,4.39,295,3.93,276,3.68,311,4.15,219,2.92,165,2.17,151,2.01,154,2.05,206,2.75
栃木県,3542,73.79,115,2.4,166,3.46,317,6.6,392,8.17,398,8.29,333,6.94,343,7.15,291,6.06,210,4.38,153,3.19,232,4.83,142,2.96,119,2.48,94,1.96,125,2.6,112,2.33
群馬県,4780,90.19,216,4.08,309,5.83,473,8.92,473,8.92,472,8.91,438,8.26,432,8.15,347,6.55,297,5.6,241,4.55,219,4.13,176,3.32,167,3.15,174,3.22,152,2.81,194,3.59
埼玉県,16003,100.02,859,5.61,1471,9.19,1614,10.02,1526,9.48,1386,8.61,1181,7.34,1160,7.25,977,6.07,893,5.55,885,5.5,733,4.64,602,3.74,565,3.58,580,3.56,655,4.04,916,5.65
千葉県,11878,91.37,631,4.89,1152,8.86,1332,10.17,1183,8.89,1154,8.74,970,7.46,906,6.86,729,5.52,601,4.59,591,4.51,537,4.23,395,3.04,401,3.11,396,3.07,443,3.41,457,3.54
東京都,25255,97.51,1212,4.72,2167,8.3,2796,10.71,2337,8.95,2269,8.73,1749,6.73,1835,7.06,1464,5.7,1391,5.37,1372,5.32,1278,4.99,1049,4.05,898,3.47,954,3.67,1130,4.35,1354,5.23
神奈川県,18847,83.39,863,3.82,1597,6.94,2151,9.39,1946,8.57,1966,8.62,1574,6.96,1435,6.32,1151,5.07,934,4.04,972,4.34,907,4.1,675,2.96,634,2.78,591,2.62,633,2.81,818,3.64
新潟県,4492,81.67,143,2.55,208,3.71,353,6.3,346,6.18,357,6.38,359,6.41,379,6.77,347,6.2,301,5.38,312,5.57,258,4.61,217,3.88,178,3.3,216,4,238,4.41,280,5.19
富山県,4604,158.76,79,2.72,167,5.76,277,9.55,318,10.97,356,12.28,407,14.03,356,12.28,365,12.59,326,11.24,420,14.48,310,10.69,210,7.24,246,8.48,235,8.1,259,8.93,273,9.41
石川県,4585,158.1,159,5.48,242,8.34,379,13.07,347,11.97,340,11.72,292,10.07,327,11.28,269,9.28,223,7.69,237,8.17,223,7.69,228,7.86,287,9.9,309,10.66,360,12.41,363,12.52
福井県,1883,81.87,122,5.3,169,7.35,160,6.96,152,6.61,145,6.3,138,6,119,5.17,98,4.26,88,3.83,95,4.13,110,4.78,98,4.26,88,3.83,93,4.04,90,3.91,118,5.13
山梨県,2270,94.58,63,2.63,84,3.5,186,7.75,257,10.71,250,10.42,207,8.63,273,11.38,233,9.71,158,6.58,139,5.79,105,4.38,83,3.46,56,2.33,65,2.71,49,2.04,62,2.58
長野県,5917,111.64,165,3.06,353,6.54,531,9.83,582,10.78,530,9.81,510,9.62,478,9.02,454,8.57,435,8.21,377,7.11,305,5.75,211,3.98,232,4.38,197,3.72,278,5.25,279,5.26
岐阜県,3150,60.58,56,1.06,137,2.58,160,3.02,218,4.11,199,3.75,235,4.43,224,4.23,218,4.11,242,4.57,226,4.26,272,5.13,208,3.92,142,2.78,172,3.25,174,3.28,267,5.04
静岡県,7892,88.67,209,2.35,374,4.2,571,6.42,655,7.36,814,9.15,739,8.3,802,9.01,650,7.3,541,6.08,503,5.65,453,5.09,324,3.64,306,3.29,262,2.98,281,3.19,408,4.64
愛知県,15738,86.47,517,2.84,834,4.58,1036,5.69,1054,5.79,1187,6.52,1082,5.95,1277,7.02,1098,6.03,1154,6.34,1073,5.9,1116,6.13,856,4.7,873,4.77,769,4.23,787,4.32,1025,5.63
三重県,3573,81.2,159,3.53,233,5.18,279,6.2,229,5.2,273,6.07,241,5.36,249,5.53,228,5.07,193,4.29,262,5.82,269,5.98,211,4.69,173,3.84,178,3.96,170,3.78,226,5.02
滋賀県,2697,77.06,112,3.11,175,4.86,265,7.36,200,5.56,216,6,238,6.61,227,6.31,195,5.42,156,4.33,165,4.58,154,4.28,133,3.69,114,3.17,82,2.34,160,4.44,105,2.92
京都府,5580,74.4,161,2.12,371,4.88,532,7,441,5.8,420,5.53,436,5.74,351,4.62,331,4.36,332,4.37,416,5.47,367,4.83,308,4.11,280,3.68,195,2.57,308,4.05,331,4.41
大阪府,17282,89.08,567,2.92,943,4.86,1261,6.5,1293,6.66,1345,6.93,1294,6.67,1322,6.81,1115,5.75,1108,5.71,1221,6.26,1127,5.78,925,4.74,785,4.03,873,4.5,966,4.98,1137,5.98
兵庫県,14953,115.91,424,3.26,732,5.67,1127,8.74,1136,8.81,1301,10.09,1185,9.19,1202,9.32,1045,8.1,1155,8.95,1056,8.19,930,7.21,718,5.57,656,5.05,635,4.92,778,6.03,873,6.77
奈良県,3075,90.44,70,2.06,153,4.5,169,4.97,169,4.97,216,6.35,189,5.56,241,7.09,235,6.91,256,7.53,245,7.21,247,7.26,193,5.68,154,4.53,174,5.12,168,4.94,196,5.76
和歌山県,2098,69.93,62,2.07,99,3.3,138,4.6,134,4.47,182,6.07,170,5.67,155,5.17,129,4.3,141,4.7,126,4.2,120,4,119,3.97,106,3.53,120,4,143,4.77,154,5.13
鳥取県,2374,124.95,41,2.16,82,4.32,102,5.37,145,7.63,152,8,156,8.21,152,8,161,8.47,179,9.42,171,9,189,9.95,175,9.21,150,7.89,148,7.79,179,9.42,192,10.11
島根県,2288,99.48,53,2.3,101,4.39,181,7.87,175,7.61,190,8.26,200,8.7,223,9.7,207,9,165,7.17,161,7,112,4.87,77,3.35,82,3.57,72,3.13,120,5.22,169,7.35
岡山県,4729,87.57,266,4.93,373,6.91,529,9.8,413,7.65,395,7.31,385,7.13,384,7.11,260,4.81,242,4.48,250,4.63,216,4,209,3.87,165,3.06,218,4.04,193,3.57,231,4.28
広島県,7370,103.8,399,5.62,611,8.49,748,10.39,647,8.99,695,9.65,595,8.26,596,8.28,454,6.31,470,6.53,462,6.42,360,5,284,3.94,239,3.32,225,3.13,266,3.69,319,4.43
山口県,4730,107.5,143,3.18,242,5.38,302,6.71,310,6.89,429,9.53,533,11.84,454,10.09,465,10.33,371,8.24,347,7.71,256,5.69,218,4.84,193,4.29,126,2.8,172,4,169,3.93
徳島県,2175,94.57,101,4.39,126,5.48,172,7.48,133,5.78,166,7.22,183,7.96,166,7.22,149,6.48,170,7.39,138,6,142,6.17,109,4.74,114,4.96,74,3.22,101,4.39,131,5.7
香川県,3841,137.18,209,7.46,297,10.61,427,15.25,351,12.54,427,15.25,317,11.32,284,10.14,217,7.75,213,7.61,184,6.57,124,4.43,145,5.18,166,5.93,163,5.82,154,5.5,163,5.82
愛媛県,5806,161.28,161,4.35,291,7.86,403,10.89,350,9.46,442,11.95,387,10.46,649,17.54,513,13.86,510,13.78,444,12,384,10.38,314,8.49,208,5.78,210,5.68,258,6.97,282,7.62
高知県,2083,77.15,102,3.78,118,4.37,182,6.74,188,6.96,228,8.44,219,8.11,182,6.74,158,5.85,169,6.26,158,5.85,104,3.85,78,2.89,51,1.89,51,1.89,32,1.19,63,2.33
福岡県,11021,91.84,532,4.43,698,5.82,825,6.88,635,5.29,772,6.43,734,6.12,871,7.26,678,5.65,805,6.71,820,6.83,770,6.42,618,5.15,495,4.13,518,4.32,548,4.57,702,5.85
佐賀県,1215,52.83,48,2.09,52,2.26,67,2.91,65,2.83,59,2.57,75,3.26,94,4.09,84,3.65,104,4.52,112,4.87,70,3.04,67,2.91,63,2.74,67,2.91,85,3.7,103,4.48
長崎県,2640,60,142,3.23,186,4.23,254,5.77,220,5,202,4.59,235,5.34,204,4.64,152,3.45,165,3.75,141,3.2,122,2.77,132,3,102,2.32,104,2.36,144,3.27,135,3.07
熊本県,4350,88.78,233,4.66,335,6.7,352,7.04,295,5.9,325,6.5,351,7.02,330,6.6,283,5.66,284,5.68,311,6.22,255,5.1,204,4.16,168,3.43,182,3.79,212,4.51,230,4.79
大分県,6323,175.64,204,5.67,257,7.14,393,10.92,390,10.83,492,13.67,519,14.42,431,11.97,447,12.42,420,11.67,508,14.11,459,12.75,377,10.47,299,8.31,343,9.53,368,10.22,416,11.56
宮崎県,5842,166.91,175,4.86,292,8.11,409,11.69,439,12.19,488,13.56,500,13.89,521,14.47,437,12.14,379,10.53,341,9.47,308,8.56,283,7.86,252,7,294,8.17,372,10.33,352,9.78
鹿児島県,6662,125.7,184,3.41,272,5.04,445,8.24,423,7.83,551,10.2,536,9.93,468,8.67,461,8.54,475,8.8,579,10.72,565,10.46,379,7.02,262,5.04,317,5.98,356,6.72,389,7.34
