報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年13週(03月25日～03月31日),2024年04月03日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週
沖縄県,97,3.13,8,0.26,8,0.26,9,0.29,7,0.23,9,0.29,7,0.23,6,0.19,6,0.19,9,0.29,4,0.13,7,0.23,8,0.26,9,0.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,7442,2.38,442,0.14,411,0.13,547,0.17,626,0.2,684,0.22,590,0.19,532,0.17,593,0.19,684,0.22,550,0.18,652,0.21,522,0.17,609,0.19
北海道,40,0.29,5,0.04,6,0.04,2,0.01,5,0.04,1,0.01,2,0.01,4,0.03,3,0.02,2,0.01,4,0.03,2,0.01,2,0.01,2,0.01
青森県,30,0.81,3,0.08,6,0.16,7,0.19,4,0.11,2,0.05,3,0.08,1,0.03,1,0.03,0,0,2,0.05,0,0,0,0,1,0.03
岩手県,72,1.89,6,0.15,7,0.18,14,0.36,9,0.23,13,0.33,5,0.13,7,0.18,1,0.03,0,0,1,0.03,7,0.18,1,0.03,1,0.03
宮城県,31,0.56,4,0.07,5,0.09,3,0.05,1,0.02,4,0.07,3,0.05,1,0.02,2,0.04,0,0,0,0,6,0.11,1,0.02,1,0.02
秋田県,59,1.84,2,0.06,6,0.18,3,0.09,14,0.42,8,0.24,7,0.21,7,0.21,4,0.12,0,0,4,0.12,3,0.09,0,0,1,0.03
山形県,120,4.29,2,0.07,9,0.32,8,0.29,12,0.43,14,0.5,31,1.11,16,0.57,12,0.43,13,0.46,1,0.04,1,0.04,1,0.04,0,0
福島県,19,0.39,2,0.04,1,0.02,2,0.04,0,0,2,0.04,4,0.08,3,0.06,2,0.04,2,0.04,1,0.02,0,0,0,0,0,0
茨城県,30,0.4,8,0.11,4,0.05,0,0,2,0.03,0,0,2,0.03,0,0,1,0.01,5,0.07,3,0.04,2,0.03,1,0.01,2,0.03
栃木県,84,1.75,7,0.15,9,0.19,10,0.21,7,0.15,7,0.15,5,0.1,4,0.08,3,0.06,3,0.06,4,0.08,13,0.27,6,0.13,6,0.13
群馬県,240,4.53,14,0.26,14,0.26,30,0.57,17,0.32,18,0.34,11,0.21,15,0.28,10,0.19,14,0.26,22,0.42,21,0.4,28,0.53,26,0.49
埼玉県,151,0.93,5,0.03,12,0.07,15,0.09,13,0.08,16,0.1,14,0.09,6,0.04,13,0.08,22,0.13,5,0.03,13,0.08,8,0.05,9,0.06
千葉県,46,0.37,11,0.09,6,0.05,3,0.02,4,0.03,2,0.02,3,0.02,1,0.01,0,0,3,0.02,1,0.01,7,0.06,0,0,5,0.04
東京都,187,0.72,32,0.13,25,0.1,16,0.06,21,0.08,16,0.06,21,0.08,13,0.05,10,0.04,4,0.02,1,0,8,0.03,4,0.02,16,0.06
神奈川県,145,0.63,8,0.04,6,0.03,12,0.05,8,0.03,18,0.08,18,0.08,19,0.08,4,0.02,15,0.07,7,0.03,11,0.05,9,0.04,10,0.04
新潟県,46,0.84,7,0.13,7,0.13,4,0.07,7,0.13,13,0.24,4,0.07,1,0.02,1,0.02,1,0.02,1,0.02,0,0,0,0,0,0
富山県,37,1.28,3,0.1,3,0.1,5,0.17,6,0.21,6,0.21,4,0.14,4,0.14,0,0,2,0.07,1,0.03,1,0.03,0,0,2,0.07
石川県,76,2.71,3,0.11,5,0.19,2,0.07,9,0.32,13,0.46,3,0.11,8,0.28,6,0.21,3,0.1,1,0.03,7,0.24,2,0.07,14,0.48
福井県,255,10.2,7,0.28,5,0.2,3,0.12,5,0.2,9,0.36,9,0.36,14,0.56,41,1.64,41,1.64,27,1.08,42,1.68,34,1.36,18,0.72
山梨県,41,1.71,10,0.42,4,0.17,3,0.13,7,0.29,5,0.21,4,0.17,0,0,0,0,1,0.04,2,0.08,1,0.04,1,0.04,3,0.13
長野県,32,0.59,12,0.22,2,0.04,2,0.04,7,0.13,1,0.02,2,0.04,2,0.04,0,0,3,0.06,0,0,1,0.02,0,0,0,0
岐阜県,63,1.19,4,0.08,4,0.08,3,0.06,2,0.04,1,0.02,3,0.06,6,0.11,3,0.06,16,0.3,8,0.15,4,0.08,5,0.09,4,0.08
静岡県,79,0.89,3,0.03,4,0.04,4,0.04,10,0.11,8,0.09,13,0.15,4,0.04,3,0.03,3,0.03,9,0.1,4,0.04,3,0.03,11,0.12
愛知県,92,0.51,3,0.02,7,0.04,9,0.05,2,0.01,7,0.04,4,0.02,5,0.03,5,0.03,8,0.04,8,0.04,9,0.05,8,0.04,17,0.09
三重県,91,2.02,1,0.02,3,0.07,6,0.13,6,0.13,4,0.09,8,0.18,6,0.13,7,0.16,12,0.27,9,0.2,7,0.16,15,0.33,7,0.16
滋賀県,97,2.77,3,0.08,12,0.33,5,0.14,6,0.17,12,0.33,2,0.06,7,0.19,7,0.19,6,0.17,8,0.22,14,0.39,4,0.11,11,0.31
京都府,261,3.48,12,0.16,8,0.11,13,0.17,26,0.35,23,0.31,18,0.24,13,0.17,18,0.24,36,0.47,24,0.32,29,0.38,23,0.3,18,0.24
大阪府,1178,5.98,67,0.34,49,0.25,82,0.42,102,0.52,110,0.56,83,0.42,107,0.54,113,0.57,96,0.48,87,0.44,104,0.53,69,0.35,109,0.55
兵庫県,377,2.95,19,0.15,20,0.16,23,0.18,29,0.23,23,0.18,25,0.2,30,0.23,28,0.22,39,0.3,40,0.31,24,0.19,40,0.31,37,0.29
奈良県,159,4.82,17,0.5,9,0.26,12,0.35,3,0.09,11,0.32,6,0.18,9,0.27,24,0.73,17,0.52,20,0.61,19,0.58,6,0.18,6,0.18
和歌山県,122,4.07,6,0.2,12,0.4,11,0.37,11,0.37,10,0.33,6,0.2,9,0.3,12,0.4,17,0.57,13,0.43,4,0.13,7,0.23,4,0.13
鳥取県,31,1.63,0,0,1,0.05,4,0.21,4,0.21,5,0.26,2,0.11,3,0.16,3,0.16,4,0.21,1,0.05,2,0.11,2,0.11,0,0
島根県,67,2.91,0,0,0,0,4,0.17,5,0.22,7,0.3,4,0.17,4,0.17,7,0.3,5,0.22,8,0.35,9,0.39,5,0.22,9,0.39
岡山県,253,4.69,11,0.2,8,0.15,9,0.17,8,0.15,5,0.09,21,0.39,13,0.24,28,0.52,40,0.74,12,0.22,36,0.67,33,0.61,29,0.54
広島県,240,3.48,3,0.04,11,0.16,15,0.21,18,0.26,31,0.45,17,0.25,20,0.29,22,0.31,27,0.39,23,0.33,17,0.24,14,0.2,22,0.31
山口県,31,0.72,2,0.05,2,0.05,3,0.07,1,0.02,4,0.09,2,0.05,0,0,1,0.02,2,0.05,5,0.12,4,0.09,3,0.07,2,0.05
徳島県,159,6.91,8,0.35,2,0.09,1,0.04,11,0.48,14,0.61,7,0.3,8,0.35,14,0.61,18,0.78,24,1.04,21,0.91,12,0.52,19,0.83
香川県,217,7.75,4,0.14,4,0.14,5,0.18,30,1.07,23,0.82,27,0.96,18,0.64,32,1.14,25,0.89,18,0.64,5,0.18,12,0.43,14,0.5
愛媛県,220,6.11,14,0.39,14,0.38,20,0.54,14,0.38,10,0.27,11,0.3,9,0.24,20,0.54,21,0.57,17,0.46,24,0.65,21,0.57,25,0.68
高知県,41,1.64,4,0.15,5,0.19,6,0.23,0,0,5,0.19,2,0.08,3,0.12,4,0.15,5,0.19,1,0.04,1,0.04,2,0.08,3,0.12
福岡県,445,3.71,27,0.23,28,0.23,37,0.31,46,0.38,45,0.38,36,0.3,37,0.31,27,0.23,38,0.32,28,0.23,39,0.33,35,0.29,22,0.18
佐賀県,48,2.09,1,0.04,3,0.13,6,0.26,5,0.22,11,0.48,4,0.17,2,0.09,4,0.17,6,0.26,0,0,3,0.13,3,0.13,0,0
長崎県,171,3.98,14,0.32,5,0.11,9,0.2,13,0.3,19,0.43,18,0.41,10,0.23,6,0.14,9,0.21,18,0.42,18,0.42,21,0.49,11,0.26
熊本県,207,4.14,13,0.26,12,0.24,20,0.4,24,0.48,23,0.46,29,0.58,18,0.36,8,0.16,20,0.4,13,0.26,13,0.26,5,0.1,9,0.18
大分県,200,5.56,8,0.22,3,0.08,4,0.11,12,0.33,21,0.58,14,0.39,17,0.47,22,0.61,14,0.39,13,0.36,22,0.61,17,0.47,33,0.92
宮崎県,290,8.06,14,0.39,13,0.36,28,0.78,28,0.78,33,0.92,25,0.69,20,0.56,20,0.56,18,0.5,15,0.42,19,0.53,22,0.61,35,0.97
鹿児島県,513,10.06,31,0.61,26,0.51,58,1.14,44,0.86,48,0.94,45,0.88,27,0.53,40,0.78,46,0.9,38,0.75,44,0.86,33,0.65,33,0.65
沖縄県,49,1.58,2,0.06,4,0.13,6,0.19,8,0.26,3,0.1,3,0.1,1,0.03,1,0.03,2,0.06,2,0.06,11,0.35,4,0.13,2,0.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,767,0.24,29,0.01,59,0.02,54,0.02,63,0.02,61,0.02,61,0.02,54,0.02,55,0.02,60,0.02,68,0.02,63,0.02,53,0.02,87,0.03
北海道,4,0.03,1,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,1,0.01,0,0
青森県,5,0.14,0,0,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0
岩手県,8,0.21,0,0,0,0,0,0,0,0,0,0,2,0.05,0,0,1,0.03,0,0,0,0,0,0,1,0.03,4,0.1
宮城県,7,0.13,1,0.02,0,0,0,0,4,0.07,0,0,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,0,0
秋田県,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0
山形県,10,0.36,1,0.04,3,0.11,0,0,1,0.04,2,0.07,1,0.04,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0
福島県,14,0.29,0,0,1,0.02,4,0.08,1,0.02,1,0.02,1,0.02,0,0,0,0,2,0.04,1,0.02,1,0.02,0,0,2,0.04
茨城県,11,0.15,1,0.01,1,0.01,1,0.01,1,0.01,2,0.03,0,0,0,0,0,0,0,0,1,0.01,0,0,3,0.04,1,0.01
栃木県,5,0.1,0,0,0,0,2,0.04,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02,1,0.02,0,0
群馬県,9,0.17,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0,1,0.02,1,0.02,0,0,2,0.04,0,0,0,0,1,0.02
埼玉県,43,0.26,1,0.01,3,0.02,4,0.02,5,0.03,3,0.02,1,0.01,3,0.02,1,0.01,4,0.02,1,0.01,2,0.01,7,0.04,8,0.05
千葉県,24,0.19,0,0,1,0.01,2,0.02,2,0.02,0,0,1,0.01,1,0.01,2,0.02,2,0.02,1,0.01,4,0.03,4,0.03,4,0.03
東京都,232,0.89,7,0.03,26,0.1,18,0.07,21,0.08,20,0.08,21,0.08,21,0.08,14,0.05,16,0.06,16,0.06,18,0.07,11,0.04,23,0.09
神奈川県,110,0.48,2,0.01,5,0.02,11,0.05,6,0.03,7,0.03,15,0.06,7,0.03,12,0.05,11,0.05,10,0.04,8,0.03,6,0.03,10,0.04
新潟県,12,0.22,0,0,1,0.02,0,0,3,0.05,0,0,0,0,2,0.04,1,0.02,0,0,2,0.04,1,0.02,0,0,2,0.04
富山県,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,2,0.07,0,0,0,0
石川県,3,0.11,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0
福井県,5,0.2,2,0.08,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04
山梨県,2,0.08,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0
長野県,6,0.11,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02,1,0.02,2,0.04,0,0,1,0.02,0,0
岐阜県,4,0.08,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0
静岡県,19,0.21,0,0,0,0,1,0.01,0,0,4,0.04,0,0,1,0.01,2,0.02,3,0.03,4,0.04,1,0.01,1,0.01,2,0.02
愛知県,15,0.08,3,0.02,0,0,0,0,0,0,0,0,1,0.01,1,0.01,2,0.01,3,0.02,3,0.02,1,0.01,0,0,1,0.01
三重県,7,0.16,0,0,0,0,1,0.02,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0,1,0.02,0,0,0,0,2,0.04
滋賀県,9,0.26,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,2,0.06,0,0,0,0,0,0,2,0.06,3,0.08
京都府,4,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01,0,0,1,0.01
大阪府,34,0.17,1,0.01,6,0.03,0,0,1,0.01,2,0.01,4,0.02,3,0.02,2,0.01,4,0.02,2,0.01,1,0.01,1,0.01,7,0.04
兵庫県,30,0.23,0,0,2,0.02,1,0.01,4,0.03,1,0.01,2,0.02,2,0.02,1,0.01,1,0.01,4,0.03,3,0.02,4,0.03,5,0.04
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05
島根県,3,0.13,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04
岡山県,17,0.31,3,0.06,1,0.02,2,0.04,2,0.04,2,0.04,0,0,1,0.02,0,0,1,0.02,0,0,2,0.04,0,0,3,0.06
広島県,8,0.12,1,0.01,1,0.01,0,0,0,0,2,0.03,1,0.01,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01
山口県,6,0.14,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,1,0.02,1,0.02,2,0.05,1,0.02
徳島県,3,0.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0,0,0
香川県,12,0.43,0,0,0,0,0,0,0,0,3,0.11,0,0,2,0.07,0,0,2,0.07,1,0.04,4,0.14,0,0,0,0
愛媛県,4,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,2,0.05,0,0
高知県,8,0.32,1,0.04,0,0,0,0,1,0.04,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04,3,0.12,0,0,0,0
福岡県,23,0.19,1,0.01,1,0.01,1,0.01,1,0.01,0,0,0,0,0,0,4,0.03,3,0.03,5,0.04,3,0.03,1,0.01,3,0.03
佐賀県,4,0.17,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0
長崎県,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0
熊本県,13,0.26,0,0,1,0.02,0,0,3,0.06,2,0.04,4,0.08,0,0,0,0,0,0,0,0,2,0.04,1,0.02,0,0
大分県,7,0.19,0,0,0,0,0,0,3,0.08,0,0,1,0.03,0,0,0,0,0,0,1,0.03,1,0.03,1,0.03,0,0
宮崎県,7,0.19,0,0,0,0,0,0,0,0,4,0.11,0,0,2,0.06,0,0,1,0.03,0,0,0,0,0,0,0,0
鹿児島県,6,0.12,0,0,1,0.02,1,0.02,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0
沖縄県,6,0.19,0,0,1,0.03,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,8050,2.57,358,0.12,643,0.21,655,0.21,638,0.2,631,0.2,578,0.18,592,0.19,591,0.19,665,0.21,634,0.2,703,0.22,657,0.21,705,0.22
北海道,181,1.31,9,0.07,14,0.1,15,0.11,17,0.12,12,0.09,13,0.09,13,0.09,24,0.17,14,0.1,11,0.08,12,0.09,14,0.1,13,0.09
青森県,105,2.84,5,0.14,4,0.11,6,0.16,8,0.22,9,0.24,14,0.38,15,0.41,11,0.3,6,0.16,8,0.22,6,0.16,10,0.27,3,0.08
岩手県,151,3.97,8,0.21,15,0.38,9,0.23,13,0.33,11,0.28,19,0.5,13,0.34,10,0.26,8,0.21,12,0.31,10,0.26,14,0.36,9,0.23
宮城県,162,2.95,9,0.16,19,0.35,8,0.15,11,0.2,21,0.38,14,0.25,17,0.31,10,0.18,2,0.04,5,0.09,15,0.27,16,0.29,15,0.27
秋田県,54,1.69,1,0.03,8,0.24,6,0.18,5,0.15,5,0.15,2,0.06,2,0.06,3,0.09,2,0.06,5,0.15,3,0.09,3,0.09,9,0.27
山形県,115,4.11,6,0.21,7,0.25,14,0.5,11,0.39,11,0.39,6,0.21,9,0.32,5,0.18,13,0.46,11,0.39,3,0.11,9,0.32,10,0.36
福島県,180,3.67,7,0.14,14,0.29,12,0.24,17,0.35,14,0.29,18,0.37,8,0.16,22,0.45,11,0.22,14,0.29,19,0.39,13,0.27,11,0.22
茨城県,80,1.07,4,0.05,7,0.09,8,0.11,3,0.04,4,0.05,6,0.08,3,0.04,9,0.12,9,0.12,5,0.07,7,0.09,9,0.12,6,0.08
栃木県,136,2.83,6,0.13,13,0.27,9,0.19,13,0.27,11,0.23,8,0.17,8,0.17,7,0.15,13,0.27,12,0.25,13,0.27,10,0.21,13,0.27
群馬県,163,3.08,6,0.11,9,0.17,9,0.17,16,0.3,18,0.34,12,0.23,13,0.25,13,0.25,16,0.3,11,0.21,11,0.21,16,0.3,13,0.25
埼玉県,412,2.53,21,0.13,28,0.17,43,0.26,34,0.21,29,0.18,30,0.18,23,0.14,30,0.18,37,0.23,29,0.18,42,0.26,28,0.17,38,0.23
千葉県,308,2.46,15,0.12,22,0.17,15,0.12,32,0.26,31,0.24,21,0.17,16,0.13,31,0.25,28,0.22,33,0.26,23,0.18,18,0.14,23,0.18
東京都,701,2.69,25,0.1,63,0.24,62,0.24,55,0.21,65,0.25,43,0.16,57,0.22,41,0.16,53,0.2,58,0.22,64,0.24,64,0.24,51,0.19
神奈川県,501,2.19,14,0.06,41,0.18,44,0.19,36,0.16,42,0.19,38,0.16,28,0.12,42,0.18,39,0.17,40,0.17,45,0.2,46,0.2,46,0.2
新潟県,135,2.45,7,0.13,14,0.25,11,0.2,9,0.16,11,0.2,15,0.27,11,0.2,14,0.25,12,0.22,11,0.2,4,0.07,11,0.2,5,0.09
富山県,64,2.21,1,0.03,7,0.24,3,0.1,6,0.21,5,0.17,6,0.21,3,0.1,7,0.24,5,0.17,8,0.28,4,0.14,4,0.14,5,0.17
石川県,65,2.32,4,0.15,5,0.19,9,0.33,2,0.07,3,0.11,4,0.14,6,0.21,1,0.03,6,0.21,6,0.21,6,0.21,7,0.24,6,0.21
福井県,64,2.56,5,0.2,8,0.32,1,0.04,7,0.28,1,0.04,5,0.2,4,0.16,6,0.24,6,0.24,4,0.16,8,0.32,5,0.2,4,0.16
山梨県,63,2.63,2,0.08,5,0.21,8,0.33,6,0.25,3,0.13,4,0.17,5,0.21,3,0.13,6,0.25,8,0.33,4,0.17,4,0.17,5,0.21
長野県,92,1.7,7,0.13,7,0.13,8,0.15,5,0.09,8,0.15,2,0.04,8,0.15,7,0.13,8,0.15,5,0.09,8,0.15,8,0.15,11,0.2
岐阜県,141,2.66,4,0.08,10,0.19,20,0.38,12,0.23,9,0.17,12,0.23,13,0.25,10,0.19,6,0.11,10,0.19,17,0.32,8,0.15,10,0.19
静岡県,231,2.6,6,0.07,20,0.22,12,0.13,19,0.21,15,0.17,17,0.19,17,0.19,12,0.13,24,0.27,22,0.25,21,0.24,22,0.25,24,0.27
愛知県,328,1.8,14,0.08,21,0.12,28,0.15,19,0.1,23,0.13,20,0.11,29,0.16,26,0.14,26,0.14,33,0.18,30,0.16,36,0.2,23,0.13
三重県,115,2.56,5,0.11,8,0.18,9,0.2,8,0.18,12,0.27,9,0.2,8,0.18,4,0.09,11,0.24,7,0.16,13,0.29,7,0.16,14,0.31
滋賀県,68,1.94,2,0.06,6,0.17,8,0.23,3,0.09,6,0.17,3,0.08,5,0.14,5,0.14,8,0.22,7,0.19,4,0.11,7,0.19,4,0.11
京都府,125,1.67,1,0.01,8,0.11,10,0.13,8,0.11,10,0.13,12,0.16,9,0.12,12,0.16,11,0.14,6,0.08,11,0.14,8,0.11,19,0.25
大阪府,421,2.14,19,0.1,36,0.18,32,0.16,31,0.16,30,0.15,28,0.14,39,0.2,32,0.16,44,0.22,30,0.15,38,0.19,31,0.16,31,0.16
兵庫県,284,2.22,13,0.1,27,0.21,31,0.24,19,0.15,13,0.1,13,0.1,15,0.12,26,0.2,27,0.21,23,0.18,24,0.19,26,0.2,27,0.21
奈良県,85,2.58,7,0.21,5,0.15,9,0.26,5,0.15,3,0.09,7,0.21,9,0.27,9,0.27,8,0.24,7,0.21,5,0.15,4,0.12,7,0.21
和歌山県,72,2.4,6,0.2,5,0.17,4,0.13,9,0.3,2,0.07,2,0.07,2,0.07,5,0.17,8,0.27,4,0.13,11,0.37,6,0.2,8,0.27
鳥取県,46,2.42,1,0.05,2,0.11,4,0.21,2,0.11,4,0.21,3,0.16,8,0.42,3,0.16,7,0.37,3,0.16,4,0.21,3,0.16,2,0.11
島根県,87,3.78,3,0.13,10,0.43,6,0.26,8,0.35,1,0.04,4,0.17,5,0.22,3,0.13,13,0.57,5,0.22,14,0.61,7,0.3,8,0.35
岡山県,116,2.15,4,0.07,16,0.3,11,0.2,8,0.15,8,0.15,8,0.15,13,0.24,6,0.11,12,0.22,6,0.11,7,0.13,7,0.13,10,0.19
広島県,160,2.32,8,0.11,10,0.14,15,0.21,16,0.23,13,0.19,10,0.15,4,0.06,11,0.16,13,0.19,11,0.16,14,0.2,14,0.2,21,0.3
山口県,156,3.63,7,0.16,11,0.26,12,0.28,8,0.19,12,0.28,12,0.28,15,0.35,8,0.19,14,0.33,15,0.35,10,0.23,16,0.37,16,0.37
徳島県,69,3,3,0.13,4,0.17,4,0.17,7,0.3,6,0.26,4,0.17,6,0.26,7,0.3,1,0.04,8,0.35,6,0.26,6,0.26,7,0.3
香川県,75,2.68,2,0.07,4,0.14,6,0.21,5,0.18,8,0.29,5,0.18,3,0.11,4,0.14,5,0.18,6,0.21,11,0.39,8,0.29,8,0.29
愛媛県,145,4.03,6,0.17,12,0.32,12,0.32,10,0.27,16,0.43,12,0.32,13,0.35,9,0.24,13,0.35,5,0.14,15,0.41,9,0.24,13,0.35
高知県,62,2.48,1,0.04,4,0.15,4,0.15,6,0.23,5,0.19,7,0.27,3,0.12,5,0.19,4,0.15,4,0.15,8,0.31,5,0.19,6,0.24
福岡県,469,3.91,26,0.22,41,0.34,36,0.3,37,0.31,39,0.33,34,0.28,35,0.29,31,0.26,29,0.24,38,0.32,44,0.37,38,0.32,41,0.34
佐賀県,116,5.04,3,0.13,9,0.39,11,0.48,7,0.3,6,0.26,7,0.3,6,0.26,9,0.39,11,0.48,8,0.35,14,0.61,15,0.65,10,0.43
長崎県,131,3.05,7,0.16,6,0.14,5,0.11,13,0.3,13,0.3,8,0.18,10,0.23,12,0.28,6,0.14,15,0.35,13,0.3,12,0.28,11,0.26
熊本県,243,4.86,12,0.24,26,0.52,21,0.42,25,0.5,25,0.5,19,0.38,19,0.38,12,0.24,18,0.36,11,0.22,14,0.28,16,0.32,25,0.5
大分県,192,5.33,11,0.31,16,0.44,14,0.39,17,0.47,13,0.36,15,0.42,12,0.33,12,0.33,18,0.5,16,0.44,13,0.36,17,0.47,18,0.5
宮崎県,162,4.5,13,0.36,6,0.17,11,0.31,12,0.33,10,0.28,10,0.28,13,0.36,10,0.28,16,0.44,14,0.39,13,0.36,11,0.31,23,0.64
鹿児島県,169,3.31,7,0.14,7,0.14,19,0.37,12,0.24,12,0.24,15,0.29,15,0.29,9,0.18,15,0.29,17,0.33,18,0.35,6,0.12,17,0.33
沖縄県,50,1.61,5,0.16,3,0.1,1,0.03,6,0.19,3,0.1,2,0.06,4,0.13,3,0.1,3,0.1,7,0.23,4,0.13,3,0.1,6,0.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1014,0.32,66,0.02,75,0.02,93,0.03,92,0.03,84,0.03,64,0.02,53,0.02,93,0.03,103,0.03,81,0.03,63,0.02,70,0.02,77,0.02
北海道,16,0.12,1,0.01,1,0.01,1,0.01,3,0.02,0,0,0,0,0,0,4,0.03,5,0.04,1,0.01,0,0,0,0,0,0
青森県,6,0.16,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,2,0.05,0,0,0,0
岩手県,14,0.37,0,0,3,0.08,6,0.15,1,0.03,0,0,0,0,0,0,0,0,0,0,2,0.05,2,0.05,0,0,0,0
宮城県,7,0.13,0,0,1,0.02,0,0,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0,3,0.05,0,0
秋田県,7,0.22,0,0,1,0.03,1,0.03,0,0,0,0,0,0,2,0.06,0,0,1,0.03,1,0.03,0,0,1,0.03,0,0
山形県,20,0.71,0,0,1,0.04,0,0,1,0.04,0,0,0,0,4,0.14,4,0.14,7,0.25,2,0.07,0,0,1,0.04,0,0
福島県,2,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02
