報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,
2025年04週(01月20日～01月26日),2025年01月29日作成,,,,,,,,,
インフルエンザ,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
高知県,159,6.36,21,0.84,38,1.52,49,1.96,51,2.04
福岡県,1337,11.24,114,0.96,354,2.97,377,3.17,492,4.13
佐賀県,227,10.32,7,0.33,64,2.78,81,3.52,75,3.26
長崎県,391,8.89,56,1.27,109,2.48,113,2.57,113,2.57
熊本県,366,7.47,39,0.8,95,1.94,90,1.84,142,2.9
大分県,425,11.81,52,1.44,107,2.97,133,3.69,133,3.69
宮崎県,339,9.69,19,0.58,81,2.25,115,3.19,124,3.44
鹿児島県,405,7.94,26,0.51,90,1.76,118,2.31,171,3.35
沖縄県,231,7.22,31,0.97,68,2.13,56,1.75,76,2.38
,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,49001,16.27,2904,1.09,12974,4.14,14167,4.53,18956,6.06
北海道,775,6.05,51,0.49,202,1.49,215,1.58,307,2.26
青森県,357,10.2,19,0.59,100,2.7,95,2.57,143,3.86
岩手県,684,17.54,62,1.59,173,4.44,165,4.23,284,7.28
宮城県,575,10.45,48,0.87,167,3.04,147,2.67,213,3.87
秋田県,315,10.86,11,0.73,105,3.09,93,2.74,106,3.12
山形県,241,10.04,15,0.83,65,2.41,88,3.26,73,2.7
福島県,421,8.59,50,1.02,119,2.43,121,2.47,131,2.67
茨城県,1155,16.27,79,1.3,263,3.51,337,4.49,476,6.35
栃木県,503,11.43,17,0.52,120,2.5,143,2.98,223,4.65
群馬県,997,20.77,47,1.34,269,5.08,313,5.91,368,6.94
埼玉県,2770,19.1,100,1.11,749,4.57,797,4.86,1124,6.85
千葉県,2478,20.31,107,1.03,685,5.35,748,5.84,938,7.33
東京都,5358,21.6,174,0.86,1515,5.76,1572,5.98,2097,7.97
神奈川県,3430,16.49,119,0.8,955,4.15,993,4.37,1363,5.95
新潟県,449,8.16,9,0.16,90,1.64,139,2.53,211,3.84
富山県,623,22.25,55,1.96,162,5.59,174,6,232,8
石川県,756,26.07,55,1.9,202,6.97,236,8.14,263,9.07
福井県,540,21.6,64,2.56,140,5.6,162,6.48,174,6.96
山梨県,293,12.21,6,0.25,77,3.21,84,3.5,126,5.25
長野県,515,10.3,38,0.95,147,2.72,139,2.57,191,3.54
岐阜県,542,10.23,56,1.06,148,2.79,149,2.81,189,3.57
静岡県,1294,14.54,114,1.28,412,4.63,354,3.98,414,4.65
愛知県,2203,12.17,123,0.68,675,3.71,635,3.51,770,4.25
三重県,772,18.38,64,1.83,228,5.07,216,4.8,264,5.87
滋賀県,443,13.42,29,1.21,109,3.03,106,2.94,199,5.53
京都府,851,11.66,46,0.68,226,3.01,233,3.11,346,4.68
大阪府,2974,15.41,142,0.74,780,4.04,885,4.59,1167,6.05
兵庫県,2261,18.53,96,0.9,638,4.98,657,5.13,870,6.8
奈良県,574,20.5,9,0.9,144,4.24,171,5.03,250,7.35
和歌山県,426,15.21,31,1.11,103,3.55,131,4.52,161,5.55
鳥取県,251,13.21,31,1.63,67,3.53,81,4.26,72,3.79
島根県,296,12.87,20,0.87,75,3.26,74,3.22,127,5.52
岡山県,895,16.57,119,2.2,215,3.98,265,4.91,296,5.48
広島県,1194,17.56,47,0.89,311,4.2,339,4.58,497,6.72
山口県,776,18.05,47,1.09,158,3.67,247,5.74,324,7.53
徳島県,308,13.39,34,1.48,87,3.78,89,3.87,98,4.26
香川県,485,17.32,26,0.93,137,4.89,119,4.25,203,7.25
愛媛県,735,22.97,71,3.09,219,6.08,192,5.33,253,7.03
高知県,181,7.24,12,0.48,16,0.64,59,2.36,94,3.76
福岡県,2597,21.82,176,1.48,572,4.81,817,6.87,1032,8.67
佐賀県,461,20.95,28,1.33,93,4.04,123,5.35,217,9.43
長崎県,594,13.5,28,0.64,126,2.86,193,4.39,247,5.61
熊本県,1116,22.78,95,1.94,266,5.43,331,6.76,424,8.65
大分県,1445,40.14,131,3.64,349,9.69,354,9.83,611,16.97
宮崎県,794,22.69,41,1.24,216,6,250,6.94,287,7.97
鹿児島県,977,19.16,90,1.76,237,4.65,261,5.12,389,7.63
沖縄県,321,10.03,72,2.25,62,1.94,75,2.34,112,3.5
,,,,,,,,,,
水痘,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2848,0.95,367,0.14,1101,0.35,570,0.18,810,0.26
北海道,276,2.16,33,0.31,140,1.03,53,0.39,50,0.37
青森県,38,1.09,1,0.03,13,0.35,10,0.27,14,0.38
岩手県,36,0.92,8,0.21,14,0.36,5,0.13,9,0.23
宮城県,52,0.95,11,0.2,25,0.45,10,0.18,6,0.11
秋田県,26,0.9,3,0.2,9,0.26,6,0.18,8,0.24
山形県,25,1.04,4,0.22,8,0.3,3,0.11,10,0.37
福島県,42,0.86,8,0.16,17,0.35,8,0.16,9,0.18
茨城県,37,0.52,1,0.02,14,0.19,7,0.09,15,0.2
栃木県,27,0.61,3,0.09,10,0.21,7,0.15,7,0.15
群馬県,74,1.54,11,0.31,22,0.42,16,0.3,25,0.47
埼玉県,196,1.35,18,0.2,72,0.44,43,0.26,63,0.38
千葉県,90,0.74,8,0.08,32,0.25,14,0.11,36,0.28
東京都,338,1.36,32,0.16,157,0.6,57,0.22,92,0.35
神奈川県,239,1.15,16,0.11,98,0.43,39,0.17,86,0.38
新潟県,107,1.95,19,0.35,36,0.65,21,0.38,31,0.56
富山県,21,0.75,2,0.07,6,0.21,6,0.21,7,0.24
石川県,75,2.59,5,0.17,35,1.21,15,0.52,20,0.69
福井県,34,1.36,3,0.12,12,0.48,8,0.32,11,0.44
山梨県,9,0.38,1,0.04,4,0.17,2,0.08,2,0.08
長野県,36,0.72,3,0.08,17,0.31,7,0.13,9,0.17
岐阜県,15,0.28,0,0,4,0.08,6,0.11,5,0.09
静岡県,42,0.47,7,0.08,19,0.21,13,0.15,3,0.03
愛知県,64,0.35,11,0.06,21,0.12,18,0.1,14,0.08
三重県,26,0.62,6,0.17,7,0.16,5,0.11,8,0.18
滋賀県,48,1.45,9,0.38,17,0.47,10,0.28,12,0.33
京都府,42,0.58,1,0.01,18,0.24,8,0.11,15,0.2
大阪府,90,0.47,8,0.04,30,0.16,25,0.13,27,0.14
兵庫県,85,0.7,9,0.08,24,0.19,24,0.19,28,0.22
奈良県,11,0.39,0,0,4,0.12,2,0.06,5,0.15
和歌山県,25,0.89,0,0,9,0.31,4,0.14,12,0.41
鳥取県,12,0.63,3,0.16,5,0.26,3,0.16,1,0.05
島根県,12,0.52,0,0,4,0.17,3,0.13,5,0.22
岡山県,25,0.46,4,0.07,8,0.15,8,0.15,5,0.09
広島県,36,0.53,7,0.13,17,0.23,2,0.03,10,0.14
山口県,12,0.28,2,0.05,5,0.12,3,0.07,2,0.05
徳島県,8,0.35,1,0.04,1,0.04,0,0,6,0.26
香川県,20,0.71,2,0.07,8,0.29,4,0.14,6,0.21
愛媛県,11,0.34,3,0.13,4,0.11,1,0.03,3,0.08
高知県,19,0.76,2,0.08,5,0.2,2,0.08,10,0.4
福岡県,173,1.45,43,0.36,55,0.46,36,0.3,39,0.33
佐賀県,17,0.77,1,0.05,4,0.17,7,0.3,5,0.22
長崎県,52,1.18,12,0.27,18,0.41,6,0.14,16,0.36
熊本県,47,0.96,14,0.29,18,0.37,6,0.12,9,0.18
大分県,30,0.83,1,0.03,8,0.22,4,0.11,17,0.47
宮崎県,28,0.8,6,0.18,6,0.17,10,0.28,6,0.17
鹿児島県,51,1,14,0.27,15,0.29,11,0.22,11,0.22
沖縄県,69,2.16,11,0.34,26,0.81,12,0.38,20,0.63
,,,,,,,,,,
手足口病,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1478,0.49,233,0.09,517,0.17,356,0.11,372,0.12
北海道,132,1.03,25,0.24,46,0.34,35,0.26,26,0.19
青森県,22,0.63,1,0.03,9,0.24,3,0.08,9,0.24
岩手県,45,1.15,11,0.28,16,0.41,8,0.21,10,0.26
宮城県,31,0.56,2,0.04,18,0.33,8,0.15,3,0.05
秋田県,32,1.1,5,0.33,9,0.26,7,0.21,11,0.32
山形県,63,2.63,7,0.39,17,0.63,21,0.78,18,0.67
福島県,26,0.53,6,0.12,11,0.22,6,0.12,3,0.06
茨城県,28,0.39,13,0.21,8,0.11,2,0.03,5,0.07
栃木県,36,0.82,10,0.3,8,0.17,6,0.13,12,0.25
群馬県,20,0.42,2,0.06,8,0.15,5,0.09,5,0.09
埼玉県,92,0.63,11,0.12,44,0.27,16,0.1,21,0.13
千葉県,45,0.37,8,0.08,17,0.13,11,0.09,9,0.07
東京都,86,0.35,11,0.05,35,0.13,19,0.07,21,0.08
神奈川県,87,0.42,11,0.07,26,0.11,24,0.11,26,0.11
新潟県,43,0.78,4,0.07,19,0.35,12,0.22,8,0.15
富山県,4,0.14,0,0,2,0.07,2,0.07,0,0
石川県,1,0.03,0,0,0,0,1,0.03,0,0
福井県,13,0.52,0,0,6,0.24,3,0.12,4,0.16
山梨県,15,0.63,2,0.08,6,0.25,2,0.08,5,0.21
長野県,61,1.22,8,0.2,22,0.41,16,0.3,15,0.28
岐阜県,7,0.13,0,0,1,0.02,4,0.08,2,0.04
静岡県,5,0.06,0,0,3,0.03,1,0.01,1,0.01
愛知県,18,0.1,0,0,9,0.05,3,0.02,6,0.03
三重県,3,0.07,1,0.03,2,0.04,0,0,0,0
滋賀県,7,0.21,1,0.04,3,0.08,1,0.03,2,0.06
京都府,12,0.16,0,0,5,0.07,2,0.03,5,0.07
大阪府,67,0.35,6,0.03,26,0.13,15,0.08,20,0.1
兵庫県,45,0.37,3,0.03,12,0.09,14,0.11,16,0.13
奈良県,8,0.29,0,0,5,0.15,2,0.06,1,0.03
和歌山県,13,0.46,2,0.07,5,0.17,4,0.14,2,0.07
鳥取県,7,0.37,1,0.05,1,0.05,3,0.16,2,0.11
島根県,6,0.26,0,0,2,0.09,1,0.04,3,0.13
岡山県,14,0.26,4,0.07,5,0.09,1,0.02,4,0.07
広島県,26,0.38,4,0.08,3,0.04,15,0.2,4,0.05
山口県,12,0.28,4,0.09,4,0.09,2,0.05,2,0.05
徳島県,32,1.39,0,0,8,0.35,10,0.43,14,0.61
香川県,9,0.32,5,0.18,3,0.11,0,0,1,0.04
愛媛県,13,0.41,0,0,9,0.25,2,0.06,2,0.06
高知県,25,1,2,0.08,8,0.32,9,0.36,6,0.24
福岡県,45,0.38,6,0.05,12,0.1,16,0.13,11,0.09
佐賀県,14,0.64,1,0.05,3,0.13,2,0.09,8,0.35
長崎県,33,0.75,6,0.14,10,0.23,10,0.23,7,0.16
熊本県,41,0.84,9,0.18,16,0.33,6,0.12,10,0.2
大分県,29,0.81,11,0.31,6,0.17,3,0.08,9,0.25
宮崎県,22,0.63,1,0.03,4,0.11,8,0.22,9,0.25
鹿児島県,67,1.31,26,0.51,23,0.45,10,0.2,8,0.16
沖縄県,16,0.5,3,0.09,2,0.06,5,0.16,6,0.19
,,,,,,,,,,
伝染性紅斑,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,9418,3.13,429,0.16,2934,0.94,2981,0.95,3074,0.98
北海道,237,1.85,6,0.06,65,0.48,80,0.59,86,0.63
青森県,380,10.86,12,0.38,131,3.54,110,2.97,127,3.43
岩手県,141,3.62,10,0.26,41,1.05,39,1,51,1.31
宮城県,322,5.85,19,0.35,104,1.89,98,1.78,101,1.84
秋田県,10,0.34,0,0,1,0.03,4,0.12,5,0.15
山形県,76,3.17,7,0.39,16,0.59,25,0.93,28,1.04
福島県,369,7.53,11,0.22,111,2.27,119,2.43,128,2.61
茨城県,173,2.44,6,0.1,61,0.81,56,0.75,50,0.67
栃木県,341,7.75,14,0.42,98,2.04,98,2.04,131,2.73
群馬県,125,2.6,8,0.23,36,0.68,35,0.66,46,0.87
埼玉県,1503,10.37,71,0.79,464,2.83,502,3.06,466,2.84
千葉県,1061,8.7,44,0.42,346,2.7,333,2.6,338,2.64
東京都,1926,7.77,77,0.38,640,2.43,610,2.32,599,2.28
神奈川県,1137,5.47,52,0.35,364,1.58,356,1.57,365,1.59
新潟県,143,2.6,4,0.07,46,0.84,43,0.78,50,0.91
富山県,40,1.43,1,0.04,3,0.1,17,0.59,19,0.66
石川県,34,1.17,2,0.07,14,0.48,9,0.31,9,0.31
福井県,13,0.52,1,0.04,0,0,5,0.2,7,0.28
山梨県,36,1.5,5,0.21,7,0.29,12,0.5,12,0.5
長野県,190,3.8,15,0.38,49,0.91,63,1.17,63,1.17
岐阜県,20,0.38,1,0.02,4,0.08,7,0.13,8,0.15
静岡県,123,1.38,5,0.06,34,0.38,45,0.51,39,0.44
愛知県,71,0.39,2,0.01,20,0.11,20,0.11,29,0.16
三重県,18,0.43,2,0.06,7,0.16,4,0.09,5,0.11
滋賀県,32,0.97,0,0,11,0.31,13,0.36,8,0.22
京都府,137,1.88,6,0.09,39,0.52,55,0.73,37,0.5
大阪府,103,0.53,2,0.01,26,0.13,33,0.17,42,0.22
兵庫県,104,0.85,3,0.03,32,0.25,34,0.27,35,0.27
奈良県,29,1.04,0,0,7,0.21,12,0.35,10,0.29
和歌山県,8,0.29,2,0.07,1,0.03,1,0.03,4,0.14
鳥取県,38,2,4,0.21,10,0.53,15,0.79,9,0.47
島根県,9,0.39,0,0,2,0.09,4,0.17,3,0.13
