報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,
2024年08週(02月19日～02月25日),2024年02月28日作成,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
岐阜県,9292,106.8,1811,20.82,1244,14.3,1251,14.38,1076,12.37,920,10.57,1070,12.3,1045,12.01,875,10.06
静岡県,14636,105.29,1611,11.59,1924,13.84,2088,15.02,1972,14.19,2008,14.45,1924,13.84,1802,12.96,1307,9.4
愛知県,35391,181.49,3303,16.94,3428,17.58,4428,22.71,4812,24.68,5368,27.53,5768,29.58,4735,24.28,3549,18.2
三重県,10441,145.01,995,13.82,995,13.82,1292,17.94,1278,17.75,1495,20.76,1618,22.47,1488,20.67,1280,17.78
滋賀県,7764,131.59,881,14.93,699,11.65,949,16.08,1066,18.07,1097,18.28,1168,19.47,1066,17.77,838,13.97
京都府,20722,167.11,1361,11.16,1479,11.83,2436,19.65,2993,24.14,3844,31,3775,30.44,2842,22.74,1992,15.94
大阪府,49426,161.52,3602,11.77,3710,12.12,5901,19.28,7306,23.88,9069,29.64,9146,29.79,6575,21.42,4117,13.41
兵庫県,29609,149.54,1962,9.91,2263,11.43,3858,19.48,4407,22.26,5160,26.06,5280,26.67,3981,20.11,2698,13.63
奈良県,9386,173.81,454,8.25,750,13.64,1202,21.85,1428,25.96,1729,31.44,1792,32.58,1231,22.8,800,14.81
和歌山県,6036,123.18,521,10.63,596,12.16,759,15.49,796,16.24,975,19.9,923,18.84,881,17.98,585,11.94
鳥取県,2401,82.79,408,14.07,335,11.55,254,8.76,288,9.93,267,9.21,343,11.83,275,9.48,231,7.97
島根県,2433,64.03,443,11.66,277,7.29,324,8.53,246,6.47,380,10,304,8,246,6.47,213,5.61
岡山県,9853,117.3,922,10.98,882,10.5,1057,12.58,1144,13.62,1526,18.17,1565,18.63,1462,17.4,1295,15.42
広島県,12870,114.91,1226,10.85,1030,9.2,1260,11.15,1384,12.25,1837,16.4,2251,20.28,2113,18.87,1769,15.65
山口県,9252,138.09,752,11.22,995,14.85,1164,17.37,1031,15.39,1322,19.73,1557,23.24,1283,19.15,1148,17.13
徳島県,4237,114.51,503,13.59,492,13.3,576,15.57,617,16.68,610,16.49,496,13.41,510,13.78,433,11.7
香川県,4203,89.43,651,13.85,446,9.49,624,13.28,448,9.53,624,13.28,498,10.6,537,11.43,375,7.98
愛媛県,7451,124.18,588,9.97,876,14.36,1228,20.13,1106,18.13,1144,18.75,901,14.77,858,14.07,750,12.3
高知県,5272,119.82,721,16.39,640,14.55,553,12.57,534,12.14,806,18.32,816,18.55,670,15.23,532,12.09
福岡県,53725,271.34,3504,17.7,3189,16.11,5159,26.06,6914,34.92,11359,57.37,11429,57.72,7393,37.34,4778,24.13
佐賀県,7600,194.87,487,12.49,513,13.15,857,21.97,873,22.38,1572,40.31,1488,38.15,1040,26.67,770,19.74
長崎県,11730,170,1186,16.94,1107,15.81,1372,19.6,1190,17,1868,26.69,1961,28.01,1592,22.74,1454,21.07
熊本県,15572,194.65,1275,15.94,1370,17.13,1669,20.86,1862,23.28,2506,31.33,2786,34.83,2393,29.91,1711,21.39
大分県,11431,197.09,1114,19.21,1075,18.53,1203,20.74,1215,20.95,1876,32.34,1992,34.34,1767,30.47,1189,20.5
宮崎県,13129,226.36,1511,26.05,1328,22.9,1613,27.81,1732,29.86,2270,39.14,1961,33.81,1535,26.47,1179,20.33
鹿児島県,13069,146.84,1325,14.89,1523,17.11,1818,20.43,1378,15.48,1960,22.02,2023,22.73,1783,20.03,1259,14.15
沖縄県,12178,225.52,1018,18.85,1195,22.13,1746,32.33,1719,31.83,2214,41,1604,29.7,1530,28.33,1152,21.33
,,,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2864,0.92,131,0.04,198,0.06,235,0.08,358,0.12,380,0.12,438,0.14,466,0.15,658,0.21
北海道,621,4.5,47,0.35,59,0.42,60,0.43,80,0.58,102,0.73,80,0.58,89,0.64,104,0.75
青森県,6,0.16,1,0.03,1,0.03,2,0.05,0,0,2,0.05,0,0,0,0,0,0
岩手県,27,0.71,1,0.03,6,0.15,4,0.1,8,0.21,6,0.15,0,0,2,0.05,0,0
宮城県,49,0.89,2,0.04,2,0.04,4,0.07,4,0.07,9,0.16,6,0.11,9,0.16,13,0.24
秋田県,9,0.32,0,0,1,0.03,0,0,0,0,1,0.03,1,0.03,2,0.06,4,0.12
山形県,10,0.36,2,0.07,0,0,1,0.04,2,0.07,1,0.04,2,0.07,2,0.07,0,0
福島県,125,2.55,6,0.12,5,0.1,14,0.29,32,0.65,9,0.18,21,0.43,23,0.47,15,0.31
茨城県,36,0.48,6,0.08,1,0.01,0,0,7,0.09,5,0.07,7,0.09,4,0.05,6,0.08
栃木県,72,1.5,1,0.02,3,0.06,3,0.06,12,0.25,13,0.27,14,0.29,13,0.27,13,0.27
群馬県,53,1,0,0,2,0.04,1,0.02,3,0.06,5,0.09,3,0.06,7,0.13,32,0.6
埼玉県,137,0.84,2,0.01,7,0.04,8,0.05,13,0.08,13,0.08,22,0.13,26,0.16,46,0.28
千葉県,126,1.01,8,0.06,4,0.03,1,0.01,32,0.26,21,0.17,30,0.24,19,0.15,11,0.09
東京都,119,0.46,3,0.01,5,0.02,6,0.02,11,0.04,16,0.06,20,0.08,27,0.1,31,0.12
神奈川県,68,0.3,1,0,15,0.07,5,0.02,6,0.03,5,0.02,4,0.02,10,0.04,22,0.1
新潟県,20,0.36,2,0.04,2,0.04,1,0.02,4,0.07,1,0.02,3,0.05,3,0.05,4,0.07
富山県,23,0.79,1,0.03,8,0.28,1,0.03,3,0.1,1,0.03,5,0.17,3,0.1,1,0.03
石川県,11,0.41,2,0.07,3,0.11,0,0,0,0,1,0.04,3,0.11,1,0.03,1,0.03
福井県,41,1.64,1,0.04,3,0.12,7,0.28,10,0.4,5,0.2,1,0.04,6,0.24,8,0.32
山梨県,7,0.29,0,0,1,0.04,2,0.08,1,0.04,0,0,0,0,0,0,3,0.13
長野県,46,0.85,0,0,6,0.11,5,0.09,7,0.13,6,0.11,7,0.13,6,0.11,9,0.17
岐阜県,50,0.94,3,0.06,2,0.04,2,0.04,3,0.06,6,0.11,15,0.28,9,0.17,10,0.19
静岡県,23,0.26,2,0.02,0,0,4,0.04,3,0.03,3,0.03,2,0.02,4,0.04,5,0.06
愛知県,41,0.23,1,0.01,1,0.01,5,0.03,2,0.01,3,0.02,9,0.05,10,0.05,10,0.05
三重県,15,0.33,1,0.02,0,0,2,0.04,1,0.02,0,0,4,0.09,2,0.04,5,0.11
滋賀県,22,0.63,1,0.03,1,0.03,1,0.03,1,0.03,2,0.06,2,0.06,1,0.03,13,0.36
京都府,61,0.81,3,0.04,0,0,5,0.07,4,0.05,4,0.05,18,0.24,7,0.09,20,0.26
大阪府,448,2.27,19,0.1,21,0.11,29,0.15,53,0.27,52,0.26,68,0.34,75,0.38,131,0.66
兵庫県,99,0.77,2,0.02,3,0.02,10,0.08,10,0.08,19,0.15,11,0.09,19,0.15,25,0.2
奈良県,18,0.55,0,0,2,0.06,1,0.03,2,0.06,3,0.09,8,0.24,2,0.06,0,0
和歌山県,65,2.17,0,0,2,0.07,8,0.27,9,0.3,11,0.37,12,0.4,12,0.4,11,0.37
鳥取県,14,0.74,0,0,1,0.05,1,0.05,1,0.05,2,0.11,2,0.11,3,0.16,4,0.21
島根県,14,0.61,0,0,1,0.04,1,0.04,2,0.09,0,0,4,0.17,3,0.13,3,0.13
岡山県,13,0.24,2,0.04,1,0.02,1,0.02,3,0.06,1,0.02,1,0.02,2,0.04,2,0.04
広島県,53,0.77,1,0.01,4,0.06,7,0.1,5,0.07,9,0.13,10,0.15,10,0.14,7,0.1
山口県,31,0.72,0,0,0,0,0,0,2,0.05,1,0.02,3,0.07,4,0.09,21,0.49
徳島県,8,0.35,0,0,1,0.04,0,0,0,0,0,0,1,0.04,2,0.09,4,0.17
香川県,19,0.68,0,0,1,0.04,0,0,2,0.07,4,0.14,1,0.04,2,0.07,9,0.32
愛媛県,12,0.33,0,0,0,0,2,0.05,2,0.05,3,0.08,1,0.03,3,0.08,1,0.03
高知県,2,0.08,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0
福岡県,77,0.64,0,0,6,0.05,8,0.07,3,0.03,11,0.09,12,0.1,19,0.16,18,0.15
佐賀県,13,0.57,0,0,5,0.22,0,0,2,0.09,1,0.04,2,0.09,3,0.13,0,0
長崎県,12,0.28,0,0,3,0.07,0,0,0,0,3,0.07,1,0.02,0,0,5,0.12
熊本県,20,0.4,0,0,0,0,0,0,1,0.02,2,0.04,5,0.1,5,0.1,7,0.14
大分県,12,0.33,3,0.08,0,0,0,0,0,0,1,0.03,3,0.08,2,0.06,3,0.08
宮崎県,15,0.42,2,0.06,4,0.11,1,0.03,3,0.08,1,0.03,1,0.03,1,0.03,2,0.06
鹿児島県,57,1.12,0,0,3,0.06,9,0.18,6,0.12,9,0.18,8,0.16,10,0.2,12,0.24
沖縄県,44,1.42,5,0.16,2,0.06,13,0.42,3,0.1,7,0.23,4,0.13,3,0.1,7,0.23
,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,29365,9.4,4524,1.46,4526,1.44,4001,1.28,3868,1.25,3602,1.15,3347,1.07,2857,0.91,2640,0.84
北海道,3246,23.52,511,3.81,469,3.37,464,3.34,413,2.97,394,2.83,364,2.62,325,2.34,306,2.2
青森県,338,9.14,54,1.46,32,0.86,39,1.05,48,1.3,35,0.95,58,1.57,42,1.14,30,0.81
岩手県,486,12.79,53,1.36,56,1.44,66,1.69,66,1.69,59,1.51,56,1.47,64,1.68,66,1.74
宮城県,752,13.67,100,1.82,136,2.47,110,2,93,1.69,100,1.82,74,1.35,64,1.16,75,1.36
秋田県,124,4.43,16,0.52,20,0.61,16,0.48,0,0,22,0.67,26,0.79,11,0.33,13,0.39
山形県,587,20.96,78,2.79,58,2.07,75,2.68,85,3.04,93,3.32,71,2.54,73,2.61,54,1.93
福島県,712,14.53,105,2.14,104,2.12,84,1.71,75,1.53,107,2.18,102,2.08,82,1.67,53,1.08
茨城県,453,6.04,68,0.91,81,1.08,70,0.93,59,0.79,44,0.59,56,0.75,38,0.51,37,0.49
栃木県,289,6.02,57,1.19,49,1.02,37,0.77,38,0.79,28,0.58,27,0.56,25,0.52,28,0.58
群馬県,377,7.11,44,0.83,64,1.21,59,1.11,58,1.09,37,0.7,26,0.49,44,0.83,45,0.85
埼玉県,1507,9.25,350,2.2,242,1.48,186,1.13,189,1.15,167,1.02,146,0.9,121,0.74,106,0.65
千葉県,947,7.58,187,1.48,177,1.4,154,1.23,103,0.83,110,0.87,78,0.62,61,0.49,77,0.62
東京都,1165,4.48,178,0.7,243,0.93,186,0.71,166,0.64,129,0.49,93,0.35,93,0.36,77,0.29
神奈川県,1168,5.12,222,1,228,1,187,0.82,149,0.65,134,0.59,87,0.38,87,0.38,74,0.32
新潟県,1087,19.76,65,1.18,104,1.89,105,1.91,156,2.84,175,3.18,203,3.69,154,2.8,125,2.27
富山県,605,20.86,60,2.07,70,2.41,62,2.14,107,3.69,100,3.45,87,3,69,2.38,50,1.72
石川県,478,17.7,80,2.96,58,2.15,61,2.26,83,2.96,58,2.07,55,1.96,49,1.69,34,1.17
福井県,541,21.64,68,2.72,106,4.24,71,2.84,90,3.6,76,3.04,45,1.8,47,1.88,38,1.52
山梨県,171,7.13,24,1,25,1.04,16,0.67,28,1.17,10,0.42,16,0.67,28,1.17,24,1
長野県,262,4.85,34,0.63,47,0.87,43,0.8,21,0.39,28,0.52,32,0.59,28,0.52,29,0.54
岐阜県,306,5.77,55,1.04,55,1.04,54,1.02,38,0.72,41,0.77,29,0.55,19,0.36,15,0.28
静岡県,671,7.54,65,0.73,99,1.11,109,1.22,109,1.22,85,0.96,76,0.85,76,0.85,52,0.58
愛知県,940,5.16,148,0.81,170,0.93,131,0.72,130,0.71,112,0.62,89,0.49,84,0.46,76,0.42
三重県,509,11.31,74,1.64,81,1.8,72,1.6,55,1.22,53,1.18,59,1.31,55,1.22,60,1.33
滋賀県,232,6.63,54,1.5,26,0.72,28,0.8,25,0.71,29,0.81,32,0.89,27,0.75,11,0.31
京都府,536,7.15,82,1.11,65,0.86,59,0.79,73,0.97,71,0.95,83,1.11,49,0.64,54,0.71
大阪府,855,4.34,129,0.65,175,0.89,118,0.6,100,0.51,76,0.39,102,0.52,84,0.42,71,0.36
兵庫県,938,7.33,133,1.04,154,1.2,123,0.96,136,1.06,112,0.88,117,0.91,91,0.71,72,0.56
奈良県,279,8.45,36,1.06,44,1.29,44,1.29,41,1.21,38,1.12,35,1.03,22,0.67,19,0.58
和歌山県,246,8.2,55,1.83,40,1.33,43,1.43,28,0.93,20,0.67,21,0.7,28,0.93,11,0.37
鳥取県,126,6.63,6,0.32,10,0.53,12,0.63,15,0.79,13,0.68,27,1.42,24,1.26,19,1
島根県,175,7.61,27,1.17,24,1.04,28,1.22,29,1.26,26,1.13,20,0.87,8,0.35,13,0.57
岡山県,412,7.63,58,1.07,69,1.28,56,1.04,45,0.83,36,0.67,55,1.02,49,0.91,44,0.81
広島県,974,14.12,143,2.04,140,2,136,1.94,144,2.06,128,1.86,102,1.5,80,1.16,101,1.44
山口県,356,8.28,51,1.19,62,1.44,46,1.07,42,0.98,52,1.21,30,0.7,33,0.77,40,0.93
徳島県,158,6.87,37,1.61,17,0.74,29,1.26,20,0.87,15,0.65,18,0.78,9,0.39,13,0.57
香川県,227,8.11,42,1.5,27,0.96,26,0.93,32,1.14,34,1.21,25,0.89,20,0.71,21,0.75
愛媛県,343,9.53,72,2,50,1.35,56,1.51,45,1.22,29,0.78,26,0.7,28,0.76,37,1
高知県,170,6.54,40,1.54,33,1.27,30,1.15,20,0.77,9,0.35,14,0.54,11,0.42,13,0.5
福岡県,1096,9.13,217,1.81,208,1.73,167,1.39,138,1.15,127,1.06,101,0.84,75,0.63,63,0.53
佐賀県,337,14.65,43,1.87,46,2,42,1.83,46,2,49,2.13,43,1.87,28,1.22,40,1.74
長崎県,635,14.77,111,2.52,114,2.59,81,1.84,76,1.73,80,1.82,87,1.98,44,1,42,0.98
熊本県,609,12.18,110,2.2,79,1.58,79,1.58,74,1.48,93,1.86,65,1.3,52,1.04,57,1.14
大分県,488,13.56,64,1.78,71,1.97,59,1.64,69,1.92,63,1.75,56,1.56,56,1.56,50,1.39
宮崎県,628,17.44,76,2.11,77,2.14,63,1.75,101,2.81,75,2.08,95,2.64,73,2.03,68,1.89
鹿児島県,1540,30.2,194,3.8,176,3.45,166,3.25,174,3.41,202,3.96,216,4.24,203,3.98,209,4.1
沖縄県,284,9.16,48,1.55,45,1.45,53,1.71,36,1.16,28,0.9,22,0.71,24,0.77,28,0.9
,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,93315,29.86,5404,1.74,8867,2.83,13388,4.28,13565,4.38,14491,4.63,14500,4.63,11539,3.68,11561,3.69
北海道,7626,55.26,447,3.34,584,4.2,872,6.27,1101,7.92,1233,8.87,1248,8.98,1048,7.54,1093,7.86
青森県,867,23.43,50,1.35,54,1.46,102,2.76,104,2.81,171,4.62,172,4.65,110,2.97,104,2.81
岩手県,717,18.87,41,1.05,67,1.72,91,2.33,122,3.13,129,3.31,117,3.08,71,1.87,79,2.08
宮城県,1557,28.31,81,1.47,137,2.49,262,4.76,261,4.75,239,4.35,203,3.69,197,3.58,177,3.22
秋田県,346,12.36,24,0.77,26,0.79,51,1.55,0,0,56,1.7,72,2.18,51,1.55,66,2
山形県,1755,62.68,73,2.61,159,5.68,253,9.04,244,8.71,302,10.79,267,9.54,213,7.61,244,8.71
福島県,1575,32.14,108,2.2,143,2.92,253,5.16,213,4.35,245,5,227,4.63,185,3.78,201,4.1
茨城県,2968,39.57,225,3,235,3.13,392,5.23,371,4.95,527,7.03,476,6.35,404,5.39,338,4.51
栃木県,1079,22.48,76,1.58,97,2.02,164,3.42,158,3.29,163,3.4,146,3.04,137,2.85,138,2.88
群馬県,1689,31.87,78,1.47,167,3.15,291,5.49,261,4.92,291,5.49,224,4.23,203,3.83,174,3.28
埼玉県,5753,35.29,366,2.3,491,2.99,849,5.18,940,5.73,877,5.35,850,5.21,679,4.17,701,4.3
千葉県,4715,37.72,300,2.38,471,3.74,646,5.17,726,5.85,708,5.57,687,5.5,554,4.43,623,4.98
東京都,7131,27.43,379,1.49,745,2.85,1054,4.04,1073,4.11,1090,4.18,1074,4.1,870,3.33,846,3.23
神奈川県,4816,21.12,291,1.3,507,2.21,797,3.51,685,2.98,711,3.13,662,2.87,590,2.54,573,2.48
新潟県,2395,43.55,119,2.16,202,3.67,356,6.47,348,6.33,341,6.2,418,7.6,289,5.25,322,5.85
富山県,1465,50.52,53,1.83,131,4.52,278,9.59,235,8.1,210,7.24,208,7.17,148,5.1,202,6.97
石川県,703,26.04,57,2.11,47,1.74,78,2.89,100,3.57,104,3.71,111,3.96,98,3.38,108,3.72
福井県,894,35.76,62,2.48,83,3.32,121,4.84,128,5.12,129,5.16,134,5.36,125,5,112,4.48
山梨県,345,14.38,17,0.71,22,0.92,52,2.17,45,1.88,65,2.71,55,2.29,45,1.88,44,1.83
長野県,1567,29.02,93,1.72,172,3.19,268,4.96,220,4.07,227,4.2,236,4.37,183,3.39,168,3.11
岐阜県,809,15.26,27,0.51,55,1.04,99,1.87,135,2.55,122,2.3,129,2.43,115,2.17,127,2.4
静岡県,2407,27.04,131,1.47,222,2.49,318,3.57,370,4.16,391,4.39,364,4.09,260,2.92,351,3.94
愛知県,3255,17.88,211,1.16,314,1.73,422,2.32,503,2.76,447,2.46,535,2.94,389,2.14,434,2.38
三重県,1466,32.58,67,1.49,144,3.2,219,4.87,216,4.8,219,4.87,237,5.27,184,4.09,180,4
滋賀県,407,11.63,28,0.78,41,1.14,60,1.71,53,1.51,40,1.11,65,1.81,58,1.61,62,1.72
京都府,1431,19.08,78,1.05,148,1.95,188,2.51,203,2.71,222,2.96,221,2.95,179,2.36,192,2.53
大阪府,5119,25.98,303,1.54,512,2.6,715,3.63,758,3.85,814,4.13,851,4.3,569,2.87,597,3.02
兵庫県,2798,21.86,189,1.48,286,2.23,405,3.16,394,3.08,416,3.25,468,3.66,332,2.59,308,2.41
奈良県,699,21.18,46,1.35,71,2.09,115,3.38,98,2.88,120,3.53,102,3,73,2.21,74,2.24
和歌山県,514,17.13,37,1.23,46,1.53,89,2.97,55,1.83,92,3.07,81,2.7,50,1.67,64,2.13
鳥取県,1206,63.47,44,2.32,92,4.84,178,9.37,189,9.95,203,10.68,199,10.47,163,8.58,138,7.26
島根県,345,15,25,1.09,39,1.7,51,2.22,43,1.87,47,2.04,45,1.96,44,1.91,51,2.22
岡山県,944,17.48,65,1.2,88,1.63,131,2.43,121,2.24,131,2.43,156,2.89,121,2.24,131,2.43
広島県,1632,23.65,96,1.37,187,2.67,267,3.81,258,3.69,234,3.39,219,3.22,184,2.67,187,2.67
山口県,1672,38.88,128,2.98,146,3.4,214,4.98,238,5.53,252,5.86,274,6.37,232,5.4,188,4.37
徳島県,326,14.17,19,0.83,27,1.17,44,1.91,26,1.13,57,2.48,60,2.61,51,2.22,42,1.83
香川県,619,22.11,35,1.25,49,1.75,101,3.61,93,3.32,91,3.25,102,3.64,83,2.96,65,2.32
愛媛県,1549,43.03,79,2.19,141,3.81,195,5.27,232,6.27,222,6,230,6.22,225,6.08,225,6.08
高知県,868,33.38,36,1.38,93,3.58,97,3.73,107,4.12,97,3.73,145,5.58,168,6.46,125,4.81
福岡県,6652,55.43,292,2.43,685,5.71,970,8.08,970,8.08,1088,9.07,1051,8.76,859,7.16,737,6.14
佐賀県,883,38.39,35,1.52,88,3.83,146,6.35,144,6.26,136,5.91,157,6.83,73,3.17,104,4.52
長崎県,1211,28.16,64,1.45,132,3,163,3.7,138,3.14,216,4.91,215,4.89,160,3.64,123,2.86
熊本県,1234,24.68,80,1.6,145,2.9,186,3.72,154,3.08,198,3.96,211,4.22,118,2.36,142,2.84
大分県,922,25.61,69,1.92,115,3.19,145,4.03,138,3.83,150,4.17,119,3.31,101,2.81,85,2.36
宮崎県,1393,38.69,91,2.53,136,3.78,242,6.72,205,5.69,216,6,201,5.58,158,4.39,144,4
鹿児島県,1741,34.14,106,2.08,200,3.92,250,4.9,236,4.63,249,4.88,242,4.75,237,4.65,221,4.33
沖縄県,1250,40.32,83,2.68,125,4.03,148,4.77,153,4.94,203,6.55,234,7.55,153,4.94,151,4.87
,,,,,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,153127,49,8781,2.83,16795,5.36,23875,7.63,23713,7.65,23290,7.44,21606,6.9,17961,5.73,17106,5.46
北海道,3127,22.66,159,1.19,243,1.75,450,3.24,436,3.14,494,3.55,528,3.8,457,3.29,360,2.59
青森県,1455,39.32,95,2.57,193,5.22,285,7.7,277,7.49,214,5.78,182,4.92,103,2.78,106,2.86
岩手県,2181,57.39,81,2.08,208,5.33,260,6.67,346,8.87,361,9.26,347,9.13,298,7.84,280,7.37
宮城県,2209,40.16,116,2.11,228,4.15,363,6.6,302,5.49,342,6.22,298,5.42,261,4.75,299,5.44
秋田県,570,20.36,35,1.13,60,1.82,106,3.21,0,0,91,2.76,93,2.82,96,2.91,89,2.7
山形県,1125,40.18,36,1.29,110,3.93,183,6.54,173,6.18,144,5.14,170,6.07,141,5.04,168,6
福島県,1709,34.88,73,1.49,134,2.73,217,4.43,235,4.8,249,5.08,288,5.88,281,5.73,232,4.73
茨城県,3461,46.15,218,2.91,355,4.73,518,6.91,550,7.33,505,6.73,477,6.36,464,6.19,374,4.99
栃木県,1417,29.52,103,2.15,179,3.73,253,5.27,192,4,233,4.85,183,3.81,151,3.15,123,2.56
群馬県,2657,50.13,119,2.25,254,4.79,425,8.02,383,7.23,422,7.96,446,8.42,324,6.11,284,5.36
埼玉県,9969,61.16,526,3.31,1181,7.2,1655,10.09,1692,10.32,1473,8.98,1221,7.49,1181,7.25,1040,6.38
千葉県,6815,54.52,461,3.66,865,6.87,1172,9.38,1102,8.89,1018,8.02,817,6.54,731,5.85,649,5.19
東京都,16261,62.54,911,3.57,2056,7.88,2785,10.67,2805,10.75,2488,9.53,2113,8.06,1611,6.17,1492,5.69
神奈川県,11116,48.75,705,3.16,1487,6.49,1980,8.72,1909,8.3,1671,7.36,1422,6.16,1035,4.46,907,3.93
新潟県,1694,30.8,68,1.24,131,2.38,194,3.53,235,4.27,316,5.75,261,4.75,225,4.09,264,4.8
富山県,1593,54.93,99,3.41,114,3.93,170,5.86,221,7.62,226,7.79,254,8.76,237,8.17,272,9.38
石川県,2365,87.59,108,4,204,7.56,315,11.67,379,13.54,330,11.79,371,13.25,314,10.83,344,11.86
福井県,1460,58.4,81,3.24,145,5.8,198,7.92,191,7.64,255,10.2,260,10.4,146,5.84,184,7.36
山梨県,760,31.67,49,2.04,80,3.33,134,5.58,118,4.92,91,3.79,102,4.25,103,4.29,83,3.46
長野県,2062,38.19,110,2.04,217,4.02,276,5.11,312,5.78,347,6.43,301,5.57,259,4.8,240,4.44
岐阜県,1717,32.4,73,1.38,189,3.57,270,5.09,227,4.28,263,4.96,235,4.43,241,4.55,219,4.13
静岡県,3750,42.13,252,2.83,395,4.44,492,5.53,654,7.35,555,6.24,514,5.78,453,5.09,435,4.89
愛知県,6994,38.43,349,1.92,738,4.05,1020,5.6,1087,5.97,1034,5.68,1010,5.55,889,4.88,867,4.76
