報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,
2024年03週(01月15日～01月21日),2024年01月24日作成,,,,,,,
インフルエンザ,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
岡山県,4,0.07,2,0.04,1,0.02,1,0.02
広島県,12,0.17,1,0.01,4,0.06,7,0.1
山口県,0,0,0,0,0,0,0,0
徳島県,1,0.04,0,0,1,0.04,0,0
香川県,1,0.04,0,0,1,0.04,0,0
愛媛県,2,0.06,0,0,0,0,2,0.05
高知県,0,0,0,0,0,0,0,0
福岡県,14,0.12,0,0,6,0.05,8,0.07
佐賀県,5,0.22,0,0,5,0.22,0,0
長崎県,3,0.07,0,0,3,0.07,0,0
熊本県,0,0,0,0,0,0,0,0
大分県,3,0.08,3,0.08,0,0,0,0
宮崎県,7,0.19,2,0.06,4,0.11,1,0.03
鹿児島県,12,0.24,0,0,3,0.06,9,0.18
沖縄県,20,0.65,5,0.16,2,0.06,13,0.42
,,,,,,,,
咽頭結膜熱,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,13051,4.18,4524,1.46,4526,1.44,4001,1.28
北海道,1444,10.54,511,3.81,469,3.37,464,3.34
青森県,125,3.38,54,1.46,32,0.86,39,1.05
岩手県,175,4.49,53,1.36,56,1.44,66,1.69
宮城県,346,6.29,100,1.82,136,2.47,110,2
秋田県,52,1.63,16,0.52,20,0.61,16,0.48
山形県,211,7.54,78,2.79,58,2.07,75,2.68
福島県,293,5.98,105,2.14,104,2.12,84,1.71
茨城県,219,2.92,68,0.91,81,1.08,70,0.93
栃木県,143,2.98,57,1.19,49,1.02,37,0.77
群馬県,167,3.15,44,0.83,64,1.21,59,1.11
埼玉県,778,4.8,350,2.2,242,1.48,186,1.13
千葉県,518,4.14,187,1.48,177,1.4,154,1.23
東京都,607,2.34,178,0.7,243,0.93,186,0.71
神奈川県,637,2.82,222,1,228,1,187,0.82
新潟県,274,4.98,65,1.18,104,1.89,105,1.91
富山県,192,6.62,60,2.07,70,2.41,62,2.14
石川県,199,7.37,80,2.96,58,2.15,61,2.26
福井県,245,9.8,68,2.72,106,4.24,71,2.84
山梨県,65,2.71,24,1,25,1.04,16,0.67
長野県,124,2.3,34,0.63,47,0.87,43,0.8
岐阜県,164,3.09,55,1.04,55,1.04,54,1.02
静岡県,273,3.07,65,0.73,99,1.11,109,1.22
愛知県,449,2.47,148,0.81,170,0.93,131,0.72
三重県,227,5.04,74,1.64,81,1.8,72,1.6
滋賀県,108,3.09,54,1.5,26,0.72,28,0.8
京都府,206,2.78,82,1.11,65,0.86,59,0.8
大阪府,422,2.14,129,0.65,175,0.89,118,0.6
兵庫県,410,3.2,133,1.04,154,1.2,123,0.96
奈良県,124,3.65,36,1.06,44,1.29,44,1.29
和歌山県,138,4.6,55,1.83,40,1.33,43,1.43
鳥取県,28,1.47,6,0.32,10,0.53,12,0.63
島根県,79,3.43,27,1.17,24,1.04,28,1.22
岡山県,183,3.39,58,1.07,69,1.28,56,1.04
広島県,419,5.99,143,2.04,140,2,136,1.94
山口県,159,3.7,51,1.19,62,1.44,46,1.07
徳島県,83,3.61,37,1.61,17,0.74,29,1.26
香川県,95,3.39,42,1.5,27,0.96,26,0.93
愛媛県,178,4.94,72,2,50,1.35,56,1.51
高知県,103,3.96,40,1.54,33,1.27,30,1.15
福岡県,592,4.93,217,1.81,208,1.73,167,1.39
佐賀県,131,5.7,43,1.87,46,2,42,1.83
長崎県,306,6.95,111,2.52,114,2.59,81,1.84
熊本県,268,5.36,110,2.2,79,1.58,79,1.58
大分県,194,5.39,64,1.78,71,1.97,59,1.64
宮崎県,216,6,76,2.11,77,2.14,63,1.75
鹿児島県,536,10.51,194,3.8,176,3.45,166,3.25
沖縄県,146,4.71,48,1.55,45,1.45,53,1.71
,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,27651,8.85,5403,1.74,8866,2.83,13382,4.28
北海道,1903,13.89,447,3.34,584,4.2,872,6.27
青森県,206,5.57,50,1.35,54,1.46,102,2.76
岩手県,199,5.1,41,1.05,67,1.72,91,2.33
宮城県,480,8.73,81,1.47,137,2.49,262,4.76
秋田県,101,3.16,24,0.77,26,0.79,51,1.55
山形県,485,17.32,73,2.61,159,5.68,253,9.04
福島県,504,10.29,108,2.2,143,2.92,253,5.16
茨城県,852,11.36,225,3,235,3.13,392,5.23
栃木県,337,7.02,76,1.58,97,2.02,164,3.42
群馬県,536,10.11,78,1.47,167,3.15,291,5.49
埼玉県,1706,10.53,366,2.3,491,2.99,849,5.18
千葉県,1417,11.34,300,2.38,471,3.74,646,5.17
東京都,2178,8.41,379,1.49,745,2.85,1054,4.04
神奈川県,1595,7.06,291,1.3,507,2.21,797,3.51
新潟県,677,12.31,119,2.16,202,3.67,356,6.47
富山県,462,15.93,53,1.83,131,4.52,278,9.59
石川県,182,6.74,57,2.11,47,1.74,78,2.89
福井県,266,10.64,62,2.48,83,3.32,121,4.84
山梨県,91,3.79,17,0.71,22,0.92,52,2.17
長野県,533,9.87,93,1.72,172,3.19,268,4.96
岐阜県,181,3.42,27,0.51,55,1.04,99,1.87
静岡県,671,7.54,131,1.47,222,2.49,318,3.57
愛知県,947,5.2,211,1.16,314,1.73,422,2.32
三重県,430,9.56,67,1.49,144,3.2,219,4.87
滋賀県,129,3.69,28,0.78,41,1.14,60,1.71
京都府,408,5.51,78,1.05,148,1.95,182,2.46
大阪府,1528,7.76,302,1.53,511,2.59,715,3.63
兵庫県,880,6.88,189,1.48,286,2.23,405,3.16
奈良県,232,6.82,46,1.35,71,2.09,115,3.38
和歌山県,172,5.73,37,1.23,46,1.53,89,2.97
鳥取県,314,16.53,44,2.32,92,4.84,178,9.37
島根県,115,5,25,1.09,39,1.7,51,2.22
岡山県,284,5.26,65,1.2,88,1.63,131,2.43
広島県,550,7.86,96,1.37,187,2.67,267,3.81
山口県,488,11.35,128,2.98,146,3.4,214,4.98
徳島県,90,3.91,19,0.83,27,1.17,44,1.91
香川県,185,6.61,35,1.25,49,1.75,101,3.61
愛媛県,415,11.53,79,2.19,141,3.81,195,5.27
高知県,226,8.69,36,1.38,93,3.58,97,3.73
福岡県,1947,16.23,292,2.43,685,5.71,970,8.08
佐賀県,269,11.7,35,1.52,88,3.83,146,6.35
長崎県,359,8.16,64,1.45,132,3,163,3.7
熊本県,411,8.22,80,1.6,145,2.9,186,3.72
大分県,329,9.14,69,1.92,115,3.19,145,4.03
宮崎県,469,13.03,91,2.53,136,3.78,242,6.72
鹿児島県,556,10.9,106,2.08,200,3.92,250,4.9
沖縄県,356,11.48,83,2.68,125,4.03,148,4.77
,,,,,,,,
感染性胃腸炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,49440,15.83,8781,2.83,16791,5.36,23868,7.63
北海道,852,6.22,159,1.19,243,1.75,450,3.24
青森県,573,15.49,95,2.57,193,5.22,285,7.7
岩手県,549,14.08,81,2.08,208,5.33,260,6.67
宮城県,707,12.85,116,2.11,228,4.15,363,6.6
秋田県,201,6.28,35,1.13,60,1.82,106,3.21
山形県,329,11.75,36,1.29,110,3.93,183,6.54
福島県,424,8.65,73,1.49,134,2.73,217,4.43
茨城県,1091,14.55,218,2.91,355,4.73,518,6.91
栃木県,535,11.15,103,2.15,179,3.73,253,5.27
群馬県,798,15.06,119,2.25,254,4.79,425,8.02
埼玉県,3362,20.75,526,3.31,1181,7.2,1655,10.09
千葉県,2498,19.98,461,3.66,865,6.87,1172,9.38
東京都,5752,22.21,911,3.57,2056,7.88,2785,10.67
神奈川県,4172,18.46,705,3.16,1487,6.49,1980,8.72
新潟県,393,7.15,68,1.24,131,2.38,194,3.53
富山県,383,13.21,99,3.41,114,3.93,170,5.86
石川県,627,23.22,108,4,204,7.56,315,11.67
福井県,424,16.96,81,3.24,145,5.8,198,7.92
山梨県,263,10.96,49,2.04,80,3.33,134,5.58
長野県,603,11.17,110,2.04,217,4.02,276,5.11
岐阜県,532,10.04,73,1.38,189,3.57,270,5.09
静岡県,1139,12.8,252,2.83,395,4.44,492,5.53
愛知県,2104,11.56,349,1.92,738,4.05,1017,5.59
三重県,691,15.36,118,2.62,240,5.33,333,7.4
滋賀県,376,10.74,58,1.61,156,4.33,162,4.63
京都府,742,10.03,112,1.51,241,3.17,389,5.26
大阪府,2829,14.36,488,2.48,913,4.63,1428,7.25
兵庫県,2136,16.69,342,2.67,728,5.69,1066,8.33
奈良県,567,16.68,73,2.15,189,5.56,305,8.97
和歌山県,296,9.87,58,1.93,118,3.93,120,4
鳥取県,256,13.47,33,1.74,92,4.84,131,6.89
島根県,536,23.3,72,3.13,176,7.65,288,12.52
岡山県,704,13.04,177,3.28,242,4.48,285,5.28
広島県,1360,19.43,237,3.39,441,6.3,682,9.74
山口県,752,17.49,142,3.3,265,6.16,345,8.02
徳島県,349,15.17,86,3.74,85,3.7,178,7.74
香川県,805,28.75,154,5.5,275,9.82,376,13.43
愛媛県,881,24.47,178,4.94,270,7.3,433,11.7
高知県,206,7.92,18,0.69,77,2.96,111,4.27
福岡県,2040,17,484,4.03,681,5.68,875,7.29
佐賀県,289,12.57,68,2.96,89,3.87,132,5.74
長崎県,584,13.27,125,2.84,161,3.66,298,6.77
熊本県,1143,22.86,197,3.94,371,7.42,575,11.5
大分県,957,26.58,212,5.89,290,8.06,455,12.64
宮崎県,1091,30.31,205,5.69,379,10.53,507,14.08
鹿児島県,1358,26.63,255,5,480,9.41,623,12.22
沖縄県,181,5.84,62,2,66,2.13,53,1.71
,,,,,,,,
水痘,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,1381,0.44,452,0.15,450,0.14,479,0.15
北海道,67,0.49,17,0.13,30,0.22,20,0.14
青森県,19,0.51,5,0.14,8,0.22,6,0.16
岩手県,26,0.67,7,0.18,10,0.26,9,0.23
宮城県,26,0.47,10,0.18,12,0.22,4,0.07
秋田県,23,0.72,11,0.35,7,0.21,5,0.15
山形県,10,0.36,5,0.18,4,0.14,1,0.04
福島県,23,0.47,5,0.1,14,0.29,4,0.08
茨城県,19,0.25,8,0.11,6,0.08,5,0.07
栃木県,4,0.08,0,0,1,0.02,3,0.06
群馬県,15,0.28,3,0.06,9,0.17,3,0.06
埼玉県,113,0.7,29,0.18,41,0.25,43,0.26
千葉県,54,0.43,15,0.12,15,0.12,24,0.19
東京都,124,0.48,31,0.12,50,0.19,43,0.16
神奈川県,151,0.67,69,0.31,40,0.17,42,0.19
新潟県,23,0.42,10,0.18,9,0.16,4,0.07
富山県,29,1,3,0.1,12,0.41,14,0.48
石川県,21,0.78,7,0.26,11,0.41,3,0.11
福井県,8,0.32,1,0.04,2,0.08,5,0.2
山梨県,1,0.04,0,0,1,0.04,0,0
長野県,11,0.2,2,0.04,2,0.04,7,0.13
岐阜県,6,0.11,0,0,4,0.08,2,0.04
静岡県,35,0.39,11,0.12,7,0.08,17,0.19
愛知県,41,0.23,19,0.1,9,0.05,13,0.07
三重県,10,0.22,5,0.11,0,0,5,0.11
滋賀県,16,0.46,4,0.11,6,0.17,6,0.17
京都府,35,0.47,7,0.09,11,0.14,17,0.23
大阪府,91,0.46,30,0.15,30,0.15,31,0.16
兵庫県,50,0.39,24,0.19,7,0.05,19,0.15
奈良県,11,0.32,2,0.06,2,0.06,7,0.21
和歌山県,6,0.2,2,0.07,2,0.07,2,0.07
鳥取県,2,0.11,0,0,2,0.11,0,0
島根県,10,0.43,5,0.22,3,0.13,2,0.09
岡山県,15,0.28,6,0.11,4,0.07,5,0.09
広島県,38,0.54,14,0.2,8,0.11,16,0.23
山口県,16,0.37,6,0.14,5,0.12,5,0.12
徳島県,1,0.04,0,0,0,0,1,0.04
香川県,11,0.39,6,0.21,2,0.07,3,0.11
愛媛県,15,0.42,5,0.14,2,0.05,8,0.22
高知県,8,0.31,2,0.08,4,0.15,2,0.08
福岡県,80,0.67,33,0.28,24,0.2,23,0.19
佐賀県,15,0.65,5,0.22,4,0.17,6,0.26
長崎県,13,0.3,3,0.07,6,0.14,4,0.09
熊本県,38,0.76,4,0.08,11,0.22,23,0.46
大分県,9,0.25,5,0.14,2,0.06,2,0.06
宮崎県,6,0.17,3,0.08,1,0.03,2,0.06
鹿児島県,11,0.22,5,0.1,2,0.04,4,0.08
沖縄県,25,0.81,8,0.26,8,0.26,9,0.29
,,,,,,,,
手足口病,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,1399,0.45,442,0.14,410,0.13,547,0.17
北海道,13,0.09,5,0.04,6,0.04,2,0.01
青森県,16,0.43,3,0.08,6,0.16,7,0.19
岩手県,27,0.69,6,0.15,7,0.18,14,0.36
宮城県,12,0.22,4,0.07,5,0.09,3,0.05
秋田県,11,0.34,2,0.06,6,0.18,3,0.09
山形県,19,0.68,2,0.07,9,0.32,8,0.29
福島県,5,0.1,2,0.04,1,0.02,2,0.04
茨城県,12,0.16,8,0.11,4,0.05,0,0
栃木県,26,0.54,7,0.15,9,0.19,10,0.21
群馬県,58,1.09,14,0.26,14,0.26,30,0.57
埼玉県,32,0.2,5,0.03,12,0.07,15,0.09
千葉県,20,0.16,11,0.09,6,0.05,3,0.02
東京都,73,0.28,32,0.13,25,0.1,16,0.06
神奈川県,26,0.12,8,0.04,6,0.03,12,0.05
新潟県,18,0.33,7,0.13,7,0.13,4,0.07
富山県,11,0.38,3,0.1,3,0.1,5,0.17
石川県,10,0.37,3,0.11,5,0.19,2,0.07
福井県,15,0.6,7,0.28,5,0.2,3,0.12
山梨県,17,0.71,10,0.42,4,0.17,3,0.13
長野県,16,0.3,12,0.22,2,0.04,2,0.04
岐阜県,11,0.21,4,0.08,4,0.08,3,0.06
静岡県,11,0.12,3,0.03,4,0.04,4,0.04
愛知県,19,0.1,3,0.02,7,0.04,9,0.05
三重県,10,0.22,1,0.02,3,0.07,6,0.13
滋賀県,20,0.57,3,0.08,12,0.33,5,0.14
京都府,33,0.45,12,0.16,8,0.11,13,0.18
大阪府,197,1,67,0.34,48,0.24,82,0.42
兵庫県,62,0.48,19,0.15,20,0.16,23,0.18
奈良県,38,1.12,17,0.5,9,0.26,12,0.35
和歌山県,29,0.97,6,0.2,12,0.4,11,0.37
鳥取県,5,0.26,0,0,1,0.05,4,0.21
島根県,4,0.17,0,0,0,0,4,0.17
岡山県,28,0.52,11,0.2,8,0.15,9,0.17
広島県,29,0.41,3,0.04,11,0.16,15,0.21
山口県,7,0.16,2,0.05,2,0.05,3,0.07
徳島県,11,0.48,8,0.35,2,0.09,1,0.04
香川県,13,0.46,4,0.14,4,0.14,5,0.18
愛媛県,48,1.33,14,0.39,14,0.38,20,0.54
高知県,15,0.58,4,0.15,5,0.19,6,0.23
福岡県,92,0.77,27,0.23,28,0.23,37,0.31
佐賀県,10,0.43,1,0.04,3,0.13,6,0.26
長崎県,28,0.64,14,0.32,5,0.11,9,0.2
熊本県,45,0.9,13,0.26,12,0.24,20,0.4
大分県,15,0.42,8,0.22,3,0.08,4,0.11
宮崎県,55,1.53,14,0.39,13,0.36,28,0.78
鹿児島県,115,2.25,31,0.61,26,0.51,58,1.14
沖縄県,12,0.39,2,0.06,4,0.13,6,0.19
,,,,,,,,
伝染性紅斑,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,142,0.05,29,0.01,59,0.02,54,0.02
北海道,2,0.01,1,0.01,1,0.01,0,0
青森県,1,0.03,0,0,1,0.03,0,0
岩手県,0,0,0,0,0,0,0,0
宮城県,1,0.02,1,0.02,0,0,0,0
秋田県,0,0,0,0,0,0,0,0
山形県,4,0.14,1,0.04,3,0.11,0,0
福島県,5,0.1,0,0,1,0.02,4,0.08
茨城県,3,0.04,1,0.01,1,0.01,1,0.01
栃木県,2,0.04,0,0,0,0,2,0.04
群馬県,3,0.06,0,0,1,0.02,2,0.04
埼玉県,8,0.05,1,0.01,3,0.02,4,0.02
千葉県,3,0.02,0,0,1,0.01,2,0.02
東京都,51,0.2,7,0.03,26,0.1,18,0.07
神奈川県,18,0.08,2,0.01,5,0.02,11,0.05
新潟県,1,0.02,0,0,1,0.02,0,0
富山県,0,0,0,0,0,0,0,0
石川県,1,0.04,1,0.04,0,0,0,0
福井県,4,0.16,2,0.08,1,0.04,1,0.04
山梨県,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0
岐阜県,1,0.02,1,0.02,0,0,0,0
静岡県,1,0.01,0,0,0,0,1,0.01
愛知県,3,0.02,3,0.02,0,0,0,0
三重県,1,0.02,0,0,0,0,1,0.02
滋賀県,1,0.03,0,0,0,0,1,0.03
京都府,0,0,0,0,0,0,0,0
大阪府,7,0.04,1,0.01,6,0.03,0,0
兵庫県,3,0.02,0,0,2,0.02,1,0.01
奈良県,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0
島根県,1,0.04,1,0.04,0,0,0,0
岡山県,6,0.11,3,0.06,1,0.02,2,0.04
広島県,2,0.03,1,0.01,1,0.01,0,0
山口県,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0
高知県,1,0.04,1,0.04,0,0,0,0
福岡県,3,0.03,1,0.01,1,0.01,1,0.01
佐賀県,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0
熊本県,1,0.02,0,0,1,0.02,0,0
大分県,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0
鹿児島県,2,0.04,0,0,1,0.02,1,0.02
沖縄県,2,0.06,0,0,1,0.03,1,0.03
,,,,,,,,
突発性発しん,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,1656,0.53,358,0.12,643,0.21,655,0.21
北海道,38,0.28,9,0.07,14,0.1,15,0.11
青森県,15,0.41,5,0.14,4,0.11,6,0.16
岩手県,32,0.82,8,0.21,15,0.38,9,0.23
宮城県,36,0.65,9,0.16,19,0.35,8,0.15
秋田県,15,0.47,1,0.03,8,0.24,6,0.18
山形県,27,0.96,6,0.21,7,0.25,14,0.5
福島県,33,0.67,7,0.14,14,0.29,12,0.24
茨城県,19,0.25,4,0.05,7,0.09,8,0.11
栃木県,28,0.58,6,0.13,13,0.27,9,0.19
群馬県,24,0.45,6,0.11,9,0.17,9,0.17
埼玉県,92,0.57,21,0.13,28,0.17,43,0.26
千葉県,52,0.42,15,0.12,22,0.17,15,0.12
東京都,150,0.58,25,0.1,63,0.24,62,0.24
神奈川県,99,0.44,14,0.06,41,0.18,44,0.19
新潟県,32,0.58,7,0.13,14,0.25,11,0.2
富山県,11,0.38,1,0.03,7,0.24,3,0.1
石川県,18,0.67,4,0.15,5,0.19,9,0.33
福井県,14,0.56,5,0.2,8,0.32,1,0.04
山梨県,15,0.63,2,0.08,5,0.21,8,0.33
長野県,22,0.41,7,0.13,7,0.13,8,0.15
岐阜県,34,0.64,4,0.08,10,0.19,20,0.38
静岡県,38,0.43,6,0.07,20,0.22,12,0.13
愛知県,63,0.35,14,0.08,21,0.12,28,0.15
三重県,22,0.49,5,0.11,8,0.18,9,0.2
滋賀県,16,0.46,2,0.06,6,0.17,8,0.23
京都府,19,0.26,1,0.01,8,0.11,10,0.14
大阪府,87,0.44,19,0.1,36,0.18,32,0.16
兵庫県,71,0.55,13,0.1,27,0.21,31,0.24
奈良県,21,0.62,7,0.21,5,0.15,9,0.26
和歌山県,15,0.5,6,0.2,5,0.17,4,0.13
鳥取県,7,0.37,1,0.05,2,0.11,4,0.21
島根県,19,0.83,3,0.13,10,0.43,6,0.26
岡山県,31,0.57,4,0.07,16,0.3,11,0.2
広島県,33,0.47,8,0.11,10,0.14,15,0.21
山口県,30,0.7,7,0.16,11,0.26,12,0.28
徳島県,11,0.48,3,0.13,4,0.17,4,0.17
香川県,12,0.43,2,0.07,4,0.14,6,0.21
愛媛県,30,0.83,6,0.17,12,0.32,12,0.32
高知県,9,0.35,1,0.04,4,0.15,4,0.15
福岡県,103,0.86,26,0.22,41,0.34,36,0.3
佐賀県,23,1,3,0.13,9,0.39,11,0.48
長崎県,18,0.41,7,0.16,6,0.14,5,0.11
熊本県,59,1.18,12,0.24,26,0.52,21,0.42
大分県,41,1.14,11,0.31,16,0.44,14,0.39
宮崎県,30,0.83,13,0.36,6,0.17,11,0.31
鹿児島県,33,0.65,7,0.14,7,0.14,19,0.37
沖縄県,9,0.29,5,0.16,3,0.1,1,0.03
,,,,,,,,
ヘルパンギーナ,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,234,0.07,66,0.02,75,0.02,93,0.03
北海道,3,0.02,1,0.01,1,0.01,1,0.01
青森県,2,0.05,0,0,1,0.03,1,0.03
岩手県,9,0.23,0,0,3,0.08,6,0.15
宮城県,1,0.02,0,0,1,0.02,0,0
秋田県,2,0.06,0,0,1,0.03,1,0.03
山形県,1,0.04,0,0,1,0.04,0,0
福島県,0,0,0,0,0,0,0,0
茨城県,11,0.15,3,0.04,3,0.04,5,0.07
栃木県,1,0.02,1,0.02,0,0,0,0
群馬県,4,0.08,0,0,0,0,4,0.08
埼玉県,8,0.05,2,0.01,4,0.02,2,0.01
千葉県,2,0.02,1,0.01,0,0,1,0.01
東京都,9,0.03,2,0.01,4,0.02,3,0.01
神奈川県,11,0.05,2,0.01,5,0.02,4,0.02
新潟県,3,0.05,1,0.02,1,0.02,1,0.02
富山県,15,0.52,5,0.17,5,0.17,5,0.17
石川県,2,0.07,1,0.04,0,0,1,0.04
福井県,1,0.04,1,0.04,0,0,0,0
山梨県,1,0.04,1,0.04,0,0,0,0
長野県,5,0.09,1,0.02,0,0,4,0.07
岐阜県,3,0.06,0,0,1,0.02,2,0.04
静岡県,4,0.04,2,0.02,1,0.01,1,0.01
愛知県,3,0.02,1,0.01,0,0,2,0.01
三重県,1,0.02,1,0.02,0,0,0,0
滋賀県,1,0.03,0,0,1,0.03,0,0
