報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,
2024年05週(01月29日～02月04日),2024年02月07日作成,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
宮崎県,8454,145.76,1511,26.05,1328,22.9,1613,27.81,1732,29.86,2270,39.14
鹿児島県,8004,89.93,1325,14.89,1523,17.11,1818,20.43,1378,15.48,1960,22.02
沖縄県,7892,146.15,1018,18.85,1195,22.13,1746,32.33,1719,31.83,2214,41
,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1301,0.42,131,0.04,198,0.06,235,0.08,358,0.11,379,0.12
北海道,348,2.52,47,0.35,59,0.42,60,0.43,80,0.58,102,0.73
青森県,6,0.16,1,0.03,1,0.03,2,0.05,0,0,2,0.05
岩手県,25,0.64,1,0.03,6,0.15,4,0.1,8,0.21,6,0.15
宮城県,21,0.38,2,0.04,2,0.04,4,0.07,4,0.07,9,0.16
秋田県,2,0.06,0,0,1,0.03,0,0,0,0,1,0.03
山形県,6,0.21,2,0.07,0,0,1,0.04,2,0.07,1,0.04
福島県,66,1.35,6,0.12,5,0.1,14,0.29,32,0.65,9,0.18
茨城県,19,0.25,6,0.08,1,0.01,0,0,7,0.09,5,0.07
栃木県,32,0.67,1,0.02,3,0.06,3,0.06,12,0.25,13,0.27
群馬県,11,0.21,0,0,2,0.04,1,0.02,3,0.06,5,0.09
埼玉県,43,0.26,2,0.01,7,0.04,8,0.05,13,0.08,13,0.08
千葉県,66,0.53,8,0.06,4,0.03,1,0.01,32,0.26,21,0.17
東京都,41,0.16,3,0.01,5,0.02,6,0.02,11,0.04,16,0.06
神奈川県,32,0.14,1,0,15,0.07,5,0.02,6,0.03,5,0.02
新潟県,10,0.18,2,0.04,2,0.04,1,0.02,4,0.07,1,0.02
富山県,14,0.48,1,0.03,8,0.28,1,0.03,3,0.1,1,0.03
石川県,6,0.22,2,0.07,3,0.11,0,0,0,0,1,0.04
福井県,26,1.04,1,0.04,3,0.12,7,0.28,10,0.4,5,0.2
山梨県,4,0.17,0,0,1,0.04,2,0.08,1,0.04,0,0
長野県,24,0.44,0,0,6,0.11,5,0.09,7,0.13,6,0.11
岐阜県,16,0.3,3,0.06,2,0.04,2,0.04,3,0.06,6,0.11
静岡県,12,0.13,2,0.02,0,0,4,0.04,3,0.03,3,0.03
愛知県,12,0.07,1,0.01,1,0.01,5,0.03,2,0.01,3,0.02
三重県,4,0.09,1,0.02,0,0,2,0.04,1,0.02,0,0
滋賀県,6,0.17,1,0.03,1,0.03,1,0.03,1,0.03,2,0.06
京都府,16,0.21,3,0.04,0,0,5,0.07,4,0.05,4,0.05
大阪府,174,0.88,19,0.1,21,0.11,29,0.15,53,0.27,52,0.26
兵庫県,43,0.34,2,0.02,3,0.02,10,0.08,10,0.08,18,0.14
奈良県,8,0.24,0,0,2,0.06,1,0.03,2,0.06,3,0.09
和歌山県,30,1,0,0,2,0.07,8,0.27,9,0.3,11,0.37
鳥取県,5,0.26,0,0,1,0.05,1,0.05,1,0.05,2,0.11
島根県,4,0.17,0,0,1,0.04,1,0.04,2,0.09,0,0
岡山県,8,0.15,2,0.04,1,0.02,1,0.02,3,0.06,1,0.02
広島県,26,0.38,1,0.01,4,0.06,7,0.1,5,0.07,9,0.13
山口県,3,0.07,0,0,0,0,0,0,2,0.05,1,0.02
徳島県,1,0.04,0,0,1,0.04,0,0,0,0,0,0
香川県,7,0.25,0,0,1,0.04,0,0,2,0.07,4,0.14
愛媛県,7,0.19,0,0,0,0,2,0.05,2,0.05,3,0.08
高知県,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,28,0.23,0,0,6,0.05,8,0.07,3,0.03,11,0.09
佐賀県,8,0.35,0,0,5,0.22,0,0,2,0.09,1,0.04
長崎県,6,0.14,0,0,3,0.07,0,0,0,0,3,0.07
熊本県,3,0.06,0,0,0,0,0,0,1,0.02,2,0.04
大分県,4,0.11,3,0.08,0,0,0,0,0,0,1,0.03
宮崎県,11,0.31,2,0.06,4,0.11,1,0.03,3,0.08,1,0.03
鹿児島県,27,0.53,0,0,3,0.06,9,0.18,6,0.12,9,0.18
沖縄県,30,0.97,5,0.16,2,0.06,13,0.42,3,0.1,7,0.23
,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,20532,6.57,4524,1.46,4526,1.44,4001,1.28,3881,1.24,3600,1.15
北海道,2251,16.31,511,3.81,469,3.37,464,3.34,413,2.97,394,2.83
青森県,208,5.62,54,1.46,32,0.86,39,1.05,48,1.3,35,0.95
岩手県,300,7.69,53,1.36,56,1.44,66,1.69,66,1.69,59,1.51
宮城県,539,9.8,100,1.82,136,2.47,110,2,93,1.69,100,1.82
秋田県,87,2.72,16,0.52,20,0.61,16,0.48,13,0.39,22,0.67
山形県,389,13.89,78,2.79,58,2.07,75,2.68,85,3.04,93,3.32
福島県,475,9.69,105,2.14,104,2.12,84,1.71,75,1.53,107,2.18
茨城県,322,4.29,68,0.91,81,1.08,70,0.93,59,0.79,44,0.59
栃木県,209,4.35,57,1.19,49,1.02,37,0.77,38,0.79,28,0.58
群馬県,262,4.94,44,0.83,64,1.21,59,1.11,58,1.09,37,0.7
埼玉県,1134,6.96,350,2.2,242,1.48,186,1.13,189,1.15,167,1.02
千葉県,731,5.85,187,1.48,177,1.4,154,1.23,103,0.83,110,0.87
東京都,902,3.48,178,0.7,243,0.93,186,0.71,166,0.64,129,0.49
神奈川県,918,4.04,222,1,228,1,187,0.82,149,0.65,132,0.58
新潟県,605,11,65,1.18,104,1.89,105,1.91,156,2.84,175,3.18
富山県,399,13.76,60,2.07,70,2.41,62,2.14,107,3.69,100,3.45
石川県,340,12.59,80,2.96,58,2.15,61,2.26,83,2.96,58,2.07
福井県,411,16.44,68,2.72,106,4.24,71,2.84,90,3.6,76,3.04
山梨県,103,4.29,24,1,25,1.04,16,0.67,28,1.17,10,0.42
長野県,173,3.2,34,0.63,47,0.87,43,0.8,21,0.39,28,0.52
岐阜県,243,4.58,55,1.04,55,1.04,54,1.02,38,0.72,41,0.77
静岡県,467,5.25,65,0.73,99,1.11,109,1.22,109,1.22,85,0.96
愛知県,691,3.8,148,0.81,170,0.93,131,0.72,130,0.71,112,0.62
三重県,335,7.44,74,1.64,81,1.8,72,1.6,55,1.22,53,1.18
滋賀県,162,4.63,54,1.5,26,0.72,28,0.8,25,0.71,29,0.81
京都府,350,4.67,82,1.11,65,0.86,59,0.79,73,0.97,71,0.95
大阪府,598,3.04,129,0.65,175,0.89,118,0.6,100,0.51,76,0.39
兵庫県,658,5.18,133,1.04,154,1.2,123,0.96,136,1.06,112,0.88
奈良県,203,5.97,36,1.06,44,1.29,44,1.29,41,1.21,38,1.12
和歌山県,186,6.2,55,1.83,40,1.33,43,1.43,28,0.93,20,0.67
鳥取県,56,2.95,6,0.32,10,0.53,12,0.63,15,0.79,13,0.68
島根県,134,5.83,27,1.17,24,1.04,28,1.22,29,1.26,26,1.13
岡山県,264,4.89,58,1.07,69,1.28,56,1.04,45,0.83,36,0.67
広島県,691,10.01,143,2.04,140,2,136,1.94,144,2.06,128,1.86
山口県,253,5.88,51,1.19,62,1.44,46,1.07,42,0.98,52,1.21
徳島県,118,5.13,37,1.61,17,0.74,29,1.26,20,0.87,15,0.65
香川県,161,5.75,42,1.5,27,0.96,26,0.93,32,1.14,34,1.21
愛媛県,252,7,72,2,50,1.35,56,1.51,45,1.22,29,0.78
高知県,132,5.08,40,1.54,33,1.27,30,1.15,20,0.77,9,0.35
福岡県,857,7.14,217,1.81,208,1.73,167,1.39,138,1.15,127,1.06
佐賀県,226,9.83,43,1.87,46,2,42,1.83,46,2,49,2.13
長崎県,462,10.5,111,2.52,114,2.59,81,1.84,76,1.73,80,1.82
熊本県,435,8.7,110,2.2,79,1.58,79,1.58,74,1.48,93,1.86
大分県,326,9.06,64,1.78,71,1.97,59,1.64,69,1.92,63,1.75
宮崎県,392,10.89,76,2.11,77,2.14,63,1.75,101,2.81,75,2.08
鹿児島県,912,17.88,194,3.8,176,3.45,166,3.25,174,3.41,202,3.96
沖縄県,210,6.77,48,1.55,45,1.45,53,1.71,36,1.16,28,0.9
,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,55767,17.84,5404,1.74,8867,2.83,13388,4.28,13621,4.35,14487,4.63
北海道,4237,30.7,447,3.34,584,4.2,872,6.27,1101,7.92,1233,8.87
青森県,481,13,50,1.35,54,1.46,102,2.76,104,2.81,171,4.62
岩手県,450,11.54,41,1.05,67,1.72,91,2.33,122,3.13,129,3.31
宮城県,980,17.82,81,1.47,137,2.49,262,4.76,261,4.75,239,4.35
秋田県,213,6.66,24,0.77,26,0.79,51,1.55,56,1.7,56,1.7
山形県,1031,36.82,73,2.61,159,5.68,253,9.04,244,8.71,302,10.79
福島県,962,19.63,108,2.2,143,2.92,253,5.16,213,4.35,245,5
茨城県,1750,23.33,225,3,235,3.13,392,5.23,371,4.95,527,7.03
栃木県,658,13.71,76,1.58,97,2.02,164,3.42,158,3.29,163,3.4
群馬県,1088,20.53,78,1.47,167,3.15,291,5.49,261,4.92,291,5.49
埼玉県,3523,21.61,366,2.3,491,2.99,849,5.18,940,5.73,877,5.35
千葉県,2851,22.81,300,2.38,471,3.74,646,5.17,726,5.85,708,5.57
東京都,4341,16.76,379,1.49,745,2.85,1054,4.04,1073,4.11,1090,4.18
神奈川県,2990,13.17,291,1.3,507,2.21,797,3.51,685,2.98,710,3.14
新潟県,1366,24.84,119,2.16,202,3.67,356,6.47,348,6.33,341,6.2
富山県,907,31.28,53,1.83,131,4.52,278,9.59,235,8.1,210,7.24
石川県,386,14.3,57,2.11,47,1.74,78,2.89,100,3.57,104,3.71
福井県,523,20.92,62,2.48,83,3.32,121,4.84,128,5.12,129,5.16
山梨県,201,8.38,17,0.71,22,0.92,52,2.17,45,1.88,65,2.71
長野県,980,18.15,93,1.72,172,3.19,268,4.96,220,4.07,227,4.2
岐阜県,438,8.26,27,0.51,55,1.04,99,1.87,135,2.55,122,2.3
静岡県,1432,16.09,131,1.47,222,2.49,318,3.57,370,4.16,391,4.39
愛知県,1897,10.42,211,1.16,314,1.73,422,2.32,503,2.76,447,2.46
三重県,865,19.22,67,1.49,144,3.2,219,4.87,216,4.8,219,4.87
滋賀県,222,6.34,28,0.78,41,1.14,60,1.71,53,1.51,40,1.11
京都府,839,11.19,78,1.05,148,1.95,188,2.51,203,2.71,222,2.96
大阪府,3102,15.75,303,1.54,512,2.6,715,3.63,758,3.85,814,4.13
兵庫県,1690,13.31,189,1.48,286,2.23,405,3.16,394,3.08,416,3.28
奈良県,450,13.24,46,1.35,71,2.09,115,3.38,98,2.88,120,3.53
和歌山県,319,10.63,37,1.23,46,1.53,89,2.97,55,1.83,92,3.07
鳥取県,703,37,44,2.32,92,4.84,178,9.37,189,9.95,200,10.53
島根県,205,8.91,25,1.09,39,1.7,51,2.22,43,1.87,47,2.04
岡山県,536,9.93,65,1.2,88,1.63,131,2.43,121,2.24,131,2.43
広島県,1042,15.1,96,1.37,187,2.67,267,3.81,258,3.69,234,3.39
山口県,978,22.74,128,2.98,146,3.4,214,4.98,238,5.53,252,5.86
徳島県,173,7.52,19,0.83,27,1.17,44,1.91,26,1.13,57,2.48
香川県,369,13.18,35,1.25,49,1.75,101,3.61,93,3.32,91,3.25
愛媛県,869,24.14,79,2.19,141,3.81,195,5.27,232,6.27,222,6
高知県,430,16.54,36,1.38,93,3.58,97,3.73,107,4.12,97,3.73
福岡県,4005,33.38,292,2.43,685,5.71,970,8.08,970,8.08,1088,9.07
佐賀県,549,23.87,35,1.52,88,3.83,146,6.35,144,6.26,136,5.91
長崎県,713,16.2,64,1.45,132,3,163,3.7,138,3.14,216,4.91
熊本県,763,15.26,80,1.6,145,2.9,186,3.72,154,3.08,198,3.96
大分県,617,17.14,69,1.92,115,3.19,145,4.03,138,3.83,150,4.17
宮崎県,890,24.72,91,2.53,136,3.78,242,6.72,205,5.69,216,6
鹿児島県,1041,20.41,106,2.08,200,3.92,250,4.9,236,4.63,249,4.88
沖縄県,712,22.97,83,2.68,125,4.03,148,4.77,153,4.94,203,6.55
,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,96523,30.88,8781,2.83,16795,5.36,23875,7.63,23806,7.6,23266,7.43
北海道,1782,12.91,159,1.19,243,1.75,450,3.24,436,3.14,494,3.55
青森県,1064,28.76,95,2.57,193,5.22,285,7.7,277,7.49,214,5.78
岩手県,1256,32.21,81,2.08,208,5.33,260,6.67,346,8.87,361,9.26
宮城県,1351,24.56,116,2.11,228,4.15,363,6.6,302,5.49,342,6.22
秋田県,385,12.03,35,1.13,60,1.82,106,3.21,93,2.82,91,2.76
山形県,646,23.07,36,1.29,110,3.93,183,6.54,173,6.18,144,5.14
福島県,908,18.53,73,1.49,134,2.73,217,4.43,235,4.8,249,5.08
茨城県,2146,28.61,218,2.91,355,4.73,518,6.91,550,7.33,505,6.73
栃木県,960,20,103,2.15,179,3.73,253,5.27,192,4,233,4.85
群馬県,1603,30.25,119,2.25,254,4.79,425,8.02,383,7.23,422,7.96
埼玉県,6527,40.04,526,3.31,1181,7.2,1655,10.09,1692,10.32,1473,8.98
千葉県,4618,36.94,461,3.66,865,6.87,1172,9.38,1102,8.89,1018,8.02
東京都,11045,42.64,911,3.57,2056,7.88,2785,10.67,2805,10.75,2488,9.53
神奈川県,7749,34.14,705,3.16,1487,6.49,1980,8.72,1909,8.3,1668,7.38
新潟県,944,17.16,68,1.24,131,2.38,194,3.53,235,4.27,316,5.75
富山県,830,28.62,99,3.41,114,3.93,170,5.86,221,7.62,226,7.79
石川県,1336,49.48,108,4,204,7.56,315,11.67,379,13.54,330,11.79
福井県,870,34.8,81,3.24,145,5.8,198,7.92,191,7.64,255,10.2
山梨県,472,19.67,49,2.04,80,3.33,134,5.58,118,4.92,91,3.79
長野県,1262,23.37,110,2.04,217,4.02,276,5.11,312,5.78,347,6.43
岐阜県,1022,19.28,73,1.38,189,3.57,270,5.09,227,4.28,263,4.96
静岡県,2348,26.38,252,2.83,395,4.44,492,5.53,654,7.35,555,6.24
愛知県,4228,23.23,349,1.92,738,4.05,1020,5.6,1087,5.97,1034,5.68
三重県,1392,30.93,118,2.62,240,5.33,333,7.4,323,7.18,378,8.4
滋賀県,728,20.8,58,1.61,156,4.33,162,4.63,169,4.83,183,5.08
京都府,1579,21.05,112,1.51,241,3.17,389,5.19,426,5.68,411,5.48
大阪府,6017,30.54,488,2.48,917,4.65,1432,7.27,1542,7.83,1638,8.31
兵庫県,4412,34.74,342,2.67,728,5.69,1066,8.33,1211,9.46,1065,8.39
奈良県,1133,33.32,73,2.15,189,5.56,305,8.97,281,8.26,285,8.38
和歌山県,649,21.63,58,1.93,118,3.93,120,4,147,4.9,206,6.87
鳥取県,501,26.37,33,1.74,92,4.84,131,6.89,108,5.68,137,7.21
島根県,1085,47.17,72,3.13,176,7.65,288,12.52,278,12.09,271,11.78
岡山県,1452,26.89,177,3.28,242,4.48,285,5.28,327,6.06,421,7.8
広島県,2804,40.64,237,3.39,441,6.3,682,9.74,704,10.06,740,10.72
山口県,1298,30.19,142,3.3,265,6.16,345,8.02,271,6.3,275,6.4
徳島県,618,26.87,86,3.74,85,3.7,178,7.74,141,6.13,128,5.57
香川県,1569,56.04,154,5.5,275,9.82,376,13.43,385,13.75,379,13.54
愛媛県,1663,46.19,178,4.94,270,7.3,433,11.7,409,11.05,373,10.08
高知県,452,17.38,18,0.69,77,2.96,111,4.27,109,4.19,137,5.27
福岡県,3518,29.32,484,4.03,681,5.68,875,7.29,751,6.26,727,6.06
佐賀県,516,22.43,68,2.96,89,3.87,132,5.74,135,5.87,92,4
長崎県,994,22.59,125,2.84,161,3.66,298,6.77,218,4.95,192,4.36
熊本県,2129,42.58,197,3.94,371,7.42,575,11.5,517,10.34,469,9.38
大分県,1804,50.11,212,5.89,290,8.06,455,12.64,373,10.36,474,13.17
宮崎県,2003,55.64,205,5.69,379,10.53,507,14.08,448,12.44,464,12.89
鹿児島県,2528,49.57,255,5,480,9.41,623,12.22,547,10.73,623,12.22
沖縄県,327,10.55,62,2,66,2.13,53,1.71,67,2.16,79,2.55
,,,,,,,,,,,,
水痘,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2222,0.71,452,0.15,450,0.14,480,0.15,406,0.13,434,0.14
北海道,117,0.85,17,0.13,30,0.22,20,0.14,29,0.21,21,0.15
青森県,23,0.62,5,0.14,8,0.22,6,0.16,2,0.05,2,0.05
岩手県,31,0.79,7,0.18,10,0.26,9,0.23,4,0.1,1,0.03
宮城県,38,0.69,10,0.18,12,0.22,4,0.07,4,0.07,8,0.15
秋田県,28,0.88,11,0.35,7,0.21,5,0.15,4,0.12,1,0.03
山形県,18,0.64,5,0.18,4,0.14,1,0.04,5,0.18,3,0.11
福島県,39,0.8,5,0.1,14,0.29,4,0.08,9,0.18,7,0.14
茨城県,27,0.36,8,0.11,6,0.08,5,0.07,3,0.04,5,0.07
栃木県,7,0.15,0,0,1,0.02,3,0.06,1,0.02,2,0.04
群馬県,26,0.49,3,0.06,9,0.17,3,0.06,6,0.11,5,0.09
埼玉県,174,1.07,29,0.18,41,0.25,43,0.26,25,0.15,36,0.22
千葉県,84,0.67,15,0.12,15,0.12,24,0.19,13,0.1,17,0.13
東京都,191,0.74,31,0.12,50,0.19,43,0.16,42,0.16,25,0.1
神奈川県,227,1,69,0.31,40,0.17,42,0.19,34,0.15,42,0.19
新潟県,36,0.65,10,0.18,9,0.16,4,0.07,8,0.15,5,0.09
富山県,37,1.28,3,0.1,12,0.41,14,0.48,4,0.14,4,0.14
石川県,50,1.85,7,0.26,11,0.41,3,0.11,16,0.57,13,0.46
福井県,20,0.8,1,0.04,2,0.08,5,0.2,4,0.16,8,0.32
山梨県,16,0.67,0,0,1,0.04,0,0,0,0,15,0.63
長野県,25,0.46,2,0.04,2,0.04,7,0.13,8,0.15,6,0.11
岐阜県,10,0.19,0,0,4,0.08,2,0.04,2,0.04,2,0.04
静岡県,49,0.55,11,0.12,7,0.08,17,0.19,10,0.11,4,0.04
愛知県,70,0.38,19,0.1,9,0.05,13,0.07,16,0.09,13,0.07
三重県,20,0.44,5,0.11,0,0,5,0.11,5,0.11,5,0.11
滋賀県,20,0.57,4,0.11,6,0.17,6,0.17,4,0.11,0,0
京都府,55,0.73,7,0.09,11,0.14,17,0.23,9,0.12,11,0.15
大阪府,145,0.74,30,0.15,30,0.15,31,0.16,27,0.14,27,0.14
兵庫県,91,0.72,24,0.19,7,0.05,19,0.15,26,0.2,15,0.12
奈良県,22,0.65,2,0.06,2,0.06,7,0.21,1,0.03,10,0.29
和歌山県,10,0.33,2,0.07,2,0.07,2,0.07,4,0.13,0,0
鳥取県,4,0.21,0,0,2,0.11,0,0,1,0.05,1,0.05
島根県,14,0.61,5,0.22,3,0.13,2,0.09,3,0.13,1,0.04
岡山県,21,0.39,6,0.11,4,0.07,5,0.09,3,0.06,3,0.06
広島県,50,0.72,14,0.2,8,0.11,16,0.23,4,0.06,8,0.12
山口県,22,0.51,6,0.14,5,0.12,5,0.12,1,0.02,5,0.12
徳島県,3,0.13,0,0,0,0,1,0.04,0,0,2,0.09
香川県,15,0.54,6,0.21,2,0.07,3,0.11,1,0.04,3,0.11
愛媛県,25,0.69,5,0.14,2,0.05,8,0.22,3,0.08,7,0.19
高知県,10,0.38,2,0.08,4,0.15,2,0.08,1,0.04,1,0.04
福岡県,151,1.26,33,0.28,24,0.2,24,0.2,36,0.3,34,0.28
佐賀県,18,0.78,5,0.22,4,0.17,6,0.26,1,0.04,2,0.09
長崎県,26,0.59,3,0.07,6,0.14,4,0.09,7,0.16,6,0.14
熊本県,69,1.38,4,0.08,11,0.22,23,0.46,5,0.1,26,0.52
大分県,17,0.47,5,0.14,2,0.06,2,0.06,3,0.08,5,0.14
宮崎県,12,0.33,3,0.08,1,0.03,2,0.06,4,0.11,2,0.06
鹿児島県,18,0.35,5,0.1,2,0.04,4,0.08,1,0.02,6,0.12
沖縄県,41,1.32,8,0.26,8,0.26,9,0.29,7,0.23,9,0.29
,,,,,,,,,,,,
手足口病,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2710,0.87,442,0.14,411,0.13,547,0.17,626,0.2,684,0.22
北海道,19,0.14,5,0.04,6,0.04,2,0.01,5,0.04,1,0.01
青森県,22,0.59,3,0.08,6,0.16,7,0.19,4,0.11,2,0.05
岩手県,49,1.26,6,0.15,7,0.18,14,0.36,9,0.23,13,0.33
宮城県,17,0.31,4,0.07,5,0.09,3,0.05,1,0.02,4,0.07
秋田県,33,1.03,2,0.06,6,0.18,3,0.09,14,0.42,8,0.24
山形県,45,1.61,2,0.07,9,0.32,8,0.29,12,0.43,14,0.5
福島県,7,0.14,2,0.04,1,0.02,2,0.04,0,0,2,0.04
茨城県,14,0.19,8,0.11,4,0.05,0,0,2,0.03,0,0
栃木県,40,0.83,7,0.15,9,0.19,10,0.21,7,0.15,7,0.15
群馬県,93,1.75,14,0.26,14,0.26,30,0.57,17,0.32,18,0.34
埼玉県,61,0.37,5,0.03,12,0.07,15,0.09,13,0.08,16,0.1
千葉県,26,0.21,11,0.09,6,0.05,3,0.02,4,0.03,2,0.02
東京都,110,0.42,32,0.13,25,0.1,16,0.06,21,0.08,16,0.06
神奈川県,52,0.23,8,0.04,6,0.03,12,0.05,8,0.03,18,0.08
新潟県,38,0.69,7,0.13,7,0.13,4,0.07,7,0.13,13,0.24
富山県,23,0.79,3,0.1,3,0.1,5,0.17,6,0.21,6,0.21
石川県,32,1.19,3,0.11,5,0.19,2,0.07,9,0.32,13,0.46
福井県,29,1.16,7,0.28,5,0.2,3,0.12,5,0.2,9,0.36
山梨県,29,1.21,10,0.42,4,0.17,3,0.13,7,0.29,5,0.21
長野県,24,0.44,12,0.22,2,0.04,2,0.04,7,0.13,1,0.02
岐阜県,14,0.26,4,0.08,4,0.08,3,0.06,2,0.04,1,0.02
静岡県,29,0.33,3,0.03,4,0.04,4,0.04,10,0.11,8,0.09
愛知県,28,0.15,3,0.02,7,0.04,9,0.05,2,0.01,7,0.04
三重県,20,0.44,1,0.02,3,0.07,6,0.13,6,0.13,4,0.09
滋賀県,38,1.09,3,0.08,12,0.33,5,0.14,6,0.17,12,0.33
京都府,82,1.09,12,0.16,8,0.11,13,0.17,26,0.35,23,0.31
