報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,
2024年02週(01月08日～01月14日),2024年01月17日作成,,,,,
岡山県,10,0.19,6,0.11,4,0.07
広島県,22,0.31,14,0.2,8,0.11
山口県,11,0.26,6,0.14,5,0.12
徳島県,0,0,0,0,0,0
香川県,8,0.29,6,0.21,2,0.07
愛媛県,7,0.19,5,0.14,2,0.05
高知県,6,0.23,2,0.08,4,0.15
福岡県,56,0.47,33,0.28,23,0.19
佐賀県,9,0.39,5,0.22,4,0.17
長崎県,9,0.2,3,0.07,6,0.14
熊本県,15,0.3,4,0.08,11,0.22
大分県,7,0.19,5,0.14,2,0.06
宮崎県,4,0.11,3,0.08,1,0.03
鹿児島県,7,0.14,5,0.1,2,0.04
沖縄県,16,0.52,8,0.26,8,0.26
,,,,,,
手足口病,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,852,0.27,442,0.14,410,0.13
北海道,11,0.08,5,0.04,6,0.04
青森県,9,0.24,3,0.08,6,0.16
岩手県,13,0.33,6,0.15,7,0.18
宮城県,9,0.16,4,0.07,5,0.09
秋田県,8,0.25,2,0.06,6,0.18
山形県,11,0.39,2,0.07,9,0.32
福島県,3,0.06,2,0.04,1,0.02
茨城県,12,0.16,8,0.11,4,0.05
栃木県,16,0.33,7,0.15,9,0.19
群馬県,28,0.53,14,0.26,14,0.26
埼玉県,17,0.11,5,0.03,12,0.07
千葉県,17,0.13,11,0.09,6,0.05
東京都,57,0.22,32,0.13,25,0.1
神奈川県,14,0.06,8,0.04,6,0.03
新潟県,14,0.25,7,0.13,7,0.13
富山県,6,0.21,3,0.1,3,0.1
石川県,8,0.3,3,0.11,5,0.19
福井県,12,0.48,7,0.28,5,0.2
山梨県,14,0.58,10,0.42,4,0.17
長野県,14,0.26,12,0.22,2,0.04
岐阜県,8,0.15,4,0.08,4,0.08
静岡県,7,0.08,3,0.03,4,0.04
愛知県,10,0.05,3,0.02,7,0.04
三重県,4,0.09,1,0.02,3,0.07
滋賀県,15,0.42,3,0.08,12,0.33
京都府,20,0.27,12,0.16,8,0.11
大阪府,115,0.58,67,0.34,48,0.24
兵庫県,39,0.3,19,0.15,20,0.16
奈良県,26,0.76,17,0.5,9,0.26
和歌山県,18,0.6,6,0.2,12,0.4
鳥取県,1,0.05,0,0,1,0.05
島根県,0,0,0,0,0,0
岡山県,19,0.35,11,0.2,8,0.15
広島県,14,0.2,3,0.04,11,0.16
山口県,4,0.09,2,0.05,2,0.05
徳島県,10,0.43,8,0.35,2,0.09
香川県,8,0.29,4,0.14,4,0.14
愛媛県,28,0.78,14,0.39,14,0.38
高知県,9,0.35,4,0.15,5,0.19
福岡県,55,0.46,27,0.23,28,0.23
佐賀県,4,0.17,1,0.04,3,0.13
長崎県,19,0.43,14,0.32,5,0.11
熊本県,25,0.5,13,0.26,12,0.24
大分県,11,0.31,8,0.22,3,0.08
宮崎県,27,0.75,14,0.39,13,0.36
鹿児島県,57,1.12,31,0.61,26,0.51
沖縄県,6,0.19,2,0.06,4,0.13
,,,,,,
伝染性紅斑,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,88,0.03,29,0.01,59,0.02
北海道,2,0.01,1,0.01,1,0.01
青森県,1,0.03,0,0,1,0.03
岩手県,0,0,0,0,0,0
宮城県,1,0.02,1,0.02,0,0
秋田県,0,0,0,0,0,0
山形県,4,0.14,1,0.04,3,0.11
福島県,1,0.02,0,0,1,0.02
茨城県,2,0.03,1,0.01,1,0.01
栃木県,0,0,0,0,0,0
群馬県,1,0.02,0,0,1,0.02
埼玉県,4,0.02,1,0.01,3,0.02
千葉県,1,0.01,0,0,1,0.01
東京都,33,0.13,7,0.03,26,0.1
神奈川県,7,0.03,2,0.01,5,0.02
新潟県,1,0.02,0,0,1,0.02
富山県,0,0,0,0,0,0
石川県,1,0.04,1,0.04,0,0
福井県,3,0.12,2,0.08,1,0.04
山梨県,0,0,0,0,0,0
長野県,0,0,0,0,0,0
岐阜県,1,0.02,1,0.02,0,0
静岡県,0,0,0,0,0,0
愛知県,3,0.02,3,0.02,0,0
三重県,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0
京都府,0,0,0,0,0,0
大阪府,7,0.04,1,0.01,6,0.03
兵庫県,2,0.02,0,0,2,0.02
奈良県,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0
島根県,1,0.04,1,0.04,0,0
岡山県,4,0.07,3,0.06,1,0.02
広島県,2,0.03,1,0.01,1,0.01
山口県,0,0,0,0,0,0
徳島県,0,0,0,0,0,0
香川県,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0
高知県,1,0.04,1,0.04,0,0
福岡県,2,0.02,1,0.01,1,0.01
佐賀県,0,0,0,0,0,0
長崎県,0,0,0,0,0,0
熊本県,1,0.02,0,0,1,0.02
大分県,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0
鹿児島県,1,0.02,0,0,1,0.02
沖縄県,1,0.03,0,0,1,0.03
,,,,,,
突発性発しん,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,1000,0.32,358,0.12,642,0.2
北海道,23,0.17,9,0.07,14,0.1
青森県,9,0.24,5,0.14,4,0.11
岩手県,23,0.59,8,0.21,15,0.38
宮城県,28,0.51,9,0.16,19,0.35
秋田県,9,0.28,1,0.03,8,0.24
山形県,13,0.46,6,0.21,7,0.25
福島県,21,0.43,7,0.14,14,0.29
茨城県,11,0.15,4,0.05,7,0.09
栃木県,19,0.4,6,0.13,13,0.27
群馬県,15,0.28,6,0.11,9,0.17
埼玉県,49,0.3,21,0.13,28,0.17
千葉県,37,0.29,15,0.12,22,0.17
東京都,88,0.34,25,0.1,63,0.24
神奈川県,55,0.24,14,0.06,41,0.18
新潟県,21,0.38,7,0.13,14,0.25
富山県,8,0.28,1,0.03,7,0.24
石川県,9,0.33,4,0.15,5,0.19
福井県,13,0.52,5,0.2,8,0.32
山梨県,7,0.29,2,0.08,5,0.21
長野県,14,0.26,7,0.13,7,0.13
岐阜県,14,0.26,4,0.08,10,0.19
静岡県,26,0.29,6,0.07,20,0.22
愛知県,35,0.19,14,0.08,21,0.12
三重県,13,0.29,5,0.11,8,0.18
滋賀県,8,0.22,2,0.06,6,0.17
京都府,9,0.12,1,0.01,8,0.11
大阪府,55,0.28,19,0.1,36,0.18
兵庫県,40,0.31,13,0.1,27,0.21
奈良県,12,0.35,7,0.21,5,0.15
和歌山県,11,0.37,6,0.2,5,0.17
鳥取県,3,0.16,1,0.05,2,0.11
島根県,13,0.57,3,0.13,10,0.43
岡山県,20,0.37,4,0.07,16,0.3
広島県,18,0.26,8,0.11,10,0.14
山口県,18,0.42,7,0.16,11,0.26
徳島県,7,0.3,3,0.13,4,0.17
香川県,6,0.21,2,0.07,4,0.14
愛媛県,18,0.5,6,0.17,12,0.32
高知県,5,0.19,1,0.04,4,0.15
福岡県,66,0.55,26,0.22,40,0.33
佐賀県,12,0.52,3,0.13,9,0.39
長崎県,13,0.3,7,0.16,6,0.14
熊本県,38,0.76,12,0.24,26,0.52
大分県,27,0.75,11,0.31,16,0.44
宮崎県,19,0.53,13,0.36,6,0.17
鹿児島県,14,0.27,7,0.14,7,0.14
沖縄県,8,0.26,5,0.16,3,0.1
,,,,,,
ヘルパンギーナ,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,141,0.05,66,0.02,75,0.02
北海道,2,0.01,1,0.01,1,0.01
青森県,1,0.03,0,0,1,0.03
岩手県,3,0.08,0,0,3,0.08
宮城県,1,0.02,0,0,1,0.02
秋田県,1,0.03,0,0,1,0.03
山形県,1,0.04,0,0,1,0.04
福島県,0,0,0,0,0,0
茨城県,6,0.08,3,0.04,3,0.04
栃木県,1,0.02,1,0.02,0,0
群馬県,0,0,0,0,0,0
埼玉県,6,0.04,2,0.01,4,0.02
千葉県,1,0.01,1,0.01,0,0
東京都,6,0.02,2,0.01,4,0.02
神奈川県,7,0.03,2,0.01,5,0.02
新潟県,2,0.04,1,0.02,1,0.02
富山県,10,0.34,5,0.17,5,0.17
石川県,1,0.04,1,0.04,0,0
福井県,1,0.04,1,0.04,0,0
山梨県,1,0.04,1,0.04,0,0
長野県,1,0.02,1,0.02,0,0
岐阜県,1,0.02,0,0,1,0.02
静岡県,3,0.03,2,0.02,1,0.01
愛知県,1,0.01,1,0.01,0,0
三重県,1,0.02,1,0.02,0,0
滋賀県,1,0.03,0,0,1,0.03
京都府,0,0,0,0,0,0
大阪府,18,0.09,15,0.08,3,0.02
兵庫県,7,0.05,5,0.04,2,0.02
奈良県,6,0.18,0,0,6,0.18
和歌山県,2,0.07,0,0,2,0.07
鳥取県,0,0,0,0,0,0
島根県,1,0.04,0,0,1,0.04
岡山県,1,0.02,1,0.02,0,0
広島県,1,0.01,0,0,1,0.01
山口県,1,0.02,0,0,1,0.02
徳島県,3,0.13,2,0.09,1,0.04
香川県,2,0.07,0,0,2,0.07
愛媛県,8,0.22,2,0.06,6,0.16
高知県,1,0.04,0,0,1,0.04
福岡県,4,0.03,1,0.01,3,0.03
佐賀県,0,0,0,0,0,0
長崎県,1,0.02,0,0,1,0.02
熊本県,6,0.12,3,0.06,3,0.06
大分県,3,0.08,3,0.08,0,0
宮崎県,2,0.06,1,0.03,1,0.03
鹿児島県,13,0.25,5,0.1,8,0.16
沖縄県,2,0.06,2,0.06,0,0
,,,,,,
流行性耳下腺炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,126,0.04,43,0.01,83,0.03
北海道,2,0.01,0,0,2,0.01
青森県,1,0.03,0,0,1,0.03
岩手県,2,0.05,0,0,2,0.05
宮城県,3,0.05,1,0.02,2,0.04
秋田県,0,0,0,0,0,0
山形県,0,0,0,0,0,0
福島県,1,0.02,0,0,1,0.02
茨城県,1,0.01,1,0.01,0,0
栃木県,2,0.04,2,0.04,0,0
群馬県,3,0.06,0,0,3,0.06
埼玉県,14,0.09,7,0.04,7,0.04
千葉県,9,0.07,5,0.04,4,0.03
東京都,16,0.06,0,0,16,0.06
神奈川県,5,0.02,0,0,5,0.02
新潟県,2,0.04,1,0.02,1,0.02
富山県,2,0.07,1,0.03,1,0.03
石川県,0,0,0,0,0,0
福井県,0,0,0,0,0,0
山梨県,0,0,0,0,0,0
長野県,1,0.02,0,0,1,0.02
岐阜県,2,0.04,1,0.02,1,0.02
静岡県,4,0.04,2,0.02,2,0.02
愛知県,5,0.03,3,0.02,2,0.01
三重県,0,0,0,0,0,0
滋賀県,1,0.03,1,0.03,0,0
京都府,4,0.05,1,0.01,3,0.04
大阪府,7,0.04,4,0.02,3,0.02
兵庫県,6,0.05,1,0.01,5,0.04
奈良県,0,0,0,0,0,0
和歌山県,1,0.03,0,0,1,0.03
鳥取県,0,0,0,0,0,0
島根県,1,0.04,0,0,1,0.04
岡山県,3,0.06,2,0.04,1,0.02
広島県,2,0.03,1,0.01,1,0.01
山口県,0,0,0,0,0,0
徳島県,0,0,0,0,0,0
香川県,0,0,0,0,0,0
愛媛県,1,0.03,0,0,1,0.03
高知県,0,0,0,0,0,0
福岡県,8,0.07,4,0.03,4,0.03
佐賀県,0,0,0,0,0,0
長崎県,0,0,0,0,0,0
熊本県,2,0.04,1,0.02,1,0.02
大分県,3,0.08,0,0,3,0.08
宮崎県,2,0.06,0,0,2,0.06
鹿児島県,3,0.06,3,0.06,0,0
沖縄県,7,0.23,1,0.03,6,0.19
,,,,,,
急性出血性結膜炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,22,0.03,10,0.01,12,0.02
北海道,0,0,0,0,0,0
青森県,0,0,0,0,0,0
岩手県,0,0,0,0,0,0
宮城県,0,0,0,0,0,0
秋田県,1,0.14,1,0.14,0,0
山形県,0,0,0,0,0,0
福島県,0,0,0,0,0,0
茨城県,0,0,0,0,0,0
栃木県,1,0.08,1,0.08,0,0
群馬県,1,0.07,1,0.07,0,0
埼玉県,1,0.02,0,0,1,0.02
千葉県,1,0.03,1,0.03,0,0
東京都,1,0.03,0,0,1,0.03
神奈川県,2,0.04,1,0.02,1,0.02
新潟県,1,0.1,0,0,1,0.1
富山県,0,0,0,0,0,0
石川県,0,0,0,0,0,0
福井県,0,0,0,0,0,0
山梨県,0,0,0,0,0,0
長野県,1,0.1,0,0,1,0.1
岐阜県,0,0,0,0,0,0
静岡県,0,0,0,0,0,0
愛知県,0,0,0,0,0,0
三重県,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0
京都府,1,0.06,0,0,1,0.06
大阪府,2,0.04,2,0.04,0,0
兵庫県,1,0.03,0,0,1,0.03
奈良県,1,0.1,0,0,1,0.1
和歌山県,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0
島根県,0,0,0,0,0,0
岡山県,1,0.08,1,0.08,0,0
広島県,1,0.05,1,0.05,0,0
山口県,0,0,0,0,0,0
徳島県,0,0,0,0,0,0
香川県,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0
高知県,0,0,0,0,0,0
福岡県,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0
長崎県,4,0.5,1,0.13,3,0.38
熊本県,0,0,0,0,0,0
大分県,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0
鹿児島県,1,0.14,0,0,1,0.14
沖縄県,0,0,0,0,0,0
,,,,,,
流行性角結膜炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,1113,1.61,495,0.72,618,0.89
北海道,23,0.79,7,0.24,16,0.55
青森県,14,1.4,5,0.5,9,0.9
岩手県,12,0.86,5,0.36,7,0.5
宮城県,5,0.42,3,0.25,2,0.17
秋田県,7,1,5,0.71,2,0.29
山形県,4,0.5,1,0.13,3,0.38
福島県,18,1.38,9,0.69,9,0.69
茨城県,46,2.71,26,1.53,20,1.18
栃木県,26,2.17,10,0.83,16,1.33
群馬県,16,1.14,9,0.64,7,0.5
埼玉県,51,1.24,25,0.61,26,0.63
千葉県,51,1.55,21,0.62,30,0.91
東京都,37,0.95,13,0.33,24,0.62
神奈川県,124,2.58,56,1.19,68,1.36
新潟県,4,0.4,1,0.1,3,0.3
富山県,5,0.71,4,0.57,1,0.14
石川県,57,9.5,36,6,21,3.5
福井県,0,0,0,0,0,0
