報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,
2025年08週(02月17日～02月23日),2025年02月26日作成,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
沖縄県,9434,168.46,2074,37.04,1924,34.36,1865,33.3,1051,18.77,746,13.32,642,11.46,647,11.55,485,8.66
,,,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,17784,5.81,447,0.17,1070,0.34,1277,0.41,2286,0.73,2694,0.86,3000,0.96,3235,1.05,3775,1.21
北海道,1497,11.34,62,0.59,158,1.16,153,1.13,234,1.72,263,1.93,227,1.67,201,1.48,199,1.46
青森県,102,2.83,7,0.22,13,0.35,12,0.32,8,0.22,15,0.41,13,0.35,18,0.49,16,0.43
岩手県,142,3.64,8,0.21,7,0.18,6,0.15,11,0.28,42,1.08,32,0.82,23,0.59,13,0.33
宮城県,204,3.71,5,0.09,8,0.15,12,0.22,25,0.45,14,0.25,41,0.75,32,0.58,67,1.22
秋田県,62,2,5,0.33,5,0.15,7,0.21,14,0.41,9,0.26,6,0.18,10,0.29,6,0.18
山形県,91,3.64,4,0.22,5,0.19,15,0.56,12,0.44,14,0.52,13,0.48,14,0.54,14,0.54
福島県,213,4.44,8,0.16,14,0.29,16,0.33,52,1.06,38,0.79,27,0.56,29,0.6,29,0.6
茨城県,291,3.99,15,0.25,15,0.2,23,0.31,43,0.57,35,0.47,44,0.59,54,0.72,62,0.83
栃木県,299,6.5,11,0.33,19,0.4,35,0.73,40,0.83,47,0.98,47,0.98,47,0.98,53,1.1
群馬県,375,7.5,5,0.14,5,0.09,25,0.47,61,1.15,66,1.25,79,1.49,63,1.19,71,1.34
埼玉県,926,6.01,32,0.36,67,0.41,61,0.37,129,0.79,134,0.82,155,0.95,170,1.04,178,1.09
千葉県,351,2.83,9,0.09,14,0.11,13,0.1,37,0.29,59,0.46,64,0.5,73,0.57,82,0.66
東京都,1094,4.29,17,0.08,86,0.33,93,0.35,161,0.61,174,0.66,182,0.69,202,0.77,179,0.68
神奈川県,878,4.03,22,0.15,56,0.24,51,0.22,109,0.48,130,0.57,167,0.73,180,0.79,163,0.72
新潟県,191,3.47,7,0.13,13,0.24,17,0.31,19,0.35,35,0.64,25,0.45,28,0.51,47,0.85
富山県,96,3.43,4,0.14,5,0.17,5,0.17,11,0.38,7,0.24,11,0.38,26,0.9,27,0.93
石川県,134,4.62,3,0.1,10,0.34,10,0.34,26,0.9,34,1.17,21,0.72,14,0.48,16,0.55
福井県,254,10.16,9,0.36,15,0.6,20,0.8,24,0.96,36,1.44,38,1.52,60,2.4,52,2.08
山梨県,60,2.5,0,0,3,0.13,4,0.17,9,0.38,11,0.46,17,0.71,7,0.29,9,0.38
長野県,220,4.23,5,0.13,14,0.26,19,0.35,28,0.52,30,0.56,35,0.66,38,0.7,51,0.94
岐阜県,361,6.81,5,0.09,18,0.34,16,0.3,32,0.6,60,1.13,71,1.34,83,1.57,76,1.43
静岡県,332,3.73,10,0.11,19,0.21,26,0.29,35,0.39,57,0.64,71,0.8,49,0.55,65,0.73
愛知県,691,3.82,18,0.1,50,0.27,34,0.19,67,0.37,90,0.5,127,0.7,156,0.86,149,0.82
三重県,475,11.05,8,0.23,32,0.71,22,0.49,81,1.8,74,1.64,59,1.31,83,1.84,116,2.58
滋賀県,195,5.74,4,0.17,10,0.28,15,0.42,17,0.47,21,0.58,47,1.31,41,1.14,40,1.11
京都府,361,4.95,11,0.16,14,0.19,27,0.36,36,0.49,50,0.67,68,0.91,82,1.09,73,1.01
大阪府,2001,10.76,59,0.31,165,0.85,189,0.98,310,1.61,333,1.73,340,1.76,249,1.8,356,1.84
兵庫県,1247,9.98,11,0.1,67,0.52,110,0.86,161,1.26,177,1.38,210,1.64,216,1.69,295,2.3
奈良県,387,12.48,3,0.3,22,0.65,27,0.79,50,1.47,54,1.59,71,2.09,67,1.97,93,2.74
和歌山県,256,9.14,7,0.25,19,0.66,28,0.97,35,1.21,33,1.14,31,1.07,44,1.52,59,2.03
鳥取県,49,2.58,0,0,3,0.16,2,0.11,2,0.11,3,0.16,10,0.53,12,0.63,17,0.89
島根県,93,4.04,0,0,4,0.17,3,0.13,16,0.7,21,0.91,17,0.74,14,0.61,18,0.78
岡山県,130,2.41,2,0.04,4,0.07,6,0.11,22,0.41,16,0.3,19,0.35,19,0.35,42,0.78
広島県,425,5.99,5,0.09,8,0.11,19,0.26,61,0.82,67,0.91,75,1.01,86,1.16,104,1.41
山口県,592,13.77,9,0.21,10,0.23,21,0.49,41,0.95,63,1.47,116,2.7,147,3.42,185,4.3
徳島県,151,6.57,11,0.48,2,0.09,7,0.3,20,0.87,25,1.09,33,1.43,19,0.83,34,1.48
香川県,151,5.39,0,0,7,0.25,7,0.25,27,0.96,33,1.18,23,0.82,29,1.04,25,0.89
愛媛県,254,7.47,4,0.17,14,0.39,9,0.25,25,0.69,43,1.19,37,1.03,57,1.58,65,1.81
高知県,52,2.08,0,0,0,0,2,0.08,7,0.28,6,0.24,10,0.4,16,0.64,11,0.44
福岡県,969,8.14,19,0.16,30,0.25,48,0.4,106,0.89,138,1.16,141,1.18,227,1.91,260,2.18
佐賀県,141,6.41,1,0.05,1,0.04,5,0.22,14,0.61,29,1.26,26,1.13,20,0.87,45,1.96
長崎県,124,2.82,2,0.05,10,0.23,5,0.11,8,0.18,16,0.36,16,0.36,24,0.55,43,0.98
熊本県,259,5.29,3,0.06,5,0.1,21,0.43,15,0.31,31,0.62,39,0.78,68,1.36,77,1.54
大分県,194,5.39,4,0.11,4,0.11,8,0.22,5,0.14,20,0.56,30,0.83,50,1.39,73,2.03
宮崎県,163,4.66,0,0,8,0.22,8,0.22,17,0.47,17,0.47,30,0.83,34,0.94,49,1.36
鹿児島県,223,4.46,13,0.25,11,0.22,14,0.27,18,0.35,19,0.37,33,0.65,49,0.98,66,1.32
沖縄県,28,0.88,0,0,1,0.03,1,0.03,5,0.16,5,0.16,6,0.19,5,0.16,5,0.16
,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,6728,2.2,311,0.12,988,0.32,710,0.23,1038,0.33,901,0.29,1000,0.32,871,0.28,909,0.29
北海道,398,3.02,15,0.14,50,0.37,53,0.39,47,0.35,61,0.45,64,0.47,57,0.42,51,0.38
青森県,105,2.92,11,0.34,22,0.59,13,0.35,13,0.35,8,0.22,17,0.46,10,0.27,11,0.3
岩手県,102,2.62,7,0.18,13,0.33,14,0.36,20,0.51,14,0.36,7,0.18,14,0.36,13,0.33
宮城県,239,4.35,24,0.44,43,0.78,29,0.53,34,0.62,35,0.64,26,0.47,20,0.36,28,0.51
秋田県,55,1.77,0,0,5,0.15,5,0.15,15,0.44,10,0.29,3,0.09,14,0.41,3,0.09
山形県,99,3.96,7,0.39,29,1.07,14,0.52,17,0.63,7,0.26,8,0.3,11,0.42,6,0.23
福島県,172,3.58,18,0.37,24,0.49,12,0.24,24,0.49,22,0.46,25,0.52,21,0.44,26,0.54
茨城県,164,2.25,10,0.16,24,0.32,21,0.28,43,0.57,14,0.19,18,0.24,21,0.28,13,0.17
栃木県,134,2.91,3,0.09,9,0.19,12,0.25,30,0.63,25,0.52,26,0.54,14,0.29,15,0.31
群馬県,122,2.44,7,0.2,21,0.4,10,0.19,10,0.19,11,0.21,19,0.36,27,0.51,17,0.32
埼玉県,326,2.12,17,0.19,38,0.23,46,0.28,42,0.26,41,0.25,48,0.29,47,0.29,47,0.29
千葉県,185,1.49,2,0.02,38,0.3,14,0.11,17,0.13,19,0.15,40,0.31,18,0.14,37,0.3
東京都,290,1.14,12,0.06,34,0.13,27,0.1,47,0.18,54,0.21,37,0.14,44,0.17,35,0.13
神奈川県,178,0.82,7,0.05,25,0.11,23,0.1,33,0.14,26,0.11,31,0.13,14,0.06,19,0.08
新潟県,180,3.27,13,0.24,25,0.45,16,0.29,26,0.47,29,0.53,28,0.51,19,0.35,24,0.44
富山県,134,4.79,1,0.04,13,0.45,9,0.31,29,1,30,1.03,20,0.69,15,0.52,17,0.59
石川県,65,2.24,2,0.07,13,0.45,3,0.1,13,0.45,9,0.31,10,0.34,6,0.21,9,0.31
福井県,75,3,5,0.2,5,0.2,7,0.28,11,0.44,14,0.56,9,0.36,12,0.48,12,0.48
山梨県,34,1.42,1,0.04,8,0.33,1,0.04,6,0.25,6,0.25,5,0.21,4,0.17,3,0.13
長野県,77,1.48,4,0.1,9,0.17,5,0.09,12,0.22,11,0.2,18,0.34,9,0.17,9,0.17
岐阜県,64,1.21,4,0.08,21,0.4,8,0.15,8,0.15,6,0.11,4,0.08,6,0.11,7,0.13
静岡県,128,1.44,5,0.06,22,0.25,16,0.18,24,0.27,19,0.21,21,0.24,10,0.11,11,0.12
愛知県,262,1.45,4,0.02,46,0.25,29,0.16,38,0.21,34,0.19,49,0.27,39,0.21,23,0.13
三重県,87,2.02,7,0.2,21,0.47,8,0.18,4,0.09,8,0.18,11,0.24,17,0.38,11,0.24
滋賀県,41,1.21,5,0.21,6,0.17,2,0.06,4,0.11,3,0.08,7,0.19,7,0.19,7,0.19
京都府,333,4.56,5,0.07,41,0.55,33,0.44,58,0.78,60,0.8,63,0.84,38,0.51,35,0.49
大阪府,335,1.8,8,0.04,49,0.25,33,0.17,64,0.33,39,0.2,64,0.33,30,0.22,48,0.25
兵庫県,304,2.43,4,0.04,56,0.44,36,0.28,60,0.47,41,0.32,37,0.29,36,0.28,34,0.27
奈良県,48,1.55,0,0,8,0.24,4,0.12,7,0.21,3,0.09,8,0.24,9,0.26,9,0.26
和歌山県,39,1.39,2,0.07,2,0.07,5,0.17,5,0.17,4,0.14,8,0.28,7,0.24,6,0.21
鳥取県,41,2.16,1,0.05,6,0.32,3,0.16,8,0.42,5,0.26,5,0.26,8,0.42,5,0.26
島根県,55,2.39,1,0.04,9,0.39,7,0.3,4,0.17,7,0.3,11,0.48,6,0.26,10,0.43
岡山県,76,1.41,2,0.04,10,0.19,7,0.13,6,0.11,8,0.15,11,0.2,15,0.28,17,0.31
広島県,211,2.97,4,0.08,25,0.34,23,0.31,43,0.58,28,0.38,34,0.46,21,0.28,33,0.45
山口県,62,1.44,6,0.14,6,0.14,5,0.12,11,0.26,5,0.12,6,0.14,15,0.35,8,0.19
徳島県,42,1.83,3,0.13,9,0.39,7,0.3,6,0.26,4,0.17,2,0.09,7,0.3,4,0.17
香川県,56,2,1,0.04,1,0.04,7,0.25,10,0.36,7,0.25,12,0.43,8,0.29,10,0.36
愛媛県,126,3.71,3,0.13,12,0.33,7,0.19,16,0.44,11,0.31,12,0.33,31,0.86,34,0.94
高知県,23,0.92,0,0,3,0.12,2,0.08,4,0.16,1,0.04,3,0.12,5,0.2,5,0.2
福岡県,361,3.03,32,0.27,46,0.39,38,0.32,49,0.41,50,0.42,39,0.33,45,0.38,62,0.52
佐賀県,90,4.09,1,0.05,10,0.43,9,0.39,11,0.48,13,0.57,8,0.35,15,0.65,23,1
長崎県,100,2.27,3,0.07,15,0.34,9,0.2,11,0.25,14,0.32,14,0.32,15,0.34,19,0.43
熊本県,80,1.63,6,0.12,13,0.27,10,0.2,13,0.27,14,0.28,9,0.18,6,0.12,9,0.18
大分県,135,3.75,16,0.44,21,0.58,21,0.58,22,0.61,21,0.58,13,0.36,5,0.14,16,0.44
宮崎県,137,3.91,9,0.27,33,0.92,16,0.44,12,0.33,16,0.44,24,0.67,16,0.44,11,0.31
鹿児島県,320,6.4,13,0.25,40,0.78,29,0.57,45,0.88,27,0.53,62,1.22,50,1,54,1.08
沖縄県,38,1.19,0,0,9,0.28,2,0.06,6,0.19,7,0.22,4,0.13,7,0.22,3,0.09
,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,49849,16.27,1609,0.61,5428,1.73,5750,1.84,7415,2.37,7825,2.5,7765,2.48,6441,2.09,7616,2.44
北海道,3462,26.23,116,1.1,324,2.38,354,2.6,541,3.98,519,3.82,548,4.03,487,3.58,573,4.21
青森県,291,8.08,12,0.38,39,1.05,44,1.19,50,1.35,31,0.84,34,0.92,36,0.97,45,1.22
岩手県,1070,27.44,24,0.62,99,2.54,108,2.77,156,4,186,4.77,178,4.56,137,3.51,182,4.67
宮城県,867,15.76,31,0.56,100,1.82,94,1.71,100,1.82,133,2.42,122,2.22,117,2.13,170,3.09
秋田県,281,9.06,1,0.07,21,0.62,35,1.03,30,0.88,45,1.32,41,1.21,38,1.12,70,2.06
山形県,500,20,17,0.94,53,1.96,49,1.81,60,2.22,77,2.85,74,2.74,73,2.81,97,3.73
福島県,701,14.6,39,0.8,57,1.16,70,1.43,93,1.9,111,2.31,99,2.06,112,2.33,120,2.5
茨城県,2735,37.47,179,2.93,429,5.72,323,4.31,398,5.31,338,4.57,402,5.36,331,4.41,335,4.47
栃木県,719,15.63,27,0.82,84,1.75,82,1.71,98,2.04,100,2.08,106,2.21,94,1.96,128,2.67
群馬県,413,8.26,16,0.46,51,0.96,58,1.09,62,1.17,52,0.98,63,1.19,54,1.02,57,1.08
埼玉県,2947,19.14,72,0.8,324,1.98,331,2.02,398,2.43,483,2.95,485,2.96,377,2.3,477,2.91
千葉県,3011,24.28,69,0.66,334,2.61,343,2.68,470,3.67,526,4.11,505,3.95,349,2.73,415,3.32
東京都,4107,16.11,89,0.44,409,1.56,464,1.76,610,2.32,671,2.55,699,2.65,522,1.98,643,2.44
神奈川県,2433,11.16,22,0.15,268,1.17,266,1.17,374,1.63,380,1.67,391,1.7,355,1.55,377,1.68
新潟県,1660,30.18,78,1.42,161,2.93,185,3.36,244,4.44,268,4.87,229,4.16,223,4.05,272,4.95
富山県,944,33.71,18,0.64,104,3.59,120,4.14,155,5.34,147,5.07,138,4.76,112,3.86,150,5.17
石川県,559,19.28,20,0.69,51,1.76,73,2.52,77,2.66,91,3.14,85,2.93,85,2.93,77,2.66
福井県,299,11.96,8,0.32,27,1.08,30,1.2,49,1.96,36,1.44,49,1.96,56,2.24,44,1.76
山梨県,86,3.58,2,0.08,9,0.38,10,0.42,9,0.38,18,0.75,14,0.58,16,0.67,8,0.33
長野県,656,12.62,26,0.65,53,0.98,82,1.52,92,1.7,104,1.93,118,2.23,64,1.19,117,2.17
岐阜県,437,8.25,15,0.28,52,0.98,58,1.09,57,1.08,75,1.42,72,1.36,44,0.83,64,1.21
静岡県,689,7.74,19,0.21,85,0.96,68,0.76,93,1.04,124,1.39,112,1.26,98,1.1,90,1.01
愛知県,1470,8.12,23,0.13,184,1.01,198,1.09,235,1.3,223,1.23,230,1.26,191,1.05,186,1.02
三重県,687,15.98,21,0.6,67,1.49,83,1.84,124,2.76,95,2.11,102,2.27,83,1.84,112,2.49
滋賀県,359,10.56,11,0.46,39,1.08,45,1.25,51,1.42,55,1.53,61,1.69,44,1.22,53,1.47
京都府,818,11.21,40,0.59,109,1.45,103,1.37,132,1.78,136,1.81,99,1.32,80,1.07,119,1.65
大阪府,1685,9.06,46,0.24,190,0.98,202,1.05,292,1.51,292,1.51,294,1.52,136,0.99,233,1.2
兵庫県,1257,10.06,15,0.14,157,1.23,128,1,188,1.47,182,1.42,225,1.76,192,1.5,170,1.33
奈良県,270,8.71,2,0.2,31,0.91,34,1,39,1.15,48,1.41,36,1.06,39,1.15,41,1.21
和歌山県,223,7.96,11,0.39,22,0.76,26,0.9,24,0.83,32,1.1,36,1.24,32,1.1,40,1.38
鳥取県,501,26.37,11,0.58,54,2.84,52,2.74,83,4.37,92,4.84,62,3.26,60,3.16,87,4.58
島根県,292,12.7,9,0.39,33,1.43,50,2.17,44,1.91,41,1.78,41,1.78,34,1.48,40,1.74
岡山県,456,8.44,31,0.57,49,0.91,52,0.96,70,1.3,88,1.63,65,1.2,47,0.87,54,1
広島県,1138,16.03,17,0.32,95,1.28,106,1.43,186,2.51,209,2.82,197,2.66,158,2.14,170,2.3
山口県,1017,23.65,56,1.3,120,2.79,117,2.72,155,3.6,143,3.33,158,3.67,124,2.88,144,3.35
徳島県,132,5.74,9,0.39,14,0.61,13,0.57,28,1.22,19,0.83,14,0.61,9,0.39,26,1.13
香川県,390,13.93,16,0.57,43,1.54,68,2.43,54,1.93,59,2.11,46,1.64,44,1.57,60,2.14
愛媛県,881,25.91,26,1.13,81,2.25,94,2.61,117,3.25,144,4,153,4.25,131,3.64,135,3.75
高知県,402,16.08,21,0.84,38,1.52,49,1.96,51,2.04,47,1.88,71,2.84,61,2.44,64,2.56
福岡県,3210,26.97,114,0.96,354,2.97,377,3.17,492,4.13,486,4.08,461,3.87,435,3.66,491,4.13
佐賀県,484,22,7,0.33,64,2.78,81,3.52,75,3.26,97,4.22,57,2.48,44,1.91,59,2.57
長崎県,1034,23.5,56,1.27,109,2.48,113,2.57,113,2.57,161,3.66,169,3.84,152,3.45,161,3.66
熊本県,965,19.69,39,0.8,95,1.94,90,1.84,142,2.9,171,3.42,166,3.32,130,2.6,132,2.64
大分県,1036,28.78,52,1.44,107,2.97,133,3.69,133,3.69,161,4.47,127,3.53,128,3.56,195,5.42
宮崎県,732,20.91,19,0.58,81,2.25,115,3.19,124,3.44,102,2.83,91,2.53,90,2.5,110,3.06
鹿児島県,996,19.92,26,0.51,90,1.76,118,2.31,171,3.35,150,2.94,149,2.92,139,2.78,153,3.06
沖縄県,547,17.09,31,0.97,68,2.13,56,1.75,76,2.38,77,2.41,91,2.84,78,2.44,70,2.19
,,,,,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,149694,48.87,2904,1.09,12975,4.14,14167,4.53,18971,6.06,21476,6.86,23169,7.4,23812,7.74,32220,10.32
北海道,2151,16.3,51,0.49,202,1.49,215,1.58,307,2.26,322,2.37,286,2.1,334,2.46,434,3.19
青森県,1073,29.81,19,0.59,100,2.7,95,2.57,143,3.86,162,4.38,136,3.68,180,4.86,238,6.43
岩手県,1839,47.15,62,1.59,174,4.46,165,4.23,284,7.28,250,6.41,282,7.23,252,6.46,370,9.49
宮城県,1732,31.49,48,0.87,167,3.04,147,2.67,213,3.87,222,4.04,289,5.25,270,4.91,376,6.84
秋田県,827,26.68,11,0.73,105,3.09,93,2.74,106,3.12,148,4.35,113,3.32,90,2.65,161,4.74
山形県,603,24.12,15,0.83,65,2.41,88,3.26,73,2.7,92,3.41,99,3.67,55,2.12,116,4.46
福島県,1191,24.81,50,1.02,119,2.43,121,2.47,131,2.67,149,3.1,189,3.94,160,3.33,272,5.67
茨城県,3455,47.33,79,1.3,263,3.51,337,4.49,476,6.35,461,6.23,500,6.67,577,7.69,762,10.16
栃木県,1877,40.8,17,0.52,120,2.5,143,2.98,223,4.65,306,6.38,335,6.98,300,6.25,433,9.02
群馬県,3002,60.04,47,1.34,269,5.08,313,5.91,368,6.94,436,8.23,492,9.28,489,9.23,588,11.09
埼玉県,8799,57.14,100,1.11,749,4.57,797,4.86,1124,6.85,1218,7.43,1457,8.88,1468,8.95,1886,11.5
千葉県,7705,62.14,107,1.03,685,5.35,748,5.84,938,7.33,1140,8.91,1149,8.98,1283,10.02,1655,13.24
東京都,16485,64.65,174,0.86,1515,5.76,1572,5.98,2097,7.97,2276,8.65,2643,10.01,2694,10.2,3514,13.36
神奈川県,10967,50.31,119,0.8,955,4.15,993,4.37,1363,5.95,1569,6.88,1682,7.31,1868,8.16,2418,10.75
新潟県,1501,27.29,9,0.16,90,1.64,139,2.53,211,3.84,254,4.62,227,4.13,239,4.35,332,6.04
富山県,1690,60.36,55,1.96,162,5.59,174,6,232,8,264,9.1,291,10.03,201,6.93,311,10.72
石川県,1957,67.48,55,1.9,202,6.97,236,8.14,263,9.07,319,11,250,8.62,281,9.69,351,12.1
福井県,1421,56.84,64,2.56,140,5.6,162,6.48,174,6.96,162,6.48,184,7.36,214,8.56,321,12.84
山梨県,1079,44.96,6,0.25,77,3.21,84,3.5,126,5.25,162,6.75,199,8.29,176,7.33,249,10.38
長野県,1704,32.77,38,0.95,147,2.72,139,2.57,191,3.54,237,4.39,246,4.64,283,5.24,423,7.83
岐阜県,1516,28.6,56,1.06,148,2.79,149,2.81,189,3.57,185,3.49,234,4.42,261,4.92,294,5.55
静岡県,3688,41.44,114,1.28,412,4.63,354,3.98,414,4.65,499,5.61,544,6.11,579,6.51,772,8.67
