報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,
2025年05週(01月27日～02月02日),2025年02月05日作成,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
広島県,160,2.32,5,0.09,8,0.11,19,0.26,61,0.82,67,0.91
山口県,144,3.35,9,0.21,10,0.23,21,0.49,41,0.95,63,1.47
徳島県,65,2.83,11,0.48,2,0.09,7,0.3,20,0.87,25,1.09
香川県,74,2.64,0,0,7,0.25,7,0.25,27,0.96,33,1.18
愛媛県,95,2.88,4,0.17,14,0.39,9,0.25,25,0.69,43,1.19
高知県,15,0.6,0,0,0,0,2,0.08,7,0.28,6,0.24
福岡県,340,2.86,19,0.16,30,0.25,48,0.4,106,0.89,137,1.15
佐賀県,50,2.27,1,0.05,1,0.04,5,0.22,14,0.61,29,1.26
長崎県,41,0.93,2,0.05,10,0.23,5,0.11,8,0.18,16,0.36
熊本県,75,1.53,3,0.06,5,0.1,21,0.43,15,0.31,31,0.62
大分県,41,1.14,4,0.11,4,0.11,8,0.22,5,0.14,20,0.56
宮崎県,50,1.43,0,0,8,0.22,8,0.22,17,0.47,17,0.47
鹿児島県,75,1.47,13,0.25,11,0.22,14,0.27,18,0.35,19,0.37
沖縄県,12,0.38,0,0,1,0.03,1,0.03,5,0.16,5,0.16
,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3947,1.3,311,0.12,987,0.32,710,0.23,1038,0.33,901,0.29
北海道,226,1.75,15,0.14,50,0.37,53,0.39,47,0.35,61,0.45
青森県,67,1.86,11,0.34,22,0.59,13,0.35,13,0.35,8,0.22
岩手県,67,1.72,7,0.18,12,0.31,14,0.36,20,0.51,14,0.36
宮城県,165,3,24,0.44,43,0.78,29,0.53,34,0.62,35,0.64
秋田県,35,1.17,0,0,5,0.15,5,0.15,15,0.44,10,0.29
山形県,74,2.96,7,0.39,29,1.07,14,0.52,17,0.63,7,0.26
福島県,100,2.04,18,0.37,24,0.49,12,0.24,24,0.49,22,0.45
茨城県,112,1.56,10,0.16,24,0.32,21,0.28,43,0.57,14,0.19
栃木県,79,1.76,3,0.09,9,0.19,12,0.25,30,0.63,25,0.52
群馬県,59,1.2,7,0.2,21,0.4,10,0.19,10,0.19,11,0.21
埼玉県,184,1.23,17,0.19,38,0.23,46,0.28,42,0.26,41,0.25
千葉県,90,0.73,2,0.02,38,0.3,14,0.11,17,0.13,19,0.15
東京都,174,0.69,12,0.06,34,0.13,27,0.1,47,0.18,54,0.21
神奈川県,114,0.54,7,0.05,25,0.11,23,0.1,33,0.14,26,0.11
新潟県,109,1.98,13,0.24,25,0.45,16,0.29,26,0.47,29,0.53
富山県,82,2.93,1,0.04,13,0.45,9,0.31,29,1,30,1.03
石川県,40,1.38,2,0.07,13,0.45,3,0.1,13,0.45,9,0.31
福井県,42,1.68,5,0.2,5,0.2,7,0.28,11,0.44,14,0.56
山梨県,22,0.92,1,0.04,8,0.33,1,0.04,6,0.25,6,0.25
長野県,41,0.8,4,0.1,9,0.17,5,0.09,12,0.22,11,0.2
岐阜県,47,0.89,4,0.08,21,0.4,8,0.15,8,0.15,6,0.11
静岡県,86,0.97,5,0.06,22,0.25,16,0.18,24,0.27,19,0.21
愛知県,151,0.83,4,0.02,46,0.25,29,0.16,38,0.21,34,0.19
三重県,48,1.14,7,0.2,21,0.47,8,0.18,4,0.09,8,0.18
滋賀県,20,0.61,5,0.21,6,0.17,2,0.06,4,0.11,3,0.08
京都府,197,2.7,5,0.07,41,0.55,33,0.44,58,0.78,60,0.8
大阪府,193,1,8,0.04,49,0.25,33,0.17,64,0.33,39,0.2
兵庫県,197,1.6,4,0.04,56,0.44,36,0.28,60,0.47,41,0.32
奈良県,22,0.76,0,0,8,0.24,4,0.12,7,0.21,3,0.09
和歌山県,18,0.64,2,0.07,2,0.07,5,0.17,5,0.17,4,0.14
鳥取県,23,1.21,1,0.05,6,0.32,3,0.16,8,0.42,5,0.26
島根県,28,1.22,1,0.04,9,0.39,7,0.3,4,0.17,7,0.3
岡山県,33,0.61,2,0.04,10,0.19,7,0.13,6,0.11,8,0.15
広島県,123,1.78,4,0.08,25,0.34,23,0.31,43,0.58,28,0.38
山口県,33,0.77,6,0.14,6,0.14,5,0.12,11,0.26,5,0.12
徳島県,29,1.26,3,0.13,9,0.39,7,0.3,6,0.26,4,0.17
香川県,26,0.93,1,0.04,1,0.04,7,0.25,10,0.36,7,0.25
愛媛県,49,1.48,3,0.13,12,0.33,7,0.19,16,0.44,11,0.31
高知県,10,0.4,0,0,3,0.12,2,0.08,4,0.16,1,0.04
福岡県,215,1.81,32,0.27,46,0.39,38,0.32,49,0.41,50,0.42
佐賀県,44,2,1,0.05,10,0.43,9,0.39,11,0.48,13,0.57
長崎県,52,1.18,3,0.07,15,0.34,9,0.2,11,0.25,14,0.32
熊本県,56,1.14,6,0.12,13,0.27,10,0.2,13,0.27,14,0.28
大分県,101,2.81,16,0.44,21,0.58,21,0.58,22,0.61,21,0.58
宮崎県,86,2.46,9,0.27,33,0.92,16,0.44,12,0.33,16,0.44
鹿児島県,154,3.02,13,0.25,40,0.78,29,0.57,45,0.88,27,0.53
沖縄県,24,0.75,0,0,9,0.28,2,0.06,6,0.19,7,0.22
,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,28012,9.23,1609,0.61,5428,1.73,5750,1.84,7415,2.37,7810,2.5
北海道,1854,14.37,116,1.1,324,2.38,354,2.6,541,3.98,519,3.82
青森県,176,4.89,12,0.38,39,1.05,44,1.19,50,1.35,31,0.84
岩手県,573,14.69,24,0.62,99,2.54,108,2.77,156,4,186,4.77
宮城県,458,8.33,31,0.56,100,1.82,94,1.71,100,1.82,133,2.42
秋田県,132,4.4,1,0.07,21,0.62,35,1.03,30,0.88,45,1.32
山形県,256,10.24,17,0.94,53,1.96,49,1.81,60,2.22,77,2.85
福島県,370,7.55,39,0.8,57,1.16,70,1.43,93,1.9,111,2.27
茨城県,1667,23.15,179,2.93,429,5.72,323,4.31,398,5.31,338,4.57
栃木県,391,8.69,27,0.82,84,1.75,82,1.71,98,2.04,100,2.08
群馬県,239,4.88,16,0.46,51,0.96,58,1.09,62,1.17,52,0.98
埼玉県,1608,10.79,72,0.8,324,1.98,331,2.02,398,2.43,483,2.95
千葉県,1742,14.16,69,0.66,334,2.61,343,2.68,470,3.67,526,4.11
東京都,2243,8.94,89,0.44,409,1.56,464,1.76,610,2.32,671,2.55
神奈川県,1310,6.18,22,0.15,268,1.17,266,1.17,374,1.63,380,1.67
新潟県,936,17.02,78,1.42,161,2.93,185,3.36,244,4.44,268,4.87
富山県,544,19.43,18,0.64,104,3.59,120,4.14,155,5.34,147,5.07
石川県,312,10.76,20,0.69,51,1.76,73,2.52,77,2.66,91,3.14
福井県,150,6,8,0.32,27,1.08,30,1.2,49,1.96,36,1.44
山梨県,48,2,2,0.08,9,0.38,10,0.42,9,0.38,18,0.75
長野県,357,7,26,0.65,53,0.98,82,1.52,92,1.7,104,1.93
岐阜県,257,4.85,15,0.28,52,0.98,58,1.09,57,1.08,75,1.42
静岡県,389,4.37,19,0.21,85,0.96,68,0.76,93,1.04,124,1.39
愛知県,863,4.77,23,0.13,184,1.01,198,1.09,235,1.3,223,1.23
三重県,385,9.17,21,0.6,67,1.49,83,1.84,124,2.76,90,2.05
滋賀県,201,6.09,11,0.46,39,1.08,45,1.25,51,1.42,55,1.53
京都府,520,7.12,40,0.59,109,1.45,103,1.37,132,1.78,136,1.81
大阪府,1022,5.3,46,0.24,190,0.98,202,1.05,292,1.51,292,1.51
兵庫県,670,5.45,15,0.14,157,1.23,128,1,188,1.47,182,1.42
奈良県,154,5.31,2,0.2,31,0.91,34,1,39,1.15,48,1.41
和歌山県,115,4.11,11,0.39,22,0.76,26,0.9,24,0.83,32,1.1
鳥取県,292,15.37,11,0.58,54,2.84,52,2.74,83,4.37,92,4.84
島根県,177,7.7,9,0.39,33,1.43,50,2.17,44,1.91,41,1.78
岡山県,290,5.37,31,0.57,49,0.91,52,0.96,70,1.3,88,1.63
広島県,613,8.88,17,0.32,95,1.28,106,1.43,186,2.51,209,2.82
山口県,591,13.74,56,1.3,120,2.79,117,2.72,155,3.6,143,3.33
徳島県,83,3.61,9,0.39,14,0.61,13,0.57,28,1.22,19,0.83
香川県,240,8.57,16,0.57,43,1.54,68,2.43,54,1.93,59,2.11
愛媛県,462,14,26,1.13,81,2.25,94,2.61,117,3.25,144,4
高知県,206,8.24,21,0.84,38,1.52,49,1.96,51,2.04,47,1.88
福岡県,1813,15.24,114,0.96,354,2.97,377,3.17,492,4.13,476,4
佐賀県,324,14.73,7,0.33,64,2.78,81,3.52,75,3.26,97,4.22
長崎県,552,12.55,56,1.27,109,2.48,113,2.57,113,2.57,161,3.66
熊本県,537,10.96,39,0.8,95,1.94,90,1.84,142,2.9,171,3.42
大分県,586,16.28,52,1.44,107,2.97,133,3.69,133,3.69,161,4.47
宮崎県,441,12.6,19,0.58,81,2.25,115,3.19,124,3.44,102,2.83
鹿児島県,555,10.88,26,0.51,90,1.76,118,2.31,171,3.35,150,2.94
沖縄県,308,9.63,31,0.97,68,2.13,56,1.75,76,2.38,77,2.41
,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,70474,23.22,2904,1.09,12974,4.14,14167,4.53,18971,6.06,21458,6.86
北海道,1097,8.5,51,0.49,202,1.49,215,1.58,307,2.26,322,2.37
青森県,519,14.42,19,0.59,100,2.7,95,2.57,143,3.86,162,4.38
岩手県,934,23.95,62,1.59,173,4.44,165,4.23,284,7.28,250,6.41
宮城県,797,14.49,48,0.87,167,3.04,147,2.67,213,3.87,222,4.04
秋田県,463,15.43,11,0.73,105,3.09,93,2.74,106,3.12,148,4.35
山形県,333,13.32,15,0.83,65,2.41,88,3.26,73,2.7,92,3.41
福島県,570,11.63,50,1.02,119,2.43,121,2.47,131,2.67,149,3.04
茨城県,1616,22.44,79,1.3,263,3.51,337,4.49,476,6.35,461,6.23
栃木県,809,17.98,17,0.52,120,2.5,143,2.98,223,4.65,306,6.38
群馬県,1433,29.24,47,1.34,269,5.08,313,5.91,368,6.94,436,8.23
埼玉県,3988,26.77,100,1.11,749,4.57,797,4.86,1124,6.85,1218,7.43
千葉県,3618,29.41,107,1.03,685,5.35,748,5.84,938,7.33,1140,8.91
東京都,7634,30.41,174,0.86,1515,5.76,1572,5.98,2097,7.97,2276,8.65
神奈川県,4999,23.58,119,0.8,955,4.15,993,4.37,1363,5.95,1569,6.88
新潟県,703,12.78,9,0.16,90,1.64,139,2.53,211,3.84,254,4.62
富山県,887,31.68,55,1.96,162,5.59,174,6,232,8,264,9.1
石川県,1075,37.07,55,1.9,202,6.97,236,8.14,263,9.07,319,11
福井県,702,28.08,64,2.56,140,5.6,162,6.48,174,6.96,162,6.48
山梨県,455,18.96,6,0.25,77,3.21,84,3.5,126,5.25,162,6.75
長野県,752,14.75,38,0.95,147,2.72,139,2.57,191,3.54,237,4.39
岐阜県,727,13.72,56,1.06,148,2.79,149,2.81,189,3.57,185,3.49
静岡県,1793,20.15,114,1.28,412,4.63,354,3.98,414,4.65,499,5.61
愛知県,3115,17.21,123,0.68,675,3.71,635,3.51,770,4.25,912,5.04
三重県,1068,25.43,64,1.83,228,5.07,216,4.8,264,5.87,296,6.73
滋賀県,622,18.85,29,1.21,109,3.03,106,2.94,199,5.53,179,4.97
京都府,1220,16.71,46,0.68,226,3.01,233,3.11,346,4.68,369,4.92
大阪府,4374,22.66,142,0.74,780,4.04,885,4.59,1167,6.05,1400,7.25
兵庫県,3119,25.36,96,0.9,638,4.98,657,5.13,870,6.8,858,6.7
奈良県,780,26.9,9,0.9,144,4.24,171,5.03,250,7.35,206,6.06
和歌山県,671,23.96,31,1.11,103,3.55,131,4.52,161,5.55,245,8.45
鳥取県,343,18.05,31,1.63,67,3.53,81,4.26,72,3.79,92,4.84
島根県,485,21.09,20,0.87,75,3.26,74,3.22,127,5.52,189,8.22
岡山県,1227,22.72,119,2.2,215,3.98,265,4.91,296,5.48,332,6.15
広島県,1853,26.86,47,0.89,311,4.2,339,4.58,497,6.72,659,8.91
山口県,1128,26.23,47,1.09,158,3.67,247,5.74,324,7.53,352,8.19
徳島県,427,18.57,34,1.48,87,3.78,89,3.87,98,4.26,119,5.17
香川県,723,25.82,26,0.93,137,4.89,119,4.25,203,7.25,238,8.5
愛媛県,1050,31.82,71,3.09,219,6.08,192,5.33,253,7.03,315,8.75
高知県,283,11.32,12,0.48,16,0.64,59,2.36,94,3.76,102,4.08
福岡県,3774,31.71,176,1.48,572,4.81,817,6.87,1047,8.8,1162,9.76
佐賀県,701,31.86,28,1.33,93,4.04,123,5.35,217,9.43,240,10.43
長崎県,884,20.09,28,0.64,126,2.86,193,4.39,247,5.61,290,6.59
熊本県,1694,34.57,95,1.94,266,5.43,331,6.76,424,8.65,578,11.56
大分県,2112,58.67,131,3.64,349,9.69,354,9.83,611,16.97,667,18.53
宮崎県,1144,32.69,41,1.24,216,6,250,6.94,287,7.97,350,9.72
鹿児島県,1380,27.06,90,1.76,237,4.65,261,5.12,389,7.63,403,7.9
沖縄県,393,12.28,72,2.25,62,1.94,75,2.34,112,3.5,72,2.25
,,,,,,,,,,,,
水痘,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3444,1.13,367,0.14,1101,0.35,570,0.18,812,0.26,594,0.19
北海道,319,2.47,33,0.31,140,1.03,53,0.39,50,0.37,43,0.32
青森県,43,1.19,1,0.03,13,0.35,10,0.27,14,0.38,5,0.14
岩手県,57,1.46,8,0.21,14,0.36,5,0.13,9,0.23,21,0.54
宮城県,65,1.18,11,0.2,25,0.45,10,0.18,6,0.11,13,0.24
秋田県,29,0.97,3,0.2,9,0.26,6,0.18,8,0.24,3,0.09
山形県,28,1.12,4,0.22,8,0.3,3,0.11,10,0.37,3,0.11
福島県,55,1.12,8,0.16,17,0.35,8,0.16,9,0.18,13,0.27
茨城県,47,0.65,1,0.02,14,0.19,7,0.09,15,0.2,10,0.14
栃木県,35,0.78,3,0.09,10,0.21,7,0.15,7,0.15,8,0.17
群馬県,84,1.71,11,0.31,22,0.42,16,0.3,25,0.47,10,0.19
埼玉県,230,1.54,18,0.2,72,0.44,43,0.26,63,0.38,34,0.21
千葉県,103,0.84,8,0.08,32,0.25,14,0.11,36,0.28,13,0.1
東京都,399,1.59,32,0.16,157,0.6,57,0.22,92,0.35,61,0.23
神奈川県,297,1.4,16,0.11,98,0.43,39,0.17,86,0.38,58,0.25
新潟県,141,2.56,19,0.35,36,0.65,21,0.38,31,0.56,34,0.62
富山県,26,0.93,2,0.07,6,0.21,6,0.21,7,0.24,5,0.17
石川県,90,3.1,5,0.17,35,1.21,15,0.52,20,0.69,15,0.52
福井県,43,1.72,3,0.12,12,0.48,8,0.32,11,0.44,9,0.36
山梨県,11,0.46,1,0.04,4,0.17,2,0.08,2,0.08,2,0.08
長野県,41,0.8,3,0.08,17,0.31,7,0.13,9,0.17,5,0.09
岐阜県,23,0.43,0,0,4,0.08,6,0.11,5,0.09,8,0.15
静岡県,48,0.54,7,0.08,19,0.21,13,0.15,3,0.03,6,0.07
愛知県,76,0.42,11,0.06,21,0.12,18,0.1,14,0.08,12,0.07
三重県,33,0.79,6,0.17,7,0.16,5,0.11,8,0.18,7,0.16
滋賀県,53,1.61,9,0.38,17,0.47,10,0.28,12,0.33,5,0.14
京都府,46,0.63,1,0.01,18,0.24,8,0.11,15,0.2,4,0.05
大阪府,116,0.6,8,0.04,30,0.16,25,0.13,27,0.14,26,0.13
兵庫県,104,0.85,9,0.08,24,0.19,24,0.19,28,0.22,19,0.15
奈良県,25,0.86,0,0,4,0.12,2,0.06,5,0.15,14,0.41
和歌山県,28,1,0,0,9,0.31,4,0.14,12,0.41,3,0.1
鳥取県,14,0.74,3,0.16,5,0.26,3,0.16,1,0.05,2,0.11
島根県,14,0.61,0,0,4,0.17,3,0.13,5,0.22,2,0.09
岡山県,27,0.5,4,0.07,8,0.15,8,0.15,5,0.09,2,0.04
広島県,48,0.7,7,0.13,17,0.23,2,0.03,10,0.14,12,0.16
山口県,15,0.35,2,0.05,5,0.12,3,0.07,2,0.05,3,0.07
徳島県,13,0.57,1,0.04,1,0.04,0,0,6,0.26,5,0.22
香川県,21,0.75,2,0.07,8,0.29,4,0.14,6,0.21,1,0.04
愛媛県,13,0.39,3,0.13,4,0.11,1,0.03,3,0.08,2,0.06
高知県,19,0.76,2,0.08,5,0.2,2,0.08,10,0.4,0,0
福岡県,214,1.8,43,0.36,55,0.46,36,0.3,41,0.34,39,0.33
佐賀県,22,1,1,0.05,4,0.17,7,0.3,5,0.22,5,0.22
長崎県,60,1.36,12,0.27,18,0.41,6,0.14,16,0.36,8,0.18
熊本県,51,1.04,14,0.29,18,0.37,6,0.12,9,0.18,4,0.08
大分県,38,1.06,1,0.03,8,0.22,4,0.11,17,0.47,8,0.22
宮崎県,38,1.09,6,0.18,6,0.17,10,0.28,6,0.17,10,0.28
鹿児島県,62,1.22,14,0.27,15,0.29,11,0.22,11,0.22,11,0.22
沖縄県,80,2.5,11,0.34,26,0.81,12,0.38,20,0.63,11,0.34
,,,,,,,,,,,,
手足口病,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1794,0.59,233,0.09,517,0.17,356,0.11,372,0.12,316,0.1
北海道,173,1.34,25,0.24,46,0.34,35,0.26,26,0.19,41,0.3
青森県,33,0.92,1,0.03,9,0.24,3,0.08,9,0.24,11,0.3
岩手県,57,1.46,11,0.28,16,0.41,8,0.21,10,0.26,12,0.31
宮城県,41,0.75,2,0.04,18,0.33,8,0.15,3,0.05,10,0.18
秋田県,40,1.33,5,0.33,9,0.26,7,0.21,11,0.32,8,0.24
山形県,85,3.4,7,0.39,17,0.63,21,0.78,18,0.67,22,0.81
福島県,29,0.59,6,0.12,11,0.22,6,0.12,3,0.06,3,0.06
茨城県,28,0.39,13,0.21,8,0.11,2,0.03,5,0.07,0,0
栃木県,44,0.98,10,0.3,8,0.17,6,0.13,12,0.25,8,0.17
群馬県,32,0.65,2,0.06,8,0.15,5,0.09,5,0.09,12,0.23
埼玉県,111,0.74,11,0.12,44,0.27,16,0.1,21,0.13,19,0.12
千葉県,49,0.4,8,0.08,17,0.13,11,0.09,9,0.07,4,0.03
東京都,100,0.4,11,0.05,35,0.13,19,0.07,21,0.08,14,0.05
神奈川県,97,0.46,11,0.07,26,0.11,24,0.11,26,0.11,10,0.04
新潟県,49,0.89,4,0.07,19,0.35,12,0.22,8,0.15,6,0.11
富山県,4,0.14,0,0,2,0.07,2,0.07,0,0,0,0
石川県,1,0.03,0,0,0,0,1,0.03,0,0,0,0
福井県,14,0.56,0,0,6,0.24,3,0.12,4,0.16,1,0.04
山梨県,15,0.63,2,0.08,6,0.25,2,0.08,5,0.21,0,0
長野県,70,1.37,8,0.2,22,0.41,16,0.3,15,0.28,9,0.17
岐阜県,7,0.13,0,0,1,0.02,4,0.08,2,0.04,0,0
静岡県,7,0.08,0,0,3,0.03,1,0.01,1,0.01,2,0.02
愛知県,22,0.12,0,0,9,0.05,3,0.02,6,0.03,4,0.02
三重県,5,0.12,1,0.03,2,0.04,0,0,0,0,2,0.05
