報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,
2025年01週(12月30日～01月05日),2025年01月09日作成,,,
群馬県,5,0.14,5,0.14
埼玉県,31,0.35,31,0.35
千葉県,9,0.09,9,0.09
東京都,17,0.08,17,0.08
神奈川県,22,0.15,22,0.15
新潟県,7,0.13,7,0.13
富山県,4,0.14,4,0.14
石川県,3,0.1,3,0.1
福井県,9,0.36,9,0.36
山梨県,0,0,0,0
長野県,5,0.13,5,0.13
岐阜県,5,0.09,5,0.09
静岡県,10,0.11,10,0.11
愛知県,18,0.1,18,0.1
三重県,8,0.23,8,0.23
滋賀県,4,0.17,4,0.17
京都府,11,0.16,11,0.16
大阪府,59,0.31,59,0.31
兵庫県,11,0.1,11,0.1
奈良県,3,0.3,3,0.3
和歌山県,7,0.25,7,0.25
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,2,0.04,2,0.04
広島県,5,0.09,5,0.09
山口県,9,0.21,9,0.21
徳島県,11,0.48,11,0.48
香川県,0,0,0,0
愛媛県,4,0.17,4,0.17
高知県,0,0,0,0
福岡県,19,0.16,19,0.16
佐賀県,1,0.05,1,0.05
長崎県,2,0.05,2,0.05
熊本県,3,0.06,3,0.06
大分県,4,0.11,4,0.11
宮崎県,0,0,0,0
鹿児島県,13,0.25,13,0.25
沖縄県,0,0,0,0
,,,,
咽頭結膜熱,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,310,0.12,310,0.12
北海道,15,0.14,15,0.14
青森県,11,0.34,11,0.34
岩手県,7,0.18,7,0.18
宮城県,24,0.44,24,0.44
秋田県,0,0,0,0
山形県,7,0.39,7,0.39
福島県,17,0.35,17,0.35
茨城県,10,0.16,10,0.16
栃木県,3,0.09,3,0.09
群馬県,7,0.2,7,0.2
埼玉県,17,0.19,17,0.19
千葉県,2,0.02,2,0.02
東京都,12,0.06,12,0.06
神奈川県,7,0.05,7,0.05
新潟県,13,0.24,13,0.24
富山県,1,0.04,1,0.04
石川県,2,0.07,2,0.07
福井県,5,0.2,5,0.2
山梨県,1,0.04,1,0.04
長野県,4,0.1,4,0.1
岐阜県,4,0.08,4,0.08
静岡県,5,0.06,5,0.06
愛知県,4,0.02,4,0.02
三重県,7,0.2,7,0.2
滋賀県,5,0.22,5,0.22
京都府,5,0.07,5,0.07
大阪府,8,0.04,8,0.04
兵庫県,4,0.04,4,0.04
奈良県,0,0,0,0
和歌山県,2,0.07,2,0.07
鳥取県,1,0.05,1,0.05
島根県,1,0.04,1,0.04
岡山県,2,0.04,2,0.04
広島県,4,0.08,4,0.08
山口県,6,0.14,6,0.14
徳島県,3,0.13,3,0.13
香川県,1,0.04,1,0.04
愛媛県,3,0.13,3,0.13
高知県,0,0,0,0
福岡県,32,0.27,32,0.27
佐賀県,1,0.05,1,0.05
長崎県,3,0.07,3,0.07
熊本県,6,0.12,6,0.12
大分県,16,0.44,16,0.44
宮崎県,9,0.27,9,0.27
鹿児島県,13,0.25,13,0.25
沖縄県,0,0,0,0
,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,1608,0.61,1608,0.61
北海道,116,1.1,116,1.1
青森県,12,0.38,12,0.38
岩手県,24,0.62,24,0.62
宮城県,31,0.56,31,0.56
秋田県,1,0.07,1,0.07
山形県,17,0.94,17,0.94
福島県,39,0.8,39,0.8
茨城県,179,2.93,179,2.93
栃木県,27,0.82,27,0.82
群馬県,16,0.46,16,0.46
埼玉県,72,0.81,72,0.81
千葉県,69,0.66,69,0.66
東京都,89,0.44,89,0.44
神奈川県,22,0.15,22,0.15
新潟県,78,1.42,78,1.42
富山県,18,0.64,18,0.64
石川県,20,0.69,20,0.69
福井県,8,0.32,8,0.32
山梨県,2,0.08,2,0.08
長野県,26,0.65,26,0.65
岐阜県,15,0.28,15,0.28
静岡県,19,0.21,19,0.21
愛知県,23,0.13,23,0.13
三重県,21,0.6,21,0.6
滋賀県,10,0.43,10,0.43
京都府,40,0.59,40,0.59
大阪府,46,0.24,46,0.24
兵庫県,15,0.14,15,0.14
奈良県,2,0.2,2,0.2
和歌山県,11,0.39,11,0.39
鳥取県,11,0.58,11,0.58
島根県,9,0.39,9,0.39
岡山県,31,0.57,31,0.57
広島県,17,0.32,17,0.32
山口県,56,1.3,56,1.3
徳島県,9,0.39,9,0.39
香川県,16,0.57,16,0.57
愛媛県,26,1.13,26,1.13
高知県,21,0.84,21,0.84
福岡県,114,0.96,114,0.96
佐賀県,7,0.33,7,0.33
長崎県,56,1.27,56,1.27
熊本県,39,0.8,39,0.8
大分県,52,1.44,52,1.44
宮崎県,19,0.58,19,0.58
鹿児島県,26,0.51,26,0.51
沖縄県,31,0.97,31,0.97
,,,,
感染性胃腸炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,2881,1.09,2881,1.09
北海道,51,0.49,51,0.49
青森県,19,0.59,19,0.59
岩手県,62,1.59,62,1.59
宮城県,48,0.87,48,0.87
秋田県,11,0.73,11,0.73
山形県,15,0.83,15,0.83
福島県,50,1.02,50,1.02
茨城県,79,1.3,79,1.3
栃木県,17,0.52,17,0.52
群馬県,47,1.34,47,1.34
埼玉県,99,1.11,99,1.11
千葉県,107,1.03,107,1.03
東京都,174,0.85,174,0.85
神奈川県,115,0.78,115,0.78
新潟県,9,0.16,9,0.16
富山県,55,1.96,55,1.96
石川県,55,1.9,55,1.9
福井県,64,2.56,64,2.56
山梨県,6,0.25,6,0.25
長野県,38,0.95,38,0.95
岐阜県,56,1.06,56,1.06
静岡県,114,1.28,114,1.28
愛知県,123,0.68,123,0.68
三重県,64,1.83,64,1.83
滋賀県,26,1.13,26,1.13
京都府,46,0.68,46,0.68
大阪府,135,0.7,135,0.7
兵庫県,96,0.9,96,0.9
奈良県,9,0.9,9,0.9
和歌山県,31,1.11,31,1.11
鳥取県,31,1.63,31,1.63
島根県,20,0.87,20,0.87
岡山県,119,2.2,119,2.2
広島県,47,0.89,47,0.89
山口県,47,1.09,47,1.09
徳島県,34,1.48,34,1.48
香川県,26,0.93,26,0.93
愛媛県,71,3.09,71,3.09
高知県,12,0.48,12,0.48
福岡県,157,1.32,157,1.32
佐賀県,28,1.33,28,1.33
長崎県,28,0.64,28,0.64
熊本県,95,1.94,95,1.94
大分県,131,3.64,131,3.64
宮崎県,52,1.58,52,1.58
鹿児島県,90,1.76,90,1.76
沖縄県,72,2.25,72,2.25
,,,,
水痘,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,365,0.14,365,0.14
北海道,33,0.31,33,0.31
青森県,1,0.03,1,0.03
岩手県,8,0.21,8,0.21
宮城県,11,0.2,11,0.2
秋田県,3,0.2,3,0.2
山形県,4,0.22,4,0.22
福島県,8,0.16,8,0.16
茨城県,1,0.02,1,0.02
栃木県,3,0.09,3,0.09
群馬県,11,0.31,11,0.31
埼玉県,17,0.19,17,0.19
千葉県,8,0.08,8,0.08
東京都,32,0.16,32,0.16
神奈川県,16,0.11,16,0.11
新潟県,19,0.35,19,0.35
富山県,2,0.07,2,0.07
石川県,5,0.17,5,0.17
福井県,3,0.12,3,0.12
山梨県,1,0.04,1,0.04
長野県,3,0.08,3,0.08
岐阜県,0,0,0,0
静岡県,7,0.08,7,0.08
愛知県,11,0.06,11,0.06
三重県,6,0.17,6,0.17
滋賀県,9,0.39,9,0.39
京都府,1,0.01,1,0.01
大阪府,7,0.04,7,0.04
兵庫県,9,0.08,9,0.08
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,3,0.16,3,0.16
島根県,0,0,0,0
岡山県,4,0.07,4,0.07
広島県,7,0.13,7,0.13
山口県,2,0.05,2,0.05
徳島県,1,0.04,1,0.04
香川県,2,0.07,2,0.07
愛媛県,3,0.13,3,0.13
高知県,2,0.08,2,0.08
福岡県,43,0.36,43,0.36
佐賀県,1,0.05,1,0.05
長崎県,12,0.27,12,0.27
熊本県,14,0.29,14,0.29
大分県,1,0.03,1,0.03
宮崎県,6,0.18,6,0.18
鹿児島県,14,0.27,14,0.27
沖縄県,11,0.34,11,0.34
,,,,
手足口病,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,233,0.09,233,0.09
北海道,25,0.24,25,0.24
青森県,1,0.03,1,0.03
岩手県,11,0.28,11,0.28
宮城県,2,0.04,2,0.04
秋田県,5,0.33,5,0.33
山形県,7,0.39,7,0.39
福島県,6,0.12,6,0.12
茨城県,13,0.21,13,0.21
栃木県,10,0.3,10,0.3
群馬県,2,0.06,2,0.06
埼玉県,11,0.12,11,0.12
千葉県,8,0.08,8,0.08
東京都,11,0.05,11,0.05
神奈川県,11,0.07,11,0.07
新潟県,4,0.07,4,0.07
富山県,0,0,0,0
石川県,0,0,0,0
福井県,0,0,0,0
山梨県,2,0.08,2,0.08
長野県,8,0.2,8,0.2
岐阜県,0,0,0,0
静岡県,0,0,0,0
愛知県,0,0,0,0
三重県,1,0.03,1,0.03
滋賀県,1,0.04,1,0.04
京都府,0,0,0,0
大阪府,7,0.04,7,0.04
兵庫県,3,0.03,3,0.03
奈良県,0,0,0,0
和歌山県,2,0.07,2,0.07
鳥取県,1,0.05,1,0.05
島根県,0,0,0,0
岡山県,4,0.07,4,0.07
広島県,4,0.08,4,0.08
山口県,4,0.09,4,0.09
徳島県,0,0,0,0
香川県,5,0.18,5,0.18
愛媛県,0,0,0,0
高知県,2,0.08,2,0.08
福岡県,5,0.04,5,0.04
佐賀県,1,0.05,1,0.05
長崎県,6,0.14,6,0.14
熊本県,9,0.18,9,0.18
大分県,11,0.31,11,0.31
宮崎県,1,0.03,1,0.03
鹿児島県,26,0.51,26,0.51
沖縄県,3,0.09,3,0.09
,,,,
伝染性紅斑,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,428,0.16,428,0.16
北海道,6,0.06,6,0.06
青森県,12,0.38,12,0.38
岩手県,10,0.26,10,0.26
宮城県,19,0.35,19,0.35
秋田県,0,0,0,0
山形県,7,0.39,7,0.39
福島県,11,0.22,11,0.22
茨城県,6,0.1,6,0.1
栃木県,14,0.42,14,0.42
群馬県,8,0.23,8,0.23
埼玉県,71,0.8,71,0.8
千葉県,44,0.42,44,0.42
東京都,77,0.38,77,0.38
神奈川県,51,0.34,51,0.34
新潟県,4,0.07,4,0.07
富山県,1,0.04,1,0.04
石川県,2,0.07,2,0.07
福井県,1,0.04,1,0.04
山梨県,5,0.21,5,0.21
長野県,15,0.38,15,0.38
岐阜県,1,0.02,1,0.02
静岡県,5,0.06,5,0.06
愛知県,2,0.01,2,0.01
三重県,2,0.06,2,0.06
滋賀県,0,0,0,0
京都府,6,0.09,6,0.09
大阪府,2,0.01,2,0.01
兵庫県,3,0.03,3,0.03
奈良県,0,0,0,0
和歌山県,2,0.07,2,0.07
鳥取県,4,0.21,4,0.21
島根県,0,0,0,0
岡山県,2,0.04,2,0.04
広島県,1,0.02,1,0.02
山口県,4,0.09,4,0.09
徳島県,1,0.04,1,0.04
香川県,2,0.07,2,0.07
愛媛県,0,0,0,0
高知県,5,0.2,5,0.2
福岡県,8,0.07,8,0.07
佐賀県,0,0,0,0
長崎県,4,0.09,4,0.09
熊本県,3,0.06,3,0.06
大分県,0,0,0,0
宮崎県,5,0.15,5,0.15
鹿児島県,1,0.02,1,0.02
沖縄県,1,0.03,1,0.03
,,,,
突発性発しん,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,138,0.05,138,0.05
北海道,2,0.02,2,0.02
青森県,1,0.03,1,0.03
岩手県,2,0.05,2,0.05
宮城県,5,0.09,5,0.09
秋田県,0,0,0,0
山形県,3,0.17,3,0.17
福島県,3,0.06,3,0.06
茨城県,4,0.07,4,0.07
栃木県,6,0.18,6,0.18
群馬県,3,0.09,3,0.09
埼玉県,6,0.07,6,0.07
千葉県,4,0.04,4,0.04
東京都,9,0.04,9,0.04
神奈川県,4,0.03,4,0.03
新潟県,3,0.05,3,0.05
富山県,2,0.07,2,0.07
石川県,1,0.03,1,0.03
福井県,1,0.04,1,0.04
山梨県,0,0,0,0
長野県,2,0.05,2,0.05
岐阜県,4,0.08,4,0.08
静岡県,3,0.03,3,0.03
愛知県,3,0.02,3,0.02
三重県,2,0.06,2,0.06
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,6,0.03,6,0.03
兵庫県,5,0.05,5,0.05
奈良県,0,0,0,0
和歌山県,1,0.04,1,0.04
鳥取県,0,0,0,0
島根県,2,0.09,2,0.09
岡山県,7,0.13,7,0.13
広島県,1,0.02,1,0.02
山口県,4,0.09,4,0.09
徳島県,2,0.09,2,0.09
香川県,3,0.11,3,0.11
愛媛県,2,0.09,2,0.09
高知県,1,0.04,1,0.04
福岡県,7,0.06,7,0.06
佐賀県,5,0.24,5,0.24
長崎県,3,0.07,3,0.07
熊本県,4,0.08,4,0.08
大分県,4,0.11,4,0.11
宮崎県,4,0.12,4,0.12
鹿児島県,1,0.02,1,0.02
沖縄県,3,0.09,3,0.09
,,,,
ヘルパンギーナ,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,10,0,10,0
北海道,0,0,0,0
青森県,0,0,0,0
岩手県,0,0,0,0
宮城県,0,0,0,0
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,0,0,0,0
茨城県,2,0.03,2,0.03
栃木県,0,0,0,0
群馬県,0,0,0,0
埼玉県,1,0.01,1,0.01
千葉県,0,0,0,0
東京都,0,0,0,0
神奈川県,0,0,0,0
新潟県,1,0.02,1,0.02
富山県,1,0.04,1,0.04
石川県,0,0,0,0
福井県,1,0.04,1,0.04
山梨県,0,0,0,0
長野県,0,0,0,0
岐阜県,0,0,0,0
静岡県,0,0,0,0
愛知県,0,0,0,0
三重県,0,0,0,0
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,0,0,0,0
兵庫県,0,0,0,0
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,1,0.02,1,0.02
広島県,0,0,0,0
山口県,0,0,0,0
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,0,0,0,0
高知県,0,0,0,0
福岡県,1,0.01,1,0.01
佐賀県,0,0,0,0
長崎県,0,0,0,0
熊本県,0,0,0,0
大分県,0,0,0,0
宮崎県,0,0,0,0
鹿児島県,1,0.02,1,0.02
沖縄県,1,0.03,1,0.03
,,,,
流行性耳下腺炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,38,0.01,38,0.01
北海道,3,0.03,3,0.03
青森県,0,0,0,0
岩手県,2,0.05,2,0.05
宮城県,1,0.02,1,0.02
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,0,0,0,0
茨城県,3,0.05,3,0.05
栃木県,1,0.03,1,0.03
群馬県,0,0,0,0
埼玉県,2,0.02,2,0.02
千葉県,1,0.01,1,0.01
東京都,2,0.01,2,0.01
神奈川県,0,0,0,0
新潟県,2,0.04,2,0.04
富山県,2,0.07,2,0.07
石川県,0,0,0,0
福井県,0,0,0,0
山梨県,0,0,0,0
長野県,0,0,0,0
岐阜県,1,0.02,1,0.02
静岡県,0,0,0,0
愛知県,0,0,0,0
三重県,0,0,0,0
滋賀県,2,0.09,2,0.09
京都府,0,0,0,0
大阪府,5,0.03,5,0.03
兵庫県,0,0,0,0
奈良県,1,0.1,1,0.1
和歌山県,1,0.04,1,0.04
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,1,0.02,1,0.02
広島県,0,0,0,0
山口県,0,0,0,0
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,0,0,0,0
高知県,0,0,0,0
福岡県,4,0.03,4,0.03
佐賀県,0,0,0,0
長崎県,2,0.05,2,0.05
熊本県,0,0,0,0
大分県,2,0.06,2,0.06
宮崎県,0,0,0,0
鹿児島県,0,0,0,0
沖縄県,0,0,0,0
,,,,
急性出血性結膜炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,9,0.02,9,0.02
北海道,1,0.04,1,0.04
青森県,0,0,0,0
岩手県,0,0,0,0
宮城県,0,0,0,0
秋田県,1,0.33,1,0.33
山形県,0,0,0,0
福島県,0,0,0,0
茨城県,0,0,0,0
栃木県,0,0,0,0
群馬県,0,0,0,0
埼玉県,2,0.11,2,0.11
千葉県,0,0,0,0
東京都,0,0,0,0
神奈川県,0,0,0,0
新潟県,2,0.2,2,0.2
富山県,0,0,0,0
石川県,0,0,0,0
福井県,0,0,0,0
山梨県,0,0,0,0
長野県,0,0,0,0
岐阜県,0,0,0,0
静岡県,0,0,0,0
愛知県,0,0,0,0
三重県,0,0,0,0
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,0,0,0,0
兵庫県,0,0,0,0
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,1,0.08,1,0.08
広島県,0,0,0,0
山口県,0,0,0,0
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,1,0.17,1,0.17
高知県,0,0,0,0
福岡県,0,0,0,0
佐賀県,0,0,0,0
長崎県,1,0.13,1,0.13
熊本県,0,0,0,0
大分県,0,0,0,0
宮崎県,0,0,0,0
鹿児島県,0,0,0,0
沖縄県,0,0,0,0
,,,,
流行性角結膜炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,124,0.22,124,0.22
北海道,3,0.13,3,0.13
青森県,0,0,0,0
岩手県,0,0,0,0
宮城県,0,0,0,0
秋田県,3,1,3,1
山形県,0,0,0,0
福島県,13,1,13,1
茨城県,12,1,12,1
栃木県,1,0.11,1,0.11
群馬県,1,0.17,1,0.17
埼玉県,5,0.28,5,0.28
千葉県,4,0.14,4,0.14
東京都,12,0.4,12,0.4
神奈川県,5,0.15,5,0.15
新潟県,1,0.1,1,0.1
富山県,0,0,0,0
石川県,6,0.86,6,0.86
福井県,0,0,0,0
山梨県,0,0,0,0
長野県,12,2,12,2
岐阜県,0,0,0,0
静岡県,4,0.18,4,0.18
愛知県,0,0,0,0
三重県,0,0,0,0
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,0,0,0,0
兵庫県,6,0.21,6,0.21
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,1,0.08,1,0.08
広島県,2,0.2,2,0.2
山口県,0,0,0,0
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,4,0.67,4,0.67
高知県,0,0,0,0
福岡県,4,0.15,4,0.15
佐賀県,0,0,0,0
長崎県,7,0.88,7,0.88
熊本県,4,0.44,4,0.44
大分県,10,2,10,2
宮崎県,1,0.25,1,0.25
鹿児島県,3,0.43,3,0.43
沖縄県,0,0,0,0
,,,,
細菌性髄膜炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,8,0.02,8,0.02
北海道,0,0,0,0
青森県,0,0,0,0
岩手県,0,0,0,0
宮城県,0,0,0,0
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,0,0,0,0
茨城県,0,0,0,0
栃木県,0,0,0,0
群馬県,0,0,0,0
埼玉県,0,0,0,0
千葉県,0,0,0,0
東京都,0,0,0,0
神奈川県,0,0,0,0
新潟県,0,0,0,0
富山県,0,0,0,0
石川県,0,0,0,0
福井県,0,0,0,0
山梨県,2,0.2,2,0.2
長野県,0,0,0,0
岐阜県,0,0,0,0
静岡県,0,0,0,0
愛知県,0,0,0,0
三重県,0,0,0,0
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,1,0.06,1,0.06
兵庫県,1,0.07,1,0.07
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,1,0.2,1,0.2
広島県,0,0,0,0
山口県,0,0,0,0
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,0,0,0,0
高知県,0,0,0,0
福岡県,1,0.07,1,0.07
佐賀県,0,0,0,0
長崎県,1,0.08,1,0.08
熊本県,0,0,0,0
大分県,0,0,0,0
宮崎県,1,0.14,1,0.14
鹿児島県,0,0,0,0
沖縄県,0,0,0,0
,,,,
無菌性髄膜炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,7,0.01,7,0.01
北海道,0,0,0,0
青森県,0,0,0,0
岩手県,0,0,0,0
宮城県,0,0,0,0
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,0,0,0,0
茨城県,0,0,0,0
栃木県,0,0,0,0
群馬県,1,0.11,1,0.11
埼玉県,1,0.08,1,0.08
千葉県,0,0,0,0
東京都,1,0.04,1,0.04
神奈川県,0,0,0,0
新潟県,0,0,0,0
富山県,0,0,0,0
石川県,0,0,0,0
福井県,0,0,0,0
山梨県,0,0,0,0
長野県,0,0,0,0
岐阜県,2,0.4,2,0.4
静岡県,0,0,0,0
愛知県,0,0,0,0
三重県,0,0,0,0
滋賀県,1,0.14,1,0.14
京都府,0,0,0,0
大阪府,0,0,0,0
兵庫県,1,0.07,1,0.07
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,0,0,0,0
広島県,0,0,0,0
山口県,0,0,0,0
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,0,0,0,0
高知県,0,0,0,0
福岡県,0,0,0,0
佐賀県,0,0,0,0
長崎県,0,0,0,0
熊本県,0,0,0,0
大分県,0,0,0,0
宮崎県,0,0,0,0
鹿児島県,0,0,0,0
沖縄県,0,0,0,0
,,,,
マイコプラズマ肺炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,368,0.77,368,0.77
北海道,11,0.5,11,0.5
青森県,5,0.83,5,0.83
岩手県,26,1.37,26,1.37
宮城県,5,0.5,5,0.5
秋田県,4,0.5,4,0.5
山形県,10,1,10,1
福島県,6,0.86,6,0.86
茨城県,13,1,13,1
栃木県,2,0.29,2,0.29
群馬県,5,0.56,5,0.56
埼玉県,24,2,24,2
千葉県,5,0.56,5,0.56
東京都,17,0.68,17,0.68
神奈川県,2,0.17,2,0.17
新潟県,16,1.23,16,1.23
富山県,0,0,0,0
石川県,7,1.4,7,1.4
福井県,4,0.67,4,0.67
山梨県,5,0.5,5,0.5
長野県,3,0.25,3,0.25
岐阜県,10,2,10,2
静岡県,4,0.4,4,0.4
愛知県,10,0.67,10,0.67
三重県,2,0.22,2,0.22
滋賀県,0,0,0,0
京都府,6,0.86,6,0.86
大阪府,7,0.39,7,0.39
兵庫県,13,0.93,13,0.93
奈良県,6,1,6,1
和歌山県,7,0.64,7,0.64
鳥取県,7,1.4,7,1.4
島根県,4,0.5,4,0.5
岡山県,17,3.4,17,3.4
広島県,50,2.5,50,2.5
山口県,5,0.56,5,0.56
徳島県,0,0,0,0
香川県,8,1.6,8,1.6
愛媛県,3,0.5,3,0.5
高知県,3,0.38,3,0.38
福岡県,10,0.67,10,0.67
佐賀県,5,0.83,5,0.83
長崎県,6,0.5,6,0.5
熊本県,5,0.33,5,0.33
大分県,1,0.09,1,0.09
宮崎県,2,0.29,2,0.29
鹿児島県,4,0.33,4,0.33
沖縄県,3,0.43,3,0.43
,,,,
クラミジア肺炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,0,0,0,0
北海道,0,0,0,0
青森県,0,0,0,0
岩手県,0,0,0,0
宮城県,0,0,0,0
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,0,0,0,0
茨城県,0,0,0,0
栃木県,0,0,0,0
群馬県,0,0,0,0
埼玉県,0,0,0,0
千葉県,0,0,0,0
東京都,0,0,0,0
神奈川県,0,0,0,0
新潟県,0,0,0,0
富山県,0,0,0,0
石川県,0,0,0,0
福井県,0,0,0,0
山梨県,0,0,0,0
長野県,0,0,0,0
岐阜県,0,0,0,0
静岡県,0,0,0,0
愛知県,0,0,0,0
三重県,0,0,0,0
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,0,0,0,0
兵庫県,0,0,0,0
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,0,0,0,0
広島県,0,0,0,0
山口県,0,0,0,0
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,0,0,0,0
高知県,0,0,0,0
福岡県,0,0,0,0
佐賀県,0,0,0,0
長崎県,0,0,0,0
熊本県,0,0,0,0
大分県,0,0,0,0
宮崎県,0,0,0,0
鹿児島県,0,0,0,0
沖縄県,0,0,0,0
,,,,
感染性胃腸炎（ロタウイルス）,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,11,0.02,11,0.02
北海道,0,0,0,0
青森県,0,0,0,0
岩手県,0,0,0,0
宮城県,0,0,0,0
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,0,0,0,0
茨城県,0,0,0,0
栃木県,0,0,0,0
群馬県,1,0.11,1,0.11
埼玉県,1,0.08,1,0.08
千葉県,0,0,0,0
東京都,1,0.04,1,0.04
神奈川県,0,0,0,0
新潟県,0,0,0,0
富山県,0,0,0,0
石川県,0,0,0,0
福井県,0,0,0,0
山梨県,0,0,0,0
長野県,0,0,0,0
岐阜県,0,0,0,0
静岡県,0,0,0,0
愛知県,0,0,0,0
三重県,1,0.11,1,0.11
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,2,0.11,2,0.11
