報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,
2025年07週(02月10日～02月16日),2025年02月19日作成,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
長崎県,10366,148.09,3192,45.6,3294,47.06,1769,25.27,1130,16.14,526,7.51,308,4.4,147,2.1
熊本県,11489,145.43,3782,47.87,3920,49.62,1955,24.75,970,12.28,428,5.35,283,3.54,151,1.89
大分県,7532,129.86,3147,54.26,2140,36.9,1153,19.88,645,11.12,240,4.14,108,1.86,99,1.71
宮崎県,8862,155.47,2164,41.62,3320,57.24,1835,31.64,872,15.03,352,6.07,210,3.62,109,1.88
鹿児島県,10914,124.02,3236,36.36,3560,40,2183,24.53,1177,13.22,396,4.45,209,2.35,153,1.74
沖縄県,8949,159.8,2074,37.04,1924,34.36,1865,33.3,1051,18.77,746,13.32,642,11.46,647,11.55
,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,14035,4.6,440,0.17,1051,0.34,1249,0.4,2286,0.73,2694,0.86,3000,0.96,3315,1.06
北海道,1298,9.91,62,0.59,158,1.16,153,1.13,234,1.72,263,1.93,227,1.67,201,1.48
青森県,86,2.39,7,0.22,13,0.35,12,0.32,8,0.22,15,0.41,13,0.35,18,0.49
岩手県,129,3.31,8,0.21,7,0.18,6,0.15,11,0.28,42,1.08,32,0.82,23,0.59
宮城県,137,2.49,5,0.09,8,0.15,12,0.22,25,0.45,14,0.25,41,0.75,32,0.58
秋田県,56,1.81,5,0.33,5,0.15,7,0.21,14,0.41,9,0.26,6,0.18,10,0.29
山形県,77,3.08,4,0.22,5,0.19,15,0.56,12,0.44,14,0.52,13,0.48,14,0.54
福島県,184,3.83,8,0.16,14,0.29,16,0.33,52,1.06,38,0.79,27,0.56,29,0.6
茨城県,229,3.18,15,0.25,15,0.2,23,0.31,43,0.57,35,0.47,44,0.59,54,0.72
栃木県,246,5.47,11,0.33,19,0.4,35,0.73,40,0.83,47,0.98,47,0.98,47,0.98
群馬県,304,6.08,5,0.14,5,0.09,25,0.47,61,1.15,66,1.25,79,1.49,63,1.19
埼玉県,748,4.89,32,0.36,67,0.41,61,0.37,129,0.79,134,0.82,155,0.95,170,1.04
千葉県,269,2.17,9,0.09,14,0.11,13,0.1,37,0.29,59,0.46,64,0.5,73,0.57
東京都,915,3.6,17,0.08,86,0.33,93,0.35,161,0.61,174,0.66,182,0.69,202,0.77
神奈川県,715,3.29,22,0.15,56,0.24,51,0.22,109,0.48,130,0.57,167,0.73,180,0.79
新潟県,144,2.62,7,0.13,13,0.24,17,0.31,19,0.35,35,0.64,25,0.45,28,0.51
富山県,69,2.46,4,0.14,5,0.17,5,0.17,11,0.38,7,0.24,11,0.38,26,0.9
石川県,118,4.07,3,0.1,10,0.34,10,0.34,26,0.9,34,1.17,21,0.72,14,0.48
福井県,202,8.08,9,0.36,15,0.6,20,0.8,24,0.96,36,1.44,38,1.52,60,2.4
山梨県,51,2.13,0,0,3,0.13,4,0.17,9,0.38,11,0.46,17,0.71,7,0.29
長野県,169,3.31,5,0.13,14,0.26,19,0.35,28,0.52,30,0.56,35,0.66,38,0.7
岐阜県,285,5.38,5,0.09,18,0.34,16,0.3,32,0.6,60,1.13,71,1.34,83,1.57
静岡県,267,3,10,0.11,19,0.21,26,0.29,35,0.39,57,0.64,71,0.8,49,0.55
愛知県,542,2.99,18,0.1,50,0.27,34,0.19,67,0.37,90,0.5,127,0.7,156,0.86
三重県,359,8.35,8,0.23,32,0.71,22,0.49,81,1.8,74,1.64,59,1.31,83,1.84
滋賀県,155,4.56,4,0.17,10,0.28,15,0.42,17,0.47,21,0.58,47,1.31,41,1.14
京都府,288,3.95,11,0.16,14,0.19,27,0.36,36,0.49,50,0.67,68,0.91,82,1.09
大阪府,1730,8.96,59,0.31,165,0.85,189,0.98,310,1.61,333,1.73,340,1.76,334,1.72
兵庫県,952,7.62,11,0.1,67,0.52,110,0.86,161,1.26,177,1.38,210,1.64,216,1.69
奈良県,294,9.8,3,0.3,22,0.65,27,0.79,50,1.47,54,1.59,71,2.09,67,1.97
和歌山県,143,8.94,0,0,0,0,0,0,35,1.21,33,1.14,31,1.07,44,1.52
鳥取県,32,1.68,0,0,3,0.16,2,0.11,2,0.11,3,0.16,10,0.53,12,0.63
島根県,75,3.26,0,0,4,0.17,3,0.13,16,0.7,21,0.91,17,0.74,14,0.61
岡山県,88,1.63,2,0.04,4,0.07,6,0.11,22,0.41,16,0.3,19,0.35,19,0.35
広島県,321,4.52,5,0.09,8,0.11,19,0.26,61,0.82,67,0.91,75,1.01,86,1.16
山口県,407,9.47,9,0.21,10,0.23,21,0.49,41,0.95,63,1.47,116,2.7,147,3.42
徳島県,117,5.09,11,0.48,2,0.09,7,0.3,20,0.87,25,1.09,33,1.43,19,0.83
香川県,126,4.5,0,0,7,0.25,7,0.25,27,0.96,33,1.18,23,0.82,29,1.04
愛媛県,189,5.56,4,0.17,14,0.39,9,0.25,25,0.69,43,1.19,37,1.03,57,1.58
高知県,41,1.64,0,0,0,0,2,0.08,7,0.28,6,0.24,10,0.4,16,0.64
福岡県,704,5.92,19,0.16,30,0.25,48,0.4,106,0.89,138,1.16,141,1.18,222,1.87
佐賀県,96,4.36,1,0.05,1,0.04,5,0.22,14,0.61,29,1.26,26,1.13,20,0.87
長崎県,81,1.84,2,0.05,10,0.23,5,0.11,8,0.18,16,0.36,16,0.36,24,0.55
熊本県,182,3.71,3,0.06,5,0.1,21,0.43,15,0.31,31,0.62,39,0.78,68,1.36
大分県,121,3.36,4,0.11,4,0.11,8,0.22,5,0.14,20,0.56,30,0.83,50,1.39
宮崎県,114,3.26,0,0,8,0.22,8,0.22,17,0.47,17,0.47,30,0.83,34,0.94
鹿児島県,157,3.14,13,0.25,11,0.22,14,0.27,18,0.35,19,0.37,33,0.65,49,0.98
沖縄県,23,0.72,0,0,1,0.03,1,0.03,5,0.16,5,0.16,6,0.19,5,0.16
,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,5825,1.91,309,0.12,986,0.32,705,0.23,1038,0.33,901,0.29,1000,0.32,886,0.28
北海道,347,2.65,15,0.14,50,0.37,53,0.39,47,0.35,61,0.45,64,0.47,57,0.42
青森県,94,2.61,11,0.34,22,0.59,13,0.35,13,0.35,8,0.22,17,0.46,10,0.27
岩手県,89,2.28,7,0.18,13,0.33,14,0.36,20,0.51,14,0.36,7,0.18,14,0.36
宮城県,211,3.84,24,0.44,43,0.78,29,0.53,34,0.62,35,0.64,26,0.47,20,0.36
秋田県,52,1.68,0,0,5,0.15,5,0.15,15,0.44,10,0.29,3,0.09,14,0.41
山形県,93,3.72,7,0.39,29,1.07,14,0.52,17,0.63,7,0.26,8,0.3,11,0.42
福島県,146,3.04,18,0.37,24,0.49,12,0.24,24,0.49,22,0.46,25,0.52,21,0.44
茨城県,151,2.1,10,0.16,24,0.32,21,0.28,43,0.57,14,0.19,18,0.24,21,0.28
栃木県,119,2.64,3,0.09,9,0.19,12,0.25,30,0.63,25,0.52,26,0.54,14,0.29
群馬県,105,2.1,7,0.2,21,0.4,10,0.19,10,0.19,11,0.21,19,0.36,27,0.51
埼玉県,279,1.82,17,0.19,38,0.23,46,0.28,42,0.26,41,0.25,48,0.29,47,0.29
千葉県,148,1.19,2,0.02,38,0.3,14,0.11,17,0.13,19,0.15,40,0.31,18,0.14
東京都,255,1,12,0.06,34,0.13,27,0.1,47,0.18,54,0.21,37,0.14,44,0.17
神奈川県,159,0.73,7,0.05,25,0.11,23,0.1,33,0.14,26,0.11,31,0.13,14,0.06
新潟県,156,2.84,13,0.24,25,0.45,16,0.29,26,0.47,29,0.53,28,0.51,19,0.35
富山県,117,4.18,1,0.04,13,0.45,9,0.31,29,1,30,1.03,20,0.69,15,0.52
石川県,56,1.93,2,0.07,13,0.45,3,0.1,13,0.45,9,0.31,10,0.34,6,0.21
福井県,63,2.52,5,0.2,5,0.2,7,0.28,11,0.44,14,0.56,9,0.36,12,0.48
山梨県,31,1.29,1,0.04,8,0.33,1,0.04,6,0.25,6,0.25,5,0.21,4,0.17
長野県,68,1.33,4,0.1,9,0.17,5,0.09,12,0.22,11,0.2,18,0.34,9,0.17
岐阜県,57,1.08,4,0.08,21,0.4,8,0.15,8,0.15,6,0.11,4,0.08,6,0.11
静岡県,117,1.31,5,0.06,22,0.25,16,0.18,24,0.27,19,0.21,21,0.24,10,0.11
愛知県,239,1.32,4,0.02,46,0.25,29,0.16,38,0.21,34,0.19,49,0.27,39,0.21
三重県,76,1.77,7,0.2,21,0.47,8,0.18,4,0.09,8,0.18,11,0.24,17,0.38
滋賀県,34,1,5,0.21,6,0.17,2,0.06,4,0.11,3,0.08,7,0.19,7,0.19
京都府,298,4.08,5,0.07,41,0.55,33,0.44,58,0.78,60,0.8,63,0.84,38,0.51
大阪府,302,1.56,8,0.04,49,0.25,33,0.17,64,0.33,39,0.2,64,0.33,45,0.23
兵庫県,270,2.16,4,0.04,56,0.44,36,0.28,60,0.47,41,0.32,37,0.29,36,0.28
奈良県,39,1.3,0,0,8,0.24,4,0.12,7,0.21,3,0.09,8,0.24,9,0.26
和歌山県,24,1.5,0,0,0,0,0,0,5,0.17,4,0.14,8,0.28,7,0.24
鳥取県,36,1.89,1,0.05,6,0.32,3,0.16,8,0.42,5,0.26,5,0.26,8,0.42
島根県,45,1.96,1,0.04,9,0.39,7,0.3,4,0.17,7,0.3,11,0.48,6,0.26
岡山県,59,1.09,2,0.04,10,0.19,7,0.13,6,0.11,8,0.15,11,0.2,15,0.28
広島県,178,2.51,4,0.08,25,0.34,23,0.31,43,0.58,28,0.38,34,0.46,21,0.28
山口県,54,1.26,6,0.14,6,0.14,5,0.12,11,0.26,5,0.12,6,0.14,15,0.35
徳島県,38,1.65,3,0.13,9,0.39,7,0.3,6,0.26,4,0.17,2,0.09,7,0.3
香川県,46,1.64,1,0.04,1,0.04,7,0.25,10,0.36,7,0.25,12,0.43,8,0.29
愛媛県,92,2.71,3,0.13,12,0.33,7,0.19,16,0.44,11,0.31,12,0.33,31,0.86
高知県,18,0.72,0,0,3,0.12,2,0.08,4,0.16,1,0.04,3,0.12,5,0.2
福岡県,299,2.51,32,0.27,46,0.39,38,0.32,49,0.41,50,0.42,39,0.33,45,0.38
佐賀県,67,3.05,1,0.05,10,0.43,9,0.39,11,0.48,13,0.57,8,0.35,15,0.65
長崎県,81,1.84,3,0.07,15,0.34,9,0.2,11,0.25,14,0.32,14,0.32,15,0.34
熊本県,71,1.45,6,0.12,13,0.27,10,0.2,13,0.27,14,0.28,9,0.18,6,0.12
大分県,119,3.31,16,0.44,21,0.58,21,0.58,22,0.61,21,0.58,13,0.36,5,0.14
宮崎県,126,3.6,9,0.27,33,0.92,16,0.44,12,0.33,16,0.44,24,0.67,16,0.44
鹿児島県,266,5.32,13,0.25,40,0.78,29,0.57,45,0.88,27,0.53,62,1.22,50,1
沖縄県,35,1.09,0,0,9,0.28,2,0.06,6,0.19,7,0.22,4,0.13,7,0.22
,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,42232,13.85,1598,0.61,5406,1.74,5724,1.85,7415,2.37,7825,2.5,7765,2.48,6499,2.08
北海道,2889,22.05,116,1.1,324,2.38,354,2.6,541,3.98,519,3.82,548,4.03,487,3.58
青森県,246,6.83,12,0.38,39,1.05,44,1.19,50,1.35,31,0.84,34,0.92,36,0.97
岩手県,888,22.77,24,0.62,99,2.54,108,2.77,156,4,186,4.77,178,4.56,137,3.51
宮城県,697,12.67,31,0.56,100,1.82,94,1.71,100,1.82,133,2.42,122,2.22,117,2.13
秋田県,211,6.81,1,0.07,21,0.62,35,1.03,30,0.88,45,1.32,41,1.21,38,1.12
山形県,403,16.12,17,0.94,53,1.96,49,1.81,60,2.22,77,2.85,74,2.74,73,2.81
福島県,581,12.1,39,0.8,57,1.16,70,1.43,93,1.9,111,2.31,99,2.06,112,2.33
茨城県,2400,33.33,179,2.93,429,5.72,323,4.31,398,5.31,338,4.57,402,5.36,331,4.41
栃木県,591,13.13,27,0.82,84,1.75,82,1.71,98,2.04,100,2.08,106,2.21,94,1.96
群馬県,356,7.12,16,0.46,51,0.96,58,1.09,62,1.17,52,0.98,63,1.19,54,1.02
埼玉県,2470,16.14,72,0.8,324,1.98,331,2.02,398,2.43,483,2.95,485,2.96,377,2.3
千葉県,2596,20.94,69,0.66,334,2.61,343,2.68,470,3.67,526,4.11,505,3.95,349,2.73
東京都,3464,13.64,89,0.44,409,1.56,464,1.76,610,2.32,671,2.55,699,2.65,522,1.98
神奈川県,2056,9.47,22,0.15,268,1.17,266,1.17,374,1.63,380,1.67,391,1.7,355,1.56
新潟県,1388,25.24,78,1.42,161,2.93,185,3.36,244,4.44,268,4.87,229,4.16,223,4.05
富山県,794,28.36,18,0.64,104,3.59,120,4.14,155,5.34,147,5.07,138,4.76,112,3.86
石川県,482,16.62,20,0.69,51,1.76,73,2.52,77,2.66,91,3.14,85,2.93,85,2.93
福井県,255,10.2,8,0.32,27,1.08,30,1.2,49,1.96,36,1.44,49,1.96,56,2.24
山梨県,78,3.25,2,0.08,9,0.38,10,0.42,9,0.38,18,0.75,14,0.58,16,0.67
長野県,539,10.57,26,0.65,53,0.98,82,1.52,92,1.7,104,1.93,118,2.23,64,1.19
岐阜県,373,7.04,15,0.28,52,0.98,58,1.09,57,1.08,75,1.42,72,1.36,44,0.83
静岡県,599,6.73,19,0.21,85,0.96,68,0.76,93,1.04,124,1.39,112,1.26,98,1.1
愛知県,1284,7.09,23,0.13,184,1.01,198,1.09,235,1.3,223,1.23,230,1.26,191,1.05
三重県,575,13.37,21,0.6,67,1.49,83,1.84,124,2.76,95,2.11,102,2.27,83,1.84
滋賀県,306,9,11,0.46,39,1.08,45,1.25,51,1.42,55,1.53,61,1.69,44,1.22
京都府,699,9.58,40,0.59,109,1.45,103,1.37,132,1.78,136,1.81,99,1.32,80,1.07
大阪府,1510,7.82,46,0.24,190,0.98,202,1.05,292,1.51,292,1.51,294,1.52,194,1
兵庫県,1087,8.7,15,0.14,157,1.23,128,1,188,1.47,182,1.42,225,1.76,192,1.5
奈良県,229,7.63,2,0.2,31,0.91,34,1,39,1.15,48,1.41,36,1.06,39,1.15
和歌山県,124,7.75,0,0,0,0,0,0,24,0.83,32,1.1,36,1.24,32,1.1
鳥取県,414,21.79,11,0.58,54,2.84,52,2.74,83,4.37,92,4.84,62,3.26,60,3.16
島根県,252,10.96,9,0.39,33,1.43,50,2.17,44,1.91,41,1.78,41,1.78,34,1.48
岡山県,402,7.44,31,0.57,49,0.91,52,0.96,70,1.3,88,1.63,65,1.2,47,0.87
広島県,968,13.63,17,0.32,95,1.28,106,1.43,186,2.51,209,2.82,197,2.66,158,2.14
山口県,873,20.3,56,1.3,120,2.79,117,2.72,155,3.6,143,3.33,158,3.67,124,2.88
徳島県,106,4.61,9,0.39,14,0.61,13,0.57,28,1.22,19,0.83,14,0.61,9,0.39
香川県,330,11.79,16,0.57,43,1.54,68,2.43,54,1.93,59,2.11,46,1.64,44,1.57
愛媛県,746,21.94,26,1.13,81,2.25,94,2.61,117,3.25,144,4,153,4.25,131,3.64
高知県,338,13.52,21,0.84,38,1.52,49,1.96,51,2.04,47,1.88,71,2.84,61,2.44
福岡県,2719,22.85,114,0.96,354,2.97,377,3.17,492,4.13,486,4.08,461,3.87,435,3.66
佐賀県,425,19.32,7,0.33,64,2.78,81,3.52,75,3.26,97,4.22,57,2.48,44,1.91
長崎県,873,19.84,56,1.27,109,2.48,113,2.57,113,2.57,161,3.66,169,3.84,152,3.45
熊本県,833,17,39,0.8,95,1.94,90,1.84,142,2.9,171,3.42,166,3.32,130,2.6
大分県,841,23.36,52,1.44,107,2.97,133,3.69,133,3.69,161,4.47,127,3.53,128,3.56
宮崎県,622,17.77,19,0.58,81,2.25,115,3.19,124,3.44,102,2.83,91,2.53,90,2.5
鹿児島県,843,16.86,26,0.51,90,1.76,118,2.31,171,3.35,150,2.94,149,2.92,139,2.78
沖縄県,477,14.91,31,0.97,68,2.13,56,1.75,76,2.38,77,2.41,91,2.84,78,2.44
,,,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,117503,38.53,2873,1.09,12872,4.15,14036,4.53,18971,6.06,21476,6.86,23169,7.4,24106,7.7
北海道,1717,13.11,51,0.49,202,1.49,215,1.58,307,2.26,322,2.37,286,2.1,334,2.46
青森県,835,23.19,19,0.59,100,2.7,95,2.57,143,3.86,162,4.38,136,3.68,180,4.86
岩手県,1469,37.67,62,1.59,174,4.46,165,4.23,284,7.28,250,6.41,282,7.23,252,6.46
宮城県,1356,24.65,48,0.87,167,3.04,147,2.67,213,3.87,222,4.04,289,5.25,270,4.91
秋田県,666,21.48,11,0.73,105,3.09,93,2.74,106,3.12,148,4.35,113,3.32,90,2.65
山形県,487,19.48,15,0.83,65,2.41,88,3.26,73,2.7,92,3.41,99,3.67,55,2.12
福島県,919,19.15,50,1.02,119,2.43,121,2.47,131,2.67,149,3.1,189,3.94,160,3.33
茨城県,2693,37.4,79,1.3,263,3.51,337,4.49,476,6.35,461,6.23,500,6.67,577,7.69
栃木県,1444,32.09,17,0.52,120,2.5,143,2.98,223,4.65,306,6.38,335,6.98,300,6.25
群馬県,2414,48.28,47,1.34,269,5.08,313,5.91,368,6.94,436,8.23,492,9.28,489,9.23
埼玉県,6913,45.18,100,1.11,749,4.57,797,4.86,1124,6.85,1218,7.43,1457,8.88,1468,8.95
千葉県,6050,48.79,107,1.03,685,5.35,748,5.84,938,7.33,1140,8.91,1149,8.98,1283,10.02
東京都,12971,51.07,174,0.86,1515,5.76,1572,5.98,2097,7.97,2276,8.65,2643,10.01,2694,10.2
神奈川県,8511,39.22,119,0.8,955,4.15,993,4.37,1363,5.95,1569,6.88,1682,7.31,1830,8.03
新潟県,1169,21.25,9,0.16,90,1.64,139,2.53,211,3.84,254,4.62,227,4.13,239,4.35
富山県,1379,49.25,55,1.96,162,5.59,174,6,232,8,264,9.1,291,10.03,201,6.93
石川県,1606,55.38,55,1.9,202,6.97,236,8.14,263,9.07,319,11,250,8.62,281,9.69
福井県,1100,44,64,2.56,140,5.6,162,6.48,174,6.96,162,6.48,184,7.36,214,8.56
山梨県,830,34.58,6,0.25,77,3.21,84,3.5,126,5.25,162,6.75,199,8.29,176,7.33
長野県,1281,25.12,38,0.95,147,2.72,139,2.57,191,3.54,237,4.39,246,4.64,283,5.24
岐阜県,1222,23.06,56,1.06,148,2.79,149,2.81,189,3.57,185,3.49,234,4.42,261,4.92
静岡県,2916,32.76,114,1.28,412,4.63,354,3.98,414,4.65,499,5.61,544,6.11,579,6.51
愛知県,5107,28.22,123,0.68,675,3.71,635,3.51,770,4.25,912,5.04,954,5.24,1038,5.7
三重県,1685,39.19,64,1.83,228,5.07,216,4.8,264,5.87,314,6.98,286,6.36,313,6.96
滋賀県,961,28.26,29,1.21,109,3.03,106,2.94,199,5.53,179,4.97,171,4.75,168,4.67
京都府,2123,29.08,46,0.68,226,3.01,233,3.11,346,4.68,369,4.92,440,5.87,463,6.17
大阪府,7309,37.87,142,0.74,780,4.04,885,4.59,1167,6.05,1400,7.25,1421,7.36,1514,7.8
兵庫県,5060,40.48,96,0.9,638,4.98,657,5.13,870,6.8,858,6.7,912,7.13,1029,8.04
奈良県,1272,42.4,9,0.9,144,4.24,171,5.03,250,7.35,206,6.06,226,6.65,266,7.82
和歌山県,799,49.94,0,0,0,0,0,0,161,5.55,245,8.45,221,7.62,172,5.93
鳥取県,511,26.89,31,1.63,67,3.53,81,4.26,72,3.79,92,4.84,74,3.89,94,4.95
島根県,765,33.26,20,0.87,75,3.26,74,3.22,127,5.52,189,8.22,125,5.43,155,6.74
岡山県,2004,37.11,119,2.2,215,3.98,265,4.91,296,5.48,332,6.15,393,7.28,384,7.11
広島県,3399,47.87,47,0.89,311,4.2,339,4.58,497,6.72,659,8.91,757,10.23,789,10.66
山口県,1958,45.53,47,1.09,158,3.67,247,5.74,324,7.53,352,8.19,434,10.09,396,9.21
徳島県,700,30.43,34,1.48,87,3.78,89,3.87,98,4.26,119,5.17,131,5.7,142,6.17
香川県,1342,47.93,26,0.93,137,4.89,119,4.25,203,7.25,238,8.5,319,11.39,300,10.71
愛媛県,1919,56.44,71,3.09,219,6.08,192,5.33,253,7.03,315,8.75,401,11.14,468,13
高知県,461,18.44,12,0.48,16,0.64,59,2.36,94,3.76,102,4.08,85,3.4,93,3.72
福岡県,6111,51.35,176,1.48,572,4.81,817,6.87,1047,8.8,1162,9.76,1154,9.7,1183,9.94
佐賀県,1169,53.14,28,1.33,93,4.04,123,5.35,217,9.43,240,10.43,255,11.09,213,9.26
長崎県,1552,35.27,28,0.64,126,2.86,193,4.39,247,5.61,290,6.59,325,7.39,343,7.8
熊本県,3081,62.88,95,1.94,266,5.43,331,6.76,424,8.65,578,11.56,651,13.02,736,14.72
大分県,3340,92.78,131,3.64,349,9.69,354,9.83,611,16.97,667,18.53,657,18.25,571,15.86
宮崎県,1816,51.89,41,1.24,216,6,250,6.94,287,7.97,350,9.72,295,8.19,377,10.47
鹿児島県,2522,50.44,90,1.76,237,4.65,261,5.12,389,7.63,403,7.9,558,10.94,584,11.68
沖縄県,589,18.41,72,2.25,62,1.94,75,2.34,112,3.5,72,2.25,97,3.03,99,3.09
,,,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
