報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,
2024年01週(01月01日～01月07日),2024年01月10日作成,,,
千葉県,8,0.06,8,0.06
東京都,3,0.01,3,0.01
神奈川県,1,0,1,0
新潟県,2,0.04,2,0.04
富山県,1,0.03,1,0.03
石川県,2,0.07,2,0.07
福井県,1,0.04,1,0.04
山梨県,0,0,0,0
長野県,0,0,0,0
岐阜県,3,0.06,3,0.06
静岡県,2,0.02,2,0.02
愛知県,1,0.01,1,0.01
三重県,1,0.02,1,0.02
滋賀県,1,0.03,1,0.03
京都府,3,0.04,3,0.04
大阪府,19,0.1,19,0.1
兵庫県,2,0.02,2,0.02
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,2,0.04,2,0.04
広島県,1,0.01,1,0.01
山口県,0,0,0,0
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,0,0,0,0
高知県,0,0,0,0
福岡県,0,0,0,0
佐賀県,0,0,0,0
長崎県,0,0,0,0
熊本県,0,0,0,0
大分県,3,0.08,3,0.08
宮崎県,2,0.06,2,0.06
鹿児島県,0,0,0,0
沖縄県,5,0.16,5,0.16
,,,,
咽頭結膜熱,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,4524,1.46,4524,1.46
北海道,511,3.81,511,3.81
青森県,54,1.46,54,1.46
岩手県,53,1.36,53,1.36
宮城県,100,1.82,100,1.82
秋田県,16,0.52,16,0.52
山形県,78,2.79,78,2.79
福島県,105,2.14,105,2.14
茨城県,68,0.91,68,0.91
栃木県,57,1.19,57,1.19
群馬県,44,0.83,44,0.83
埼玉県,350,2.2,350,2.2
千葉県,187,1.48,187,1.48
東京都,178,0.7,178,0.7
神奈川県,222,1,222,1
新潟県,65,1.18,65,1.18
富山県,60,2.07,60,2.07
石川県,80,2.96,80,2.96
福井県,68,2.72,68,2.72
山梨県,24,1,24,1
長野県,34,0.63,34,0.63
岐阜県,55,1.04,55,1.04
静岡県,65,0.73,65,0.73
愛知県,148,0.81,148,0.81
三重県,74,1.64,74,1.64
滋賀県,54,1.5,54,1.5
京都府,82,1.11,82,1.11
大阪府,129,0.65,129,0.65
兵庫県,133,1.04,133,1.04
奈良県,36,1.06,36,1.06
和歌山県,55,1.83,55,1.83
鳥取県,6,0.32,6,0.32
島根県,27,1.17,27,1.17
岡山県,58,1.07,58,1.07
広島県,143,2.04,143,2.04
山口県,51,1.19,51,1.19
徳島県,37,1.61,37,1.61
香川県,42,1.5,42,1.5
愛媛県,72,2,72,2
高知県,40,1.54,40,1.54
福岡県,217,1.81,217,1.81
佐賀県,43,1.87,43,1.87
長崎県,111,2.52,111,2.52
熊本県,110,2.2,110,2.2
大分県,64,1.78,64,1.78
宮崎県,76,2.11,76,2.11
鹿児島県,194,3.8,194,3.8
沖縄県,48,1.55,48,1.55
,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,5377,1.73,5377,1.73
北海道,433,3.23,433,3.23
青森県,50,1.35,50,1.35
岩手県,41,1.05,41,1.05
宮城県,81,1.47,81,1.47
秋田県,24,0.77,24,0.77
山形県,73,2.61,73,2.61
福島県,108,2.2,108,2.2
茨城県,225,3,225,3
栃木県,76,1.58,76,1.58
群馬県,78,1.47,78,1.47
埼玉県,366,2.3,366,2.3
千葉県,300,2.38,300,2.38
東京都,379,1.49,379,1.49
神奈川県,287,1.3,287,1.3
新潟県,119,2.16,119,2.16
富山県,53,1.83,53,1.83
石川県,57,2.11,57,2.11
福井県,62,2.48,62,2.48
山梨県,17,0.71,17,0.71
長野県,93,1.72,93,1.72
岐阜県,27,0.51,27,0.51
静岡県,131,1.47,131,1.47
愛知県,211,1.16,211,1.16
三重県,67,1.49,67,1.49
滋賀県,28,0.78,28,0.78
京都府,78,1.05,78,1.05
大阪府,302,1.53,302,1.53
兵庫県,189,1.48,189,1.48
奈良県,46,1.35,46,1.35
和歌山県,37,1.23,37,1.23
鳥取県,36,1.89,36,1.89
島根県,25,1.09,25,1.09
岡山県,65,1.2,65,1.2
広島県,96,1.37,96,1.37
山口県,128,2.98,128,2.98
徳島県,19,0.83,19,0.83
香川県,35,1.25,35,1.25
愛媛県,79,2.19,79,2.19
高知県,36,1.38,36,1.38
福岡県,292,2.43,292,2.43
佐賀県,35,1.52,35,1.52
長崎県,64,1.45,64,1.45
熊本県,80,1.6,80,1.6
大分県,69,1.92,69,1.92
宮崎県,91,2.53,91,2.53
鹿児島県,106,2.08,106,2.08
沖縄県,83,2.68,83,2.68
,,,,
感染性胃腸炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,8766,2.82,8766,2.82
北海道,159,1.19,159,1.19
青森県,95,2.57,95,2.57
岩手県,81,2.08,81,2.08
宮城県,116,2.11,116,2.11
秋田県,35,1.13,35,1.13
山形県,36,1.29,36,1.29
福島県,73,1.49,73,1.49
茨城県,218,2.91,218,2.91
栃木県,103,2.15,103,2.15
群馬県,119,2.25,119,2.25
埼玉県,526,3.31,526,3.31
千葉県,461,3.66,461,3.66
東京都,911,3.59,911,3.59
神奈川県,698,3.16,698,3.16
新潟県,68,1.24,68,1.24
富山県,99,3.41,99,3.41
石川県,108,4,108,4
福井県,81,3.24,81,3.24
山梨県,49,2.04,49,2.04
長野県,110,2.04,110,2.04
岐阜県,73,1.38,73,1.38
静岡県,252,2.83,252,2.83
愛知県,349,1.92,349,1.92
三重県,118,2.62,118,2.62
滋賀県,58,1.61,58,1.61
京都府,112,1.51,112,1.51
大阪府,488,2.48,488,2.48
兵庫県,342,2.67,342,2.67
奈良県,73,2.15,73,2.15
和歌山県,58,1.93,58,1.93
鳥取県,33,1.74,33,1.74
島根県,72,3.13,72,3.13
岡山県,177,3.28,177,3.28
広島県,237,3.39,237,3.39
山口県,142,3.3,142,3.3
徳島県,86,3.74,86,3.74
香川県,154,5.5,154,5.5
愛媛県,178,4.94,178,4.94
高知県,18,0.69,18,0.69
福岡県,476,3.97,476,3.97
佐賀県,68,2.96,68,2.96
長崎県,125,2.84,125,2.84
熊本県,197,3.94,197,3.94
大分県,212,5.89,212,5.89
宮崎県,205,5.69,205,5.69
鹿児島県,255,5,255,5
沖縄県,62,2,62,2
,,,,
水痘,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,452,0.15,452,0.15
北海道,17,0.13,17,0.13
青森県,5,0.14,5,0.14
岩手県,7,0.18,7,0.18
宮城県,10,0.18,10,0.18
秋田県,11,0.35,11,0.35
山形県,5,0.18,5,0.18
福島県,5,0.1,5,0.1
茨城県,8,0.11,8,0.11
栃木県,0,0,0,0
群馬県,3,0.06,3,0.06
埼玉県,29,0.18,29,0.18
千葉県,15,0.12,15,0.12
東京都,31,0.12,31,0.12
神奈川県,69,0.31,69,0.31
新潟県,10,0.18,10,0.18
富山県,3,0.1,3,0.1
石川県,7,0.26,7,0.26
福井県,1,0.04,1,0.04
山梨県,0,0,0,0
長野県,2,0.04,2,0.04
岐阜県,0,0,0,0
静岡県,11,0.12,11,0.12
愛知県,19,0.1,19,0.1
三重県,5,0.11,5,0.11
滋賀県,4,0.11,4,0.11
京都府,7,0.09,7,0.09
大阪府,30,0.15,30,0.15
兵庫県,24,0.19,24,0.19
奈良県,2,0.06,2,0.06
和歌山県,2,0.07,2,0.07
鳥取県,0,0,0,0
島根県,5,0.22,5,0.22
岡山県,6,0.11,6,0.11
広島県,14,0.2,14,0.2
山口県,6,0.14,6,0.14
徳島県,0,0,0,0
香川県,6,0.21,6,0.21
愛媛県,5,0.14,5,0.14
高知県,2,0.08,2,0.08
福岡県,33,0.28,33,0.28
佐賀県,5,0.22,5,0.22
長崎県,3,0.07,3,0.07
熊本県,4,0.08,4,0.08
大分県,5,0.14,5,0.14
宮崎県,3,0.08,3,0.08
鹿児島県,5,0.1,5,0.1
沖縄県,8,0.26,8,0.26
,,,,
手足口病,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,442,0.14,442,0.14
北海道,5,0.04,5,0.04
青森県,3,0.08,3,0.08
岩手県,6,0.15,6,0.15
宮城県,4,0.07,4,0.07
秋田県,2,0.06,2,0.06
山形県,2,0.07,2,0.07
福島県,2,0.04,2,0.04
茨城県,8,0.11,8,0.11
栃木県,7,0.15,7,0.15
群馬県,14,0.26,14,0.26
埼玉県,5,0.03,5,0.03
千葉県,11,0.09,11,0.09
東京都,32,0.13,32,0.13
神奈川県,8,0.04,8,0.04
新潟県,7,0.13,7,0.13
富山県,3,0.1,3,0.1
石川県,3,0.11,3,0.11
福井県,7,0.28,7,0.28
山梨県,10,0.42,10,0.42
長野県,12,0.22,12,0.22
岐阜県,4,0.08,4,0.08
静岡県,3,0.03,3,0.03
愛知県,3,0.02,3,0.02
三重県,1,0.02,1,0.02
滋賀県,3,0.08,3,0.08
京都府,12,0.16,12,0.16
大阪府,67,0.34,67,0.34
兵庫県,19,0.15,19,0.15
奈良県,17,0.5,17,0.5
和歌山県,6,0.2,6,0.2
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,11,0.2,11,0.2
広島県,3,0.04,3,0.04
山口県,2,0.05,2,0.05
徳島県,8,0.35,8,0.35
香川県,4,0.14,4,0.14
愛媛県,14,0.39,14,0.39
高知県,4,0.15,4,0.15
福岡県,27,0.23,27,0.23
佐賀県,1,0.04,1,0.04
長崎県,14,0.32,14,0.32
熊本県,13,0.26,13,0.26
大分県,8,0.22,8,0.22
宮崎県,14,0.39,14,0.39
鹿児島県,31,0.61,31,0.61
沖縄県,2,0.06,2,0.06
,,,,
伝染性紅斑,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,29,0.01,29,0.01
北海道,1,0.01,1,0.01
青森県,0,0,0,0
岩手県,0,0,0,0
宮城県,1,0.02,1,0.02
秋田県,0,0,0,0
山形県,1,0.04,1,0.04
福島県,0,0,0,0
茨城県,1,0.01,1,0.01
栃木県,0,0,0,0
群馬県,0,0,0,0
埼玉県,1,0.01,1,0.01
千葉県,0,0,0,0
東京都,7,0.03,7,0.03
神奈川県,2,0.01,2,0.01
新潟県,0,0,0,0
富山県,0,0,0,0
石川県,1,0.04,1,0.04
福井県,2,0.08,2,0.08
山梨県,0,0,0,0
長野県,0,0,0,0
岐阜県,1,0.02,1,0.02
静岡県,0,0,0,0
愛知県,3,0.02,3,0.02
三重県,0,0,0,0
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,1,0.01,1,0.01
兵庫県,0,0,0,0
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,1,0.04,1,0.04
岡山県,3,0.06,3,0.06
広島県,1,0.01,1,0.01
山口県,0,0,0,0
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,0,0,0,0
高知県,1,0.04,1,0.04
福岡県,1,0.01,1,0.01
佐賀県,0,0,0,0
長崎県,0,0,0,0
熊本県,0,0,0,0
大分県,0,0,0,0
宮崎県,0,0,0,0
鹿児島県,0,0,0,0
沖縄県,0,0,0,0
,,,,
突発性発しん,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,357,0.12,357,0.12
北海道,9,0.07,9,0.07
青森県,5,0.14,5,0.14
岩手県,8,0.21,8,0.21
宮城県,9,0.16,9,0.16
秋田県,1,0.03,1,0.03
山形県,6,0.21,6,0.21
福島県,7,0.14,7,0.14
茨城県,4,0.05,4,0.05
栃木県,6,0.13,6,0.13
群馬県,6,0.11,6,0.11
埼玉県,21,0.13,21,0.13
千葉県,15,0.12,15,0.12
東京都,25,0.1,25,0.1
神奈川県,14,0.06,14,0.06
新潟県,7,0.13,7,0.13
富山県,1,0.03,1,0.03
石川県,4,0.15,4,0.15
福井県,5,0.2,5,0.2
山梨県,2,0.08,2,0.08
長野県,7,0.13,7,0.13
岐阜県,4,0.08,4,0.08
静岡県,6,0.07,6,0.07
愛知県,14,0.08,14,0.08
三重県,5,0.11,5,0.11
滋賀県,2,0.06,2,0.06
京都府,1,0.01,1,0.01
大阪府,19,0.1,19,0.1
兵庫県,13,0.1,13,0.1
奈良県,7,0.21,7,0.21
和歌山県,6,0.2,6,0.2
鳥取県,1,0.05,1,0.05
島根県,3,0.13,3,0.13
岡山県,4,0.07,4,0.07
広島県,8,0.11,8,0.11
山口県,7,0.16,7,0.16
徳島県,3,0.13,3,0.13
香川県,2,0.07,2,0.07
愛媛県,6,0.17,6,0.17
高知県,1,0.04,1,0.04
福岡県,25,0.21,25,0.21
佐賀県,3,0.13,3,0.13
長崎県,7,0.16,7,0.16
熊本県,12,0.24,12,0.24
大分県,11,0.31,11,0.31
宮崎県,13,0.36,13,0.36
鹿児島県,7,0.14,7,0.14
沖縄県,5,0.16,5,0.16
,,,,
ヘルパンギーナ,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,66,0.02,66,0.02
北海道,1,0.01,1,0.01
青森県,0,0,0,0
岩手県,0,0,0,0
宮城県,0,0,0,0
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,0,0,0,0
茨城県,3,0.04,3,0.04
栃木県,1,0.02,1,0.02
群馬県,0,0,0,0
埼玉県,2,0.01,2,0.01
千葉県,1,0.01,1,0.01
東京都,2,0.01,2,0.01
神奈川県,2,0.01,2,0.01
新潟県,1,0.02,1,0.02
富山県,5,0.17,5,0.17
石川県,1,0.04,1,0.04
福井県,1,0.04,1,0.04
山梨県,1,0.04,1,0.04
長野県,1,0.02,1,0.02
岐阜県,0,0,0,0
静岡県,2,0.02,2,0.02
愛知県,1,0.01,1,0.01
三重県,1,0.02,1,0.02
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,15,0.08,15,0.08
兵庫県,5,0.04,5,0.04
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,1,0.02,1,0.02
広島県,0,0,0,0
山口県,0,0,0,0
徳島県,2,0.09,2,0.09
香川県,0,0,0,0
愛媛県,2,0.06,2,0.06
高知県,0,0,0,0
福岡県,1,0.01,1,0.01
佐賀県,0,0,0,0
長崎県,0,0,0,0
熊本県,3,0.06,3,0.06
大分県,3,0.08,3,0.08
宮崎県,1,0.03,1,0.03
鹿児島県,5,0.1,5,0.1
沖縄県,2,0.06,2,0.06
,,,,
流行性耳下腺炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,43,0.01,43,0.01
北海道,0,0,0,0
青森県,0,0,0,0
岩手県,0,0,0,0
宮城県,1,0.02,1,0.02
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,0,0,0,0
茨城県,1,0.01,1,0.01
栃木県,2,0.04,2,0.04
群馬県,0,0,0,0
埼玉県,7,0.04,7,0.04
千葉県,5,0.04,5,0.04
東京都,0,0,0,0
神奈川県,0,0,0,0
新潟県,1,0.02,1,0.02
富山県,1,0.03,1,0.03
石川県,0,0,0,0
福井県,0,0,0,0
山梨県,0,0,0,0
長野県,0,0,0,0
岐阜県,1,0.02,1,0.02
静岡県,2,0.02,2,0.02
愛知県,3,0.02,3,0.02
三重県,0,0,0,0
滋賀県,1,0.03,1,0.03
京都府,1,0.01,1,0.01
大阪府,4,0.02,4,0.02
兵庫県,1,0.01,1,0.01
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,2,0.04,2,0.04
広島県,1,0.01,1,0.01
山口県,0,0,0,0
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,0,0,0,0
高知県,0,0,0,0
福岡県,4,0.03,4,0.03
佐賀県,0,0,0,0
長崎県,0,0,0,0
熊本県,1,0.02,1,0.02
大分県,0,0,0,0
宮崎県,0,0,0,0
鹿児島県,3,0.06,3,0.06
沖縄県,1,0.03,1,0.03
,,,,
急性出血性結膜炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,9,0.01,9,0.01
北海道,0,0,0,0
青森県,0,0,0,0
岩手県,0,0,0,0
宮城県,0,0,0,0
秋田県,1,0.14,1,0.14
山形県,0,0,0,0
福島県,0,0,0,0
茨城県,0,0,0,0
栃木県,1,0.08,1,0.08
群馬県,1,0.07,1,0.07
埼玉県,0,0,0,0
千葉県,1,0.03,1,0.03
東京都,0,0,0,0
神奈川県,1,0.02,1,0.02
新潟県,0,0,0,0
富山県,0,0,0,0
石川県,0,0,0,0
福井県,0,0,0,0
山梨県,0,0,0,0
長野県,0,0,0,0
岐阜県,0,0,0,0
静岡県,0,0,0,0
愛知県,0,0,0,0
三重県,0,0,0,0
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,2,0.04,2,0.04
兵庫県,0,0,0,0
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,0,0,0,0
広島県,1,0.05,1,0.05
山口県,0,0,0,0
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,0,0,0,0
高知県,0,0,0,0
福岡県,0,0,0,0
佐賀県,0,0,0,0
長崎県,1,0.13,1,0.13
熊本県,0,0,0,0
大分県,0,0,0,0
宮崎県,0,0,0,0
鹿児島県,0,0,0,0
沖縄県,0,0,0,0
,,,,
流行性角結膜炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,493,0.72,493,0.72
北海道,7,0.24,7,0.24
青森県,5,0.56,5,0.56
岩手県,5,0.36,5,0.36
宮城県,3,0.25,3,0.25
秋田県,5,0.71,5,0.71
山形県,1,0.13,1,0.13
福島県,9,0.69,9,0.69
茨城県,26,1.53,26,1.53
栃木県,10,0.83,10,0.83
群馬県,9,0.64,9,0.64
埼玉県,25,0.61,25,0.61
千葉県,20,0.61,20,0.61
東京都,13,0.33,13,0.33
神奈川県,56,1.24,56,1.24
新潟県,1,0.1,1,0.1
富山県,4,0.57,4,0.57
石川県,36,6,36,6
福井県,0,0,0,0
山梨県,2,0.22,2,0.22
長野県,33,3.3,33,3.3
岐阜県,2,0.18,2,0.18
静岡県,8,0.36,8,0.36
愛知県,19,0.54,19,0.54
三重県,1,0.08,1,0.08
滋賀県,4,0.5,4,0.5
京都府,6,0.33,6,0.33
大阪府,12,0.23,12,0.23
兵庫県,16,0.46,16,0.46
奈良県,4,0.4,4,0.4
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,3,1,3,1
岡山県,7,0.58,7,0.58
広島県,17,0.89,17,0.89
山口県,4,0.44,4,0.44
徳島県,1,0.25,1,0.25
香川県,1,0.2,1,0.2
愛媛県,24,3,24,3
高知県,1,0.33,1,0.33
福岡県,14,0.54,14,0.54
佐賀県,2,0.5,2,0.5
長崎県,11,1.38,11,1.38
熊本県,25,2.78,25,2.78
大分県,1,0.2,1,0.2
宮崎県,18,3,18,3
鹿児島県,15,2.14,15,2.14
沖縄県,7,0.88,7,0.88
,,,,
細菌性髄膜炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,7,0.01,7,0.01
北海道,0,0,0,0
青森県,0,0,0,0
岩手県,0,0,0,0
宮城県,0,0,0,0
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,0,0,0,0
茨城県,0,0,0,0
栃木県,1,0.14,1,0.14
群馬県,0,0,0,0
埼玉県,0,0,0,0
千葉県,1,0.11,1,0.11
東京都,0,0,0,0
神奈川県,0,0,0,0
新潟県,0,0,0,0
富山県,0,0,0,0
石川県,0,0,0,0
福井県,0,0,0,0
山梨県,0,0,0,0
長野県,0,0,0,0
岐阜県,0,0,0,0
静岡県,2,0.2,2,0.2
愛知県,1,0.07,1,0.07
三重県,1,0.11,1,0.11
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,0,0,0,0
兵庫県,1,0.07,1,0.07
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,0,0,0,0
広島県,0,0,0,0
山口県,0,0,0,0
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,0,0,0,0
高知県,0,0,0,0
福岡県,0,0,0,0
佐賀県,0,0,0,0
長崎県,0,0,0,0
熊本県,0,0,0,0
大分県,0,0,0,0
宮崎県,0,0,0,0
鹿児島県,0,0,0,0
沖縄県,0,0,0,0
,,,,
無菌性髄膜炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,7,0.01,7,0.01
北海道,0,0,0,0
青森県,0,0,0,0
岩手県,0,0,0,0
宮城県,0,0,0,0
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,0,0,0,0
茨城県,1,0.08,1,0.08
栃木県,0,0,0,0
群馬県,0,0,0,0
埼玉県,0,0,0,0
千葉県,0,0,0,0
東京都,0,0,0,0
神奈川県,0,0,0,0
新潟県,0,0,0,0
富山県,0,0,0,0
石川県,0,0,0,0
福井県,0,0,0,0
山梨県,1,0.1,1,0.1
長野県,0,0,0,0
岐阜県,0,0,0,0
静岡県,0,0,0,0
愛知県,0,0,0,0
三重県,0,0,0,0
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,0,0,0,0
兵庫県,1,0.07,1,0.07
奈良県,0,0,0,0
和歌山県,1,0.09,1,0.09
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,0,0,0,0
広島県,0,0,0,0
山口県,0,0,0,0
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,0,0,0,0
高知県,0,0,0,0
福岡県,1,0.07,1,0.07
佐賀県,1,0.17,1,0.17
長崎県,1,0.08,1,0.08
熊本県,0,0,0,0
大分県,0,0,0,0
宮崎県,0,0,0,0
鹿児島県,0,0,0,0
沖縄県,0,0,0,0
,,,,
マイコプラズマ肺炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,24,0.05,24,0.05
北海道,0,0,0,0
青森県,0,0,0,0
岩手県,3,0.16,3,0.16
宮城県,0,0,0,0
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,0,0,0,0
茨城県,3,0.23,3,0.23
栃木県,0,0,0,0
群馬県,0,0,0,0
埼玉県,2,0.17,2,0.17
千葉県,0,0,0,0
東京都,2,0.08,2,0.08
神奈川県,0,0,0,0
新潟県,0,0,0,0
富山県,0,0,0,0
石川県,0,0,0,0
福井県,2,0.33,2,0.33
山梨県,0,0,0,0
長野県,0,0,0,0
岐阜県,0,0,0,0
静岡県,0,0,0,0
愛知県,0,0,0,0
三重県,0,0,0,0
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,0,0,0,0
兵庫県,1,0.07,1,0.07
奈良県,0,0,0,0
和歌山県,2,0.18,2,0.18
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,0,0,0,0
広島県,1,0.05,1,0.05
山口県,2,0.22,2,0.22
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,0,0,0,0
高知県,0,0,0,0
福岡県,0,0,0,0
佐賀県,1,0.17,1,0.17
長崎県,1,0.08,1,0.08
熊本県,0,0,0,0
大分県,1,0.09,1,0.09
宮崎県,0,0,0,0
鹿児島県,0,0,0,0
沖縄県,3,0.43,3,0.43
,,,,
クラミジア肺炎,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,0,0,0,0
北海道,0,0,0,0
青森県,0,0,0,0
岩手県,0,0,0,0
宮城県,0,0,0,0
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,0,0,0,0
茨城県,0,0,0,0
栃木県,0,0,0,0
群馬県,0,0,0,0
埼玉県,0,0,0,0
千葉県,0,0,0,0
東京都,0,0,0,0
神奈川県,0,0,0,0
新潟県,0,0,0,0
富山県,0,0,0,0
石川県,0,0,0,0
福井県,0,0,0,0
山梨県,0,0,0,0
長野県,0,0,0,0
岐阜県,0,0,0,0
静岡県,0,0,0,0
愛知県,0,0,0,0
三重県,0,0,0,0
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,0,0,0,0
兵庫県,0,0,0,0
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,0,0,0,0
広島県,0,0,0,0
山口県,0,0,0,0
徳島県,0,0,0,0
香川県,0,0,0,0
愛媛県,0,0,0,0
高知県,0,0,0,0
福岡県,0,0,0,0
佐賀県,0,0,0,0
長崎県,0,0,0,0
熊本県,0,0,0,0
大分県,0,0,0,0
宮崎県,0,0,0,0
鹿児島県,0,0,0,0
沖縄県,0,0,0,0
,,,,
感染性胃腸炎（ロタウイルス）,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,3,0.01,3,0.01
北海道,0,0,0,0
青森県,0,0,0,0
岩手県,1,0.05,1,0.05
宮城県,0,0,0,0
秋田県,0,0,0,0
山形県,2,0.2,2,0.2
福島県,0,0,0,0
茨城県,0,0,0,0
栃木県,0,0,0,0
群馬県,0,0,0,0
埼玉県,0,0,0,0
千葉県,0,0,0,0
東京都,0,0,0,0
神奈川県,0,0,0,0
新潟県,0,0,0,0
富山県,0,0,0,0
石川県,0,0,0,0
福井県,0,0,0,0
山梨県,0,0,0,0
長野県,0,0,0,0
岐阜県,0,0,0,0
静岡県,0,0,0,0
愛知県,0,0,0,0
三重県,0,0,0,0
滋賀県,0,0,0,0
京都府,0,0,0,0
大阪府,0,0,0,0
兵庫県,0,0,0,0
奈良県,0,0,0,0
和歌山県,0,0,0,0
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,0,0,0,0
